business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
NEXGEN DIALYSIS CENTER,Dialysis Center,Dialysis center,Dialysis center,743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",N/A,N/A,5.0,1.0,"RIVIVE NURSING HOME, Bus Stand, Baguiati 44, Baguihati Main Rd, Jyangra, Baguiati, Kolkata, West Bengal 700159","Jyangra, Baguiati",22.6110628,88.4289926,ChIJwRU7pdZ1AjoROcuKVRMiIUg,https://www.google.com/maps/place/?q=place_id:ChIJwRU7pdZ1AjoROcuKVRMiIUg,part_336,2026-09-20 20:19:15
DCDC Kidney Care - Ruby,Dialysis Center,Dialysis center,Dialysis center,743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",N/A,N/A,3.5,2.0,"576, Anandapur Main Rd, Golpark, Sector I, Kasba, Kolkata, West Bengal 700107","Golpark, Sector I, Kasba",22.513468099999997,88.40296819999999,ChIJ7S8TF5JzAjoRIAJtsoC4QUI,https://www.google.com/maps/place/?q=place_id:ChIJ7S8TF5JzAjoRIAJtsoC4QUI,part_336,2026-09-20 20:19:15
Madhumita aya center,Dialysis Center,Dialysis center,Dialysis center,743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",N/A,N/A,,,"Khash mohal, Sukant Nagar, Sector IV, chintacin para, sotlek, Kolkata, West Bengal 700107","Sukant Nagar, Sector IV, chintacin para",22.5629512,88.4173644,ChIJASq2hCR1AjoRA7wquw1tSNk,https://www.google.com/maps/place/?q=place_id:ChIJASq2hCR1AjoRA7wquw1tSNk,part_336,2026-09-20 20:19:15
Dr Prabhav Bhansaly | Complete Affordable Nephrology Services | Kidney and Transplant Specialist | Dialysis,Dialysis Center,Health consultant,"Health consultant, Service establishment",743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",+91 98361 66155,https://dpbkidneyheart.com/,4.9,15.0,"Dr Prabhav Bhansaly | Complete Affordable Nephrology Services | Kidney and Transplant Specialist | Dialysis, 743502, India",743502,22.575293,88.4131026,ChIJUfffROp4aSgRqSWoPzfxCOA,https://www.google.com/maps/place/?q=place_id:ChIJUfffROp4aSgRqSWoPzfxCOA,part_336,2026-09-20 20:19:15
"Dr. Arindam Kargupta - Nephrology, Medithics Clinic",Dialysis Center,Dialysis center,"Dialysis center, Blood testing service, Diagnostic center, Nephrologist, Doctor, Medical Center, Medical clinic",743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",+91 86971 80608,https://drarindamnephrologist.com/,4.6,11.0,"Medithics Clinic, Mukundapur Main Rd, Mukundapur Market, Nitai Nagar, Mukundapur, Kolkata, West Bengal 700099","Mukundapur Market, Nitai Nagar, Mukundapur",22.490905299999998,88.4032551,ChIJO32ijPNzAjoRiLmR5b2L-SM,https://www.google.com/maps/place/?q=place_id:ChIJO32ijPNzAjoRiLmR5b2L-SM,part_336,2026-09-20 20:19:15
Anima Nursing Home,Dialysis Center,Hospital,Hospital,743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",N/A,N/A,5.0,1.0,"GJC6+RGF, Bhangar, Uttar Kathalia, West Bengal 743502",743502,22.5220582,88.6112948,ChIJ-2D8YNAJAjoRw4tu1NBrxPg,https://www.google.com/maps/place/?q=place_id:ChIJ-2D8YNAJAjoRw4tu1NBrxPg,part_336,2026-09-20 20:19:15
"Dr. Souvik Ghatak- MD, DM Nephrology. Kidney, Diabetes Medicine | Health Connect | Newtown Kolkata",Dialysis Center,Nephrologist,"Nephrologist, Allergist, Diabetes center, Diabetologist, Doctor, General practitioner, Holistic medicine practitioner, Immunologist, Medical Center, Neurologist",743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",+91 90075 71287,https://www.healthconnect360.in/doctors#dr-souvik-ghatak,5.0,,"DLF GALLERIA, 8, Major Arterial Road (South East Extension), BG Block(Newtown), Action Area 1B, Newtown, Kolkata, West Bengal 700156","BG Block(Newtown), Action Area 1B, Newtown",22.5820536,88.46049839999999,ChIJbRuYfwZ1AjoREdqHwtQUCL8,https://www.google.com/maps/place/?q=place_id:ChIJbRuYfwZ1AjoREdqHwtQUCL8,part_336,2026-09-20 20:19:16
Dr. Sunil Kumar,Dialysis Center,Hospital,"Hospital, Consultant, Doctor, Nephrologist, Medical examiner",743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",+91 98313 14448,https://savekidneys.com/,4.8,62.0,"OHIO HOSPITAL, Street Number 358, DG Block(Newtown), Action Area 1D, Newtown, Kolkata, Chakpachuria, West Bengal 700156","DG Block(Newtown), Action Area 1D, Newtown",22.5783272,88.4771822,ChIJY1KxYY4LAjoRNv4n-OtCn2k,https://www.google.com/maps/place/?q=place_id:ChIJY1KxYY4LAjoRNv4n-OtCn2k,part_336,2026-09-20 20:19:17
"Agilus Diagnostics (formerly SRL) - Sonarpur, Kolkata | Blood Test | Full Body Checkup | Pathology Lab",Dialysis Center,Diagnostic center,"Diagnostic center, Blood testing service, Medical laboratory, Pathologist",743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",N/A,http://www.agilusdiagnostics.com/,,,"Kidney Plus Clinic, Bus Stand, SD 3, Kamrabad, Narendrapur, Rajpur Sonarpur, Kolkata, West Bengal 700150","Kamrabad, Narendrapur",22.443099999999998,88.43039999999999,ChIJO8BYnjJzAjoRAbFzLKe9aAs,https://www.google.com/maps/place/?q=place_id:ChIJO8BYnjJzAjoRAbFzLKe9aAs,part_336,2026-09-20 20:19:17
Burdwan Medical College Hospital Ppp Dialysis Unit,Dialysis Center,Dialysis center,Dialysis center,743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",N/A,N/A,4.1,55.0,"6VV4+CR3, Khosbagan, Bardhaman, West Bengal 713103",Khosbagan,23.243515199999997,87.8570374,ChIJF-cT6FlJ-DkRsPnCdvDUXIg,https://www.google.com/maps/place/?q=place_id:ChIJF-cT6FlJ-DkRsPnCdvDUXIg,part_336,2026-09-20 20:19:17
