business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Art'o'nuts,Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Interior Decorator, Art gallery",743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",+91 95935 84258,N/A,4.9,23.0,"115B/EA, Sector A, Metropolitan Co-Operative Housing Society Limited, Tangra, Kolkata, West Bengal 700107","Sector A, Metropolitan Co-Operative Housing Society Limited, Tangra",22.5548289,88.4091289,ChIJGWl7NfR1AjoRrO8U-_VBL-A,https://www.google.com/maps/place/?q=place_id:ChIJGWl7NfR1AjoRrO8U-_VBL-A,part_336,2026-09-20 20:19:35
The Great Indian Studio,Wedding Invitation Card Printer,Design agency,"Design agency, Service establishment, Video editing service",743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",+91 98307 20009,N/A,5.0,85.0,"The Great Indian Studio, 743502, India",743502,22.5354274,88.3473528,ChIJhXGq6wV3AjoR71u4VJI9MmM,https://www.google.com/maps/place/?q=place_id:ChIJhXGq6wV3AjoR71u4VJI9MmM,part_336,2026-09-20 20:19:35
Classic impressión Studio,Wedding Invitation Card Printer,Print shop,"Print shop, Design agency, Digital printer, Graphic designer, Neon sign shop, Offset Printer, Photography studio",743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",+91 70036 82676,N/A,4.4,109.0,"DE Block(Newtown), Action Area I, Newtown, Koch Pukur, Chakpachuria, West Bengal 700098","DE Block(Newtown), Action Area I, Newtown",22.5738894,88.4746871,ChIJn046jSd1AjoRpNCYGG-iyWM,https://www.google.com/maps/place/?q=place_id:ChIJn046jSd1AjoRpNCYGG-iyWM,part_336,2026-09-20 20:19:35
Kajal Press,Wedding Invitation Card Printer,Print shop,"Print shop, Greeting card shop",743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",+91 97480 49935,N/A,4.7,7.0,"Railway Station, UC, Uma charan Roy Rd, near Baruipur, Subuddhipur, Kolkata, Baruipur, West Bengal 700144",Subuddhipur,22.3650542,88.4298409,ChIJab5mT05sAjoRPzolayFSt1Y,https://www.google.com/maps/place/?q=place_id:ChIJab5mT05sAjoRPzolayFSt1Y,part_336,2026-09-20 20:19:35
S. B. Studio and Printer,Wedding Invitation Card Printer,Print shop,"Print shop, Digital printer, Photography studio",743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",+91 62915 82592,https://www.sbstudioprinter.in/,5.0,14.0,"Ground Floor, Aruna Apartment, 261, Dum Dum Park, Kolkata, West Bengal 700055",Dum Dum Park,22.6110257,88.4149991,ChIJlyLKb491AjoR7OZchbdeSRo,https://www.google.com/maps/place/?q=place_id:ChIJlyLKb491AjoR7OZchbdeSRo,part_336,2026-09-20 20:19:35
TAPALOK COMMUNICATION,Wedding Invitation Card Printer,Print shop,"Print shop, Digital printing service, Electronics Engineer, Offset Printer, Passport photo processor, Photo shop, Photography studio, Printing equipment supplier, Travel agency",743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",+91 98042 66233,N/A,4.8,25.0,"Mahishgote 2nd Ln, P.O, Krishnapur, P.S - Newtown, Kolkata, West Bengal 700102","P.O, Krishnapur, P.S - Newtown",22.5826609,88.44310349999999,ChIJDX_W_AN1AjoRPooC6tN_lzY,https://www.google.com/maps/place/?q=place_id:ChIJDX_W_AN1AjoRPooC6tN_lzY,part_336,2026-09-20 20:19:35
YouS2,Wedding Invitation Card Printer,Print shop,"Print shop, Commercial printer, Custom t-shirt store, Digital printing service, Graphic designer, Photography studio, Screen printing shop",743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",+91 85097 88421,http://www.yous2.com/,5.0,112.0,"Loknath Market, Hatiara, JAGATPUR, Kolkata, West Bengal 700162","Hatiara, JAGATPUR",22.6040477,88.43728929999999,ChIJAWkkaeN1AjoRu9Bq7nCigUQ,https://www.google.com/maps/place/?q=place_id:ChIJAWkkaeN1AjoRu9Bq7nCigUQ,part_336,2026-09-20 20:19:35
Sri Guru Prints শ্রী গুরু প্রিন্টস,Wedding Invitation Card Printer,Print shop,Print shop,743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",+91 97334 61374,https://sri-guru-prints.grexa.site/,5.0,4.0,"Champahati, West Bengal 743330",Champahati,22.3993236,88.489341,ChIJB6EwTKETAjoR7PeFv0jc9eQ,https://www.google.com/maps/place/?q=place_id:ChIJB6EwTKETAjoR7PeFv0jc9eQ,part_336,2026-09-20 20:19:35
Creative Wedding Cards,Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Digital printer, Service establishment, Graphic designer, Wedding service, Wedding store",743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",+91 89399 13282,https://www.instagram.com/creativeweddingcard?igsh=Mms4eGU0YTRpYnht,4.8,,"Creative Wedding Cards, 743502, India",743502,10.8211663,78.2897649,ChIJm2iTHq5fUjoR6RiwNLaFMc8,https://www.google.com/maps/place/?q=place_id:ChIJm2iTHq5fUjoR6RiwNLaFMc8,part_336,2026-09-20 20:19:36
GREEN CARDS INDIA,Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Digital printing service, Paper bag supplier, Paper distributor, Screen printing shop, Wedding planner, Wedding service, Wedding store",743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",+91 77739 99666,https://greencardsindia.com/,4.9,,"Shop No. 6, Green Cards, Mantri Heights, 411030, Hasabnis Bakhal, Mehunpura, Shaniwar Peth, Pune, Maharashtra 411030","Hasabnis Bakhal, Mehunpura, Shaniwar Peth",18.5176685,73.8536424,ChIJfzLj_W_AwjsR-h0PJZHcQtU,https://www.google.com/maps/place/?q=place_id:ChIJfzLj_W_AwjsR-h0PJZHcQtU,part_336,2026-09-20 20:19:36
