business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dipanwita's Makeup Artistry- by Dipanwita Chakraborty|| Wedding Bridal Reception Pro Makeup Artist,Bridal Makeup Artist,Make-up artist,Make-up artist,743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",+91 98043 64076,https://youtube.com/channel/UCxESC8xXlDqk-L-aeLTyEMQ,4.9,65.0,"Bobi da BJP party office, Landmark, Amtala - Baruipur Rd, Amtala, Kriparampur, Adarshapalli, West Bengal 743503",Amtala,22.368995299999998,88.2791943,ChIJlw8W74JlAjoR_IVgKyuXMNE,https://www.google.com/maps/place/?q=place_id:ChIJlw8W74JlAjoR_IVgKyuXMNE,part_336,2026-09-20 20:20:14
MONDAL MAKEOVER (Chinu mondal ),Bridal Makeup Artist,Make-up artist,Make-up artist,743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",+91 87775 92586,https://mondal-makeover-chinu.grexa.site/,4.8,42.0,"state garage, Sakher Bazar Metro Station, Diamond Harbour Rd, Silpara, Purba Barisha, Kolkata, West Bengal 700063","Silpara, Purba Barisha",22.476233099999998,88.3102471,ChIJE6J8fc17AjoROUbwXpJTXHc,https://www.google.com/maps/place/?q=place_id:ChIJE6J8fc17AjoROUbwXpJTXHc,part_336,2026-09-20 20:20:14
Pooja's - Professional Bridal Make-up Artist,Bridal Makeup Artist,Make-up artist,Make-up artist,743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",+91 93303 55295,https://www.facebook.com/profile.php?id=100071240211265&mibextid=ZbWKwL,5.0,24.0,"Amtala, Udayrampur, Kolkata, West Bengal 743503",Amtala,22.371145199999997,88.2773122,ChIJywzFgpVlAjoR9WtLajUhkQs,https://www.google.com/maps/place/?q=place_id:ChIJywzFgpVlAjoR9WtLajUhkQs,part_336,2026-09-20 20:20:14
Pratibha -Makeover,Bridal Makeup Artist,Make-up artist,Make-up artist,743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",+91 62890 95303,N/A,5.0,50.0,"Diamond Harbour Rd, Thakurpukur Bazar, Thakurpukur, Kolkata, West Bengal 700063","Thakurpukur Bazar, Thakurpukur",22.4631908,88.3071207,ChIJwQE-_It7AjoR4sHjzMNvk6s,https://www.google.com/maps/place/?q=place_id:ChIJwQE-_It7AjoR4sHjzMNvk6s,part_336,2026-09-20 20:20:14
The Magic Touch by NAZ |Professional Bridal Makeup Artist | Makeup Courses,Bridal Makeup Artist,Make-up artist,Make-up artist,743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",+91 70030 66402,https://www.facebook.com/share/19EoX2uNji/?mibextid=LQQJ4d,5.0,78.0,"Boral Main Road, Ramchandrapur, Narendrapur, Bonhooghly, West Bengal 700103","Ramchandrapur, Narendrapur",22.4336627,88.37607059999999,ChIJF-xeZw1xAjoRYuMKdP5MnxE,https://www.google.com/maps/place/?q=place_id:ChIJF-xeZw1xAjoRYuMKdP5MnxE,part_336,2026-09-20 20:20:14
Jyotsna Makeup n Nail Studio & Academy | Bridal Makeup Artist,Bridal Makeup Artist,Make-up artist,"Make-up artist, Nail salon",743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",+91 62903 10914,N/A,4.9,99.0,"46/21, Becharam Chatterjee Rd, Vidyasagar Park, Behala, Kolkata, West Bengal 700034","Vidyasagar Park, Behala",22.497357299999997,88.3144121,ChIJh7WFuPN7AjoRZo_JsToNe7g,https://www.google.com/maps/place/?q=place_id:ChIJh7WFuPN7AjoRZo_JsToNe7g,part_336,2026-09-20 20:20:14
Sonai’s touch makeup & nails,Bridal Makeup Artist,Make-up artist,"Make-up artist, Nail salon",743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",+91 62918 61920,https://m.facebook.com/p/Sonais-Touch-bridal-Party-makeup-100077179687209/,4.8,42.0,"Rabindranath Tagore Rd, Narkel Bagan, Purbachal, Behala, West Bengal 700063","Narkel Bagan, Purbachal, Behala",22.466428,88.3228973,ChIJBfZQgDh7AjoRKEsLo9J2RuI,https://www.google.com/maps/place/?q=place_id:ChIJBfZQgDh7AjoRKEsLo9J2RuI,part_336,2026-09-20 20:20:14
Makeup Maven Makeover Studio And Academy,Bridal Makeup Artist,Make-up artist,"Make-up artist, Charter school",743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",N/A,https://www.makeupmavenstudio.in/,4.8,11.0,"Makeup Maven. PASHUPATI BHAVAN, MALLIKPARA, West Bengal 743503",Nepalgange,22.3843772,88.3450344,ChIJ88N0BYVvAjoRcwlOjR3F0AE,https://www.google.com/maps/place/?q=place_id:ChIJ88N0BYVvAjoRcwlOjR3F0AE,part_336,2026-09-20 20:20:14
Makeup By Titli Studio,Bridal Makeup Artist,Make-up artist,Make-up artist,743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",+91 86172 59459,N/A,5.0,25.0,"Mio Amore (Garia Bazar), 1/59, near Naktala, Naktala, Garia, Kolkata, West Bengal 700047","Naktala, Garia",22.470758999999997,88.36801899999999,ChIJmcbm_rRxAjoRkAlAOlnASbo,https://www.google.com/maps/place/?q=place_id:ChIJmcbm_rRxAjoRkAlAOlnASbo,part_336,2026-09-20 20:20:14
Sugandha's- professional Bridal Make-up artist,Bridal Makeup Artist,Make-up artist,"Make-up artist, Beautician, Beauty Parlour, Wedding service",743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",+91 70038 46273,N/A,5.0,11.0,"Pailan,IIM Joka,D.H.Road, Imperial Rd, Kolkata, West Bengal 700104","Daulatpur, Pailan",22.4416463,88.29793,ChIJPe-VNmp7AjoRMovQD-SFrR8,https://www.google.com/maps/place/?q=place_id:ChIJPe-VNmp7AjoRMovQD-SFrR8,part_336,2026-09-20 20:20:14
