business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shibsankar pulmbing services,Plumber,Plumber,Plumber,743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",N/A,N/A,5.0,,"Kobardanga, Pailan, Kolkata, Chak Rajumolla, West Bengal 700104","Kobardanga, Pailan",22.4288132,88.28804579999999,ChIJN-W6JjJ7AjoRMHvPbExWO4U,https://www.google.com/maps/place/?q=place_id:ChIJN-W6JjJ7AjoRMHvPbExWO4U,part_336,2026-09-20 20:20:11
Sadhana enterprises,Plumber,Plumber,Plumber,743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",N/A,N/A,5.0,,"96PX+8JP, Bara Gagan Gohalia, Maukhali, West Bengal 743503",Bara Gagan Gohalia,22.3858267,88.24923059999999,ChIJAyy6MABlAjoR44keutI_Xz0,https://www.google.com/maps/place/?q=place_id:ChIJAyy6MABlAjoR44keutI_Xz0,part_336,2026-09-20 20:20:11
Arjun Plumbing specialist,Plumber,Plumber,Plumber,743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",N/A,https://youtube.com/@arjunplumbing,4.7,,"4/3/1, Jyotirmoy Nagar Rd, Purbasan, Thakurpukur, Kolkata, West Bengal 700063","Purbasan, Thakurpukur",22.4620622,88.3163951,ChIJdTqXFwh7AjoRtJCKJhrL49M,https://www.google.com/maps/place/?q=place_id:ChIJdTqXFwh7AjoRtJCKJhrL49M,part_336,2026-09-20 20:20:11
Rajat plumbing,Plumber,Plumber,Plumber,743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",+91 87770 74014,N/A,,,"baburpol, Bakhrahat, Kolkata, Joychandipur, West Bengal 743377","baburpol, Bakhrahat",22.389333,88.2088218,ChIJEZUqYh1jAjoR7vSailzSL8U,https://www.google.com/maps/place/?q=place_id:ChIJEZUqYh1jAjoR7vSailzSL8U,part_336,2026-09-20 20:20:11
Jahirul Mollick,Plumber,Plumber,Plumber,743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",N/A,N/A,,,"88VX+J28, Mestakhali, West Bengal 743503",743503,22.3439806,88.347597,ChIJZa5mMwBvAjoRFbGpufVoGAE,https://www.google.com/maps/place/?q=place_id:ChIJZa5mMwBvAjoRFbGpufVoGAE,part_336,2026-09-20 20:20:11
Khatua and sons,Plumber,Plumber,Plumber,743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",+91 91236 77341,N/A,4.6,,"1Kalua, 10/2, Paul Para, Kalua, Thakurpukur, Kolkata, West Bengal 700104","Kalua, Thakurpukur",22.4538984,88.3123679,ChIJGZzB7pV7AjoRZbmJEqEkZYU,https://www.google.com/maps/place/?q=place_id:ChIJGZzB7pV7AjoRZbmJEqEkZYU,part_336,2026-09-20 20:20:11
PLUMBERS HUB,Plumber,Plumber,"Plumber, Hardware store, Water Tank Cleaners",743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",+91 82404 11607,N/A,5.0,,"Nalgora hut, Bonhooghly, Mohan Ghosh Rd, near Sarathi TVS P.S, Narendrapur, Kolkata, West Bengal 700103",Narendrapur,22.432877899999998,88.3762319,ChIJleSKCHhxAjoRFaTa47cv7Cc,https://www.google.com/maps/place/?q=place_id:ChIJleSKCHhxAjoRFaTa47cv7Cc,part_336,2026-09-20 20:20:11
Master Plumber,Plumber,Plumber,Plumber,743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",N/A,N/A,,,"12 Foot, 22 Bigha Rd, Kalua, Pailan, Kolkata, West Bengal 700104","Kalua, Pailan",22.4477217,88.3137179,ChIJy2MP7YZ7AjoRd8muWbXAuzk,https://www.google.com/maps/place/?q=place_id:ChIJy2MP7YZ7AjoRd8muWbXAuzk,part_336,2026-09-20 20:20:11
"Pramod Enterprise - Plumber in Narendrapur,Sonarpur,Rajpur,Garia",Plumber,Plumber,Plumber,743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",+91 98300 10162,https://www.facebook.com/profile.php?id=61551227458736,4.9,,"36, Nilachal Complex, Phase-1, 3rd Row, Ramchandrapur, Narendrapur, Kolkata, Rajpur Sonarpur, West Bengal 700103","Ramchandrapur, Narendrapur",22.4439763,88.3935431,ChIJy2bHnlBxAjoRjL3Yn-PaoS4,https://www.google.com/maps/place/?q=place_id:ChIJy2bHnlBxAjoRjL3Yn-PaoS4,part_336,2026-09-20 20:20:11
Sr enterprise,Plumber,Plumber,Plumber,743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",N/A,N/A,,,"96PX+8JP, Bara Gagan Gohalia, Maukhali, West Bengal 743503",Bara Gagan Gohalia,22.3858565,88.24909199999999,ChIJ1eOSUgBlAjoRPW4yE-LS8BM,https://www.google.com/maps/place/?q=place_id:ChIJ1eOSUgBlAjoRPW4yE-LS8BM,part_336,2026-09-20 20:20:11
