business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
WeBFooT.in,POS and Billing Software Vendor,Software company,"Software company, Service establishment",743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",+91 87778 40671,https://webfoot.in/,4.9,,"WeBFooT.in, 743503, India",743503,9.374110199999999,-17.464332199999998,ChIJa9CTUiSZ-DkRjI8ZvGKKv1c,https://www.google.com/maps/place/?q=place_id:ChIJa9CTUiSZ-DkRjI8ZvGKKv1c,part_336,2026-09-20 20:20:24
Mettastay,POS and Billing Software Vendor,Software company,Software company,743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",+91 33 4070 5047,https://mettastay.com/,4.7,,"S-129, Yojangandha Co-operative Housing Society, Upanagari, Baishnabghata Patuli Twp, Patuli, Kolkata, West Bengal 700094","Yojangandha Co-operative Housing Society, Upanagari, Baishnabghata Patuli Township, Patuli",22.4723534,88.3938572,ChIJzVpRFA5xAjoRHoLXjycR_Ik,https://www.google.com/maps/place/?q=place_id:ChIJzVpRFA5xAjoRHoLXjycR_Ik,part_336,2026-09-20 20:20:24
Wondersoft Private Limited,POS and Billing Software Vendor,Software company,Software company,743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",+91 44 6670 6655,https://www.wondersoft.com/,4.8,,"120, Aryagowda Rd, near Postal Colony 1st Street, Kasi Viswanathar Colony, West Mambalam, Chennai, Tamil Nadu 600033","Kasi Viswanathar Colony, West Mambalam",13.0371791,80.22061339999999,ChIJI8cfsOJmUjoRjOCUnmOENqQ,https://www.google.com/maps/place/?q=place_id:ChIJI8cfsOJmUjoRjOCUnmOENqQ,part_336,2026-09-20 20:20:24
"VertexWing IT Solutions | Website Development | Mobile App, CRM, ERP Software Development",POS and Billing Software Vendor,Software company,Software company,743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",N/A,https://vertexwing.com/,5.0,,"G 25/B, Bapuji Nagar, Jadavpur, Kolkata, West Bengal 700092","Bapuji Nagar, Jadavpur",22.4871266,88.3704016,ChIJrYpXogNxAjoRS2naRMTKoHs,https://www.google.com/maps/place/?q=place_id:ChIJrYpXogNxAjoRS2naRMTKoHs,part_336,2026-09-20 20:20:24
F&Bos,POS and Billing Software Vendor,Software company,"Software company, Service establishment",743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",N/A,https://www.fandbos.com/,5.0,,"F&Bos, 743503, India",743503,20.8584951,80.6600954,ChIJb0tKj__bEUMRMxIDdaGJ_e4,https://www.google.com/maps/place/?q=place_id:ChIJb0tKj__bEUMRMxIDdaGJ_e4,part_336,2026-09-20 20:20:24
"TimD - Tim Digital | Best Custom Software, Mobile App Development & Digital Marketing Agency in Kolkata",POS and Billing Software Vendor,Software company,"Software company, Advertising agency, Business development service, Computer support and services, E-commerce service, Service establishment, Marketing agency, Website designer",743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",+91 74500 32124,https://www.timdtech.com/,4.9,18.0,"TimD - Tim Digital | Best Custom Software, Mobile App Development & Digital Marketing Agency in Kolkata, 743503, India",743503,21.0680074,82.7525294,ChIJwSyXlMt1AjoRcFKFzVUxU_Y,https://www.google.com/maps/place/?q=place_id:ChIJwSyXlMt1AjoRcFKFzVUxU_Y,part_336,2026-09-20 20:20:25
Codomotive Software Solutions,POS and Billing Software Vendor,Software company,"Software company, Graphic designer, Internet marketing service, Web hosting company, Website designer",743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",+91 97334 61196,https://codomotive.com/,4.2,14.0,"2nd Floor, GE-61, Rajdanga Main Road, Sector G, East Kolkata Twp, Kolkata, West Bengal 700107","Sector G, East Kolkata Township",22.5113156,88.39932879999999,ChIJb0aoM1RxAjoRO-0s--UIaTw,https://www.google.com/maps/place/?q=place_id:ChIJb0aoM1RxAjoRO-0s--UIaTw,part_336,2026-09-20 20:20:25
Dotter Solutions LLP,POS and Billing Software Vendor,Custom label printer,"Custom label printer, Computer support and services, Office equipment supplier, Print shop, Printing equipment supplier, Repair service, Security system supplier",743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",+91 85838 80295,https://dottersolutions.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=7265290337894870560,4.6,56.0,"18 C /2, GROUNG FLOOR PODDARNAGAR-2, near Meghna Apartment, Bikramgarh, Jadavpur, Kolkata, West Bengal 700032","Bikramgarh, Jadavpur",22.497537899999998,88.3618685,ChIJDzd5Kx1xAjoRn5WwGwLG7VU,https://www.google.com/maps/place/?q=place_id:ChIJDzd5Kx1xAjoRn5WwGwLG7VU,part_336,2026-09-20 20:20:26
Penguin Websoft,POS and Billing Software Vendor,Website designer,Website designer,743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",+91 79801 03242,https://www.penguinwebsoft.com/,5.0,2.0,"Boral Main Road, Green Park, Kamdahari, Kolkata, Rajpur Sonarpur, West Bengal 700154","Green Park, Kamdahari",22.4513437,88.37799419999999,ChIJIcRUJohxAjoRc5mUXs7dgPA,https://www.google.com/maps/place/?q=place_id:ChIJIcRUJohxAjoRc5mUXs7dgPA,part_336,2026-09-20 20:20:26
Bonrix Software Systems,POS and Billing Software Vendor,Software company,"Software company, E-commerce service, GPS supplier",743503,West Bengal Circle,Kolkata Region,South Presidency Division,"Bishnupur SO South 24 Parganas, Andharmanik BO, Balakhali BO",+91 94260 45500,http://www.bonrix.net/,4.5,24.0,"A-801 Samudra Complex Nr. Girish Cold Drinks Cross Road, Chimanlal Girdharlal Rd, Navrangpura, Ahmedabad, Gujarat 380006","Vasant Vihar, Navrangpura",23.0330864,72.5586904,ChIJ1-c4MvKEXjkR9jd1k5twhFY,https://www.google.com/maps/place/?q=place_id:ChIJ1-c4MvKEXjkR9jd1k5twhFY,part_336,2026-09-20 20:20:26
