business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DEEP JYOTI MEDICAL STORES,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Alternative Medicine Clinic, Health consultant, Herb shop, Herbal medicine store, Oriental medicine store, Pharmacy, Wellness center",743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 90074 49644,https://deepjyotimedical.base44.app/,5.0,,"296 A.P.C.Road,Rajabazar Crossing,Kol-9, Kolkata, West Bengal 700009","Garpar, Machuabazar",22.5767997,88.3737082,ChIJ66xMl1B2AjoRv8nI596zJQ8,https://www.google.com/maps/place/?q=place_id:ChIJ66xMl1B2AjoRv8nI596zJQ8,part_336,2026-09-20 20:24:42
swasti Ayurveda Clinic | Panchakarma Treatment Centre kolkata,Ayurvedic Pharmacy and Clinic,Alternative medicine practitioner,Alternative medicine practitioner,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 94345 14863,http://www.swastiayurvedaclinic.com/,4.4,,"127/1, Barrackpore Trunk Rd, near Bharat Gas, Dunlop, Saket Nagar, Bonhooghly, Baranagar, West Bengal 700108","Dunlop, Saket Nagar, Bonhooghly, Baranagar",22.650198,88.3789939,ChIJtWrBwLad-DkRIiotimYl0Ow,https://www.google.com/maps/place/?q=place_id:ChIJtWrBwLad-DkRIiotimYl0Ow,part_336,2026-09-20 20:24:42
Anumaya Ayurved Bhavan,Ayurvedic Pharmacy and Clinic,Drug store,Drug store,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 89610 86860,N/A,4.9,,"244, Chittaranjan Ave, Simla, Machuabazar, Kolkata, West Bengal 700006","Simla, Machuabazar",22.5860615,88.36282469999999,ChIJyaSpy0p2AjoRPMxrsKxkoS8,https://www.google.com/maps/place/?q=place_id:ChIJyaSpy0p2AjoRPMxrsKxkoS8,part_336,2026-09-20 20:24:42
Baidyanath Ayurveda Shop,Ayurvedic Pharmacy and Clinic,Herb shop,Herb shop,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 98318 69549,http://www.baidyanath.com/,3.9,,"114A, Karl Marx Sarani Rd, Khidderpore, Kidderpore, Kolkata, West Bengal 700023","Khidderpore, Kidderpore",22.5389621,88.3200511,ChIJdb52ouB5AjoR3UfHzs4sgwY,https://www.google.com/maps/place/?q=place_id:ChIJdb52ouB5AjoR3UfHzs4sgwY,part_336,2026-09-20 20:24:42
MedPlus Tobin Road,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 76050 97651,https://www.medplusmart.com/,3.6,,"No 1411, Baghajatin Rd, Sarat Kanan Pally, Nainan Para, Baranagar, West Bengal 700036","Sarat Kanan Pally, Nainan Para, Baranagar",22.6383053,88.3756933,ChIJIxEwxLyd-DkR95ncknU9USA,https://www.google.com/maps/place/?q=place_id:ChIJIxEwxLyd-DkR95ncknU9USA,part_336,2026-09-20 20:24:42
MedPlus Baranagar Narendra Nath Vidhyalaya,Ayurvedic Pharmacy and Clinic,Pharmacy,"Pharmacy, General store, Medical supply store, Sports nutrition store, Vitamin & supplements store",743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 76050 97652,https://www.medplusmart.com/,3.9,,"56, 8, Kashi Nath Dutta Rd, Satchasi Para, Kolkata, West Bengal 700036",Satchasi Para,22.632251,88.372957,ChIJr5J4Hped-DkRFctXKsU67kk,https://www.google.com/maps/place/?q=place_id:ChIJr5J4Hped-DkRFctXKsU67kk,part_336,2026-09-20 20:24:42
S K Pharma,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 33 2416 5264,N/A,4.1,,"KMC Premises Number -142/1 142 Santoshpur Avenue Survey Park, 1, Santoshpur Ave, Adipally, Santoshpur, Kolkata, West Bengal 700075","Adipally, Santoshpur",22.4925322,88.3876128,ChIJMQU5_WlxAjoRG--dwkL_5tI,https://www.google.com/maps/place/?q=place_id:ChIJMQU5_WlxAjoRG--dwkL_5tI,part_336,2026-09-20 20:24:42
MedPlus Gopal Lal Thakur Road,Ayurvedic Pharmacy and Clinic,Pharmacy,"Pharmacy, General store, Medical supply store, Sports nutrition store, Vitamin & supplements store",743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 76050 97680,https://www.medplusmart.com/,3.8,,"No 975, Holding, 271/G/1, Gopal Lal Tagore Rd, Barada Basak Street, Baranagar, Bankura, Baranagar, West Bengal 700036","Barada Basak Street, Baranagar",22.636842299999998,88.3727548,ChIJZ6TeN72d-DkRYPak1thaHEE,https://www.google.com/maps/place/?q=place_id:ChIJZ6TeN72d-DkRYPak1thaHEE,part_336,2026-09-20 20:24:42
Medplus Baranagar Main Road,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 76050 97657,https://www.medplusmart.com/,3.6,,"5/1/E, Deshbandhu Rd, U B Colony, Ashokgarh, Baranagar, West Bengal 700035","U B Colony, Ashokgarh",22.6460319,88.3731504,ChIJWQJntrqd-DkR4pRIhG5ArQ4,https://www.google.com/maps/place/?q=place_id:ChIJWQJntrqd-DkR4pRIhG5ArQ4,part_336,2026-09-20 20:24:42
MedPlus Rp Dev Road Dakshineswar,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 63027 23578,https://www.medplusmart.com/,4.2,,"Holding No. 490, 5B, Domestic Area, May Dibas Pally, Ward Number 14, Kolkata, West Bengal 700035","Domestic Area, May Dibas Pally, Ward Number 14",22.655162,88.36240869999999,ChIJhUb5N1Gd-DkRn7103tJt_J4,https://www.google.com/maps/place/?q=place_id:ChIJhUb5N1Gd-DkRn7103tJt_J4,part_336,2026-09-20 20:24:42
Ayusya Ayurvedic Superspeciality Treatment Centre - Gariahat,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Alternative Medicine Clinic, Alternative medicine practitioner, Herbalist, Holistic medicine practitioner, Massage therapist, Pain management physician",743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 98315 52258,https://ayusyaayurveda.com/,4.3,,"Ground Floor, 7, Suren Tagore Rd, Falguni Sangha, Ekdalia, Gariahat, Kolkata, West Bengal 700019","Falguni Sangha, Ekdalia, Gariahat",22.5220961,88.3659571,ChIJW9HWTdF2AjoRCetXj8SPfbo,https://www.google.com/maps/place/?q=place_id:ChIJW9HWTdF2AjoRCetXj8SPfbo,part_336,2026-09-20 20:24:43
Naturoveda Health World - Elgin Road,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Alternative medicine practitioner, Diabetes center, Health and beauty shop, Health consultant, Herbal medicine store, Medical Center, Naturopathic practitioner, Skin care clinic, Wellness center",743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 33 4040 1212,https://www.naturoveda.com/,4.5,,"1A, Ashutosh Mukherjee Road, Elgin Rd, opposite P.C. Chandra, Gaza Park, Diagonally, Bhowanipore, Kolkata, West Bengal 700020","Gaza Park, Diagonally, Bhowanipore",22.537840199999998,88.3470644,ChIJtWTTQz53AjoRC8voCF7Yvp0,https://www.google.com/maps/place/?q=place_id:ChIJtWTTQz53AjoRC8voCF7Yvp0,part_336,2026-09-20 20:24:43
"Arogya Ayurveda Panchakarma Center Pvt Ltd in Tollygunge, Kolkata",Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Aromatherapy class, Massage therapist, Physiotherapist, Spa, Wellness center",743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 84978 03155,https://wellnessoffivesenses.in/tollygunge/,4.9,,"12/1M/1, Chanditala Lane, Regent Park, 12B/1M/1, Chanditala Ln, Ashok Nagar, Tollygunge, Kolkata, West Bengal 700040","Ashok Nagar, Tollygunge",22.488419699999998,88.34799799999999,ChIJHX8wawBxAjoRVVRqtOnWq_s,https://www.google.com/maps/place/?q=place_id:ChIJHX8wawBxAjoRVVRqtOnWq_s,part_336,2026-09-20 20:24:43
Ayurved Treatment Centre,Ayurvedic Pharmacy and Clinic,Herbal medicine store,Herbal medicine store,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 98316 25191,N/A,5.0,,"265, Rabindra Sarani, Ganesh Talkies, Bara Bazar, Jorabagan, Kolkata, West Bengal 700007","Ganesh Talkies, Bara Bazar, Jorabagan",22.5858848,88.35811609999999,ChIJ-dv_4LV3AjoRfa8C-Ok7oXw,https://www.google.com/maps/place/?q=place_id:ChIJ-dv_4LV3AjoRfa8C-Ok7oXw,part_336,2026-09-20 20:24:43
"Ayurishi Nature Care & Cure - Arthritis, Spondylitis, Piles, Diabetes , Ayurvedic Doctor",Ayurvedic Pharmacy and Clinic,Alternative medicine practitioner,"Alternative medicine practitioner, Doctor",743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 99035 95252,https://www.ayurishi.in/,5.0,,"KMC ward - 093, p. s. lake, 22/287 Jodhpur Garden, p. o, Lake Gardens, Kolkata, West Bengal 700045","p. o, Lake Gardens",22.5035959,88.3624368,ChIJc1vgW31xAjoR9bf_M70O-f8,https://www.google.com/maps/place/?q=place_id:ChIJc1vgW31xAjoR9bf_M70O-f8,part_336,2026-09-20 20:24:43
Dr. K. M. Saifullah,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Alternative medicine practitioner, Diabetologist, Fertility physician, Health consultant, Pain control clinic, Pain management physician, Sexologist",743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 33 4040 1212,https://naturoveda.com/,4.9,,"1 Suhrawardy Avenue, Park Circus, 7-Point Crossing, Naturoveda, Kolkata, West Bengal 700017","Naturoveda, Beniapukur",22.5437387,88.3664692,ChIJ15f5ZDR3AjoRQwtIPiCYR3o,https://www.google.com/maps/place/?q=place_id:ChIJ15f5ZDR3AjoRQwtIPiCYR3o,part_336,2026-09-20 20:24:43
AAYURA AYURVEDIC HEALTHCARE,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 85971 24603,N/A,5.0,1.0,"FD - 353, FD Block, Sector 3, Bidhannagar, Kolkata, West Bengal 700106","FD Block, Sector 3, Bidhannagar",22.582684099999998,88.41398,ChIJi1p0Jfl1AjoRHQVq-vkbiX8,https://www.google.com/maps/place/?q=place_id:ChIJi1p0Jfl1AjoRHQVq-vkbiX8,part_336,2026-09-20 20:24:43
D-FENIL & CO.,Ayurvedic Pharmacy and Clinic,Manufacturer,"Manufacturer, Herbal medicine store, Pharmaceutical company",743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",N/A,N/A,5.0,,"215/1, S. N. Roy Road, Mandir Kolkata-38, near Buroshivtala, Kolkata, West Bengal 700038","Sahapur, New Alipore",22.5067971,88.3313909,ChIJk56hUq5wAjoRXlVO93rJxSM,https://www.google.com/maps/place/?q=place_id:ChIJk56hUq5wAjoRXlVO93rJxSM,part_336,2026-09-20 20:24:44
Sangeeta Medico,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 33 2449 9112,N/A,4.6,,"10b, Gopalnagar Rd, Alipore, Kolkata, West Bengal 700027",Alipore,22.523027199999998,88.3374508,ChIJe6yzIVN2AjoRkXk5426_v9A,https://www.google.com/maps/place/?q=place_id:ChIJe6yzIVN2AjoRkXk5426_v9A,part_336,2026-09-20 20:24:44
Shifa Dawakhana,Ayurvedic Pharmacy and Clinic,Alternative medicine practitioner,"Alternative medicine practitioner, Perfume store",743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 98744 06307,N/A,5.0,,"117, Collin St, Janbazar, Park Street area, Kolkata, West Bengal 700016","Janbazar, Park Street area",22.5583273,88.3570577,ChIJz_D8owZ3AjoRZHpnXAiEuZE,https://www.google.com/maps/place/?q=place_id:ChIJz_D8owZ3AjoRZHpnXAiEuZE,part_336,2026-09-20 20:24:44
