business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ORNATE - Thefashionloft,Boutiques,Boutique,Boutique,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 99032 09022,N/A,4.9,,"P-171, CIT Rd Scheme 6M, Kadapara, Phoolbagan, Kankurgachi, Kolkata, West Bengal 700054","Kadapara, Phoolbagan, Kankurgachi",22.577094,88.39093439999999,ChIJbUV-emV2AjoRcjr4KDkhIkE,https://www.google.com/maps/place/?q=place_id:ChIJbUV-emV2AjoRcjr4KDkhIkE,part_336,2026-09-20 20:24:41
The wardrobe boutique,Boutiques,Clothing store,Clothing store,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 82409 20282,N/A,5.0,,"50/A, Basunagar, Madhyamgram, Kolkata, West Bengal 700129","Basunagar, Madhyamgram",22.6979909,88.4642322,ChIJV1kXBACf-DkR8VO5xdB9Htg,https://www.google.com/maps/place/?q=place_id:ChIJV1kXBACf-DkR8VO5xdB9Htg,part_336,2026-09-20 20:24:41
Shoi Boutique – Designer Clothing & Bridal Boutique,Boutiques,Boutique,"Boutique, Fashion designer, Gents Tailor, Tailor, Women's clothing store",743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 98303 22904,https://www.instagram.com/shoiboutiqueofficial?utm_source=qr&igsh=MWdxdzZrdXJ4eG52dw==,4.8,,"Nursing Home, 113A, Manohar Pukur Rd, beside Microlap, Manoharpukur, Kalighat, Kolkata, West Bengal 700026","Manoharpukur, Kalighat",22.5199505,88.3504103,ChIJl3PHHVx3AjoRup6vPuAm8-U,https://www.google.com/maps/place/?q=place_id:ChIJl3PHHVx3AjoRup6vPuAm8-U,part_336,2026-09-20 20:24:41
NEETU JALAN The Designer studio,Boutiques,Boutique,Boutique,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 96814 00400,http://www.neetujalan.com/,4.3,,"68, R.K Chatterjee Road Rashbehari Connector, Kasba-Bakultala 2nd Floor, Kolkata, West Bengal 700042","Bosepukur, Kasba",22.5187027,88.3801771,ChIJr0mLurR2AjoRhH0Yrf6LX6Y,https://www.google.com/maps/place/?q=place_id:ChIJr0mLurR2AjoRhH0Yrf6LX6Y,part_336,2026-09-20 20:24:41
Toiri Handmade Fashion,Boutiques,Boutique,Boutique,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 82768 45817,https://www.toiri.in/,4.7,,"Chittaranjan Colony, Hindu Vidyapith, Desh Bandhu Nagar, Baguiati, Kolkata, West Bengal 700059","Desh Bandhu Nagar, Baguiati",22.615949,88.4259423,ChIJv6T_XMaf-DkR30tSD_szmhM,https://www.google.com/maps/place/?q=place_id:ChIJv6T_XMaf-DkR30tSD_szmhM,part_336,2026-09-20 20:24:42
Avantika's Boutique,Boutiques,Boutique,Boutique,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",N/A,N/A,5.0,,"127, Rastraguru Ave, Clive House, Ramgarh, Dum Dum, South Dumdum, Kolkata, West Bengal 700028","Clive House, Ramgarh, Dum Dum",22.626969199999998,88.41666359999999,ChIJgeGS2Umf-DkRLbDceERqcTw,https://www.google.com/maps/place/?q=place_id:ChIJgeGS2Umf-DkRLbDceERqcTw,part_336,2026-09-20 20:24:42
Boutique Fashion,Boutiques,Boutique,Boutique,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 83348 16333,https://boutiquefashion.shop/,5.0,29.0,"1st Floor, Juthika Apartment, A1, 409, Garia Station Rd, Garia, Kolkata, West Bengal 700084","Garia Place, Garia",22.4632795,88.3827629,ChIJD9JHlylxAjoR5zHQX_yCurk,https://www.google.com/maps/place/?q=place_id:ChIJD9JHlylxAjoR5zHQX_yCurk,part_336,2026-09-20 20:24:43
DRESSTINATION BOUTIQUE HOUSE,Boutiques,Housing development,Housing development,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",N/A,N/A,,,"CF8C+7M9, Jamalhati, West Bengal 743613",743613,22.415650799999998,88.47174249999999,ChIJfQ85IgBtAjoR70nc0U6cJ08,https://www.google.com/maps/place/?q=place_id:ChIJfQ85IgBtAjoR70nc0U6cJ08,part_336,2026-09-20 20:24:43
Aishani Boutique,Boutiques,Clothing store,Clothing store,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 94331 63370,N/A,4.8,17.0,"Tipurasunduri Apparment, Mahamaya Mandir Rd, Mahamaya Tala, Garia, Rajpur Sonarpur, West Bengal 700084","Mahamaya Tala, Garia",22.454675299999998,88.3889387,ChIJj-EK765xAjoR3lsECGtjl0M,https://www.google.com/maps/place/?q=place_id:ChIJj-EK765xAjoR3lsECGtjl0M,part_336,2026-09-20 20:24:43
Sadipa Shilpa kutir,Boutiques,Boutique,Boutique,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 86174 23292,https://sadipa.in/,3.6,,"Italgacha Rd, Radha Nagar, Arabinda Sarani, Rajbari, Dum Dum, Kolkata, West Bengal 700028","Radha Nagar, Arabinda Sarani, Rajbari, Dum Dum",22.643337499999998,88.42669649999999,ChIJV79NZvOf-DkR1j1LaJA2DJw,https://www.google.com/maps/place/?q=place_id:ChIJV79NZvOf-DkR1j1LaJA2DJw,part_336,2026-09-20 20:24:43
