business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Anish Bhagat,Hostels,Backpacker Hostel,Backpacker Hostel,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",N/A,N/A,,,"CFR9+G79, Gopal Pur, West Bengal 700150",743613,22.4412916,88.46824289999999,ChIJ3frmHwBzAjoR2tYU8pLAoW0,https://www.google.com/maps/place/?q=place_id:ChIJ3frmHwBzAjoR2tYU8pLAoW0,part_336,2026-09-20 20:24:59
Freedom mess,Hostels,Backpacker Hostel,Backpacker Hostel,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",N/A,N/A,,,"CF2H+RWC, J N Bose Rd, Champahati, South Garia, West Bengal 743613",Champahati,22.4020662,88.47976419999999,ChIJa94FCdUTAjoRwcC9T3oXzBM,https://www.google.com/maps/place/?q=place_id:ChIJa94FCdUTAjoRwcC9T3oXzBM,part_336,2026-09-20 20:24:59
Gurukulam Hostels,Hostels,Student dormitory,Student dormitory,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 81001 15089,https://gurukulamhostels.in/,4.8,25.0,"RA 19, Chingrighata, Salt Lake Bypass, Sector IV, Kolkata, West Bengal 700107","Milan Nagar, Nabapally, Sector IV, Bidhannagar",22.5577881,88.4136156,ChIJpRFvJip1AjoRP5x_ZDCk_3U,https://www.google.com/maps/place/?q=place_id:ChIJpRFvJip1AjoRP5x_ZDCk_3U,part_336,2026-09-20 20:25:00
White Pebble Hostel,Hostels,Backpacker Hostel,Backpacker Hostel,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",N/A,N/A,4.3,107.0,"CC-50, Dipsa Co-operative, cc-50, Street Number 241, CC Block(Newtown), Action Area I, Newtown, West Bengal 700107","CC Block(Newtown), Action Area I, Newtown",22.5753329,88.4689281,ChIJcfmInSJ1AjoRMLKVzAsRMoo,https://www.google.com/maps/place/?q=place_id:ChIJcfmInSJ1AjoRMLKVzAsRMoo,part_336,2026-09-20 20:25:00
Alaka Mess - The Students Heaven,Hostels,Student housing center,"Student housing center, Backpacker Hostel",743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 72789 92517,http://thestudentsheaven.wordpress.com/,4.8,104.0,"9, Nilgunj Rd, Adarsha Pally, Belghoria, Kolkata, West Bengal 700056","Adarsha Pally, Belghoria",22.665074,88.37934159999999,ChIJj8NnZvmd-DkRI9VsGe8DPa4,https://www.google.com/maps/place/?q=place_id:ChIJj8NnZvmd-DkRI9VsGe8DPa4,part_336,2026-09-20 20:25:00
Poddar Chhatra Niwas,Hostels,Boys' hostel,"Boys' hostel, Backpacker Hostel",743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 33 2241 1148,N/A,4.3,401.0,"150, Chittaranjan Ave, Raja Katra, College Street Market, College Street, Kolkata, West Bengal 700007","Raja Katra, College Street Market, College Street",22.5796186,88.3612055,ChIJe6yzIVN2AjoRGW_K5qMlxvs,https://www.google.com/maps/place/?q=place_id:ChIJe6yzIVN2AjoRGW_K5qMlxvs,part_336,2026-09-20 20:25:00
swastik pg,Hostels,Student dormitory,"Student dormitory, Boarding house, Boys' hostel, Furnished apartment building, Girls' hostel, Guest house, Inn, Home Stay, Student housing center",743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 70592 46668,https://swastikpgkolkata.com/,4.9,94.0,"3, Heysham Row, Sreepally, Bhowanipore, Kolkata, West Bengal 700020","Sreepally, Bhowanipore",22.5361808,88.3505505,ChIJ623XUf93AjoRcKf4gGI6SLo,https://www.google.com/maps/place/?q=place_id:ChIJ623XUf93AjoRcKf4gGI6SLo,part_336,2026-09-20 20:25:00
backpackers park,Hostels,Backpacker Hostel,"Backpacker Hostel, Hotel",743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 98300 66663,N/A,3.8,567.0,"Karnani Mansion, 47, Park St, Taltala, Kolkata, West Bengal 700016",Taltala,22.5528947,88.3529544,ChIJW5ejb4d3AjoRKMMpxoF7di0,https://www.google.com/maps/place/?q=place_id:ChIJW5ejb4d3AjoRKMMpxoF7di0,part_336,2026-09-20 20:25:00
Social Safari Hostel,Hostels,Backpacker Hostel,Backpacker Hostel,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 89271 57133,N/A,2.7,25.0,"appt. no 19 & 20, Karnani Mansion, 47, Park St, Taltala, Kolkata, West Bengal 700016",Taltala,22.553337,88.3525696,ChIJjQy6IuF3AjoRbmSl46pfgjc,https://www.google.com/maps/place/?q=place_id:ChIJjQy6IuF3AjoRbmSl46pfgjc,part_336,2026-09-20 20:25:00
Seven Stars Mess,Hostels,Student dormitory,Student dormitory,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",N/A,N/A,4.4,63.0,"FC85+3HP, Nabagram, Panchpota, Rajpur Sonarpur, West Bengal 700152","Nabagram, Panchpota",22.465220499999997,88.4089448,ChIJN_--si1yAjoRzSXZRGGSrXU,https://www.google.com/maps/place/?q=place_id:ChIJN_--si1yAjoRzSXZRGGSrXU,part_336,2026-09-20 20:25:00
Dipak Paul Mess,Hostels,Boys' hostel,Boys' hostel,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 70442 75241,http://dipakpaulmess.free.nf/,4.3,,"116/4, M C Garden Road(CRP camp, 3rd lane, Dum Dum, jn Kolkata=700030, West Bengal 700030","Jheel Bagan, Dum Dum",22.6228895,88.3952437,ChIJ2cOAOfud-DkRTxCHjnUZCVU,https://www.google.com/maps/place/?q=place_id:ChIJ2cOAOfud-DkRTxCHjnUZCVU,part_336,2026-09-20 20:25:01
Nopany House,Hostels,Student dormitory,"Student dormitory, Lodging",743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 70036 55765,N/A,3.9,,"Nopany House, NP- 303, Salt Lake Bypass, Nayapatty, AP Block, Sector V, Bidhannagar, Kolkata, West Bengal 700102","Nayapatty, AP Block, Sector V, Bidhannagar",22.582710199999998,88.43876689999999,ChIJdwjIJaF1AjoRdWaOLQm4DeA,https://www.google.com/maps/place/?q=place_id:ChIJdwjIJaF1AjoRdWaOLQm4DeA,part_336,2026-09-20 20:25:01
Labannya Prova Ladies Hostel,Hostels,Working women's hostel,Working women's hostel,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 98367 52954,N/A,3.8,,"54, M.C Garden Road, Puba Sinthee, Jn, Dum Dum, Kolkata, West Bengal 700030","Puba Sinthee, Jn, Dum Dum",22.6257521,88.3940676,ChIJBUdwXK-d-DkRvdEaSQy14Fk,https://www.google.com/maps/place/?q=place_id:ChIJBUdwXK-d-DkRvdEaSQy14Fk,part_336,2026-09-20 20:25:01
SG Hostel,Hostels,Girls' hostel,"Girls' hostel, Boys' hostel",743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 62893 79232,N/A,4.1,,"214, Dum Dum Rd, Ghosh Para, Dum Dum, Kolkata, West Bengal 700074","Ghosh Para, Dum Dum",22.621522199999998,88.4004446,ChIJw_AoJq6f-DkRa9VOUl3VlV4,https://www.google.com/maps/place/?q=place_id:ChIJw_AoJq6f-DkRa9VOUl3VlV4,part_336,2026-09-20 20:25:01
Jadavpur ladies PG / Mess,Hostels,Girls' hostel,"Girls' hostel, Working women's hostel",743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 81708 74283,N/A,4.1,,"17/D, Friends Row, Bhattacharjee Para, Jadavpur, Kolkata, West Bengal 700075","Bhattacharjee Para, Jadavpur",22.4967383,88.37729639999999,ChIJiT8ZzPdxAjoRvMC-vwQPwRI,https://www.google.com/maps/place/?q=place_id:ChIJiT8ZzPdxAjoRvMC-vwQPwRI,part_336,2026-09-20 20:25:01
Ahmeds Enterprise,Hostels,Hotel supply store,"Hotel supply store, Corporate gift supplier, Glassware wholesaler, Manufacturer",743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 82404 68682,https://hotelware.store/,4.6,,"30, Brabourne Rd, Murgighata, Barabazar Market, Kolkata, West Bengal 700001","Murgighata, Barabazar Market",22.5764274,88.35222859999999,ChIJu6sFmLp3AjoR5NbrdkaYtww,https://www.google.com/maps/place/?q=place_id:ChIJu6sFmLp3AjoR5NbrdkaYtww,part_336,2026-09-20 20:25:01
