business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SPANDAN,Shops,Dairy store,"Dairy store, General store",743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 98360 12472,N/A,4.0,2.0,"Garia, Champahati, South Garia, West Bengal 743613","Garia, Champahati",22.4000387,88.4775762,ChIJawN67kptAjoRzeuA_JYIKjw,https://www.google.com/maps/place/?q=place_id:ChIJawN67kptAjoRzeuA_JYIKjw,part_336,2026-09-20 20:25:19
Proyojani Varieties Stores,Shops,Grocery store,Grocery store,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 81675 11455,N/A,,,"Ghoshpur Road, South Garia, Ghoshpur Baora, West Bengal 743613",743613,22.393718,88.4779531,ChIJhWE6CgATAjoRct4aAD4bZ0c,https://www.google.com/maps/place/?q=place_id:ChIJhWE6CgATAjoRct4aAD4bZ0c,part_336,2026-09-20 20:25:19
Gunjan Enterprise,Shops,Stationery store,Stationery store,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",N/A,N/A,5.0,1.0,"Post Office Rd, Paschim para, Ps, South Garia, Baruipur, West Bengal 743613","Paschim para, Ps",22.4015503,88.4704086,ChIJq5P9qNltAjoRCX7lk5YnuAg,https://www.google.com/maps/place/?q=place_id:ChIJq5P9qNltAjoRCX7lk5YnuAg,part_336,2026-09-20 20:25:19
"Fair Price Shop, Swapan Kumar Mondal",Shops,Government ration shop,Government ration shop,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",N/A,N/A,5.0,1.0,"CF5F+WRH, Bhanta, West Bengal 743613",743613,22.4098111,88.47462879999999,ChIJ5W9xTQBtAjoRZKAbmDm3OaM,https://www.google.com/maps/place/?q=place_id:ChIJ5W9xTQBtAjoRZKAbmDm3OaM,part_336,2026-09-20 20:25:19
Annapurna Chaul Bhandar,Shops,Dairy store,"Dairy store, Store",743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 80139 83310,N/A,5.0,2.0,"Garia, South Garia, West Bengal 743613",Garia,22.4003257,88.4774899,ChIJX8_RBgBtAjoRi5AId8Bcm7A,https://www.google.com/maps/place/?q=place_id:ChIJX8_RBgBtAjoRi5AId8Bcm7A,part_336,2026-09-20 20:25:19
RANJANA TELECOM SHOP,Shops,Cell phone store,Cell phone store,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 89727 37762,N/A,4.0,5.0,"SOUTH GARIA KHARUPATALIA SOUTH GARIA, Gazi Para Rd, Kolkata, West Bengal 743613",743613,22.402925699999997,88.4797991,ChIJtZwuw14TAjoRWy72lWtcHkA,https://www.google.com/maps/place/?q=place_id:ChIJtZwuw14TAjoRWy72lWtcHkA,part_336,2026-09-20 20:25:19
Biswas Store,Shops,General store,General store,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 97330 55283,N/A,4.8,4.0,"South Garia, Kolkata, West Bengal 743613",743613,22.4028207,88.46731899999999,ChIJNzE2lDltAjoR_es3OLfwAWc,https://www.google.com/maps/place/?q=place_id:ChIJNzE2lDltAjoR_es3OLfwAWc,part_336,2026-09-20 20:25:19
ঊষা Store,Shops,Grocery store,Grocery store,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",N/A,N/A,,,"CF2M+MHJ, Champahati, South Garia, West Bengal 743613",Champahati,22.4016441,88.48392679999999,ChIJ8037icwTAjoRW6v2Az7PMbU,https://www.google.com/maps/place/?q=place_id:ChIJ8037icwTAjoRW6v2Az7PMbU,part_336,2026-09-20 20:25:19
Sumon Shop,Shops,Grocery store,Grocery store,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 93825 71443,N/A,,,"South, South Garia, West Bengal 743613",743613,22.4047332,88.4763225,ChIJQVqLBU9tAjoRRYuzLueuGlU,https://www.google.com/maps/place/?q=place_id:ChIJQVqLBU9tAjoRRYuzLueuGlU,part_336,2026-09-20 20:25:19
দাদাভাই গার্মেন্টস্ DadaBhai Garments,Shops,Clothing store,Clothing store,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 97494 22820,N/A,5.0,,"Tematha, Kalikapur Rd, Chakbaria, Sonarpur, West Bengal 743330",Chakbaria,22.4240072,88.5049253,ChIJ7-NK6HwNAjoRWaGeJKkT0LI,https://www.google.com/maps/place/?q=place_id:ChIJ7-NK6HwNAjoRWaGeJKkT0LI,part_336,2026-09-20 20:25:19
Bazi Market Sri Krishna traders,Shops,Market,Market,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",N/A,N/A,4.3,,"Baze Haral Road, Champahati, Haral, Naridana, West Bengal 743330",Champahati,22.391444999999997,88.48683,ChIJtRIL184SAjoR-VyxCkaPK1o,https://www.google.com/maps/place/?q=place_id:ChIJtRIL184SAjoR-VyxCkaPK1o,part_336,2026-09-20 20:25:19
Mondal Guro Masala (Suvendu Mondal),Shops,Spice store,Spice store,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",N/A,N/A,4.9,,"CF3R+JW6, Champahati, Sahebpur, West Bengal 743330",Champahati,22.4040346,88.4922636,ChIJ11vNY7kSAjoR50fZKlOv4Ko,https://www.google.com/maps/place/?q=place_id:ChIJ11vNY7kSAjoR50fZKlOv4Ko,part_336,2026-09-20 20:25:19
Chandimata Industries,Shops,Appliance store,"Appliance store, Store",743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",N/A,N/A,4.2,,"Solohaliya, Solgohalia, West Bengal 743330",743613,22.3882504,88.49236259999999,ChIJhYFj68QSAjoRsQMR_zEHHCk,https://www.google.com/maps/place/?q=place_id:ChIJhYFj68QSAjoRsQMR_zEHHCk,part_336,2026-09-20 20:25:19
THE STYLE EDIT,Shops,Clothing store,Clothing store,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 90880 44365,N/A,5.0,,"1st Floor, Kalikapur Station Rd, near Kalikapur, Railgate, Kalikapur, Benebou, West Bengal 743613",Railgate,22.412220899999998,88.47470919999999,ChIJ2SQRTq9tAjoRRgH1cTDT-Ek,https://www.google.com/maps/place/?q=place_id:ChIJ2SQRTq9tAjoRRgH1cTDT-Ek,part_336,2026-09-20 20:25:19
TAPASI TRADERS,Shops,Fireworks store,Fireworks store,743613,West Bengal Circle,Kolkata Region,South Presidency Division,"South Garia SO, Beniabow BO",+91 95632 87175,N/A,5.0,,"Baze Haral Road, Champahati, BAZAR, Haral, Naridana, West Bengal 743330","Champahati, BAZAR",22.390920899999998,88.48766359999999,ChIJ81pkaGQTAjoR2etD0rleqrw,https://www.google.com/maps/place/?q=place_id:ChIJ81pkaGQTAjoR2etD0rleqrw,part_336,2026-09-20 20:25:19
