business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Friends Gents Purlour,Beauty Parlour,Hair removal service,Hair removal service,743702,West Bengal Circle,Kolkata Region,Barasat Division,"Rajibpur SO, Balisa Chowmatha BO, Dogachia BO",+91 84818 09278,N/A,4.6,,"RHF4+CWV, Rajibpur, West Bengal 743702",743702,22.8236125,88.5573087,ChIJuxqqaV-7-DkRmJsWQL-RKbk,https://www.google.com/maps/place/?q=place_id:ChIJuxqqaV-7-DkRmJsWQL-RKbk,part_336,2026-09-20 20:26:26
Sp glam salon(saptoshi saha),Beauty Parlour,Beauty Parlour,Beauty Parlour,743702,West Bengal Circle,Kolkata Region,Barasat Division,"Rajibpur SO, Balisa Chowmatha BO, Dogachia BO",+91 76795 51267,N/A,4.7,,"Sp glam salon, Bira, Joypul, West Bengal 743234",Bira,22.7833546,88.5734421,ChIJI6m7hNyl-DkRkb7Y2qAa0XA,https://www.google.com/maps/place/?q=place_id:ChIJI6m7hNyl-DkRkb7Y2qAa0XA,part_336,2026-09-20 20:26:26
Saathi Makeup Artist Beauty Parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,743702,West Bengal Circle,Kolkata Region,Barasat Division,"Rajibpur SO, Balisa Chowmatha BO, Dogachia BO",+91 96091 10039,N/A,,,"6568, Market, Kolkata, Rajibpur, West Bengal 743702",743702,22.8222739,88.5573689,ChIJLTMkTF-7-DkRxsiQFZ1vJ6Q,https://www.google.com/maps/place/?q=place_id:ChIJLTMkTF-7-DkRxsiQFZ1vJ6Q,part_336,2026-09-20 20:26:26
BEAUTY QUEEN LADIES PARLOUR,Beauty Parlour,Health and beauty shop,Health and beauty shop,743702,West Bengal Circle,Kolkata Region,Barasat Division,"Rajibpur SO, Balisa Chowmatha BO, Dogachia BO",+91 90649 66511,N/A,5.0,,"MONDALPARA, near MONDALPARA BUS STAND, Ashoknagar, West Bengal 743711",743702,22.852585299999998,88.5383411,ChIJs-fqOIS9-DkRz-JuYNS0Sf4,https://www.google.com/maps/place/?q=place_id:ChIJs-fqOIS9-DkRz-JuYNS0Sf4,part_336,2026-09-20 20:26:26
Puja's Makeup Studio & Academy \ Puja Ladies Beauty Parlour & Cosmetic Stores,Beauty Parlour,Make-up artist,Make-up artist,743702,West Bengal Circle,Kolkata Region,Barasat Division,"Rajibpur SO, Balisa Chowmatha BO, Dogachia BO",+91 97349 62626,N/A,1.0,,"Awalsiddhi, Jirat Bazar Po, Ps, Hisabi, Amdanga, West Bengal 743221",743702,22.8566909,88.5349341,ChIJIXbDMNS9-DkRGDTJONFn2hk,https://www.google.com/maps/place/?q=place_id:ChIJIXbDMNS9-DkRGDTJONFn2hk,part_336,2026-09-20 20:26:26
Rupsingaar Spa Ladies Beauty Parlor,Beauty Parlour,Beauty Parlour,Beauty Parlour,743702,West Bengal Circle,Kolkata Region,Barasat Division,"Rajibpur SO, Balisa Chowmatha BO, Dogachia BO",+91 97758 35148,N/A,,,"5565, Market, Kolkata, Jirat, West Bengal 743221",743702,22.857194,88.5301728,ChIJBXbOZlm8-DkR6gii5yESnCA,https://www.google.com/maps/place/?q=place_id:ChIJBXbOZlm8-DkR6gii5yESnCA,part_336,2026-09-20 20:26:26
MAYA SPA & SALON ACADEMY,Beauty Parlour,Beauty Parlour,Beauty Parlour,743702,West Bengal Circle,Kolkata Region,Barasat Division,"Rajibpur SO, Balisa Chowmatha BO, Dogachia BO",N/A,N/A,,,"Battala, Duttapukur, Gangapur, West Bengal 743248","Battala, Duttapukur",22.7830503,88.5396131,ChIJjeSiq-Cj-DkRBUT8zGzsRjs,https://www.google.com/maps/place/?q=place_id:ChIJjeSiq-Cj-DkRBUT8zGzsRjs,part_336,2026-09-20 20:26:26
New Star Saloon,Beauty Parlour,Beauty Parlour,Beauty Parlour,743702,West Bengal Circle,Kolkata Region,Barasat Division,"Rajibpur SO, Balisa Chowmatha BO, Dogachia BO",N/A,N/A,,,"RHG4+7V6, Rajibpur, West Bengal 743702",743702,22.8255236,88.5571978,ChIJ_xNIUFi7-DkRuydncuQ-E9Y,https://www.google.com/maps/place/?q=place_id:ChIJ_xNIUFi7-DkRuydncuQ-E9Y,part_336,2026-09-20 20:26:26
Nibedita Ladies Beauty Parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,743702,West Bengal Circle,Kolkata Region,Barasat Division,"Rajibpur SO, Balisa Chowmatha BO, Dogachia BO",N/A,N/A,,,"RHG4+FHR, Rajibpur, West Bengal 743702",743702,22.8262586,88.5563992,ChIJAVyqaQC9-DkRW9RyXoF4lFs,https://www.google.com/maps/place/?q=place_id:ChIJAVyqaQC9-DkRW9RyXoF4lFs,part_336,2026-09-20 20:26:26
Dev's Salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,743702,West Bengal Circle,Kolkata Region,Barasat Division,"Rajibpur SO, Balisa Chowmatha BO, Dogachia BO",N/A,N/A,,,"RHF4+MX7, Rajibpur, West Bengal 743702",743702,22.8241724,88.55741859999999,ChIJmxvu9iu7-DkRHGp6rPwInDA,https://www.google.com/maps/place/?q=place_id:ChIJmxvu9iu7-DkRHGp6rPwInDA,part_336,2026-09-20 20:26:26
