business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
STYLE BAAZAR HABRA,Malls,Outlet mall,"Outlet mall, Shopping mall",743704,West Bengal Circle,Kolkata Region,Barasat Division,"Guma SO, Prithiba BO",+91 70440 83970,https://stylebaazar.in/,4.8,1043,"Bus Stand, 78, Jessore Rd, near SBI Bank, Habra, West Bengal 743271",743704,22.8423759,88.6567042,ChIJ6wxWHEy1-DkR6G5MdoYIlfk,https://www.google.com/maps/place/?q=place_id:ChIJ6wxWHEy1-DkR6G5MdoYIlfk,part_336,2026-09-20 20:27:34
Megha Fashion,Malls,Shopping mall,Shopping mall,743704,West Bengal Circle,Kolkata Region,Barasat Division,"Guma SO, Prithiba BO",+91 86175 03193,N/A,5.0,13,"hijalpukuria, Vidyasagar Rd, Habra, West Bengal 743271",743704,22.8382774,88.65197649999999,ChIJXeiiMW6x-DkR_l7MtoBOI6Y,https://www.google.com/maps/place/?q=place_id:ChIJXeiiMW6x-DkR_l7MtoBOI6Y,part_336,2026-09-20 20:27:34
Kolkata Mart - Habra,Malls,Shopping mall,Shopping mall,743704,West Bengal Circle,Kolkata Region,Barasat Division,"Guma SO, Prithiba BO",+91 3216 271 222,http://kolkatamart.co.in/,4.0,212,"Jessore Rd, near JANTA MISTHAN, NAGAR UKHARA MORE, BANDAR, Habra, West Bengal 743263",NAGAR UKHARA MORE,22.8442671,88.6599006,ChIJNSaErVuw-DkR_pxvw_Th2mQ,https://www.google.com/maps/place/?q=place_id:ChIJNSaErVuw-DkR_pxvw_Th2mQ,part_336,2026-09-20 20:27:34
Raghava's Gallery,Malls,Outlet mall,Outlet mall,743704,West Bengal Circle,Kolkata Region,Barasat Division,"Guma SO, Prithiba BO",+91 90738 61509,N/A,3.9,388,"Shyam market, Habra, West Bengal 743263",743704,22.843956499999997,88.65919889999999,ChIJCRoAmVuw-DkR81aM0UGwBHE,https://www.google.com/maps/place/?q=place_id:ChIJCRoAmVuw-DkR81aM0UGwBHE,part_336,2026-09-20 20:27:34
Vishal The Family Store,Malls,Shopping mall,Shopping mall,743704,West Bengal Circle,Kolkata Region,Barasat Division,"Guma SO, Prithiba BO",N/A,N/A,3.9,311,"RMV6+Q22, Habra, West Bengal 743263",743704,22.8443853,88.6600165,ChIJ1REcsluw-DkRtTQFCTc_4Lc,https://www.google.com/maps/place/?q=place_id:ChIJ1REcsluw-DkRtTQFCTc_4Lc,part_336,2026-09-20 20:27:34
Kali Market,Malls,Shopping mall,Shopping mall,743704,West Bengal Circle,Kolkata Region,Barasat Division,"Guma SO, Prithiba BO",N/A,N/A,4.1,33,"RMR4+MX7, Station Rd, Habra, West Bengal 743271",743704,22.841649999999998,88.6574203,ChIJGZ7wpFyw-DkRGWzWYUF0TIM,https://www.google.com/maps/place/?q=place_id:ChIJGZ7wpFyw-DkRGWzWYUF0TIM,part_336,2026-09-20 20:27:34
MODERN VARIETIES STORES,Malls,Shopping mall,Shopping mall,743704,West Bengal Circle,Kolkata Region,Barasat Division,"Guma SO, Prithiba BO",+91 78906 06560,N/A,5.0,3,"QHGV+G84, Rautara, West Bengal 743234",743704,22.7762711,88.59332649999999,ChIJQSCWcp2l-DkRXuVu-IMyMM4,https://www.google.com/maps/place/?q=place_id:ChIJQSCWcp2l-DkRXuVu-IMyMM4,part_336,2026-09-20 20:27:34
Azad Bastralay,Malls,Shopping mall,Shopping mall,743704,West Bengal Circle,Kolkata Region,Barasat Division,"Guma SO, Prithiba BO",+91 96474 24642,N/A,3.7,16,"743234, Dariasudi, Lakshmipul, West Bengal 743234",743704,22.7955951,88.593392,ChIJaXpuTdak-DkRZFcbqMgf9eE,https://www.google.com/maps/place/?q=place_id:ChIJaXpuTdak-DkRZFcbqMgf9eE,part_336,2026-09-20 20:27:34
Vishal Mega Mart,Malls,Hypermarket,"Hypermarket, Baby clothing store, Clothing store, Grocery store, T-shirt store, Tuxedo shop",743704,West Bengal Circle,Kolkata Region,Barasat Division,"Guma SO, Prithiba BO",+91 72178 88016,https://stores.vishalmegamart.com/shopping-mart-jyangra-north-24-parganas-30500/home?utm_source=GMB,4.0,6268,"VIP Rd, Sahabagan, Jyangra, Baguiati, Kolkata, West Bengal 700059","Sahabagan, Jyangra, Baguiati",22.6163503,88.4320214,ChIJsVWusIl1AjoRWZL87bNp9oQ,https://www.google.com/maps/place/?q=place_id:ChIJsVWusIl1AjoRWZL87bNp9oQ,part_336,2026-09-20 20:27:35
Vishal Mega Mart,Malls,Hypermarket,Hypermarket,743704,West Bengal Circle,Kolkata Region,Barasat Division,"Guma SO, Prithiba BO",+91 85959 42338,https://stores.vishalmegamart.com/shopping-mart-baghkhal-rishra-32989/home,4.0,375,"Dharmadanga, GT Rd, opposite Reliance Petrol Pump, Baghkhal, Rishra, West Bengal 712248","Baghkhal, Rishra",22.7156506,88.35513809999999,ChIJnWwQ2fyb-DkRwVLPjX_VRCo,https://www.google.com/maps/place/?q=place_id:ChIJnWwQ2fyb-DkRwVLPjX_VRCo,part_336,2026-09-20 20:27:35
