business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
B.N Enterprise,Building Material Supplier,Building materials store,Building materials store,743711,West Bengal Circle,Kolkata Region,Barasat Division,"Suria SO, Beraberi BO, Dariapur BO",+91 98045 09223,N/A,5.0,2.0,"WH5G+QFC, Kachua - Rajberia Rd, Srikrishnapur, West Bengal 743711",743711,22.9094415,88.5761447,ChIJoZPkPwC5-DkRqmc4r6ykzFs,https://www.google.com/maps/place/?q=place_id:ChIJoZPkPwC5-DkRqmc4r6ykzFs,part_336,2026-09-20 20:28:40
SAHA ENTERPRISE,Building Material Supplier,Building materials store,Building materials store,743711,West Bengal Circle,Kolkata Region,Barasat Division,"Suria SO, Beraberi BO, Dariapur BO",N/A,N/A,5.0,8.0,"Gadamara Hat, Dhania, West Bengal 743711",743711,22.901622399999997,88.5388469,ChIJR760Rz2_-DkRtjiacB6hxbg,https://www.google.com/maps/place/?q=place_id:ChIJR760Rz2_-DkRtjiacB6hxbg,part_336,2026-09-20 20:28:40
Ghosh Builders,Building Material Supplier,Building materials store,Building materials store,743711,West Bengal Circle,Kolkata Region,Barasat Division,"Suria SO, Beraberi BO, Dariapur BO",N/A,N/A,5.0,3.0,"Gadamara Bus Stop, 12, National Highway, Gadamarahat, Srikrishnapur, Dhania, West Bengal 743195",Gadamarahat,22.901622399999997,88.53884699999999,ChIJH6yoHQ6_-DkR5-8Qw1lZDEs,https://www.google.com/maps/place/?q=place_id:ChIJH6yoHQ6_-DkR5-8Qw1lZDEs,part_336,2026-09-20 20:28:40
sadhana builders&hardware,Building Material Supplier,Building materials store,Building materials store,743711,West Bengal Circle,Kolkata Region,Barasat Division,"Suria SO, Beraberi BO, Dariapur BO",+91 96142 00088,N/A,4.5,4.0,"WGHR+9VP, Jaguli, West Bengal 743711",743711,22.928474299999998,88.54220029999999,ChIJHwhUrMa--DkR-06TuPj1FPk,https://www.google.com/maps/place/?q=place_id:ChIJHwhUrMa--DkR-06TuPj1FPk,part_336,2026-09-20 20:28:40
গাইন বিল্ডার্স,Building Material Supplier,Building materials store,Building materials store,743711,West Bengal Circle,Kolkata Region,Barasat Division,"Suria SO, Beraberi BO, Dariapur BO",N/A,N/A,5.0,1.0,"VHVW+P74, Pumlia, West Bengal 743272",743711,22.8944141,88.5958979,ChIJKZ-s7hO7-DkRFOWq7ihToF0,https://www.google.com/maps/place/?q=place_id:ChIJKZ-s7hO7-DkRFOWq7ihToF0,part_336,2026-09-20 20:28:40
New Badsha Builders,Building Material Supplier,Building materials supplier,Building materials supplier,743711,West Bengal Circle,Kolkata Region,Barasat Division,"Suria SO, Beraberi BO, Dariapur BO",+91 78905 03427,N/A,5.0,1.0,"Habra to Naihati 73, Road, Naihati, Kolkata, Napara, West Bengal 743711",Naihati,22.8769267,88.47746649999999,ChIJLaXfK1yX-DkRYTISymBcpOw,https://www.google.com/maps/place/?q=place_id:ChIJLaXfK1yX-DkRYTISymBcpOw,part_336,2026-09-20 20:28:40
Moin ostagarer cement godown,Building Material Supplier,Building materials store,Building materials store,743711,West Bengal Circle,Kolkata Region,Barasat Division,"Suria SO, Beraberi BO, Dariapur BO",N/A,N/A,5.0,1.0,"RHRQ+P38, Village-Magurkhali Math Para, P.O, P.S, Sabdalpur, Ashoknagar Kalyangarh, West Bengal 743222","P.O, P.S",22.8417864,88.58770679999999,ChIJrQsJTQC7-DkRE4VdsXcsBn0,https://www.google.com/maps/place/?q=place_id:ChIJrQsJTQC7-DkRE4VdsXcsBn0,part_336,2026-09-20 20:28:40
Ghosh Enterprise,Building Material Supplier,Plumbing supply store,Plumbing supply store,743711,West Bengal Circle,Kolkata Region,Barasat Division,"Suria SO, Beraberi BO, Dariapur BO",N/A,N/A,5.0,6.0,"WG3Q+7QW, Gadamarahat, Amdanga, Dhania, West Bengal 743711",Gadamarahat,22.903027299999998,88.53953589999999,ChIJQQniOgC_-DkRpOSLdX2HLhI,https://www.google.com/maps/place/?q=place_id:ChIJQQniOgC_-DkRpOSLdX2HLhI,part_336,2026-09-20 20:28:40
Builders Taj,Building Material Supplier,Building materials store,Building materials store,743711,West Bengal Circle,Kolkata Region,Barasat Division,"Suria SO, Beraberi BO, Dariapur BO",N/A,N/A,5.0,2.0,"Naihati - Habra Rd, Chandigor, West Bengal 743711",743711,22.866658299999997,88.49598399999999,ChIJJ_GJAvS9-DkRrxrFsvVT7z8,https://www.google.com/maps/place/?q=place_id:ChIJJ_GJAvS9-DkRrxrFsvVT7z8,part_336,2026-09-20 20:28:40
BISWAS IRON,Building Material Supplier,Building materials store,Building materials store,743711,West Bengal Circle,Kolkata Region,Barasat Division,"Suria SO, Beraberi BO, Dariapur BO",N/A,N/A,4.0,1.0,"Rajberiya More, Magurkhali, Rajberia, West Bengal 743222",743711,22.8417049,88.58748949999999,ChIJTXh-ZgC_-DkRTv36w1kdJqA,https://www.google.com/maps/place/?q=place_id:ChIJTXh-ZgC_-DkRTv36w1kdJqA,part_336,2026-09-20 20:28:40
সানমুল কুটির শিল্প,Building Material Supplier,Woodworking supply store,Woodworking supply store,743711,West Bengal Circle,Kolkata Region,Barasat Division,"Suria SO, Beraberi BO, Dariapur BO",N/A,N/A,3.0,2.0,"WH2F+83, Matiagachha, West Bengal 743711",743711,22.9007927,88.5727452,ChIJWbxNewC5-DkRdgucrkdIgjA,https://www.google.com/maps/place/?q=place_id:ChIJWbxNewC5-DkRdgucrkdIgjA,part_336,2026-09-20 20:28:40
আরিয়ান এন্টারপ্রাইস,Building Material Supplier,Building materials supplier,Building materials supplier,743711,West Bengal Circle,Kolkata Region,Barasat Division,"Suria SO, Beraberi BO, Dariapur BO",N/A,N/A,,,"Naihati, Dariapur, West Bengal 743711",Naihati,22.869873899999998,88.50039199999999,ChIJC9suuka9-DkRbat7YffoWgQ,https://www.google.com/maps/place/?q=place_id:ChIJC9suuka9-DkRbat7YffoWgQ,part_336,2026-09-20 20:28:40
Raj Steel,Building Material Supplier,Building materials store,Building materials store,743711,West Bengal Circle,Kolkata Region,Barasat Division,"Suria SO, Beraberi BO, Dariapur BO",+91 89106 04958,N/A,,,"VG4H+4G6 Abalsiddhi, More, Amdanga, Kolkata, West Bengal 743221",743711,22.855288299999998,88.5287608,ChIJ4bo4uFm8-DkR79r6d5j9dN0,https://www.google.com/maps/place/?q=place_id:ChIJ4bo4uFm8-DkR79r6d5j9dN0,part_336,2026-09-20 20:28:40
RAHANA 1 No,Building Material Supplier,Building materials store,Building materials store,743711,West Bengal Circle,Kolkata Region,Barasat Division,"Suria SO, Beraberi BO, Dariapur BO",N/A,N/A,3.5,2.0,"RGJC+QHP, Rahana, West Bengal 743221",743711,22.831957799999998,88.52145689999999,ChIJ1-dPRwC9-DkR5dm1hws9_Nc,https://www.google.com/maps/place/?q=place_id:ChIJ1-dPRwC9-DkR5dm1hws9_Nc,part_336,2026-09-20 20:28:40
Amina Enterprise,Building Material Supplier,Building materials store,Building materials store,743711,West Bengal Circle,Kolkata Region,Barasat Division,"Suria SO, Beraberi BO, Dariapur BO",+91 98007 13417,N/A,,,"VG4J+P3R Abalsiddhi, More, Amdanga, Kolkata, West Bengal 743221",743711,22.856874599999998,88.5301408,ChIJIX7pllm8-DkRvsngA0BAatk,https://www.google.com/maps/place/?q=place_id:ChIJIX7pllm8-DkRvsngA0BAatk,part_336,2026-09-20 20:28:40
