business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Bridge Bar,Bar and Pub,Bar,Bar,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 99320 82433,https://tsgresorts.in/hotel-emerald-view,5.0,91,"25, MA Rd, Phoenix Bay, Sri Vijaya Puram, Andaman and Nicobar Islands 744102",Phoenix Bay,11.6686734,92.7314213,ChIJ0VP5g_yViDARL0YfcsWcA6k,https://www.google.com/maps/place/?q=place_id:ChIJ0VP5g_yViDARL0YfcsWcA6k,part_336,2026-09-20 20:29:12
Drifters Lounge Bar,Bar and Pub,Bar,Bar,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",N/A,N/A,4.0,202,"88, Jawaharlal Nehru Rd, Coast Guard Enclave, Haddo, Sri Vijaya Puram, Andaman and Nicobar Islands 744102","Coast Guard Enclave, Haddo",11.673470499999999,92.7250423,ChIJ7SMA89iViDARDOCtkrLe3BI,https://www.google.com/maps/place/?q=place_id:ChIJ7SMA89iViDARDOCtkrLe3BI,part_336,2026-09-20 20:29:12
PALIKA PALACE BAR & RESTAURENT,Bar and Pub,Bar,Bar,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",N/A,N/A,4.2,13,"Anarkali, Delanipur, Sri Vijaya Puram, Andaman and Nicobar Islands 744102",Delanipur,11.669748799999999,92.72846919999999,ChIJKdISZKCViDARF_t2q1aMuTk,https://www.google.com/maps/place/?q=place_id:ChIJKdISZKCViDARF_t2q1aMuTk,part_336,2026-09-20 20:29:12
Royal Bar,Bar and Pub,Bar,Bar,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",N/A,N/A,4.0,46,"MPCR+56G, Mohanpura, Sri Vijaya Puram, Andaman and Nicobar Islands 744101",Mohanpura,11.670433899999999,92.74056709999999,ChIJQbAg2AqViDARBOUwS-9GFB8,https://www.google.com/maps/place/?q=place_id:ChIJQbAg2AqViDARBOUwS-9GFB8,part_336,2026-09-20 20:29:12
Srilekha Bar & Restaurant,Bar and Pub,Bar,Bar,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",N/A,N/A,4.3,4,"MP9R+QCG, Aberdeen Bazar, Aberdeen, Sri Vijaya Puram, Andaman and Nicobar Islands 744101","Aberdeen Bazar, Aberdeen",11.6694146,92.7410044,ChIJq7CugkiViDARDSo5Wbc7p2s,https://www.google.com/maps/place/?q=place_id:ChIJq7CugkiViDARDSo5Wbc7p2s,part_336,2026-09-20 20:29:12
Alto Espirito - Sinclairs,Bar and Pub,Bar,"Bar, Restaurant",744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 3192 227 937,http://www.sinclairshotels.com/portblair-dining,4.1,190,"Hotel Sinclairs Bayview, Corbyns Cove Rd, South Point, Shadipur, Sri Vijaya Puram, Andaman and Nicobar Islands 744106","South Point, Shadipur",11.66399,92.7556646,ChIJlQq0YRaViDARZ_FayHAWGRg,https://www.google.com/maps/place/?q=place_id:ChIJlQq0YRaViDARZ_FayHAWGRg,part_336,2026-09-20 20:29:12
GMS Bar and Restaurant,Bar and Pub,Bar,Bar,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",N/A,N/A,5.0,2,"MPCJ+C9H, Delanipur, Sri Vijaya Puram, Andaman and Nicobar Islands 744102",Delanipur,11.6711419,92.7309629,ChIJLcA8d_aViDARxri5kLcBrhk,https://www.google.com/maps/place/?q=place_id:ChIJLcA8d_aViDARxri5kLcBrhk,part_336,2026-09-20 20:29:12
"Nimbu Pani – Pub, Lounge & Club",Bar and Pub,Pub,Pub,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 94742 02020,https://instagram.com/nimbupanipub?igshid=MzRlODBiNWFlZA==,4.8,291,"Caddlegunj, NH4, Andaman and Nicobar Islands 744103",744101,11.697615599999999,92.6484066,ChIJYZSg-wa9iDARS-mUHMKliyI,https://www.google.com/maps/place/?q=place_id:ChIJYZSg-wa9iDARS-mUHMKliyI,part_336,2026-09-20 20:29:12
Hotel Goa Bar & Restaurant,Bar and Pub,Bar,Bar,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",N/A,N/A,3.7,3,"MP9H+8Q8, MA Rd, DAG Colony, Sri Vijaya Puram, Andaman and Nicobar Islands 744102",DAG Colony,11.668282099999999,92.7294515,ChIJ1_tiNMmViDAResIB1LnJ4Jg,https://www.google.com/maps/place/?q=place_id:ChIJ1_tiNMmViDAResIB1LnJ4Jg,part_336,2026-09-20 20:29:12
KAI Lounge,Bar and Pub,Restaurant,Restaurant,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 99320 89940,https://seashellhotels.net/coralcove/,4.9,122,"S No. 14/4, School Line, SeaShell Coral Cove, opp. Garrison Engineer, Minnie Bay, Sri Vijaya Puram, Andaman and Nicobar Islands 744103",Minnie Bay,11.639130699999999,92.724019,ChIJoXO-T-CViDARBNWmOgFohfM,https://www.google.com/maps/place/?q=place_id:ChIJoXO-T-CViDARBNWmOgFohfM,part_336,2026-09-20 20:29:12
