business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dr. Thulasi's diagnostics,Diagnostic Center,Diagnostic center,Diagnostic center,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 97589 51736,N/A,4.8,,"MB 5, Supply Line, Aberdeen Bazar, Rajiv Gandhi Nagar, Sri Vijaya Puram, Andaman and Nicobar Islands 744101","Aberdeen Bazar, Rajiv Gandhi Nagar",11.670098699999999,92.7434691,ChIJb5inLACViDARAVC2AoudvZQ,https://www.google.com/maps/place/?q=place_id:ChIJb5inLACViDARAVC2AoudvZQ,part_336,2026-09-20 20:29:19
NBD Diagnostic centre,Diagnostic Center,Diagnostic center,Diagnostic center,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 97699 33933,https://nbddiagnosticcentre.com/,4.9,,"Old pahadgaon, Dollygunj, Sri Vijaya Puram, Andaman and Nicobar Islands 744104",Dollygunj,11.6341517,92.7209007,ChIJhXDP1Q2ViDARNEqSbnCY7Jg,https://www.google.com/maps/place/?q=place_id:ChIJhXDP1Q2ViDARNEqSbnCY7Jg,part_336,2026-09-20 20:29:19
Apollo 24|7 Lab Test | Clock Tower | Port Blair,Diagnostic Center,Diagnostic center,"Diagnostic center, Blood testing service, Health consultant, Laboratory, Medical laboratory, Pathologist",744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 80 4557 2851,https://www.apollo247.com/lab-tests,,,"Shop No 7, Police Gurudwara Complex, Aberdeen Bazar, Rajiv Gandhi Nagar, Sri Vijaya Puram, Andaman and Nicobar Islands 744101","Aberdeen Bazar, Rajiv Gandhi Nagar",11.668465,92.74274299999999,ChIJdyihq7uViDARlt5VjP2vtZU,https://www.google.com/maps/place/?q=place_id:ChIJdyihq7uViDARlt5VjP2vtZU,part_336,2026-09-20 20:29:19
Apollo 24|7 Lab Test | Delanipur | South Andaman,Diagnostic Center,Diagnostic center,"Diagnostic center, Blood testing service, Health consultant, Laboratory, Medical laboratory, Pathologist",744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 80 4557 2851,https://www.apollo247.com/lab-tests,,,"Shop No 1, Junction, Delanipur, Sri Vijaya Puram, Andaman and Nicobar Islands 744102",Delanipur,11.672578999999999,92.729473,ChIJOYGlAlaViDARo4qq7_BKYHE,https://www.google.com/maps/place/?q=place_id:ChIJOYGlAlaViDARo4qq7_BKYHE,part_336,2026-09-20 20:29:19
Chennai Sri Balaji Scan Centre,Diagnostic Center,Medical clinic,Medical clinic,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 3192 233 570,N/A,5.0,,"MP9P+H6G, MA Rd, Phoenix Bay, Sri Vijaya Puram, Andaman and Nicobar Islands 744101",Phoenix Bay,11.6689274,92.7355745,ChIJcx1wraGViDARtrSvZ_SfWgI,https://www.google.com/maps/place/?q=place_id:ChIJcx1wraGViDARtrSvZ_SfWgI,part_336,2026-09-20 20:29:19
Medica Centre Port Blair,Diagnostic Center,Hospital,Hospital,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",N/A,N/A,2.0,,"MP9R+33Q, Biggie Line, Sri Vijaya Puram, Andaman and Nicobar Islands 744101",Biggie Line,11.6677178,92.74022049999999,ChIJyTtQ68SViDARGOe08ZikVEM,https://www.google.com/maps/place/?q=place_id:ChIJyTtQ68SViDARGOe08ZikVEM,part_336,2026-09-20 20:29:19
Dr.Thulasi's Hospital and Diagnostics,Diagnostic Center,Diagnostic center,"Diagnostic center, Hospital, Medical laboratory, Physiotherapy Center",744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 94742 14500,N/A,4.3,,"Garacharama, Sri Vijaya Puram, Andaman and Nicobar Islands 744105",Garacharama,11.6150702,92.70469109999999,ChIJuXYrE6yViDAREcwbkm1obYU,https://www.google.com/maps/place/?q=place_id:ChIJuXYrE6yViDAREcwbkm1obYU,part_336,2026-09-20 20:29:19
Chennai Medical Center- SVP,Diagnostic Center,Diagnostic Center,Diagnostic Center,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",N/A,N/A,,,"4, Dr Rajendra Prasad Rd, Aberdeen Bazar, Mohanpura, Sri Vijaya Puram, Andaman and Nicobar Islands 744101","Aberdeen Bazar, Mohanpura",11.6707807,92.7435733,ChIJhRn9JgCViDARIKRy26iGuEA,https://www.google.com/maps/place/?q=place_id:ChIJhRn9JgCViDARIKRy26iGuEA,part_336,2026-09-20 20:29:19
Delhi Paramedical and Management Institute,Diagnostic Center,Medical Center,Medical Center,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",N/A,N/A,4.8,,"MP7M+63F, Great Andaman Trunk Rd, Thomas Colony, Junglighat, Sri Vijaya Puram, Andaman and Nicobar Islands 744101","Thomas Colony, Junglighat",11.6630677,92.7326858,ChIJm_5JU9SViDARRisqAgavsw0,https://www.google.com/maps/place/?q=place_id:ChIJm_5JU9SViDARRisqAgavsw0,part_336,2026-09-20 20:29:19
Apollo 24|7 Lab Test | Junglighat | Port Blair,Diagnostic Center,Diagnostic center,"Diagnostic center, Blood testing service, Health consultant, Laboratory, Medical laboratory, Pathologist",744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 80 4557 2851,https://www.apollo247.com/lab-tests,,,"Survey No.900/1, Shop No.1, MA Road, Gajwel - Pregnapur Road, DAG Colony, Sri Vijaya Puram, Andaman and Nicobar Islands 744103",DAG Colony,11.666856,92.734436,ChIJXWsfs0GViDARWhGA_tAmy8k,https://www.google.com/maps/place/?q=place_id:ChIJXWsfs0GViDARWhGA_tAmy8k,part_336,2026-09-20 20:29:19
