business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Stepz Footwear,Footwear and Shoe Store,Shoe store,Shoe store,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 99332 46375,N/A,4.0,75.0,"Mohanpura, Sri Vijaya Puram, Andaman and Nicobar Islands 744101",Mohanpura,11.6695689,92.740511,ChIJQQ1h4AqViDARkLzPY0O6-mY,https://www.google.com/maps/place/?q=place_id:ChIJQQ1h4AqViDARkLzPY0O6-mY,part_336,2026-09-20 20:29:15
"Bata Shoe Store - Phoenix Bay, Sri Vijaya Puram",Footwear and Shoe Store,Shoe store,"Shoe store, Bag shop, Belt shop, Boot store, Clothing store",744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 94342 60336,https://stores.bata.com/bata-shoes-sandals-store-in-phoenix-bay-south-andaman,4.8,883.0,"MA Rd, near Hotel Anchorage Inn, Phoenix Bay, Sri Vijaya Puram, Andaman and Nicobar Islands 744102",Phoenix Bay,11.668883899999999,92.7308927,ChIJ1XiHzoWViDARSxc4yCC27zI,https://www.google.com/maps/place/?q=place_id:ChIJ1XiHzoWViDARSxc4yCC27zI,part_336,2026-09-20 20:29:15
SHOE BAZAR,Footwear and Shoe Store,Shoe store,Shoe store,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 96795 66165,http://shoebazar.com/,4.8,4.0,"Aberdeen Bazar, Aberdeen, Sri Vijaya Puram, Andaman and Nicobar Islands 744101","Aberdeen Bazar, Aberdeen",11.6675019,92.7412765,ChIJhfHBXJ6ViDAR22PkaoB1HZY,https://www.google.com/maps/place/?q=place_id:ChIJhfHBXJ6ViDAR22PkaoB1HZY,part_336,2026-09-20 20:29:15
Khadim - PORT BLAIR,Footwear and Shoe Store,Shoe store,Shoe store,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 70639 61811,https://www.khadims.com/,4.7,11.0,"SASTHI ROAD, Aberdeen Bazar, Aberdeen, Sri Vijaya Puram, Andaman and Nicobar Islands 744101","Aberdeen Bazar, Aberdeen",11.6696662,92.74111769999999,ChIJgyxm1qeViDARM_LjLwuCOm0,https://www.google.com/maps/place/?q=place_id:ChIJgyxm1qeViDARM_LjLwuCOm0,part_336,2026-09-20 20:29:15
Kameleo Andaman,Footwear and Shoe Store,Shoe store,"Shoe store, Store",744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 99332 65121,http://www.kameleo.in/,4.8,32.0,"MB 233, Andaman Trunk Road, Lamba Line, Sri Vijaya Puram, Andaman and Nicobar Islands 744103",Lamba Line,11.6523595,92.73168779999999,ChIJVfolJj2ViDARc_th4a7PpPM,https://www.google.com/maps/place/?q=place_id:ChIJVfolJj2ViDARc_th4a7PpPM,part_336,2026-09-20 20:29:15
Elite Footwear,Footwear and Shoe Store,Shoe store,Shoe store,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",N/A,N/A,4.6,7.0,"MP9R+R6P, Mohanpura, Sri Vijaya Puram, Andaman and Nicobar Islands 744101",Mohanpura,11.6695917,92.7405776,ChIJW7QS4AqViDARLseeYyHYWZw,https://www.google.com/maps/place/?q=place_id:ChIJW7QS4AqViDARLseeYyHYWZw,part_336,2026-09-20 20:29:15
MUNEERA FANCY STORE (FOOTWEAR AND BAGS),Footwear and Shoe Store,Shoe store,Shoe store,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",N/A,N/A,3.3,4.0,"MP3J+M9F, near chittar departmental stores, Dairy Farm, Sri Vijaya Puram, Andaman and Nicobar Islands 744103",Dairy Farm,11.654180199999999,92.7309119,ChIJUYze1g-ViDARKhN2o7hH1H8,https://www.google.com/maps/place/?q=place_id:ChIJUYze1g-ViDARKhN2o7hH1H8,part_336,2026-09-20 20:29:15
Metro Shoe Store,Footwear and Shoe Store,Shoe store,Shoe store,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",N/A,https://www.metroshoes.com/,2.4,10.0,"MP9V+X28, Aberdeen Bazar, Aberdeen, Sri Vijaya Puram, Andaman and Nicobar Islands 744101","Aberdeen Bazar, Aberdeen",11.6699105,92.7425786,ChIJvwafXAuViDAR0yY9K2r6PGE,https://www.google.com/maps/place/?q=place_id:ChIJvwafXAuViDAR0yY9K2r6PGE,part_336,2026-09-20 20:29:15
Royal Fashion Feet,Footwear and Shoe Store,Shoe store,"Shoe store, Bag shop, Cosmetics store, Jewelry store",744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",N/A,N/A,4.8,16.0,"ATR Main Road, opp. Axis Bank, Housing Colony, Bhathu Basti, Sri Vijaya Puram, Andaman and Nicobar Islands 744105","Housing Colony, Bhathu Basti",11.6222981,92.71645219999999,ChIJQXk9fwWViDARjpGN8pEc2ao,https://www.google.com/maps/place/?q=place_id:ChIJQXk9fwWViDARjpGN8pEc2ao,part_336,2026-09-20 20:29:15
ZYNIK STEPS footwear,Footwear and Shoe Store,Outlet mall,Outlet mall,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 76950 84667,http://www.zyniksteps.com/,4.4,9.0,"Metro cafe Building, Aberdeen Bazar, Aberdeen, Sri Vijaya Puram, Andaman and Nicobar Islands 744101","Aberdeen Bazar, Aberdeen",11.669589199999999,92.7411518,ChIJo17fO_SViDARFVeMGrztBk4,https://www.google.com/maps/place/?q=place_id:ChIJo17fO_SViDARFVeMGrztBk4,part_336,2026-09-20 20:29:15
