business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Andabar Cold Stores,Frozen Food Distributor,Food Processing Company,Food Processing Company,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",N/A,http://shiindia.in/,3.0,4.0,"Lamba Line, Sri Vijaya Puram, Andaman and Nicobar Islands 744103",Lamba Line,11.6500963,92.731246,ChIJ5zMWYjOViDARk25OUBK4G1Q,https://www.google.com/maps/place/?q=place_id:ChIJ5zMWYjOViDARk25OUBK4G1Q,part_336,2026-09-20 20:29:08
BRR sea foods,Frozen Food Distributor,Fish processing,Fish processing,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",N/A,N/A,4.0,1.0,"JPQ5+P8V, Dollygunj, Sri Vijaya Puram, Andaman and Nicobar Islands",Dollygunj,11.639362799999999,92.7082834,ChIJIUruAwCViDARMvOYCBrCc74,https://www.google.com/maps/place/?q=place_id:ChIJIUruAwCViDARMvOYCBrCc74,part_336,2026-09-20 20:29:08
AndamanFoods.com,Frozen Food Distributor,Delivery service,"Delivery service, Meal delivery, Pizza delivery",744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 77977 41177,https://www.andamanfoods.com/,4.1,52.0,"RGT Rd, Shadipur, Sri Vijaya Puram, Andaman and Nicobar Islands 744101",Shadipur,11.6640804,92.74609199999999,ChIJ1eS98w6ViDARbP0hi7vAyaE,https://www.google.com/maps/place/?q=place_id:ChIJ1eS98w6ViDARbP0hi7vAyaE,part_336,2026-09-20 20:29:08
Andaman Cold Chain,Frozen Food Distributor,Cold storage facility,Cold storage facility,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",N/A,N/A,5.0,2.0,"JPQ5+VFQ, Dollygunj, Sri Vijaya Puram, Andaman and Nicobar Islands 744103",Dollygunj,11.639707699999999,92.70872419999999,ChIJEe8DGwCViDARSlOowKjEo4o,https://www.google.com/maps/place/?q=place_id:ChIJEe8DGwCViDARSlOowKjEo4o,part_336,2026-09-20 20:29:09
Jamun Cove - Beachfront,Frozen Food Distributor,Restaurant,Restaurant,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",N/A,https://www.passcodehospitality.com/,4.6,98.0,"Corbyns Cove Rd, Carbyns Cove, Sri Vijaya Puram, Andaman and Nicobar Islands 744101",Carbyns Cove,11.6427867,92.7467246,ChIJN3-nWpGViDARnBDLP0YRDCQ,https://www.google.com/maps/place/?q=place_id:ChIJN3-nWpGViDARnBDLP0YRDCQ,part_336,2026-09-20 20:29:09
Amman Frozen And Trading Pvt. Ltd.,Frozen Food Distributor,Frozen food store,"Frozen food store, Grocery delivery service",744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 80012 50011,https://www.ammanfrozenandtradingpvtltd.com/,5.0,,"Maccapahad, beodnabad, Sri Vijaya Puram, Andaman and Nicobar Islands 744105",744101,11.576778299999999,92.7185658,ChIJAxzO7VqTiDARsWfsTc7l7js,https://www.google.com/maps/place/?q=place_id:ChIJAxzO7VqTiDARsWfsTc7l7js,part_336,2026-09-20 20:29:10
Kabson Frozen Distributor,Frozen Food Distributor,Frozen food store,Frozen food store,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",N/A,N/A,4.5,,"11, General Arun Kumar Vaidya Nagar, General Vaidya Nagar, Nashik, Maharashtra 422011","General Arun Kumar Vaidya Nagar, General Vaidya Nagar",19.9922164,73.7956133,ChIJeXEJ3s7r3TsRoAtDGnjiD7k,https://www.google.com/maps/place/?q=place_id:ChIJeXEJ3s7r3TsRoAtDGnjiD7k,part_336,2026-09-20 20:29:10
"Vigneshwara enterprises - Frozen food distributor, bangalore karnataka",Frozen Food Distributor,Frozen food store,Frozen food store,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 98453 73403,http://www.vigneshwarafrozenfoods.com/,4.9,,"46, 5th CROSS, GANGAMMA LAYOUT AGRAHARA VILLAGE YELANKA, apartments, Sashank Amogha Rd, near Adi's North Lake, Bengaluru, Karnataka 560064",Agrahara,13.0924502,77.6175741,ChIJ1-twJKsZrjsR2SB1Ghw3npQ,https://www.google.com/maps/place/?q=place_id:ChIJ1-twJKsZrjsR2SB1Ghw3npQ,part_336,2026-09-20 20:29:10
Jubilee Enterprises,Frozen Food Distributor,Frozen food store,"Frozen food store, Food products supplier, Wholesaler",744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 74114 04327,https://www.jubileefrozenfoods.com/,4.9,,"No. 427, 428, 19th Block Rd, Arkavathy Layout, Chelekare, Kalyan Nagar, Bengaluru, Karnataka 560043","Arkavathy Layout, Chelekare, Kalyan Nagar",13.0290856,77.64461279999999,ChIJH4Ar0SEXrjsRp24WyiMD4qY,https://www.google.com/maps/place/?q=place_id:ChIJH4Ar0SEXrjsRp24WyiMD4qY,part_336,2026-09-20 20:29:10
Aura & Co,Frozen Food Distributor,Wholesale Food Store,Wholesale Food Store,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 99622 44222,N/A,4.4,,"New no 576 Old no 531, Anna Salai, opp. Anna Arivalayam, next to HP Petrol Bunk, Teynampet, Chennai, Tamil Nadu 600018",Teynampet,13.0406167,80.2471276,ChIJ1cZHO0xmUjoRuSluXtuMkr8,https://www.google.com/maps/place/?q=place_id:ChIJ1cZHO0xmUjoRuSluXtuMkr8,part_336,2026-09-20 20:29:10
