business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Andaman Lux Properties,Real Estate Agents,Industrial real estate agency,Industrial real estate agency,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",N/A,N/A,4.5,2.0,"first floor, Bargat Line, Pulikeezu Bhavan, Nayagaon, Sri Vijaya Puram, Andaman and Nicobar Islands 744112",Nayagaon,11.6496895,92.74474839999999,ChIJQ5Fn9wGViDARpCUcYBSEB18,https://www.google.com/maps/place/?q=place_id:ChIJQ5Fn9wGViDARpCUcYBSEB18,part_336,2026-09-20 20:29:45
Nideja Properties Pvt.Ltd.,Real Estate Agents,Property investment company,Property investment company,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 99332 56409,https://nidejaproperties.com/,5.0,2.0,"3rd Floor, Shakthi Shipping Building, Quarry Hill, near Tamil Sangam Hall, Phoenix Bay, Sri Vijaya Puram, Andaman and Nicobar Islands 744101",Phoenix Bay,11.669574899999999,92.7363261,ChIJORITTJ2ViDARqjRKDJTQSpM,https://www.google.com/maps/place/?q=place_id:ChIJORITTJ2ViDARqjRKDJTQSpM,part_336,2026-09-20 20:29:45
"VEDIC HOMES, PORT BLAIR",Real Estate Agents,Hotel,"Hotel, Bed & breakfast, Cocktail bar, Extended stay hotel, Guest house, Home Stay, Resort hotel",744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 99324 49142,http://www.myvedichomes.com/,4.8,273.0,"near Hotel Sinclairs, South Point, Shadipur, Sri Vijaya Puram, Andaman and Nicobar Islands 744106","South Point, Shadipur",11.6642197,92.754646,ChIJZ2O5UeKViDARqq_SDBAEmSw,https://www.google.com/maps/place/?q=place_id:ChIJZ2O5UeKViDARqq_SDBAEmSw,part_336,2026-09-20 20:29:45
Emerald Homes,Real Estate Agents,Hotel,Hotel,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 76950 65060,http://emeraldshome.com/,4.9,10.0,"28, RP Road, Dignabad, Marine Hill, Sri Vijaya Puram, Andaman and Nicobar Islands 744104","Dignabad, Marine Hill",11.6739033,92.7429902,ChIJE3kGlzTZiDARK-uy46aYp6c,https://www.google.com/maps/place/?q=place_id:ChIJE3kGlzTZiDARK-uy46aYp6c,part_336,2026-09-20 20:29:45
Andaman Consultancy,Real Estate Agents,Real estate consultant,Real estate consultant,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",N/A,N/A,,,"MP2V+9R6, Nayagaon, Sri Vijaya Puram, Andaman and Nicobar Islands 744106",Nayagaon,11.6509217,92.74452339999999,ChIJfbe6AQCViDARWUI3_45QQ2s,https://www.google.com/maps/place/?q=place_id:ChIJfbe6AQCViDARWUI3_45QQ2s,part_336,2026-09-20 20:29:45
Nazcon,Real Estate Agents,Real estate agency,"Real estate agency, Service establishment",744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",N/A,https://www.nazcon.org/,,,"Nazcon, 744101, India",744101,11.6181371,92.722464,ChIJC682qkLYNCERBX_KyMhwAKM,https://www.google.com/maps/place/?q=place_id:ChIJC682qkLYNCERBX_KyMhwAKM,part_336,2026-09-20 20:29:45
Vikas Lal Patel,Real Estate Agents,Real estate agency,Real estate agency,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",N/A,N/A,,,"Room No 29 R K Mandir Complex , Junglighat Port Blair Sei, Vijaya Puram, PIN, Andaman and Nicobar Islands 744103","Vijaya Puram, Junglighat",11.661217299999999,92.7294624,ChIJ2yv-LwCViDARVUd7FrUNHds,https://www.google.com/maps/place/?q=place_id:ChIJ2yv-LwCViDARVUd7FrUNHds,part_336,2026-09-20 20:29:45
TryTrabby- A Proprietary Of Winking Brain LLP,Real Estate Agents,Travel agency,Travel agency,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 99405 41915,https://trytrabby.com/,4.9,156.0,"Winking Brain LLP, M/S, Gurudwara Ln, near Head Post Office, Atlanta Point, Sri Vijaya Puram, Andaman and Nicobar Islands 744104",Atlanta Point,11.6740499,92.7434935,ChIJV-Sg4V2ViDARS5n2qCSyAvs,https://www.google.com/maps/place/?q=place_id:ChIJV-Sg4V2ViDARS5n2qCSyAvs,part_336,2026-09-20 20:29:45
Andaman Escapades Pvt. Ltd.,Real Estate Agents,Travel agency,"Travel agency, Adventure Sports Center, Car leasing service, Diving center, Ferry Service Provider, Hotel, Sightseeing Tour Operator, Tour operator, Tourist attraction, Transportation service",744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 99332 81146,http://www.andamanescapades.com/,4.8,168.0,"H.NO . MB -200 , MG ROAD OPP . TCI SEA WAYS 1ST FLOOR , DHARMA BUILDING, Junglighat, Sri Vijaya Puram, Andaman and Nicobar Islands 744103",Junglighat,11.6561305,92.7326878,ChIJbQAAQKWViDAReRqI04p9rp0,https://www.google.com/maps/place/?q=place_id:ChIJbQAAQKWViDAReRqI04p9rp0,part_336,2026-09-20 20:29:45
Andaman Shells,Real Estate Agents,Tour operator,Tour operator,744101,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Port Blair H.O, Marine Jetty S.O, N.S.Building S.O",+91 78640 10266,https://www.andamanshells.com/,4.8,552.0,"Anand Marg Road, next to Mitali Book Store, Junglighat, Sri Vijaya Puram, Andaman and Nicobar Islands 744103","Thomas Colony, Junglighat",11.661235399999999,92.7325754,ChIJq9NchNOViDARl0yxnX7Hjf0,https://www.google.com/maps/place/?q=place_id:ChIJq9NchNOViDARl0yxnX7Hjf0,part_336,2026-09-20 20:29:45
