business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mega Engineers and builders,Modular Kitchen Manufacturer,Furniture accessories supplier,Furniture accessories supplier,744102,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Haddo S.O, Herbertabad B.O, Radio Colony B.O",N/A,N/A,3.5,2.0,"JPC6+2MW, Great Andaman Trunk Rd, Housing Colony, Bhathu Basti, Sri Vijaya Puram, Andaman and Nicobar Islands 744105","Housing Colony, Bhathu Basti",11.620098599999999,92.71163279999999,ChIJdb_4Rr2ViDARvoeitcQ6dIs,https://www.google.com/maps/place/?q=place_id:ChIJdb_4Rr2ViDARvoeitcQ6dIs,part_336,2026-09-20 20:30:16
modular kitchen design,Modular Kitchen Manufacturer,Furniture maker,Furniture maker,744102,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Haddo S.O, Herbertabad B.O, Radio Colony B.O",+91 96112 28931,https://modular-kitchen-design.grexa.site/,5.0,28.0,"47HM+M2M, Jorethang, Sikkim 734201",744102,27.128822399999997,88.28276,ChIJBxvTfQAp5DkR5Tow0lrpT2s,https://www.google.com/maps/place/?q=place_id:ChIJBxvTfQAp5DkR5Tow0lrpT2s,part_336,2026-09-20 20:30:16
Milan Interiors & Modular Kitchen,Modular Kitchen Manufacturer,Furniture store,Furniture store,744102,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Haddo S.O, Herbertabad B.O, Radio Colony B.O",+91 96795 04008,N/A,,,"PPQ5+Q5X, Wimberlygunj, Andaman and Nicobar Islands 744206",744102,11.739478499999999,92.70799269999999,ChIJ77l7Vn2-iDAR9D-X5tNPFcQ,https://www.google.com/maps/place/?q=place_id:ChIJ77l7Vn2-iDAR9D-X5tNPFcQ,part_336,2026-09-20 20:30:16
Pavan steel furniture,Modular Kitchen Manufacturer,Furniture store,"Furniture store, Consultant, Electronics Company, Gift shop, Hardware store, Office furniture store, Steel fabricator",744102,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Haddo S.O, Herbertabad B.O, Radio Colony B.O",+91 76950 42440,N/A,4.0,5.0,"Pawan steel furniture, Wimberlygunj, Andaman and Nicobar Islands 744206",744102,11.736372999999999,92.70464679999999,ChIJ8S81uOO_iDAR8DQJKFW-9Xo,https://www.google.com/maps/place/?q=place_id:ChIJ8S81uOO_iDAR8DQJKFW-9Xo,part_336,2026-09-20 20:30:16
The Modular Factory,Modular Kitchen Manufacturer,Kitchen supply store,"Kitchen supply store, Interior Decorator, Interior designer, Kitchen furniture store",744102,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Haddo S.O, Herbertabad B.O, Radio Colony B.O",+91 81119 40009,https://themodularfactory.com/,5.0,219.0,"1st Floor, Sitara Trade Center, Seaport - Airport Rd, Irumpanam, Thrippunithura, Kochi, Ernakulam, Keralam 682309","Irumpanam, Thrippunithura",9.958806,76.3584724,ChIJ39pQB_ZyCDsRPHrHEup0Amk,https://www.google.com/maps/place/?q=place_id:ChIJ39pQB_ZyCDsRPHrHEup0Amk,part_336,2026-09-20 20:30:16
DK Modular Kitchen & Accessories,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Appliance store, Chimney services, Modular home builder",744102,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Haddo S.O, Herbertabad B.O, Radio Colony B.O",+91 98221 55551,http://dksmodularkitchens.com/,4.5,70.0,"Shop no 2, opp. Chapel, Guirim, Goa 403510",744102,15.5781031,73.8063403,ChIJK3SR4_HqvzsRqoUaPAw19Os,https://www.google.com/maps/place/?q=place_id:ChIJK3SR4_HqvzsRqoUaPAw19Os,part_336,2026-09-20 20:30:16
Wudley Modulars,Modular Kitchen Manufacturer,Manufacturer,"Manufacturer, Supplier, Kitchen furniture store, Modular home builder",744102,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Haddo S.O, Herbertabad B.O, Radio Colony B.O",+91 83768 91337,http://www.wudleymodularkitchens.com/,4.8,121.0,"1st Floor, Marble Market, B-57, opp. Parking, Mangol Pur Kalan, Mangolpuri, New Delhi, Delhi, 110034","Mangol Pur Kalan, Mangolpuri",28.694815799999997,77.1033106,ChIJubmNa18FDTkRAEQGhExwVP4,https://www.google.com/maps/place/?q=place_id:ChIJubmNa18FDTkRAEQGhExwVP4,part_336,2026-09-20 20:30:16
ACME INDUSTRIES,Modular Kitchen Manufacturer,Furniture Manufacturer,"Furniture Manufacturer, Furniture maker, Home goods store, Interior Decorator, Interior designer, Kitchen furniture store, Kitchen remodeler, Kitchen supply store",744102,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Haddo S.O, Herbertabad B.O, Radio Colony B.O",+91 92166 00693,http://www.acmoria.com/,4.4,45.0,"Backside Milk Food Ltd, near Blue Kothi, Bahadurgarh, Patiala, Farm Bahadurgarh, Punjab 147021",Bahadurgarh,30.3784258,76.4725018,ChIJ7SVB2RvYDzkRHK0ZZCANenE,https://www.google.com/maps/place/?q=place_id:ChIJ7SVB2RvYDzkRHK0ZZCANenE,part_336,2026-09-20 20:30:16
Modular kitchen,Modular Kitchen Manufacturer,Modular home builder,Modular home builder,744102,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Haddo S.O, Herbertabad B.O, Radio Colony B.O",N/A,https://www.facebook.com/share/17mW3JAQAf/,5.0,2.0,"Ghogomali, Siliguri, West Bengal 734006",Ghogomali,26.714730499999998,88.4525012,ChIJtT_qISNB5DkRiatnhcD-_dk,https://www.google.com/maps/place/?q=place_id:ChIJtT_qISNB5DkRiatnhcD-_dk,part_336,2026-09-20 20:30:17
Supreme Modular Kitchen & Interiors,Modular Kitchen Manufacturer,Interior designer,"Interior designer, Interior architect office, Interior construction contractor, Interior Decorator",744102,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Haddo S.O, Herbertabad B.O, Radio Colony B.O",+91 97509 43338,https://suprememodularkitchen.com/,5.0,111.0,"Velan Arcade, 26/6, GST Main Rd, Nethaji Nagar, Madurai, Thanakkankulam, Tamil Nadu 625006",Nethaji Nagar,9.882672,78.03582109999999,ChIJ0-7D-SPPADsRFqinSatfBrg,https://www.google.com/maps/place/?q=place_id:ChIJ0-7D-SPPADsRFqinSatfBrg,part_336,2026-09-20 20:30:17
