business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Deep Sea Resort,Hotel,Hotel,"Hotel, Resort hotel",744104,West bengal circle,Calcutta HQ Region,A - N Islands Division,"Neil Island B.O, Aberdeen  Bazar S.O, Sitapur B.O",N/A,http://deepsearesortandaman.com/,4.2,331.0,"SH6, Sitapur, Ram Nagar, Andaman and Nicobar Islands 744104",744104,11.819087699999999,93.04201309999999,ChIJk3jvyg_ZiDAR2dxuB52sb8U,https://www.google.com/maps/place/?q=place_id:ChIJk3jvyg_ZiDAR2dxuB52sb8U,part_336,2026-09-20 20:31:48
Hotel Aoscar,Hotel,Hotel,Hotel,744104,West bengal circle,Calcutta HQ Region,A - N Islands Division,"Neil Island B.O, Aberdeen  Bazar S.O, Sitapur B.O",+91 94742 90398,http://www.aoscarhotel.com/,4.8,569.0,"mammamia, R2PG+CQ Aoscar hotel, Neil Island, Neil Kendra, Andaman and Nicobar Islands 744104",744104,11.8360714,93.027059,ChIJ42BTyRrZiDARzHhhbs-T6BU,https://www.google.com/maps/place/?q=place_id:ChIJ42BTyRrZiDARzHhhbs-T6BU,part_336,2026-09-20 20:31:48
CS Empire,Hotel,Resort hotel,Resort hotel,744104,West bengal circle,Calcutta HQ Region,A - N Islands Division,"Neil Island B.O, Aberdeen  Bazar S.O, Sitapur B.O",+91 70639 58600,https://csempire.in/,4.4,1028.0,"Neil Kendra, Neil Island, Andaman and Nicobar Islands 744104",744104,11.8348541,93.0275478,ChIJu5-7FD_ZiDARihcJQpf_x64,https://www.google.com/maps/place/?q=place_id:ChIJu5-7FD_ZiDARihcJQpf_x64,part_336,2026-09-20 20:31:48
CORAL GARDEN RESORT,Hotel,Hotel,Hotel,744104,West bengal circle,Calcutta HQ Region,A - N Islands Division,"Neil Island B.O, Aberdeen  Bazar S.O, Sitapur B.O",+91 99332 92792,http://www.coralgardenresorts.com/,4.7,1706.0,"Neil Kendra, Andaman and Nicobar Islands 744104",744104,11.8333684,93.03162999999999,ChIJGf-hZ8nZiDARbMLLjGih7tM,https://www.google.com/maps/place/?q=place_id:ChIJGf-hZ8nZiDARbMLLjGih7tM,part_336,2026-09-20 20:31:48
Hotel Jasodha,Hotel,Hotel,Hotel,744104,West bengal circle,Calcutta HQ Region,A - N Islands Division,"Neil Island B.O, Aberdeen  Bazar S.O, Sitapur B.O",+91 62973 55913,N/A,4.0,77.0,"R3C5+2X3, Sitapur, Andaman and Nicobar Islands 744104",744104,11.8200211,93.05993389999999,ChIJq6qqqq7ZiDARpGmI8cqcNKw,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqq7ZiDARpGmI8cqcNKw,part_336,2026-09-20 20:31:48
"HOTEL HIGHNESS SEA ROCK , Neil Island",Hotel,Resort hotel,Resort hotel,744104,West bengal circle,Calcutta HQ Region,A - N Islands Division,"Neil Island B.O, Aberdeen  Bazar S.O, Sitapur B.O",+91 94760 75005,https://www.hotelhighnesssearock.com/,4.5,320.0,"Neil island, Sitapur, Andaman and Nicobar Islands 744104",744104,11.8199442,93.0574398,ChIJazohiv3YiDARLt2hdM90cPg,https://www.google.com/maps/place/?q=place_id:ChIJazohiv3YiDARLt2hdM90cPg,part_336,2026-09-20 20:31:48
DIVEIndia Dancing Dugong Resort,Hotel,Resort hotel,Resort hotel,744104,West bengal circle,Calcutta HQ Region,A - N Islands Division,"Neil Island B.O, Aberdeen  Bazar S.O, Sitapur B.O",N/A,https://dancingdugong.com/,4.7,,"50 Meters Walking distance from the Jetty, Bharatpur Beach Shaheed Dweep (Neil, Andaman and Nicobar Islands 744104",744104,11.8359822,93.03139499999999,ChIJJbih5mnZiDARj_NFvH3TBhc,https://www.google.com/maps/place/?q=place_id:ChIJJbih5mnZiDARj_NFvH3TBhc,part_336,2026-09-20 20:31:49
Hotel Exotica Squares,Hotel,Hotel,Hotel,744104,West bengal circle,Calcutta HQ Region,A - N Islands Division,"Neil Island B.O, Aberdeen  Bazar S.O, Sitapur B.O",+91 85953 95625,http://exoticasquares.com/,4.0,,"Village road, Lakshmanpur, Andaman and Nicobar Islands 744104",744104,11.8334101,93.0164313,ChIJt9nsD7LbiDARMOQ563Ycvgk,https://www.google.com/maps/place/?q=place_id:ChIJt9nsD7LbiDARMOQ563Ycvgk,part_336,2026-09-20 20:31:49
Sea sand Resort,Hotel,Restaurant,"Restaurant, Resort hotel",744104,West bengal circle,Calcutta HQ Region,A - N Islands Division,"Neil Island B.O, Aberdeen  Bazar S.O, Sitapur B.O",+91 94760 60264,http://booking.com/,3.9,35.0,"Neil island, Ram Nagar, Andaman and Nicobar Islands 744104",Neil island,11.8174604,93.04200569999999,ChIJ2T1I3Q3ZiDARURJLFj7AZhk,https://www.google.com/maps/place/?q=place_id:ChIJ2T1I3Q3ZiDARURJLFj7AZhk,part_336,2026-09-20 20:31:50
Hotel Shreesh Neil,Hotel,Hotel,Hotel,744104,West bengal circle,Calcutta HQ Region,A - N Islands Division,"Neil Island B.O, Aberdeen  Bazar S.O, Sitapur B.O",+91 82760 40348,http://www.hotelshreeshneilisland.com/,3.9,297.0,"Shaheed Dweep, Neil Kendra, Andaman and Nicobar Islands 744104",744104,11.836051,93.0303852,ChIJP6IHwZfZiDARubNEGMNrRR4,https://www.google.com/maps/place/?q=place_id:ChIJP6IHwZfZiDARubNEGMNrRR4,part_336,2026-09-20 20:31:50
