business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
M S Rishi Tailors & Designer Fabrics,Tailor and Fashion Designer,Tailor,Tailor,744210,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Oralkatcha S.O, Kanchangarh B.O, Sankarnalla B.O",+91 172 271 5003,http://m.s.rishitailors.com/,3.7,15.0,"15-16, Sector 22 Market Rd, Sector 22C, Sector 22, Chandigarh, 160022","Sector 22C, Sector 22",30.7315418,76.77292229999999,ChIJZV1K8aXtDzkRTBr4Q-Er5S0,https://www.google.com/maps/place/?q=place_id:ChIJZV1K8aXtDzkRTBr4Q-Er5S0,part_336,2026-09-20 20:41:25
Silqueen Designs,Tailor and Fashion Designer,Tailor,"Tailor, Designer Clothing Store, Boutique",744210,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Oralkatcha S.O, Kanchangarh B.O, Sankarnalla B.O",+91 77367 64284,https://www.silqueen.com/,5.0,,"Cherupulliparambil Building, PO, Ponjassery, Perumbavoor, Keralam 683556",PO,10.0915685,76.441298,ChIJSY5UdX4JCDsRRoPdNdoJp4w,https://www.google.com/maps/place/?q=place_id:ChIJSY5UdX4JCDsRRoPdNdoJp4w,part_336,2026-09-20 20:41:26
Homdrai Bridal Boutique & Tailor,Tailor and Fashion Designer,Tailor,"Tailor, Boutique, Clothing alteration service, Embroidery service, Bridal shop",744210,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Oralkatcha S.O, Kanchangarh B.O, Sankarnalla B.O",+91 95671 99924,https://homdrai.com/,4.7,,"Edappally - Pukkattupady Rd, near Maliakkapady Juma Masjid, Mochamkulam, Kuzhivelippady, Kochi, Keralam 683561","Mochamkulam, Kuzhivelippady",10.052871099999999,76.3842398,ChIJo3Fp73ILCDsRw0M3LwD930o,https://www.google.com/maps/place/?q=place_id:ChIJo3Fp73ILCDsRw0M3LwD930o,part_336,2026-09-20 20:41:26
Chandru Fashion Tailor,Tailor and Fashion Designer,Tailor,Tailor,744210,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Oralkatcha S.O, Kanchangarh B.O, Sankarnalla B.O",+91 99453 19328,N/A,5.0,,"2nd Floor, just outside, Himagiri Main Rd, Kothnur, Himagiri Meadows, Gottigere, Bengaluru, Karnataka 560076","Kothnur, Himagiri Meadows, Gottigere",12.8615722,77.5931039,ChIJjUJN4I9rrjsRaoDQs_y6oao,https://www.google.com/maps/place/?q=place_id:ChIJjUJN4I9rrjsRaoDQs_y6oao,part_336,2026-09-20 20:41:26
Libas Fabric & Tailoring,Tailor and Fashion Designer,Clothing store,Clothing store,744210,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Oralkatcha S.O, Kanchangarh B.O, Sankarnalla B.O",+91 92763 05953,http://www.libasfabric.com/,4.7,,"A-f/1 Al-raheman Residency, Bhalej Rd, Near Jakat Naka, Ismaile Nagar, Gamdi, Anand, Gujarat 388001","Near Jakat Naka, Ismaile Nagar, Gamdi",22.572604899999998,72.9670483,ChIJcVjLN2NPXjkRLWhl3bHS2K0,https://www.google.com/maps/place/?q=place_id:ChIJcVjLN2NPXjkRLWhl3bHS2K0,part_336,2026-09-20 20:41:26
Beleza Designer Studio,Tailor and Fashion Designer,Fashion designer,"Fashion designer, Boutique, Tailor",744210,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Oralkatcha S.O, Kanchangarh B.O, Sankarnalla B.O",+91 98477 04112,N/A,5.0,,"Olivia building, Manichira, Sultan Bathery, Keralam 673592",Manichira,11.6521493,76.2483017,ChIJwfRGlYgJpjsRooSBSkbnSRc,https://www.google.com/maps/place/?q=place_id:ChIJwfRGlYgJpjsRooSBSkbnSRc,part_336,2026-09-20 20:41:26
Nizam Tailors,Tailor and Fashion Designer,Gents Tailor,Gents Tailor,744210,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Oralkatcha S.O, Kanchangarh B.O, Sankarnalla B.O",+91 73077 77723,N/A,4.2,,"1st floor, Raymond Showroom, Dharampura, Patiala, Punjab 147001",Dharampura,30.331494,76.397503,ChIJMdMLkcEoEDkRKHRYJ2wMySY,https://www.google.com/maps/place/?q=place_id:ChIJMdMLkcEoEDkRKHRYJ2wMySY,part_336,2026-09-20 20:41:26
C.B.Jethva,Tailor and Fashion Designer,Gents Tailor,Gents Tailor,744210,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Oralkatcha S.O, Kanchangarh B.O, Sankarnalla B.O",+91 94290 31811,N/A,4.8,,"G/3, G/28, Ramkrishna Shopping Center, Mayfair Road, Anand, Gujarat 388001",Gamdi Vad,22.5574136,72.96253659999999,ChIJp-tj351OXjkRYjlSX5YNeCM,https://www.google.com/maps/place/?q=place_id:ChIJp-tj351OXjkRYjlSX5YNeCM,part_336,2026-09-20 20:41:26
Yash Tailor,Tailor and Fashion Designer,Tailor,Tailor,744210,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Oralkatcha S.O, Kanchangarh B.O, Sankarnalla B.O",+91 98244 20231,N/A,5.0,,"Tin Batti, Marwad, Dadra and Nagar Haveli and Daman and Diu 396210",Tin Batti,20.418274099999998,72.83179299999999,ChIJ_ar4sHXa4DsRjf25vvpb9Wo,https://www.google.com/maps/place/?q=place_id:ChIJ_ar4sHXa4DsRjf25vvpb9Wo,part_336,2026-09-20 20:41:26
Kokcha Collection,Tailor and Fashion Designer,Tailor,"Tailor, Clothing store, Custom tailor, Fabric store, Men's clothing store, Designer Clothing Store",744210,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Oralkatcha S.O, Kanchangarh B.O, Sankarnalla B.O",+91 88168 48584,https://www.instagram.com/kokchacollection/,4.8,,"Azad chowk, Sabji Mandi Rd, Chanduwara, Narnaul, Haryana 123001",Chanduwara,28.0438308,76.1050825,ChIJcxusE4e1EjkReoF9R6iFQo0,https://www.google.com/maps/place/?q=place_id:ChIJcxusE4e1EjkReoF9R6iFQo0,part_336,2026-09-20 20:41:26
Janaksh-le Designers,Tailor and Fashion Designer,Tailor,Tailor,744210,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Oralkatcha S.O, Kanchangarh B.O, Sankarnalla B.O",+91 82811 91281,N/A,2.9,,"Janaksh-le, opposite KSEB, Kattakkada, Keralam 695572",744210,8.5081077,77.08332899999999,ChIJfUwncGqxBTsRAAAAsFBBNUI,https://www.google.com/maps/place/?q=place_id:ChIJfUwncGqxBTsRAAAAsFBBNUI,part_336,2026-09-20 20:41:26
mf darzi (meerut fine tailor),Tailor and Fashion Designer,Tailor,"Tailor, Designer Clothing Store",744210,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Oralkatcha S.O, Kanchangarh B.O, Sankarnalla B.O",+91 1732 236 786,https://www.mfdarzi.com/,4.2,,"201-C, near Paras Ram Chowk, Model Town, Yamuna Nagar, Haryana 135001",Model Town,30.134112199999997,77.2862791,ChIJVbopf4D5DjkRpdiXMWhD8ow,https://www.google.com/maps/place/?q=place_id:ChIJVbopf4D5DjkRpdiXMWhD8ow,part_336,2026-09-20 20:41:26
PSM FASHIONS,Tailor and Fashion Designer,Fashion designer,"Fashion designer, Embroidery shop, Tailor",744210,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Oralkatcha S.O, Kanchangarh B.O, Sankarnalla B.O",+91 93457 48469,N/A,4.8,,"51, 18th Cross St, near Yeshwanth Nagar, Bhuvaneshwari Nagar, Padmavathy Nagar, Yeswanth Nagar, Madambakkam, Tambaram, Tamil Nadu 600126","Bhuvaneshwari Nagar, Padmavathy Nagar, Yeswanth Nagar, Madambakkam",12.9039109,80.15011319999999,ChIJz5tATelfUjoRWGdf3_fUXW8,https://www.google.com/maps/place/?q=place_id:ChIJz5tATelfUjoRWGdf3_fUXW8,part_336,2026-09-20 20:41:26
Thabeedha designs,Tailor and Fashion Designer,Tailor,Tailor,744210,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Oralkatcha S.O, Kanchangarh B.O, Sankarnalla B.O",+91 73562 24140,https://www.instagram.com/thabee450/,,,"Vittiyam pade, mele colony, Cherucode, Moongode P.O, Peyad, Keralam 695573",Moongode P.O,8.510088,77.03512359999999,ChIJr0p7RPaxBTsRQZ6kkcuforY,https://www.google.com/maps/place/?q=place_id:ChIJr0p7RPaxBTsRQZ6kkcuforY,part_336,2026-09-20 20:41:26
"DURON TAILORS & TEXTILES , LINEN WORLD",Tailor and Fashion Designer,Custom tailor,"Custom tailor, Gents Tailor, Tailor",744210,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Oralkatcha S.O, Kanchangarh B.O, Sankarnalla B.O",+91 471 247 4351,http://durontailors.com/,4.0,,"Power House Junction, Pazhavangadi, Thiruvananthapuram, Keralam 695036","East Fort, Chalai Bazaar, Pazhavangadi",8.4864031,76.9481772,ChIJlddXtae7BTsRTMp3hg-HDRk,https://www.google.com/maps/place/?q=place_id:ChIJlddXtae7BTsRTMp3hg-HDRk,part_336,2026-09-20 20:41:26
Gayathri Designers,Tailor and Fashion Designer,Tailor,Tailor,744210,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Oralkatcha S.O, Kanchangarh B.O, Sankarnalla B.O",+91 99462 80314,N/A,3.3,,"FWQW+JVR, Mahatma Gandhi Rd, Overbridge, Vanchiyoor, Thiruvananthapuram, Kerala 695001","Overbridge, Vanchiyoor",8.489121599999999,76.9471409,ChIJK5YWC6S7BTsRBuo7vZIqD1o,https://www.google.com/maps/place/?q=place_id:ChIJK5YWC6S7BTsRBuo7vZIqD1o,part_336,2026-09-20 20:41:27
