business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kewalya Yogshala,Yoga Center,Yoga studio,"Yoga studio, Ayurvedic clinic, Fitness center, Meditation center, Wellness center",744301,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Carnicobar S.O, Kakana B.O, Lapathy B.O",+91 78951 60756,https://kewalyayogshala.com/,4.9,202,"Sahastradhara Rd, opp. Kali temple, near IT Park, Kasturi Nagar, Danda Lakhond, Dehradun, Danda Dhoran, Uttarakhand 248013","Kasturi Nagar, Danda Lakhond",30.358155699999998,78.08796339999999,ChIJ9yMeD8PXCDkRcI6RyG6RcNs,https://www.google.com/maps/place/?q=place_id:ChIJ9yMeD8PXCDkRcI6RyG6RcNs,part_336,2026-09-20 20:42:58
Sukh Yoga,Yoga Center,Yoga studio,"Yoga studio, Yoga instructor, Yoga Retreat Center, Fitness center",744301,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Carnicobar S.O, Kakana B.O, Lapathy B.O",+91 96733 31414,N/A,5.0,270,"2nd floor, 7 heaven, 2nd floor, 7 heaven, Bhutkarwadi chowk, Balikasharm Road,Ahilyanagar Sukh Yoga Studio, Savedi, Ahilyanagar, Maharashtra 414003","Bhutkarwadi, Savedi",19.1139112,74.72821429999999,ChIJ3RqZOmO73DsRSDY_s4YHN9U,https://www.google.com/maps/place/?q=place_id:ChIJ3RqZOmO73DsRSDY_s4YHN9U,part_336,2026-09-20 20:42:58
YujValley,Yoga Center,Yoga studio,"Yoga studio, Fitness center, Meditation center, Yoga instructor, Yoga Retreat Center",744301,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Carnicobar S.O, Kakana B.O, Lapathy B.O",+91 83405 65447,https://yujvalley.com/,4.9,388,"Samaj Kalyan Samiti Rajendra Nagar, Road, 6, Patna-4, Patna, Bihar 800004","Dujra, Rajendra Nagar",25.6094096,85.1631991,ChIJBbbvsP9Z7TkRUtwpUR0I-hg,https://www.google.com/maps/place/?q=place_id:ChIJBbbvsP9Z7TkRUtwpUR0I-hg,part_336,2026-09-20 20:42:58
"Yogvidya Yogasan Class, Phaltan. Satara",Yoga Center,Yoga studio,"Yoga studio, Yoga instructor",744301,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Carnicobar S.O, Kakana B.O, Lapathy B.O",+91 91757 33130,N/A,4.7,90,"6, Siddhivinayak Apt, Rambaug Township, near Sajai Garden, Phaltan, Maharashtra 415523",Safai Kamgar Colony,17.9752185,74.428564,ChIJiZIcj7W6wzsRGNo1knLrW4c,https://www.google.com/maps/place/?q=place_id:ChIJiZIcj7W6wzsRGNo1knLrW4c,part_336,2026-09-20 20:42:58
Vedic Yog Kendra,Yoga Center,Yoga studio,"Yoga studio, Bikram yoga studio, Health consultant, Meditation center, Meditation Class, Training center, Wellness center, Wellness program, Yoga instructor, Yoga Retreat Center",744301,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Carnicobar S.O, Kakana B.O, Lapathy B.O",+91 75003 33750,http://vedicyogkendra.com/,4.9,282,"7-C, Balbir Rd, near Dena Bank Chowk, Dalanwala, Dehradun, Uttarakhand 248001",Dalanwala,30.3068866,78.0553374,ChIJAcWQbzwpCTkRe1JPDtsK-O8,https://www.google.com/maps/place/?q=place_id:ChIJAcWQbzwpCTkRe1JPDtsK-O8,part_336,2026-09-20 20:42:58
ADIYOGI YOGSHALA,Yoga Center,Yoga studio,Yoga studio,744301,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Carnicobar S.O, Kakana B.O, Lapathy B.O",+91 96603 40366,N/A,4.9,58,"VJ Complex, Udaipur Rd, Sindhi Colony, Pratap Nagar, Chittorgarh, Rajasthan 312001","Sindhi Colony, Pratap Nagar",24.8755365,74.61905759999999,ChIJH8e0fgihaDkRVasyNZG8fYw,https://www.google.com/maps/place/?q=place_id:ChIJH8e0fgihaDkRVasyNZG8fYw,part_336,2026-09-20 20:42:58
Spiritual Yoga Studio,Yoga Center,Yoga instructor,"Yoga instructor, Service establishment",744301,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Carnicobar S.O, Kakana B.O, Lapathy B.O",+91 81788 02638,https://creative-templates-hub.my.canva.site/spiritual-yoga-studio,4.9,229,"Spiritual Yoga Studio, 744301, India",744301,28.325437599999997,77.3262815,ChIJE2JdntzdDDkRHfDfi6bdIDY,https://www.google.com/maps/place/?q=place_id:ChIJE2JdntzdDDkRHfDfi6bdIDY,part_336,2026-09-20 20:42:58
SARVAANG YOGA Center,Yoga Center,Yoga studio,Yoga studio,744301,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Carnicobar S.O, Kakana B.O, Lapathy B.O",+91 98994 00246,N/A,4.8,287,"Ist Floor, 5E, 40, 2/3 Dividing Rd, New Industrial Township, Faridabad, Haryana 121012","Block D, New Industrial Township 3, New Industrial Township",28.390328999999998,77.2898996,ChIJ-aPlDD3cDDkRw_yCCeZxvF8,https://www.google.com/maps/place/?q=place_id:ChIJ-aPlDD3cDDkRw_yCCeZxvF8,part_336,2026-09-20 20:42:58
Energy Yoga Healing Centre,Yoga Center,Yoga studio,Yoga studio,744301,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Carnicobar S.O, Kakana B.O, Lapathy B.O",+91 92795 94005,http://bbs.yoga/,4.6,32,"Professor colony, Dariyapur Gola, RK Ave, side, Patna, Bihar 800016","Dariyapur Gola, Dariyapur, side",25.6120968,85.15415329999999,ChIJWVQj4fNY7TkRv0owaV7geUI,https://www.google.com/maps/place/?q=place_id:ChIJWVQj4fNY7TkRv0owaV7geUI,part_336,2026-09-20 20:42:58
Batai Yoga Centre,Yoga Center,Yoga instructor,Yoga instructor,744301,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Carnicobar S.O, Kakana B.O, Lapathy B.O",+91 91470 88783,N/A,4.8,26,"351/1, GT Rd, Bataitala, Kazipada, Shalimar, Howrah, West Bengal 711103","Bataitala, Kazipada, Shalimar",22.562392499999998,88.31615719999999,ChIJj5H9F1J5AjoRKytEuz0sDUM,https://www.google.com/maps/place/?q=place_id:ChIJj5H9F1J5AjoRKytEuz0sDUM,part_336,2026-09-20 20:42:58
