business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
IIT COMPUTER EDUCATION,Computer Training Institute,Education center,"Education center, Coaching Center, Educational institution",744303,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Nancowrie S.O, Champin B.O, Chowra B.O",+91 70550 02299,https://iitce.com/,4.9,,"B.R.S TOWER 1st FLOOR, NEAR BLUE DART COURIER ARYA NAGAR CHOWK JWALAPUR HARIDWAR (UK, Haridwar, Uttarakhand 249407",Arya Nagar,29.925905399999998,78.1243586,ChIJk2VlFCRGCTkR0gv-4GZR01I,https://www.google.com/maps/place/?q=place_id:ChIJk2VlFCRGCTkR0gv-4GZR01I,part_336,2026-09-20 20:45:49
Tech Booster,Computer Training Institute,Software Training Institute,"Software Training Institute, Certification agency, Education center, Educational consultant, Educational institution, Learning center, Training center, Vocational school",744303,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Nancowrie S.O, Champin B.O, Chowra B.O",+91 84040 49881,http://www.techbooster.co.in/,4.7,,"House No-209, Zoo Rd, near Rupali Path Jonali, AIDC, Nabin Nagar, Guwahati, Assam 781024","AIDC, Nabin Nagar",26.168634599999997,91.778576,ChIJIR1bKwlZWjcREww4DRW9dFg,https://www.google.com/maps/place/?q=place_id:ChIJIR1bKwlZWjcREww4DRW9dFg,part_336,2026-09-20 20:45:49
Aman Computer Institute,Computer Training Institute,Training center,"Training center, Computer repair service, Computer service, Computer training school, Educational institution, Education center",744303,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Nancowrie S.O, Champin B.O, Chowra B.O",+91 74883 72157,https://amancomputer.com/,5.0,,"1st Floor, Shop No.9, Nandji Palace, Naya Bazar, Jugsalai, Jamshedpur, Jharkhand 831006","Naya Bazar, Jugsalai",22.7716501,86.18460759999999,ChIJvdD6KE7j9TkRG0q362MfAyU,https://www.google.com/maps/place/?q=place_id:ChIJvdD6KE7j9TkRG0q362MfAyU,part_336,2026-09-20 20:45:49
"iSAN Computers Education: Python, Java, C language, Artificial intelligence, Data Science, Java full stack, Auto CAD, Tally",Computer Training Institute,Software Training Institute,"Software Training Institute, Accounting school, Coaching Center, Computer networking service, Computer software store, Computer training school, Software company, Education center, Training center, Website designer",744303,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Nancowrie S.O, Champin B.O, Chowra B.O",+91 89789 89444,http://www.isan.oc.in/,4.9,,"D.No: 2-161/1 2nd floor Thadala Complex, Bhanugudi Jct, Kakinada, Andhra Pradesh 533003",G O Colony,16.9709517,82.23627119999999,ChIJOX-zVRMoODoRkg8XNIGzfXM,https://www.google.com/maps/place/?q=place_id:ChIJOX-zVRMoODoRkg8XNIGzfXM,part_336,2026-09-20 20:45:49
EduEnvision,Computer Training Institute,Educational institution,Educational institution,744303,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Nancowrie S.O, Champin B.O, Chowra B.O",+91 98645 98734,http://www.eduenvision.in/,4.9,,"EduEnvision, Ground floor, House no: 9, Near ASEB Power House, Japorigog Zoo Road, RG Baruah Rd, Guwahati, Assam 781005",Japorigog,26.1595157,91.7875294,ChIJ56wK-l9ZWjcRPQfllHYSyW8,https://www.google.com/maps/place/?q=place_id:ChIJ56wK-l9ZWjcRPQfllHYSyW8,part_336,2026-09-20 20:45:49
GLOBAL COMPUTER INSTITUTE,Computer Training Institute,Education center,"Education center, Institute of technology",744303,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Nancowrie S.O, Champin B.O, Chowra B.O",+91 74984 29252,N/A,4.8,,"Oppo. S.T. Stand, near karam hotel, Vidhyanagar, Sangamner, Maharashtra 422605",Vidhyanagar,19.5747145,74.2078341,ChIJqwV-puYB3TsRVkiOsUN2M6o,https://www.google.com/maps/place/?q=place_id:ChIJqwV-puYB3TsRVkiOsUN2M6o,part_336,2026-09-20 20:45:49
"CEC, Ganeshguri",Computer Training Institute,Institute of technology,"Institute of technology, Computer training school",744303,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Nancowrie S.O, Champin B.O, Chowra B.O",N/A,N/A,4.5,,"Upasana Palace, Dr RP Rd, near Ganesh Mandir, Ganesh Mandir, Ganeshguri, Guwahati, Assam 781006","Ganesh Mandir, Ganeshguri",26.145895,91.78613,ChIJ5V4KUiJZWjcRvxE0YO618L0,https://www.google.com/maps/place/?q=place_id:ChIJ5V4KUiJZWjcRvxE0YO618L0,part_336,2026-09-20 20:45:49
Aditya Institute of Computer Technologies,Computer Training Institute,Educational institution,Educational institution,744303,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Nancowrie S.O, Champin B.O, Chowra B.O",+91 95724 54883,https://www.acsmindia.com/mttc,4.8,,"JVS Campus, near Kalawati Marriage Hall, Mahadeva, Siwan, Tanrwa, Bihar 841227",Mahadeva,26.234669399999998,84.3597503,ChIJYd5aP939kjkRoTdy08I4la8,https://www.google.com/maps/place/?q=place_id:ChIJYd5aP939kjkRoTdy08I4la8,part_336,2026-09-20 20:45:49
COMPUTER EDUCATION INSTITUTE,Computer Training Institute,Training center,Training center,744303,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Nancowrie S.O, Champin B.O, Chowra B.O",+91 95772 33584,http://www.ceiassam.com/,5.0,835.0,"2nd Floor, Chariali, above Allahabad Bank, Hemlata Market, Basishta Chairali, Basistha, Guwahati, Assam 781029","Hemlata Market, Basishta Chairali, Basistha",26.1125476,91.797629,ChIJH2BY5EVfWjcREnW9Hefhmcg,https://www.google.com/maps/place/?q=place_id:ChIJH2BY5EVfWjcREnW9Hefhmcg,part_336,2026-09-20 20:45:50
Dev Bhumi Computer Academy,Computer Training Institute,Training center,"Training center, Education center",744303,West Bengal Circle,Calcutta HQ Region,A - N Islands Division,"Nancowrie S.O, Champin B.O, Chowra B.O",+91 98055 00827,https://www.devbhumiedtech.com/,5.0,156.0,"2nd Floor, Thakur Complex, chowk, Sharma Niwas Hospital Rd, above Utkarsh Bank and, opposite PNB Bank, Kotla Nala, Solan, Himachal Pradesh 173212",Kotla Nala,30.905651199999998,77.1082682,ChIJUzb0fnSBDzkRS6fMnyuHQok,https://www.google.com/maps/place/?q=place_id:ChIJUzb0fnSBDzkRS6fMnyuHQok,part_336,2026-09-20 20:45:50
