business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
THERAHOME ଥେରାହୋମ୍ (Sensory Integration & Speech Therapy l Special Education & Group Therapy),Therapy Center,Occupational therapist,Occupational therapist,751001,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhubaneswar G.P.O., A G S.O, Bhubaneswar Secretariate S.O",+91 90900 97185,https://instagram.com/therahome_cdc?igshid=ZDdkNTZiNTM=,4.9,,"Plot no - N6, 463, Block N6, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","Block N6, IRC Village, Nayapalli",20.2932329,85.8192566,ChIJpT3AvlYJGToRldqlm21_nXs,https://www.google.com/maps/place/?q=place_id:ChIJpT3AvlYJGToRldqlm21_nXs,part_336,2026-09-20 20:47:10
New Hope Physiotherapy & Rehabilitation Center,Therapy Center,Occupational therapist,"Occupational therapist, Physiotherapy Center",751001,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhubaneswar G.P.O., A G S.O, Bhubaneswar Secretariate S.O",+91 98532 48805,N/A,5.0,,"Market St, MLA Colony, Unit 4, Bhouma Nagar, Bhubaneswar, Odisha 751001","MLA Colony, Unit 4, Bhouma Nagar",20.277073899999998,85.83266689999999,ChIJCSVbtl6nGToROwty_WGSU3k,https://www.google.com/maps/place/?q=place_id:ChIJCSVbtl6nGToROwty_WGSU3k,part_336,2026-09-20 20:47:10
Kar Physiotherapy & Rehabilitation Center,Therapy Center,Physiotherapy Center,"Physiotherapy Center, Rehabilitation center",751001,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhubaneswar G.P.O., A G S.O, Bhubaneswar Secretariate S.O",+91 99373 37674,https://karphysiotherapy.com/,4.9,,"&hospital Pvt. Ltd, plot no-A/30,unit-4,back side of Kar clinic, Bhubaneswar, Odisha 751001","Unit 4, Bhouma Nagar",20.2768174,85.8324785,ChIJ5brzuF6nGToRh1iqtNF-GBQ,https://www.google.com/maps/place/?q=place_id:ChIJ5brzuF6nGToRh1iqtNF-GBQ,part_336,2026-09-20 20:47:10
MpowerMe Occupational Therapy Center,Therapy Center,Occupational therapist,"Occupational therapist, Speech & Hearing Specialist",751001,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhubaneswar G.P.O., A G S.O, Bhubaneswar Secretariate S.O",+91 63726 69680,http://www.mpowerme.in/,5.0,,"Plot no, SCR 12, near LIC OFFICE, Unit 7, Surya Nagar, Bhubaneswar, Odisha 751001","Unit 7, Surya Nagar",20.2666806,85.81888579999999,ChIJe_8U2kSnGToRpej1y1OZ_K0,https://www.google.com/maps/place/?q=place_id:ChIJe_8U2kSnGToRpej1y1OZ_K0,part_336,2026-09-20 20:47:10
HEALING TOUCH THERAPY CENTER (For Children with Neurological Disorders),Therapy Center,Medical clinic,Medical clinic,751001,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhubaneswar G.P.O., A G S.O, Bhubaneswar Secretariate S.O",+91 87637 89674,N/A,4.5,,"P.P.-31, Tankapani Rd, Badagada Brit Colony, Pandav Nagar, Bhubaneswar, Odisha 751018","Badagada Brit Colony, Pandav Nagar",20.246536,85.85029209999999,ChIJqw-EtDWhGToRSiTUTjz3SiU,https://www.google.com/maps/place/?q=place_id:ChIJqw-EtDWhGToRSiTUTjz3SiU,part_336,2026-09-20 20:47:10
Harmony Child Development Centre,Therapy Center,Occupational therapist,"Occupational therapist, Applied behavior analysis therapist, Hospital, Neurologist, Child health care center, ENT Specialist, Pediatric neurologist, Pediatrician, Rehabilitation center, Speech & Hearing Specialist",751001,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhubaneswar G.P.O., A G S.O, Bhubaneswar Secretariate S.O",+91 97766 00411,http://www.harmonytherapy.in/,4.8,,"Plot No. 2170/4071, Ravi Talkies Rd, Samantray Colony, Old Town, Bhubaneswar, Odisha 751002","Samantray Colony, Old Town",20.244563499999998,85.8386907,ChIJLWTGt7KnGToRPM9x_HPQZU8,https://www.google.com/maps/place/?q=place_id:ChIJLWTGt7KnGToRPM9x_HPQZU8,part_336,2026-09-20 20:47:10
Ashirbad Physiotherapy Center,Therapy Center,Physiotherapy Center,Physiotherapy Center,751001,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhubaneswar G.P.O., A G S.O, Bhubaneswar Secretariate S.O",+91 94375 20286,N/A,5.0,,"Quater no-VA-20/3, Unit-2, Ashok Nagar, Bhubaneswar, Odisha 751009","Unit-2, Ashok Nagar",20.263735999999998,85.8371003,ChIJl3lKmDinGToR9owLsWqgAg8,https://www.google.com/maps/place/?q=place_id:ChIJl3lKmDinGToR9owLsWqgAg8,part_336,2026-09-20 20:47:10
Little Lights Developmental Pathways,Therapy Center,Occupational therapist,Occupational therapist,751001,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhubaneswar G.P.O., A G S.O, Bhubaneswar Secretariate S.O",+91 98612 95130,https://littlelights.org.in/,5.0,,"775, Badagada Rd, Badagada Village, Pandav Nagar, Bhubaneswar, Odisha 751006","Badagada Village, Pandav Nagar",20.254315,85.850583,ChIJPRjaBQChGToR6Hiw6YpqVbw,https://www.google.com/maps/place/?q=place_id:ChIJPRjaBQChGToR6Hiw6YpqVbw,part_336,2026-09-20 20:47:10
KOSHISH DE-ADDICTION CENTER ALCOHOL & DRUG REHABILITATION CENTRE (NASHA MUKTI KENDRA),Therapy Center,Occupational therapist,"Occupational therapist, Alcoholism treatment program, Health consultant, Health counselor, Addiction treatment center, Rehabilitation center, Support group, Wellness center, Wellness program",751001,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhubaneswar G.P.O., A G S.O, Bhubaneswar Secretariate S.O",+91 97771 08444,https://koshishdeaddiction.in/,4.9,536.0,"Maruti Residency, Plot No:463, Raghunathpur, Bhubaneswar, Odisha 754005",Raghunathpur,20.376894999999998,85.8255106,ChIJ_bp3PLgJGToR0KZpwmoJF2Q,https://www.google.com/maps/place/?q=place_id:ChIJ_bp3PLgJGToR0KZpwmoJF2Q,part_336,2026-09-20 20:47:10
Propelmind,Therapy Center,Occupational therapist,"Occupational therapist, Physiotherapist, Preschool, Psychologist, Recreation center, Speech & Hearing Specialist",751001,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhubaneswar G.P.O., A G S.O, Bhubaneswar Secretariate S.O",+91 70777 76404,N/A,4.8,,"Infront of Mani Tribhuvan Apartment, 4th Floor, Galaxy Mall,Patia, Nandankanan Rd, Raghunathpur, Bhubaneswar, Odisha 751024",Raghunathpur,20.3680414,85.8316495,ChIJDU1snbEJGToRvUmZnemrMXA,https://www.google.com/maps/place/?q=place_id:ChIJDU1snbEJGToRvUmZnemrMXA,part_336,2026-09-20 20:47:10
Physiotherapy clinic,Therapy Center,Physiotherapy Center,Physiotherapy Center,751001,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhubaneswar G.P.O., A G S.O, Bhubaneswar Secretariate S.O",+91 79785 20332,N/A,5.0,,"Plot No 303, Unit 6, Ganga Nagar, Bhubaneswar, Odisha 751001","Unit 6, Ganga Nagar",20.2608544,85.8165552,ChIJo_Z3YA2nGToRgx3WfAU9y3g,https://www.google.com/maps/place/?q=place_id:ChIJo_Z3YA2nGToRgx3WfAU9y3g,part_336,2026-09-20 20:47:10
Ashirbad Speech and Hearing Clinic,Therapy Center,Speech & Hearing Specialist,Speech & Hearing Specialist,751001,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhubaneswar G.P.O., A G S.O, Bhubaneswar Secretariate S.O",+91 90904 06724,N/A,4.9,17.0,"Quarter o -VA-20/3, Unit-2, Ashok Nagar, Bhubaneswar, Odisha 751009","Unit-2, Ashok Nagar",20.2646618,85.8359631,ChIJJ0sQ3OSnGToRdq4PjrqxX0o,https://www.google.com/maps/place/?q=place_id:ChIJJ0sQ3OSnGToRdq4PjrqxX0o,part_336,2026-09-20 20:47:10
SIR JI THERAPY CENTRE,Therapy Center,Spa,Spa,751001,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhubaneswar G.P.O., A G S.O, Bhubaneswar Secretariate S.O",N/A,N/A,5.0,,"plot No-71, Bapuji Nagar, Bhubaneswar, Odisha 751009",Bapuji Nagar,20.2571612,85.83522599999999,ChIJUbFByaQkZkwR1h2UcUTV5fA,https://www.google.com/maps/place/?q=place_id:ChIJUbFByaQkZkwR1h2UcUTV5fA,part_336,2026-09-20 20:47:10
