business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MAHAPATRA HANDICRAFTS EMPORIUM (A unit of P.R Exports),Exporters,Stone carving,"Stone carving, Craft store, Painting",751002,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bankual B.O, Gopinathpur B.O, Itipur B.O",+91 94370 31861,N/A,5.0,,"Nuagaon, Gangotri Nagar, Bhubaneswar, Odisha 751002",Gangotri Nagar,20.2239972,85.84453599999999,ChIJvfRnPtKmGToRrCYwlMxU5XA,https://www.google.com/maps/place/?q=place_id:ChIJvfRnPtKmGToRrCYwlMxU5XA,part_336,2026-09-20 20:48:08
"Trimurti Art & Crafts ! Manufacturer, Traders , Exporter",Exporters,Craft store,Craft store,751002,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bankual B.O, Gopinathpur B.O, Itipur B.O",+91 98610 61413,N/A,4.6,,"Plot No. 26, Puri Rd, near Shisupal Chhak, Gangotri Nagar, Bhubaneswar, Odisha 751002",Gangotri Nagar,20.2212432,85.8464386,ChIJbSHfc82mGToR4tAIqK0ETBI,https://www.google.com/maps/place/?q=place_id:ChIJbSHfc82mGToR4tAIqK0ETBI,part_336,2026-09-20 20:48:08
Dhauli Handicraft,Exporters,Toy manufacturer,Toy manufacturer,751002,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bankual B.O, Gopinathpur B.O, Itipur B.O",+91 73772 10517,N/A,5.0,,"Gymnasium, Itipur, Bhubaneswar, Odisha 751002",Gymnasium,20.2025135,85.8346074,ChIJ5ZCWveOnGToRbvR-p23NB6E,https://www.google.com/maps/place/?q=place_id:ChIJ5ZCWveOnGToRbvR-p23NB6E,part_336,2026-09-20 20:48:08
Jay Lakshmi Enterprises,Exporters,Manufacturer,Manufacturer,751002,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bankual B.O, Gopinathpur B.O, Itipur B.O",+91 78095 20229,http://www.bhaktisutra.in/,5.0,,"Near, Hi-tech Plaza Rd, Madhipur, Bhubaneswar, Odisha 751002",751002,20.2032703,85.8011784,ChIJRSI4CJGnGToRkRVBp6X4KX8,https://www.google.com/maps/place/?q=place_id:ChIJRSI4CJGnGToRkRVBp6X4KX8,part_336,2026-09-20 20:48:08
SITARAM TRADERS,Exporters,Laboratory equipment supplier,"Laboratory equipment supplier, Furniture Manufacturer, Interior Decorator, Interior designer",751002,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bankual B.O, Gopinathpur B.O, Itipur B.O",N/A,https://sites.google.com/view/sitaram-traders?usp=sharing,4.0,,"BACK SIDE OFHITECH PLAZA, SUNDERPADA, Bhubaneswar, Odisha 751002",SUNDERPADA,20.204217099999997,85.8023319,ChIJVVCYhgmnGToRZaa8MKMs6dc,https://www.google.com/maps/place/?q=place_id:ChIJVVCYhgmnGToRZaa8MKMs6dc,part_336,2026-09-20 20:48:08
Billionagro Marine Exports,Exporters,Exporter,Exporter,751002,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bankual B.O, Gopinathpur B.O, Itipur B.O",+91 70777 77232,N/A,,,"PLOT NO-2132, PIN : 751002, 4309, Nageswar Tangi, JAYDEB NAGAR, Bhubaneswar, Odisha 751002","Nageswar Tangi, JAYDEB NAGAR",20.250463399999997,85.8396655,ChIJVVVVlTCnGToRnsWRTffOeCk,https://www.google.com/maps/place/?q=place_id:ChIJVVVVlTCnGToRnsWRTffOeCk,part_336,2026-09-20 20:48:08
JOGIRAJ SUPPLIER PVT LIMITED….,Exporters,Construction Material Wholesaler,Construction Material Wholesaler,751002,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bankual B.O, Gopinathpur B.O, Itipur B.O",+91 78734 61421,N/A,5.0,,"1006, Kapila Prasad, Mishra House, Bhubaneswar, Odisha 751002","Kapila Prasad, Mishra House",20.23086,85.82111429999999,ChIJ0VS7WgCnGToRIYP2KKVrDqY,https://www.google.com/maps/place/?q=place_id:ChIJ0VS7WgCnGToRIYP2KKVrDqY,part_336,2026-09-20 20:48:08
MAHAPATRA HANDICRAFTS,Exporters,Handicraft Exporter,"Handicraft Exporter, Stone carving, Wood Working Class",751002,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bankual B.O, Gopinathpur B.O, Itipur B.O",+91 94395 39621,http://www.mahapatrahandicrafts.blogspot.com/,4.7,,"Plot No. -3545/4095, old ort garage road, oldtown, Front road of lingaraj temple, Bhubaneswar, Odisha 751002","Gouri Nagar, Old Town",20.237244699999998,85.83766849999999,ChIJKY7S1CenGToRjC8XY1BLaqg,https://www.google.com/maps/place/?q=place_id:ChIJKY7S1CenGToRjC8XY1BLaqg,part_336,2026-09-20 20:48:09
Alashore Marine Exports Pvt. Ltd.(Unit - 2),Exporters,Exporter,"Exporter, Food & Beverage Exporter",751002,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bankual B.O, Gopinathpur B.O, Itipur B.O",+91 73810 50536,https://alashoremarine.com/,5.0,,"Naraharipur, Biruhan, Odisha 756060",751002,21.450812499999998,86.8620625,ChIJJVgPCgBfHDoRPdpUX-xj8X8,https://www.google.com/maps/place/?q=place_id:ChIJJVgPCgBfHDoRPdpUX-xj8X8,part_336,2026-09-20 20:48:09
Gokaldas Exports limited,Exporters,Corporate office,Corporate office,751002,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bankual B.O, Gopinathpur B.O, Itipur B.O",N/A,N/A,5.0,,"7VFH+JHV, Kesora, Bhubaneswar, Odisha 751002",751002,20.2741233,85.87893439999999,ChIJu-hsDQChGToRS3nBoFl6yVw,https://www.google.com/maps/place/?q=place_id:ChIJu-hsDQChGToRS3nBoFl6yVw,part_336,2026-09-20 20:48:09
