business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
KUMAR GURU MISHRA,Bridal Wear and Wedding Collection,Bridal shop,"Bridal shop, Designer Clothing Store, Clothing store, Fashion designer, Haute couture fashion house",751003,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Baramunda Colony S.O, Andharua B.O, Bharatpur B.O",+91 93105 09605,http://www.kumargurumishra.co.in/,4.9,,"N3/70 (D, N3, Block N3, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","N3, Block N3, IRC Village, Nayapalli",20.2950125,85.80655759999999,ChIJ_UUwrPwJGToRcJtW2kC6nDM,https://www.google.com/maps/place/?q=place_id:ChIJ_UUwrPwJGToRcJtW2kC6nDM,part_336,2026-09-20 20:48:23
Label Roshan,Bridal Wear and Wedding Collection,Bridal shop,Bridal shop,751003,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Baramunda Colony S.O, Andharua B.O, Bharatpur B.O",N/A,N/A,3.4,,"n 1, 14, CRP Ekamra Kanana Rd, N1, Block N1, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","N1, Block N1, IRC Village, Nayapalli",20.288704,85.805849,ChIJz9z0P_EJGToRDUcRrNghsiI,https://www.google.com/maps/place/?q=place_id:ChIJz9z0P_EJGToRDUcRrNghsiI,part_336,2026-09-20 20:48:23
VULMI Bridal Studio,Bridal Wear and Wedding Collection,Make-up artist,"Make-up artist, Beauty Parlour, Bridal shop",751003,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Baramunda Colony S.O, Andharua B.O, Bharatpur B.O",+91 76538 01990,N/A,5.0,,"1st Floor, Gobind Complex, Plot No 799, Sum Hospital Square, above SBI Bank, Bharatpur, Bhubaneswar, Odisha 751029",Bharatpur,20.285874099999997,85.7710766,ChIJX-cdMC4JGToRTpkd5J_h5C4,https://www.google.com/maps/place/?q=place_id:ChIJX-cdMC4JGToRTpkd5J_h5C4,part_336,2026-09-20 20:48:23
Rajwara – The Royal Maggam House,Bridal Wear and Wedding Collection,Bridal shop,"Bridal shop, Boutique, Clothing store, Designer Clothing Store, Fashion designer",751003,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Baramunda Colony S.O, Andharua B.O, Bharatpur B.O",N/A,N/A,5.0,,"Plot No. A-3 HIG, Baramunda Housing Board Colony, Baramunda, Bhubaneswar, Odisha 751003","Baramunda Housing Board Colony, Baramunda",20.2838399,85.7959781,ChIJT0ZfTZ2nGToRYWIzsVM8RSU,https://www.google.com/maps/place/?q=place_id:ChIJT0ZfTZ2nGToRYWIzsVM8RSU,part_336,2026-09-20 20:48:23
Sonakshi's MakeOver,Bridal Wear and Wedding Collection,Bridal shop,Bridal shop,751003,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Baramunda Colony S.O, Andharua B.O, Bharatpur B.O",+91 79787 33933,N/A,4.6,,"Flat No D/18, MetroCity Appartment, Beherasahi, Nilakantha Nagar, Nayapalli, Bhubaneswar, Odisha 751012","Beherasahi, Nilakantha Nagar, Nayapalli",20.2869509,85.81519759999999,ChIJ3c7AgSAJGToRMA2VCPDDLYU,https://www.google.com/maps/place/?q=place_id:ChIJ3c7AgSAJGToRMA2VCPDDLYU,part_336,2026-09-20 20:48:23
Gunjan Make Up & Styling Atelier,Bridal Wear and Wedding Collection,Make-up artist,"Make-up artist, Beauty Parlour, Bridal shop, Wedding service",751003,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Baramunda Colony S.O, Andharua B.O, Bharatpur B.O",+91 70087 88891,https://instagram.com/gunjanmakeupzone?igshid=YmMyMTA2M2Y=,4.9,,"n 1/13, CRP Ekamra Kanana Rd, opposite of CRPF Road, N1, Block N1, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","N1, Block N1, IRC Village, Nayapalli",20.2890811,85.8057382,ChIJZ3hiJwkJGToRPBeSrbh31RQ,https://www.google.com/maps/place/?q=place_id:ChIJZ3hiJwkJGToRPBeSrbh31RQ,part_336,2026-09-20 20:48:23
ସାଇଶିବ ପୁଜା ଭଣ୍ଡାର,Bridal Wear and Wedding Collection,Bridal shop,Bridal shop,751003,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Baramunda Colony S.O, Andharua B.O, Bharatpur B.O",+91 98614 46403,N/A,5.0,,"7QJW+M42, CRP Cental School Rd, Housing Board Colony E-79, Baramunda Housing Board Colony, Baramunda, Bhubaneswar, Odisha 751003","Housing Board Colony E-79, Baramunda Housing Board Colony, Baramunda",20.2816375,85.7952632,ChIJ-wq_mycIGToRhhYUJli3L1Q,https://www.google.com/maps/place/?q=place_id:ChIJ-wq_mycIGToRhhYUJli3L1Q,part_336,2026-09-20 20:48:23
Fine Touch Bridal Hena & Makeup,Bridal Wear and Wedding Collection,Bridal shop,"Bridal shop, Service establishment",751003,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Baramunda Colony S.O, Andharua B.O, Bharatpur B.O",N/A,N/A,,,"Fine Touch Bridal Hena & Makeup, 751003, India",751003,20.084817599999997,85.6301089,ChIJIU2JzdynGToRKYyjOsCOGOA,https://www.google.com/maps/place/?q=place_id:ChIJIU2JzdynGToRKYyjOsCOGOA,part_336,2026-09-20 20:48:23
Wild Cats - Bridal boutique & Best Wedding Gown Shop in Bangalore,Bridal Wear and Wedding Collection,Bridal shop,"Bridal shop, Clothing store, Wedding store, Western apparel store",751003,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Baramunda Colony S.O, Andharua B.O, Bharatpur B.O",+91 80 4171 0110,N/A,4.9,3881.0,"338/5, Narayan Pillai Street 2nd Cross, Commercial Street, Bengaluru, Karnataka 560001","Tasker Town, Shivaji Nagar",12.9817849,77.608324,ChIJLT6jaGEWrjsRomfghpmcqZc,https://www.google.com/maps/place/?q=place_id:ChIJLT6jaGEWrjsRomfghpmcqZc,part_336,2026-09-20 20:48:24
The Bridal Studio Hyderabad,Bridal Wear and Wedding Collection,Bridal shop,Bridal shop,751003,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Baramunda Colony S.O, Andharua B.O, Bharatpur B.O",+91 91003 00300,N/A,4.6,217.0,"2-4-65, chandulal bowli, sikh village, Secunderabad, Telangana 500009","chandulal bowli, sikh village",17.456543399999997,78.487533,ChIJTyewZv6byzsROvPWaJBcy3E,https://www.google.com/maps/place/?q=place_id:ChIJTyewZv6byzsROvPWaJBcy3E,part_336,2026-09-20 20:48:25
