business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Unicare Salon & Spa,Spa,Spa,Spa,751006,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Budheswari Colony S.O, Kalpana Square S.O, Laxmisagar S.O (Khorda)",+91 95835 63259,N/A,5.0,51.0,"Plot No: 8, Kalpana Rd, Buddha Nagar, Laxmisagar, Bhubaneswar, Odisha 751009","Buddha Nagar, Laxmisagar",20.2593961,85.8415436,ChIJ9cL6HtinGToRJx4iHsyo_9Q,https://www.google.com/maps/place/?q=place_id:ChIJ9cL6HtinGToRJx4iHsyo_9Q,part_336,2026-09-20 20:50:43
Spa Palace Bhubaneswar,Spa,Spa,Spa,751006,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Budheswari Colony S.O, Kalpana Square S.O, Laxmisagar S.O (Khorda)",+91 77520 86555,https://www.spapalace.in/,4.9,14.0,"2nd floor, Ganesh Mandap Chhaka, Plot no: 684/2509 & 683/5160, Jail Rd, Jharapada, Bhubaneswar, Odisha 751006",Jharapada,20.277291299999998,85.8602617,ChIJH_ZhQr0NgwUR2fOCzY0CnnY,https://www.google.com/maps/place/?q=place_id:ChIJH_ZhQr0NgwUR2fOCzY0CnnY,part_336,2026-09-20 20:50:43
COMFORT SPA,Spa,Health spa,Health spa,751006,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Budheswari Colony S.O, Kalpana Square S.O, Laxmisagar S.O (Khorda)",+91 80932 20353,N/A,4.2,5.0,"Plot No 1051, Cuttack - Puri Bypass Rd, Bhubaneswar, Odisha 751006",751006,20.2695445,85.8705098,ChIJ7adr1QyhGToRhWvGYfT3JpU,https://www.google.com/maps/place/?q=place_id:ChIJ7adr1QyhGToRhWvGYfT3JpU,part_336,2026-09-20 20:50:43
Eco Belleza The Spa,Spa,Spa,Spa,751006,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Budheswari Colony S.O, Kalpana Square S.O, Laxmisagar S.O (Khorda)",+91 85980 14477,N/A,5.0,9.0,"inside IRA Hotel by Orchid, Laxmisagar, Bhubaneswar, Odisha 751006",Laxmisagar,20.2732137,85.8515062,ChIJ7aO-qPOhGToRG85hFb7jI4w,https://www.google.com/maps/place/?q=place_id:ChIJ7aO-qPOhGToRG85hFb7jI4w,part_336,2026-09-20 20:50:43
The S2 Spa,Spa,Spa,Spa,751006,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Budheswari Colony S.O, Kalpana Square S.O, Laxmisagar S.O (Khorda)",N/A,N/A,4.5,13.0,"Back Side, Skechers Show room, near Adventure Hotel, Ashok Nagar, Bhubaneswar, Odisha 751009",Ashok Nagar,20.2628752,85.83887419999999,ChIJMyMRZVmnGToRy_eA772ZQ6w,https://www.google.com/maps/place/?q=place_id:ChIJMyMRZVmnGToRy_eA772ZQ6w,part_336,2026-09-20 20:50:43
The King's Spa & Saloon,Spa,Spa and health club,Spa and health club,751006,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Budheswari Colony S.O, Kalpana Square S.O, Laxmisagar S.O (Khorda)",N/A,N/A,4.9,,"Mangaraj Point, Kesora, Bhubaneswar, Odisha 751025",751006,20.2761885,85.8717956,ChIJc3mGWBGhGToR6wUSbUb-Kug,https://www.google.com/maps/place/?q=place_id:ChIJc3mGWBGhGToR6wUSbUb-Kug,part_336,2026-09-20 20:50:43
Akasa Spa at Fortune Park Sishmo | Luxury Spa in Bhubaneswar,Spa,Spa and health club,Spa and health club,751006,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Budheswari Colony S.O, Kalpana Square S.O, Laxmisagar S.O (Khorda)",+91 73411 19273,https://www.akasa.in/locations/luxury-spa-bhubaneshwar-fortune-park-sishmo,5.0,,"86/A-1, Fortune Park Sishmo, Gautam Nagar, Bhubaneswar, Odisha 751009",Gautam Nagar,20.258930799999998,85.8394782,ChIJib17HbynGToR3p03gB2Amoo,https://www.google.com/maps/place/?q=place_id:ChIJib17HbynGToR3p03gB2Amoo,part_336,2026-09-20 20:50:43
Mayra Spa & Salon,Spa,Spa,"Spa, Facial spa, Make-up artist, Massage therapist, Nail salon, Thai massage therapist",751006,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Budheswari Colony S.O, Kalpana Square S.O, Laxmisagar S.O (Khorda)",+91 94373 17777,https://www.mayraspasalon.com/body-massage-services-in-bbsr/,4.2,95.0,"2nd Floor, Station Bazar, Plot No 435, Cuttack Rd, near Sai Teample, Buddha Nagar, Laxmisagar, Bhubaneswar, Odisha 751006","Buddha Nagar, Laxmisagar",20.2642512,85.8459388,ChIJjeG7z1-nGToRGhDsh-3iT68,https://www.google.com/maps/place/?q=place_id:ChIJjeG7z1-nGToRGhDsh-3iT68,part_336,2026-09-20 20:50:44
Spaly Paras Ayurvedic Spa,Spa,Spa,"Spa, Massage spa, Massage therapist",751006,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Budheswari Colony S.O, Kalpana Square S.O, Laxmisagar S.O (Khorda)",+91 91244 33891,https://spamart.in/listing/paras-ayurvedic-spa/,4.6,11.0,"Hotel Upasana, Near, Laxmisagar, Bhubaneswar, Odisha 751006","Buddha Nagar, Laxmisagar",20.2621353,85.84339109999999,ChIJlz_gQ-KnGToRaQI4d285vdg,https://www.google.com/maps/place/?q=place_id:ChIJlz_gQ-KnGToRaQI4d285vdg,part_336,2026-09-20 20:50:44
Fenton Pools,Spa,Swimming pool contractor,"Swimming pool contractor, Swimming pool repair service, Swimming pool supply store",751006,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Budheswari Colony S.O, Kalpana Square S.O, Laxmisagar S.O (Khorda)",+91 91191 50321,https://www.fentonpool.com/,4.9,18.0,"Fenton Technologies, Sunder Nagar, Jaipur, Rajasthan 302020",Sunder Nagar,26.843752499999997,75.75126159999999,ChIJZyZgQS-1bTkRI43A_MDSiuQ,https://www.google.com/maps/place/?q=place_id:ChIJZyZgQS-1bTkRI43A_MDSiuQ,part_336,2026-09-20 20:50:45
