business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mio Amore,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,751011,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,C R P Lines S.O,+91 82491 28889,https://mioamoreshop.com/,4.2,1161.0,"Ramchandrapur Bazar, near harivhaina Chowk, Jatni, Khordha, Odisha 752050",751011,20.1644729,85.6992475,ChIJHeTyGryuGToR-NJQuYvFgG4,https://www.google.com/maps/place/?q=place_id:ChIJHeTyGryuGToR-NJQuYvFgG4,part_336,2026-09-20 20:53:58
1 Bake Shop,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,751011,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,C R P Lines S.O,+91 98278 78843,https://www.1bakeshop.com/,3.8,4.0,"In Amrita Complex, CRP - DAV Rd, Nilakantha Nagar, Nayapalli, Bhubaneswar, Odisha 751012","Nilakantha Nagar, Nayapalli",20.2842926,85.8088128,ChIJ-ylkZ7QJGToRmcSLkLiza_c,https://www.google.com/maps/place/?q=place_id:ChIJ-ylkZ7QJGToRmcSLkLiza_c,part_336,2026-09-20 20:53:58
The Jena's cake,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,751011,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,C R P Lines S.O,+91 90402 06240,N/A,4.9,,"Baghamari, Odisha 752061",751011,20.2206115,85.4997468,ChIJc63tQwBXGDoRTW2MYRp-DMc,https://www.google.com/maps/place/?q=place_id:ChIJc63tQwBXGDoRTW2MYRp-DMc,part_336,2026-09-20 20:53:58
Paris Bakery,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,751011,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,C R P Lines S.O,N/A,N/A,4.0,,"Samanta Chandra Sekhar Nagar, 41/269, VIP Rd, near बंधन बैंक, Puri, Odisha 752001",751011,19.8065237,85.83279259999999,ChIJ9WSfAx7EGToRCX2xy1i3l-g,https://www.google.com/maps/place/?q=place_id:ChIJ9WSfAx7EGToRCX2xy1i3l-g,part_336,2026-09-20 20:53:58
Honey Bee Bakery And Pizzeria,Bakery and Cake Shop,Bakery and Cake Shop,"Bakery and Cake Shop, Cafe, Restaurant, Western restaurant",751011,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,C R P Lines S.O,N/A,N/A,4.3,,"Badasirei, Puri, Odisha 752002",Badasirei,19.8028543,85.84241779999999,ChIJ0w6ZAAHEGToRTd-7C757TJw,https://www.google.com/maps/place/?q=place_id:ChIJ0w6ZAAHEGToRTd-7C757TJw,part_336,2026-09-20 20:53:58
Shree Radhe Radhe Bakery,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,751011,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,C R P Lines S.O,+91 74157 50080,N/A,4.1,,"Sindhi Dharamshala, road, Sindhi Dharamshala, Civil Line, Tikamgarh, Madhya Pradesh 472001","Sindhi Dharamshala, Civil Line",24.7487608,78.8322161,ChIJK9mV1l1PeDkRuNJNbJDhfsw,https://www.google.com/maps/place/?q=place_id:ChIJK9mV1l1PeDkRuNJNbJDhfsw,part_336,2026-09-20 20:53:58
La Berry Patisserie Indore,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,751011,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,C R P Lines S.O,+91 89624 14591,N/A,4.4,,"Shop no. 5, Raj Royal Aptt, khatiwala tank, Saifee Nagar, Indore, Madhya Pradesh 452014","khatiwala tank, Saifee Nagar",22.697851,75.85550169999999,ChIJ33Q3BwH9YjkRW14tGNH71_k,https://www.google.com/maps/place/?q=place_id:ChIJ33Q3BwH9YjkRW14tGNH71_k,part_336,2026-09-20 20:53:58
Pacific Espresso,Bakery and Cake Shop,Cafe,Cafe,751011,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,C R P Lines S.O,+91 72057 22558,N/A,4.4,,"Madhusudan Marg, Kalyanpur, Khordha, Odisha 752056",751011,20.1744856,85.61661099999999,ChIJtXf3PRitGToRq9XW7VvK-UU,https://www.google.com/maps/place/?q=place_id:ChIJtXf3PRitGToRq9XW7VvK-UU,part_336,2026-09-20 20:53:58
Patisserie Victoria,Bakery and Cake Shop,Cafe,"Cafe, Coffee shop, Patisserie",751011,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,C R P Lines S.O,+91 96735 48133,N/A,4.0,,"Pajifond, Margao, Goa 403601",Pajifond,15.278060499999999,73.959058,ChIJ74F5gN2zvzsRoFY3QI40mdQ,https://www.google.com/maps/place/?q=place_id:ChIJ74F5gN2zvzsRoFY3QI40mdQ,part_336,2026-09-20 20:53:58
Trupti Bakes-N-Beans,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,751011,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,C R P Lines S.O,+91 731 400 6290,N/A,4.1,,"245, Ranjeet Hanuman Rd, Opposite Ranjeet Hanuman, Usha Nagar, Indore, Madhya Pradesh 452009","Opposite Ranjeet Hanuman, Usha Nagar",22.7003553,75.8369968,ChIJEbv1bbP9YjkRiulVS6Y4KtQ,https://www.google.com/maps/place/?q=place_id:ChIJEbv1bbP9YjkRiulVS6Y4KtQ,part_336,2026-09-20 20:53:58
