business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ajit Auto Workshop,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,751011,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,C R P Lines S.O,+91 70086 15263,N/A,4.4,,"Plot no -441, N3, Block N3, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","N3, Block N3, IRC Village, Nayapalli",20.294648499999997,85.8085511,ChIJpXe_2fkJGToRj4F67GAOuxA,https://www.google.com/maps/place/?q=place_id:ChIJpXe_2fkJGToRj4F67GAOuxA,part_336,2026-09-20 20:54:08
Mamu bike garage,Two Wheeler Repair and Mechanic,Auto repair shop,Auto repair shop,751011,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,C R P Lines S.O,N/A,N/A,,,"Plot No:428/4855, near Bhramara Petrol station, Nilakantha Nagar, Nayapalli, Bhubaneswar, Odisha 751012","Nilakantha Nagar, Nayapalli",20.2862626,85.8105992,ChIJMTfyKgAJGToRXS9DPByqr6M,https://www.google.com/maps/place/?q=place_id:ChIJMTfyKgAJGToRXS9DPByqr6M,part_336,2026-09-20 20:54:08
Shriyansi Automobile service Center,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,751011,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,C R P Lines S.O,N/A,N/A,3.0,,"Plot No - 1294/9, Left Turn After, Indian Oil(Bhambera Petrol Pump) Before, CRP - DAV Rd, Nilakantha Nagar, Nayapalli, Bhubaneswar, Odisha 751012","Nilakantha Nagar, Nayapalli",20.2851629,85.80987449999999,ChIJZbA7t14JGToRMyCMeQjuVrI,https://www.google.com/maps/place/?q=place_id:ChIJZbA7t14JGToRMyCMeQjuVrI,part_336,2026-09-20 20:54:08
Arjun place,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,751011,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,C R P Lines S.O,N/A,N/A,,,"7QHV+HW9, Baramunda Housing Board Colony, Baramunda, Bhubaneswar, Odisha 751003","Baramunda Housing Board Colony, Baramunda",20.278902199999997,85.7948582,ChIJpQLgPwCnGToR0HPcVaOBy60,https://www.google.com/maps/place/?q=place_id:ChIJpQLgPwCnGToR0HPcVaOBy60,part_336,2026-09-20 20:54:08
bajaj service station,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,751011,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,C R P Lines S.O,+91 98610 39638,N/A,3.6,,"Plot no-N5, 531, N4, Block N4, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","N4, Block N4, IRC Village, Nayapalli",20.2936943,85.8084511,ChIJ0csbRc0JGToR1I_xOpvmzPw,https://www.google.com/maps/place/?q=place_id:ChIJ0csbRc0JGToR1I_xOpvmzPw,part_336,2026-09-20 20:54:08
MAA LAXMI BAJAJ SERVICE,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,751011,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,C R P Lines S.O,N/A,N/A,4.0,,"7QHW+GV5, Baramunda Housing Board Colony, Baramunda, Bhubaneswar, Odisha 751003","Baramunda Housing Board Colony, Baramunda",20.278753,85.7972307,ChIJKVF6d0OnGToRToeuCYH5-78,https://www.google.com/maps/place/?q=place_id:ChIJKVF6d0OnGToRToeuCYH5-78,part_336,2026-09-20 20:54:08
Sharma Shock Absorber Repairing Shop,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,"Two Wheeler Repair Shop, Auto repair shop",751011,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,C R P Lines S.O,+91 94373 00664,N/A,3.8,,"7RP5+3V8, Nilakantha Nagar, Nayapalli, Bhubaneswar, Odisha 751012","Nilakantha Nagar, Nayapalli",20.2851674,85.8097042,ChIJeQt87dQJGToRAj7wvTZn2ow,https://www.google.com/maps/place/?q=place_id:ChIJeQt87dQJGToRAj7wvTZn2ow,part_336,2026-09-20 20:54:08
MAMU Bike Garage,Two Wheeler Repair and Mechanic,Auto repair shop,Auto repair shop,751011,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,C R P Lines S.O,N/A,N/A,,,"7QHV+HW9, Baramunda Housing Board Colony, Baramunda, Bhubaneswar, Odisha 751003","Baramunda Housing Board Colony, Baramunda",20.278902199999997,85.7948582,ChIJqx_1IwCnGToRqddhlAOrLAA,https://www.google.com/maps/place/?q=place_id:ChIJqx_1IwCnGToRqddhlAOrLAA,part_336,2026-09-20 20:54:08
Suman auto workshop,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,"Two Wheeler Repair Shop, Motorcycle shop",751011,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,C R P Lines S.O,N/A,N/A,5.0,,"sure, CRP - DAV Rd, near Indian oil petrol pump, near shiv temple, Nilakantha Nagar, Nayapalli, Bhubaneswar, Odisha 751012","Nilakantha Nagar, Nayapalli",20.285425,85.8094684,ChIJR15P7dQJGToRON01iyb4uaw,https://www.google.com/maps/place/?q=place_id:ChIJR15P7dQJGToRON01iyb4uaw,part_336,2026-09-20 20:54:08
Maa Durga Auto Service,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,"Two Wheeler Repair Shop, Mechanic, Oil change service",751011,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,C R P Lines S.O,+91 88952 67661,N/A,4.5,,"Delta Colony, STUART CHHAK, Bhubaneswar, Odisha 751012","Delta Colony, STUART CHHAK",20.280241,85.80870399999999,ChIJCYZaamanGToRfk15nGyE2d8,https://www.google.com/maps/place/?q=place_id:ChIJCYZaamanGToRfk15nGyE2d8,part_336,2026-09-20 20:54:08
