business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Pradhan Traders,Auto Spare Parts Shop,Auto parts store,Auto parts store,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 83289 00392,N/A,4.9,,"1520, Baya Baba Matha Rd, Old Nayapalli, Nayapalli, Bhubaneswar, Odisha 751022","Old Nayapalli, Nayapalli",20.2858749,85.82890479999999,ChIJO2_yJw4JGToRbFzCSilHNH4,https://www.google.com/maps/place/?q=place_id:ChIJO2_yJw4JGToRbFzCSilHNH4,part_337,2026-09-20 20:17:42,2357
Mohanty Auto Spare Parts,Auto Spare Parts Shop,Motorcycle parts store,Motorcycle parts store,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 89083 33506,N/A,4.5,,"N5-93, Block N5, IRC Village, Jayadev Vihar, Bhubaneswar, Odisha 751015","Block N5, IRC Village, Jayadev Vihar",20.2979643,85.8133709,ChIJX8LHS08JGToRH8pGxciqel0,https://www.google.com/maps/place/?q=place_id:ChIJX8LHS08JGToRH8pGxciqel0,part_337,2026-09-20 20:17:42,2358
Kitlix spare parts,Auto Spare Parts Shop,Motorcycle parts store,Motorcycle parts store,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 98614 59885,N/A,5.0,,"Indradhanu Market, NAYAPALLI, Jayadev Vihar, Bhubaneswar, Odisha 751015","Indradhanu Market, NAYAPALLI, Jayadev Vihar",20.2945517,85.81401269999999,ChIJoZEV1RwJGToRMckHTWvWbf4,https://www.google.com/maps/place/?q=place_id:ChIJoZEV1RwJGToRMckHTWvWbf4,part_337,2026-09-20 20:17:42,2359
Aakhya Auto Spare & Service,Auto Spare Parts Shop,Auto parts store,Auto parts store,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,N/A,N/A,5.0,,"7RQ7+HX9 Akshay Auto Spare Parts & Service, NH 16, near Bharat Petrol Pump, Beherasahi, Nilakantha Nagar, Nayapalli, Bhubaneswar, Odisha 751012","Beherasahi, Nilakantha Nagar, Nayapalli",20.288907,85.8149919,ChIJAQAAANkJGToRAvxfiENvGVU,https://www.google.com/maps/place/?q=place_id:ChIJAQAAANkJGToRAvxfiENvGVU,part_337,2026-09-20 20:17:42,2360
Sidharth Motors,Auto Spare Parts Shop,Auto parts store,Auto parts store,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 98611 24502,N/A,4.3,,"Plot number 33 N.H-5, Beherasahi, Nilakantha Nagar, Nayapalli, Bhubaneswar, Odisha 751015","Beherasahi, Nilakantha Nagar, Nayapalli",20.288911799999997,85.8156728,ChIJH1pQ49AJGToRyVT1GsKBBx4,https://www.google.com/maps/place/?q=place_id:ChIJH1pQ49AJGToRyVT1GsKBBx4,part_337,2026-09-20 20:17:42,2361
Maa Parbati Auto Spare,Auto Spare Parts Shop,Auto parts store,Auto parts store,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 93384 81655,N/A,3.4,,"Shop No 1, 7RG3+338 Nilima Complex, near Delta Square, Trinathvihar, Soubhagya Nagar, Baramunda, Prakruti Vihar, Bhubaneswar, Odisha 751003","Trinathvihar, Soubhagya Nagar, Baramunda",20.275154699999998,85.8026897,ChIJT4_VVIGnGToRu0SuHSKVAFo,https://www.google.com/maps/place/?q=place_id:ChIJT4_VVIGnGToRu0SuHSKVAFo,part_337,2026-09-20 20:17:42,2362
Suraj Auto Parts,Auto Spare Parts Shop,Auto parts store,"Auto parts store, Wholesaler",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 99379 50402,N/A,5.0,,"Plot No. 2284, Oberoi Road, Jayadev Vihar Square, Jayadev Vihar, near Pal Heights, Bhubaneswar, Odisha 751013",Jayadev Vihar,20.296319399999998,85.8241745,ChIJe2iln8MJGToRuEn8gazBUhA,https://www.google.com/maps/place/?q=place_id:ChIJe2iln8MJGToRuEn8gazBUhA,part_337,2026-09-20 20:17:42,2363
Sankar Auto Works & Spare Parts,Auto Spare Parts Shop,Auto repair shop,"Auto repair shop, Auto parts store",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 82497 66498,N/A,3.7,,"Plot No. 1/2, 1497, Unit 4, Sastri Nagar, near SBI Colony, Bhubaneswar, Odisha 751001","SBI Colony, Shastri Nagar, Nayapalli",20.2804219,85.8263149,ChIJs6tfOmCnGToRBBiacQVn91M,https://www.google.com/maps/place/?q=place_id:ChIJs6tfOmCnGToRBBiacQVn91M,part_337,2026-09-20 20:17:42,2364
Sarala Auto Spare,Auto Spare Parts Shop,Auto parts store,Auto parts store,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 94371 85668,N/A,4.0,,"PLOT NO - N, Govt. High School, 3/457, near IRC Village, Block N5, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","Block N5, IRC Village, Nayapalli",20.2967716,85.8119816,ChIJS4qOYwAJGToRY7MV3mREYUk,https://www.google.com/maps/place/?q=place_id:ChIJS4qOYwAJGToRY7MV3mREYUk,part_337,2026-09-20 20:17:42,2365
Eureka Automobiles,Auto Spare Parts Shop,Auto parts store,Auto parts store,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 98611 62838,N/A,3.3,,"M-28, Baramunda Housing Board Colony, Baramunda, Bhubaneswar, Odisha 751003","Baramunda Housing Board Colony, Baramunda",20.2801109,85.798577,ChIJ6dDk8oenGToRVHp8KA8J0Nk,https://www.google.com/maps/place/?q=place_id:ChIJ6dDk8oenGToRVHp8KA8J0Nk,part_337,2026-09-20 20:17:42,2366
