business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"DR ANKIT PANIGRAHI'S HOMEOPATHY CLINIC, Best Homeopathy Doctor in Bhubaneswar",Homeopathic Clinic,Homeopath,"Homeopath, Doctor, Homeopathic pharmacy, Hospital, Medical clinic, Walk-in clinic",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 73268 12892,https://doctorankit.com/,4.9,,"Left turn after Indian Oil Left turn before Raj Motors, CRPF square, Plot No-1294, NH 16, Nilakantha Nagar, Nayapalli, Bhubaneswar, Odisha 751012","Nilakantha Nagar, Nayapalli",20.284967299999998,85.8097957,ChIJ5WUfZPIJGToRIHw1561ipA4,https://www.google.com/maps/place/?q=place_id:ChIJ5WUfZPIJGToRIHw1561ipA4,part_337,2026-09-20 20:17:36,1783
Aishwarya Homeopathy Clinic,Homeopathic Clinic,Homeopath,Homeopath,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 81443 71193,http://www.aishwaryahomeopathy.com/,4.9,,"Plot No-1294/7 CRP square, Left turn before Gugnani Tyres, Left turn after Bhambara petrol pump (Indian oil, NH 16, Nilakantha Nagar, Nayapalli, Bhubaneswar, Odisha 751012","Nilakantha Nagar, Nayapalli",20.284910399999998,85.8097394,ChIJ80Kr9tQJGToR-knrJ5kTTf8,https://www.google.com/maps/place/?q=place_id:ChIJ80Kr9tQJGToR-knrJ5kTTf8,part_337,2026-09-20 20:17:36,1784
DR. L. K. NANDA'S HOMOEOPATHIC CLINIC,Homeopathic Clinic,Doctor,Doctor,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 94374 21969,N/A,3.1,,"Plot no -588/1724, Unit 4, Madhusudan Nagar, Bhubaneswar, Odisha 751022","Unit 4, Madhusudan Nagar",20.285892,85.8296113,ChIJq6qquuEJGToR6_oPKAvKoEo,https://www.google.com/maps/place/?q=place_id:ChIJq6qquuEJGToR6_oPKAvKoEo,part_337,2026-09-20 20:17:36,1785
Lingaraj Homoeopathic,Homeopathic Clinic,Medical clinic,Medical clinic,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 96926 58973,N/A,4.0,,"Plot No -667, 12, Behera Sahi Rd, near Prajapati Mandap, Nuasahi, Nayapalli, Bhubaneswar, Odisha 751012","Nuasahi, Nayapalli",20.2859381,85.8205845,ChIJzUphGREJGToRxjfbV7PHeDA,https://www.google.com/maps/place/?q=place_id:ChIJzUphGREJGToRxjfbV7PHeDA,part_337,2026-09-20 20:17:36,1786
"Dr. Biswa Bhusan Pradhan, Bsc(Hons), BHMS, MD(Materia Medica), LLM, MCA | Best Homoeopathy Doctor in Odisha",Homeopathic Clinic,Homeopath,Homeopath,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 98610 77789,N/A,4.5,,"POLYCARE CLINIC, PLOT NO F3G BLOCK F1/18, INDRADHANU MARKET, NAYAPALLI, Bhubaneswar, Odisha 751015","Indradhanu Market, IRC Village, Nayapalli",20.2939267,85.8136176,ChIJU9YXEc4JGToRpdWsYM8wP-U,https://www.google.com/maps/place/?q=place_id:ChIJU9YXEc4JGToRpdWsYM8wP-U,part_337,2026-09-20 20:17:36,1787
Aastha,Homeopathic Clinic,Homeopath,Homeopath,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 99387 98703,N/A,5.0,,"LIG-197, BRIT Colony St, Sabera Colony, BRIT Colony, Nilakantha Nagar, Nayapalli, Bhubaneswar, Odisha 751012","Sabera Colony, BRIT Colony, Nilakantha Nagar, Nayapalli",20.281372899999997,85.8145729,ChIJFddpJtYJGToRJHbFUj9qULs,https://www.google.com/maps/place/?q=place_id:ChIJFddpJtYJGToRJHbFUj9qULs,part_337,2026-09-20 20:17:36,1788
DrBeheras Homeopathy clinic,Homeopathic Clinic,Health consultant,Health consultant,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 62906 74998,N/A,3.5,,"7, Indradhanu Market Rd, Indradhanu Market, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","Indradhanu Market, IRC Village, Nayapalli",20.2938491,85.81433659999999,ChIJuSrsh30JGToRQZptDgNcw6k,https://www.google.com/maps/place/?q=place_id:ChIJuSrsh30JGToRQZptDgNcw6k,part_337,2026-09-20 20:17:36,1789
Multicare Homeopathy Clinic,Homeopathic Clinic,Homeopath,"Homeopath, Medical clinic",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 99374 12150,https://www.multicarehomeopathy.com/,4.9,,"Chandrasekharpur, HIG-4/4, opposite BMC Kalyani Mandap, Housing Board Colony, Chandrasekharpur, Bhubaneswar, Odisha 751016","Housing Board Colony, Chandrasekharpur",20.3279271,85.82055129999999,ChIJNUC_d6cJGToRnvCYK5LzlOw,https://www.google.com/maps/place/?q=place_id:ChIJNUC_d6cJGToRnvCYK5LzlOw,part_337,2026-09-20 20:17:36,1790
Dr. Leena Rani Chand's Homeopathic Clinic,Homeopathic Clinic,Homeopath,Homeopath,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 94383 97389,N/A,4.7,,"Unit-3, Plot No.-184B, Labour Colony, Kharvela Nagar, Bhubaneswar, Odisha 751001","Labour Colony, Kharvela Nagar",20.2766573,85.8375185,ChIJm03fvIinGToRzEOIXE_52hk,https://www.google.com/maps/place/?q=place_id:ChIJm03fvIinGToRzEOIXE_52hk,part_337,2026-09-20 20:17:36,1791
Dr. R.N. Das (B.H.M.S) Homeopathic Clinic,Homeopathic Clinic,Homeopathic pharmacy,Homeopathic pharmacy,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,N/A,N/A,,,"7RR2+H6X, Rental Colony, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","Rental Colony, IRC Village, Nayapalli",20.2914361,85.80063229999999,ChIJs7_2AAAJGToRV0RG89b-1Ms,https://www.google.com/maps/place/?q=place_id:ChIJs7_2AAAJGToRV0RG89b-1Ms,part_337,2026-09-20 20:17:36,1792
