business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Aqua Water Solution,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Filtration plant, Water Filter Supplier, Water Testing Laboratory, Water treatment supplier, Water works",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 90905 04585,https://aquawatersolution.com/,4.9,,"3556, Lane, No-10, Plot No 353/69, Jayadev Vihar, Bhubaneswar, Odisha 751013",Jayadev Vihar,20.2982296,85.82138119999999,ChIJEaUYj40JGToRJKxPbNmlcMM,https://www.google.com/maps/place/?q=place_id:ChIJEaUYj40JGToRJKxPbNmlcMM,part_337,2026-09-20 20:17:47,3264
Aqua Water Purifier Service,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 73815 15059,http://aquawaterfilters.in/,4.8,,"Infront of Durgapuja mandap, Plot No - 156, Unit 6, Ganga Nagar, Bhubaneswar, Odisha 751001","Unit 6, Ganga Nagar",20.2649358,85.8212952,ChIJUYMaWG6nGToR4TNajorR-lw,https://www.google.com/maps/place/?q=place_id:ChIJUYMaWG6nGToR4TNajorR-lw,part_337,2026-09-20 20:17:47,3265
"RO Water Purifier Service Bhubaneswar, Aqua Tech",RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 70087 50509,https://aquatech-solution.com/,4.9,,"Plot 4013, in front of durga puja mandap, Unit-6, Bhubaneswar, Odisha 751001","Unit-6, Unit 6, Ganga Nagar",20.2651958,85.8219601,ChIJZbAjwIqnGToRU25ZtcOUEGc,https://www.google.com/maps/place/?q=place_id:ChIJZbAjwIqnGToRU25ZtcOUEGc,part_337,2026-09-20 20:17:47,3266
Quick RO Service,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 78488 90280,https://www.quickroservice.com/,4.7,,"Plot No-2100, Sabarsahi Ln, M.C, Budheswari Colony, Laxmisagar, Bhubaneswar, Odisha 751006","M.C, Budheswari Colony, Laxmisagar",20.260011799999997,85.844944,ChIJlxQ6fyenGToR-XXZG7bM-og,https://www.google.com/maps/place/?q=place_id:ChIJlxQ6fyenGToR-XXZG7bM-og,part_337,2026-09-20 20:17:47,3267
Ro Care Odisha,RO Water Purifier Sales and Service,Water Filter Supplier,"Water Filter Supplier, Water Testing Laboratory",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 80181 85328,https://rocareodisha.in/,4.9,,"Plot No:1075, Poonama Gate Flyover, Old Town, Bhubaneswar, Odisha 751002",Old Town,20.244004,85.82699199999999,ChIJuVeJwhCnGToRQgBE6MUnaHI,https://www.google.com/maps/place/?q=place_id:ChIJuVeJwhCnGToRQgBE6MUnaHI,part_337,2026-09-20 20:17:47,3268
Aquaguard Service Bhubaneswar,RO Water Purifier Sales and Service,Water purification company,Water purification company,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 80930 77530,https://aquaguardservicebhubaneswar.blogspot.com/,4.5,,"Plot No- N4, 1488, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","IRC Village, Nayapalli",20.2894002,85.8107893,ChIJE6tKuM4JGToRKcI4NvW5SS8,https://www.google.com/maps/place/?q=place_id:ChIJE6tKuM4JGToRKcI4NvW5SS8,part_337,2026-09-20 20:17:47,3269
Odisha aqua care services RO CARE,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 79784 10483,N/A,4.8,,"9R6H+39V, 2, Nandankanan Rd, near RTO, Patia, Bhubaneswar, Odisha 751024",Patia,20.3602308,85.8284205,ChIJW_VUQz4JGToRS16sG4MJxXg,https://www.google.com/maps/place/?q=place_id:ChIJW_VUQz4JGToRS16sG4MJxXg,part_337,2026-09-20 20:17:47,3270
Aquaguard Service Center,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Water Filter Supplier",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 90403 00965,https://aquaworldbbsr.in/,4.9,,"Jaydev Bihar, N-3, N4, Block N4, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","N4, Block N4, IRC Village, Nayapalli",20.294116499999998,85.80843039999999,ChIJS1x1e5gJGToRuXv-BxyjVIQ,https://www.google.com/maps/place/?q=place_id:ChIJS1x1e5gJGToRuXv-BxyjVIQ,part_337,2026-09-20 20:17:47,3271
Capital Help Line Kent Aquaguard RO Purifier service provider,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Chimney services, Countertop store, Filtration plant, Kitchen remodeler, Kitchen supply store, Repair service, Service Apartment, Water Filter Supplier, Water treatment plant",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 90904 79202,N/A,3.2,,"N5/45, Indradhanu Market, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","Indradhanu Market, IRC Village, Nayapalli",20.2914697,85.8146174,ChIJFRwLuNEJGToRKhJD2xM5Ov8,https://www.google.com/maps/place/?q=place_id:ChIJFRwLuNEJGToRKhJD2xM5Ov8,part_337,2026-09-20 20:17:47,3272
Aqua Livpure & Co. Kent Aquaguard Service,RO Water Purifier Sales and Service,Water purification company,Water purification company,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 90402 22355,N/A,3.8,,"675 ,1st floor, Saheed Nagar, Bhubaneswar, Odisha 751007",Saheed Nagar,20.2877247,85.8511477,ChIJHZYtgAEKGToR8GY6VhHhrzg,https://www.google.com/maps/place/?q=place_id:ChIJHZYtgAEKGToR8GY6VhHhrzg,part_337,2026-09-20 20:17:47,3273
Kent RO Service Bhubaneswar,RO Water Purifier Sales and Service,Water purification company,Water purification company,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 81448 23839,N/A,4.3,,"N4/1874, N4, Block N4, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","N4, Block N4, IRC Village, Nayapalli",20.2921607,85.8109029,ChIJg6qQouMJGToRHeNl_eq4Y9I,https://www.google.com/maps/place/?q=place_id:ChIJg6qQouMJGToRHeNl_eq4Y9I,part_337,2026-09-20 20:17:47,3274
Aquaguard Service Bhubaneswar | Ro Service Center | Water Purifier Care,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Service establishment",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 88478 91461,N/A,4.4,,"Aquaguard Service Bhubaneswar | Ro Service Center | Water Purifier Care, 751012, India",751012,20.138992299999998,85.8202724,ChIJa1CyoQoJGToRmc0o_2otNes,https://www.google.com/maps/place/?q=place_id:ChIJa1CyoQoJGToRmc0o_2otNes,part_337,2026-09-20 20:17:47,3275
Book My Ro Service | No.1 Ro Service in Bhubaneswar,RO Water Purifier Sales and Service,Water treatment plant,Water treatment plant,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 93373 64516,https://bookmyroservice.in/,3.9,,"Surya Nagar Rd, near LIC Office, Unit 7, Surya Nagar, Bhubaneswar, Odisha 751003","Unit 7, Surya Nagar",20.2649044,85.8171362,ChIJP9qmsmWAiyMRxa9y0Lj1DDc,https://www.google.com/maps/place/?q=place_id:ChIJP9qmsmWAiyMRxa9y0Lj1DDc,part_337,2026-09-20 20:17:47,3276
Kalinga Industries,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Air compressor supplier, Battery Manufacturer, Drinking water supplier, Mineral water company, Water Filter Supplier, Industrial consultant, Water softening equipment supplier, Water treatment plant, Water treatment supplier",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 70088 07161,http://www.kalingaindustries.com/,4.9,,"Ground Floor, 265, behind Baramunda Bus Stand, Bhubaneswar, Odisha 751003","Udayagiribihar, Baramunda",20.2725756,85.79140819999999,ChIJNf6jhzGnGToROLncst6g92M,https://www.google.com/maps/place/?q=place_id:ChIJNf6jhzGnGToROLncst6g92M,part_337,2026-09-20 20:17:47,3277
Pureit Water Purifier - Das Enterprises,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Water Filter Supplier",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 96198 01329,https://stores-near-me.pureitwater.com/pureit-water-purifier-das-enterprises-water-filter-supplier-cuttack-road-bhubaneswar-136493/Home?utm_source=locator&utm_medium=googleplaces,2.4,,"Plot No 1732, Cuttack Rd, near Shaheed Nagar - Barial Railway Over Bridge, Dayanandnagar, Nigamananda Nagar, Rasulgarh, Bhubaneswar, Odisha 751010","Dayanandnagar, Nigamananda Nagar, Rasulgarh",20.287631899999997,85.8583123,ChIJkxR3QxcLGToRe15hgEqICWg,https://www.google.com/maps/place/?q=place_id:ChIJkxR3QxcLGToRe15hgEqICWg,part_337,2026-09-20 20:17:47,3278
Ro Purifier Service Centre Bhubaneswar - AquaTech Solution,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Service establishment",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 70087 50509,https://aquatech-solution.com/top-ro-water-purifier-repair-services/,5.0,,"Ro Purifier Service Centre Bhubaneswar - AquaTech Solution, 751012, India",751012,20.1899786,84.4372568,ChIJW09OY1bmtygR-WC7JTJYP-I,https://www.google.com/maps/place/?q=place_id:ChIJW09OY1bmtygR-WC7JTJYP-I,part_337,2026-09-20 20:17:47,3279
Sri Smart Service,RO Water Purifier Sales and Service,Water purification company,Water purification company,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 86582 28627,https://srismartservice.com/,4.7,,"near India Overseas Bank, Sundarpada, Bhubaneswar, Ebaranga, Odisha 751002",Sundarpada,20.2274071,85.8145029,ChIJeeKTt3enGToR6bB-aOKVGx0,https://www.google.com/maps/place/?q=place_id:ChIJeeKTt3enGToR6bB-aOKVGx0,part_337,2026-09-20 20:17:47,3280
Bhubaneswar RO Care,RO Water Purifier Sales and Service,Home help service agency,Home help service agency,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 63722 94190,N/A,5.0,,"Tankapani Road, Ln 1, Ratnakar Bagh, Bhubaneswar, Odisha 751002","Ratnakar Bagh, Brahmeswarpatna",20.2405796,85.8490193,ChIJabeiTYOhGToRE9Ll6WzVDCc,https://www.google.com/maps/place/?q=place_id:ChIJabeiTYOhGToRE9Ll6WzVDCc,part_337,2026-09-20 20:17:47,3281
Water Care Systems,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Sewage disposal service, Sewage treatment plant, Waste management service, Water softening equipment supplier",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 94370 01807,http://www.watercaresystems.in/,4.5,,"RP-11, Tankapani Rd, Badagada Brit Colony, Pandav Nagar, Bhubaneswar, Odisha 751018","Badagada Brit Colony, Pandav Nagar",20.244761,85.851855,ChIJQ1A-8NKgGToRsCvqFmdGENY,https://www.google.com/maps/place/?q=place_id:ChIJQ1A-8NKgGToRsCvqFmdGENY,part_337,2026-09-20 20:17:47,3282
Dazzle Aqua,RO Water Purifier Sales and Service,Corporate office,Corporate office,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 1800 345 3101,http://www.dazzleaqua.com/,4.6,,"893/6351, New Colony, Palasuni, Rasulgarh, Bhubaneswar, Odisha 751010","New Colony, Palasuni, Rasulgarh",20.3044127,85.86542,ChIJEy9gO1ALGToRxQ885cwYK3I,https://www.google.com/maps/place/?q=place_id:ChIJEy9gO1ALGToRxQ885cwYK3I,part_337,2026-09-20 20:17:47,3283
