business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
M/S Narula Sarees & Readymade,Saree Showroom,Saree Shop,Saree Shop,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 93371 01861,http://narulasaree.catalog.to/,4.9,,"Narula Sarees & Readymade, Market Building, Unit-2, Ashok Nagar, Bhubaneswar, Odisha 751009","Unit-2, Ashok Nagar",20.265049299999998,85.83352769999999,ChIJi0QJeuKnGToRwJrlrVTL_K8,https://www.google.com/maps/place/?q=place_id:ChIJi0QJeuKnGToRwJrlrVTL_K8,part_337,2026-09-20 20:17:33,1018
ODC HANDLOOM,Saree Showroom,Clothing store,"Clothing store, Fabric wholesaler, Handicraft, Saree Shop",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 99375 05036,N/A,4.9,,"New, Jagamara Rd, BBSR, Jagamara, Bhubaneswar, Odisha 751030","BBSR, Jagamara",20.2573071,85.79847509999999,ChIJHyWk62SnGToRYhxrPbgjD-c,https://www.google.com/maps/place/?q=place_id:ChIJHyWk62SnGToRYhxrPbgjD-c,part_337,2026-09-20 20:17:33,1019
Shree Gobindu Collections,Saree Showroom,Clothing store,"Clothing store, Saree Shop",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 99385 12451,N/A,5.0,,"N6, n 6/517, Block N6, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","Block N6, IRC Village, Nayapalli",20.2957853,85.82247199999999,ChIJw1HZNgAJGToR6lkmItyvYYs,https://www.google.com/maps/place/?q=place_id:ChIJw1HZNgAJGToR6lkmItyvYYs,part_337,2026-09-20 20:17:33,1020
IndianVillèz,Saree Showroom,Saree Shop,"Saree Shop, Clothing store",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 78479 19670,https://www.indianvillez.com/,4.6,,"1st Floor, Mohanty Square, Plot - 625/A, Janpath Rd, opposite Tata Croma, Saheed Nagar, Bhubaneswar, Odisha 751007",Saheed Nagar,20.285771399999998,85.8437151,ChIJCbMcKQynGToRBDobwghql1M,https://www.google.com/maps/place/?q=place_id:ChIJCbMcKQynGToRBDobwghql1M,part_337,2026-09-20 20:17:33,1021
Mayuri Saree Store,Saree Showroom,Saree Shop,"Saree Shop, Shopping mall",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 674 238 4860,N/A,4.3,,"2491, Khandagiri, Bhubaneswar, Odisha 751030",Khandagiri,20.2572589,85.78733489999999,ChIJccqfjYmnGToRX2SSzFkb5vY,https://www.google.com/maps/place/?q=place_id:ChIJccqfjYmnGToRX2SSzFkb5vY,part_337,2026-09-20 20:17:33,1022
Meher exclusive,Saree Showroom,Saree Shop,Saree Shop,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,N/A,N/A,4.9,,"Housing board back side, near electric office, near BUDDHA TEMPLE, Kharvela Nagar, Bhubaneswar, Odisha 751001",Kharvela Nagar,20.278405799999998,85.8362392,ChIJeS0qSACnGToRfMjD1ryRc3c,https://www.google.com/maps/place/?q=place_id:ChIJeS0qSACnGToRfMjD1ryRc3c,part_337,2026-09-20 20:17:33,1023
Utkalamrita,Saree Showroom,Saree Shop,"Saree Shop, Fabric store, Outlet mall, Women's clothing store",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 99370 17033,http://www.utkalamrita.com/,4.8,,"2nd Floor, Vishnu Jagannath Bhawan, 75, Janpath Rd, Master Canteen Area, Kharvela Nagar, Bhubaneswar, Odisha 751001","Master Canteen Area, Kharvela Nagar",20.2723658,85.8426085,ChIJ8Zxq_P8LGToRWfJXGqjpbe4,https://www.google.com/maps/place/?q=place_id:ChIJ8Zxq_P8LGToRWfJXGqjpbe4,part_337,2026-09-20 20:17:33,1024
BigRayn Handloom and Handicrafts,Saree Showroom,Saree Shop,Saree Shop,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 63722 55010,http://www.bigrayn.in/,4.9,,"Chandra jewelry, Room no - 3D, Narula Market complex Plot no - 501 Janpath Road P C, P C, Unit 3, Kharvela Nagar, Bhubaneswar, Odisha 751001","P C, Unit 3, Kharvela Nagar",20.274272699999997,85.8432727,ChIJP5VFsICnGToRPTQ00XGdD5g,https://www.google.com/maps/place/?q=place_id:ChIJP5VFsICnGToRPTQ00XGdD5g,part_337,2026-09-20 20:17:33,1025
Geeta Saree House,Saree Showroom,Clothing store,Clothing store,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 94378 53652,N/A,4.3,,"Shop No: (KC, 6-11, Raj Path, in front of Market Building, Unit 1, Bapuji Nagar, Bhubaneswar, Odisha 751009","Unit 1, Bapuji Nagar",20.2642602,85.8320366,ChIJ6bnp50OnGToRFLnvofqeLoM,https://www.google.com/maps/place/?q=place_id:ChIJ6bnp50OnGToRFLnvofqeLoM,part_337,2026-09-20 20:17:33,1026
Oswal Saree Shop,Saree Showroom,Saree Shop,"Saree Shop, Clothing store, Women's clothing store",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 674 253 2243,N/A,3.2,,"Shop No 4, Eastern Market Building, Unit-2, Bapuji Nagar, Bhubaneswar, Odisha 751009","Unit-2, Bapuji Nagar",20.2642982,85.8345602,ChIJAQAAwECnGToRXdWVSZF22Qs,https://www.google.com/maps/place/?q=place_id:ChIJAQAAwECnGToRXdWVSZF22Qs,part_337,2026-09-20 20:17:33,1027
Jagdish Creations,Saree Showroom,Clothing store,"Clothing store, Store",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 92381 07550,N/A,4.2,,"Block No-7, Eastern Market Building, Unit-2, Bapuji Nagar, Bhubaneswar, Odisha 751009","Unit-2, Bapuji Nagar",20.2645067,85.834294,ChIJ____v0SnGToRZ29pxsPflYk,https://www.google.com/maps/place/?q=place_id:ChIJ____v0SnGToRZ29pxsPflYk,part_337,2026-09-20 20:17:33,1028
Boyanika Exclusive,Saree Showroom,Corporate office,"Corporate office, Clothing store",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 94371 51266,https://boyanika.com/,4.3,,"PPL Ln, Ekamra Vihar, Kharvela Nagar, Bhubaneswar, Odisha 751001","Ekamra Vihar, Kharvela Nagar",20.2762067,85.8349471,ChIJDfHzblmnGToR2lChHEiMtIE,https://www.google.com/maps/place/?q=place_id:ChIJDfHzblmnGToR2lChHEiMtIE,part_337,2026-09-20 20:17:33,1029
Shree Jagannath Handloom,Saree Showroom,Saree Shop,Saree Shop,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 99378 78980,N/A,4.6,,"N6, Block N6, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","Block N6, IRC Village, Nayapalli",20.2950512,85.81931209999999,ChIJT6p5GQAJGToR063ehuTaC78,https://www.google.com/maps/place/?q=place_id:ChIJT6p5GQAJGToR063ehuTaC78,part_337,2026-09-20 20:17:33,1030
