business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Bhoomi Ladies Tailor and Boutique,Tailor and Fashion Designer,Fashion designer,"Fashion designer, Tailor",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 89849 99090,N/A,4.2,,"FIRST FLOOR, N 4/243, N4, Block N4, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","N4, Block N4, IRC Village, Nayapalli",20.2934599,85.8132475,ChIJeQoQ_fMJGToRg6vIQbA8dhc,https://www.google.com/maps/place/?q=place_id:ChIJeQoQ_fMJGToRg6vIQbA8dhc,part_337,2026-09-20 20:17:33,1201
SAMPARNA TAILORING TRAINING INSTITUTE & DRESS DESIGNER,Tailor and Fashion Designer,Fabric store,Fabric store,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 79786 52606,https://sewsamparna.com/,4.6,,"PLOT NO 68, Lane 7, Soubhagya Nagar, UNIT-8, Baramunda, Bhubaneswar, Odisha 751003","Soubhagya Nagar, UNIT-8, Baramunda",20.2690905,85.8047235,ChIJry07Ut2nGToRx0Q13cBoW1M,https://www.google.com/maps/place/?q=place_id:ChIJry07Ut2nGToRx0Q13cBoW1M,part_337,2026-09-20 20:17:33,1202
Swadhin Fashion Wear,Tailor and Fashion Designer,Fashion designer,"Fashion designer, Costume store, Designer Clothing Store, Tailor",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 99371 61006,N/A,4.2,,"102, Old Ag Colony, Unit 4, Madhusudan Nagar, Bhubaneswar, Odisha 751022","Old Ag Colony, Unit 4, Madhusudan Nagar",20.282961399999998,85.82999149999999,ChIJ3-gJOOAJGToRixfWBgZo1oI,https://www.google.com/maps/place/?q=place_id:ChIJ3-gJOOAJGToRixfWBgZo1oI,part_337,2026-09-20 20:17:33,1203
Devi Fashions,Tailor and Fashion Designer,Tailor,"Tailor, Boutique, Dress store, Women's clothing store",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 77498 33573,N/A,4.2,,"1st Floor, PRIYADARSHINI MARKET, 44, CRP - DAV Rd, Gopabandhu Nagar, Bhubaneswar, Odisha 751003",Gopabandhu Nagar,20.284023299999998,85.8078464,ChIJ2511QssJGToR4Ht9I8edYLw,https://www.google.com/maps/place/?q=place_id:ChIJ2511QssJGToR4Ht9I8edYLw,part_337,2026-09-20 20:17:33,1204
Miss Fashion,Tailor and Fashion Designer,Tailor,"Tailor, Clothing alteration service",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 674 254 7015,N/A,3.6,,"B-51, Rama Devi Women's University Rd, Saheed Nagar, Bhubaneswar, Odisha 751007",Saheed Nagar,20.2930457,85.8435009,ChIJCfmJPP8JGToR02rWLNj3vhs,https://www.google.com/maps/place/?q=place_id:ChIJCfmJPP8JGToR02rWLNj3vhs,part_337,2026-09-20 20:17:33,1205
BIVABARI by Jyoshna Das,Tailor and Fashion Designer,Fashion designer,"Fashion designer, Boutique",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 94371 02005,N/A,4.5,,"1st Floor, 259E, N- 5, IRC Village, Bhubaneswar, Odisha 751015","Indradhanu Market, IRC Village, Nayapalli",20.292424699999998,85.8146929,ChIJzwW7fqkJGToRyHA2Jr5_8n0,https://www.google.com/maps/place/?q=place_id:ChIJzwW7fqkJGToRyHA2Jr5_8n0,part_337,2026-09-20 20:17:33,1206
Aristo Wear,Tailor and Fashion Designer,Custom tailor,"Custom tailor, Clothing store, Fabric store, Gents Tailor, Tailor",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 78946 60001,https://thearistowear.com/,4.4,,"Shriya Squire, 2, Janpath Rd, Industrial Area, Kharvela Nagar, Bhubaneswar, Odisha 751001","Industrial Area, Kharvela Nagar",20.2756297,85.8436686,ChIJIzRk51WnGToRzwQHg4V7Gas,https://www.google.com/maps/place/?q=place_id:ChIJIzRk51WnGToRzwQHg4V7Gas,part_337,2026-09-20 20:17:33,1207
Showbiz Tailor,Tailor and Fashion Designer,Gents Tailor,Gents Tailor,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 94378 42192,N/A,4.4,,"Ground Floor, Kalinga Enclave, Shop no-3, Bidyut Marg, near SS THE MART, Shastri Nagar, Bhubaneswar, Odisha 751012","Shastri Nagar, Nayapalli",20.284569299999998,85.8264256,ChIJd7OOZd4JGToR_rtz9j7o0i0,https://www.google.com/maps/place/?q=place_id:ChIJd7OOZd4JGToR_rtz9j7o0i0,part_337,2026-09-20 20:17:33,1208
Shree Jagannath Tailor,Tailor and Fashion Designer,Tailor,Tailor,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 98613 74557,N/A,4.8,,"Plot No L3/149, ሰርቪሰ መንገድ, near in ma bhubanswri temple, Acharya Vihar, Bhubaneswar, Odisha 751013",Acharya Vihar,20.2957034,85.83219299999999,ChIJA8SQKe8JGToRoVjxjTdZB7E,https://www.google.com/maps/place/?q=place_id:ChIJA8SQKe8JGToRoVjxjTdZB7E,part_337,2026-09-20 20:17:33,1209
RC BOUTIQUE,Tailor and Fashion Designer,Tailor,"Tailor, Boutique",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 81440 08044,N/A,4.2,,"3rd Floor, 7R8M+R2 R.C Boutique, B.M.C, Ashok Nagar, Bhubaneswar, Odisha 751009","B.M.C, Ashok Nagar",20.2661397,85.8326934,ChIJ998zQ7GnGToRmFLIsglaRC0,https://www.google.com/maps/place/?q=place_id:ChIJ998zQ7GnGToRmFLIsglaRC0,part_337,2026-09-20 20:17:33,1210
Sringar Ladies Tailor,Tailor and Fashion Designer,Tailor,"Tailor, Clothing alteration service",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 97761 72385,N/A,4.2,,"B25, near Ruchika Nursing Home, Ruchika Market, Baramunda Housing Board Colony, Baramunda, Bhubaneswar, Odisha 751003","Ruchika Market, Baramunda Housing Board Colony, Baramunda",20.277048999999998,85.793976,ChIJQ4cAD4mnGToRFBVm-VC8y4U,https://www.google.com/maps/place/?q=place_id:ChIJQ4cAD4mnGToRFBVm-VC8y4U,part_337,2026-09-20 20:17:33,1211
Welfit ladies tailor bhubaneswar,Tailor and Fashion Designer,Tailor,Tailor,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 99381 36899,N/A,4.9,,"Nayapalli nuasahi, plot no - 386, Bhubaneswar, Odisha 751012","Nuasahi, Nayapalli",20.2814996,85.8195253,ChIJqZjRM8IJGToRzq2jSsNZENM,https://www.google.com/maps/place/?q=place_id:ChIJqZjRM8IJGToRzq2jSsNZENM,part_337,2026-09-20 20:17:33,1212
Milan tailor,Tailor and Fashion Designer,Clothing store,Clothing store,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 98533 35192,N/A,4.7,,"16, Sachivalaya Marg, Old Ag Colony, Unit 4, Madhusudan Nagar, Bhubaneswar, Odisha 751022","Old Ag Colony, Unit 4, Madhusudan Nagar",20.2831649,85.8347762,ChIJHR2_vfIJGToRQLWDL-RCmDw,https://www.google.com/maps/place/?q=place_id:ChIJHR2_vfIJGToRQLWDL-RCmDw,part_337,2026-09-20 20:17:33,1213
Maa Tarini Ladies Tailor,Tailor and Fashion Designer,Tailor,Tailor,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 97770 03174,N/A,4.5,,"infront of Durga Puja mandap, BDA Colony Ln, near Keshav Medicine Store, Forest Colony, BDA Colony, Chandrasekharpur, Bhubaneswar, Odisha 751023","Forest Colony, BDA Colony, Chandrasekharpur",20.318937,85.8191803,ChIJo9LXbKUJGToRz6ofqjAbbzc,https://www.google.com/maps/place/?q=place_id:ChIJo9LXbKUJGToRz6ofqjAbbzc,part_337,2026-09-20 20:17:33,1214
My Choice Garments,Tailor and Fashion Designer,Boutique,"Boutique, Clothing store, Gents Tailor, Women's clothing store",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 78468 60474,N/A,5.0,,"Ekamra Villa, Plot-658/5369, Ekamra Vihar, Jayadev Vihar, Bhubaneswar, Odisha 751015","Ekamra Vihar, Jayadev Vihar",20.299328799999998,85.80870499999999,ChIJpdvONk0JGToRtCKV_3yPNMY,https://www.google.com/maps/place/?q=place_id:ChIJpdvONk0JGToRtCKV_3yPNMY,part_337,2026-09-20 20:17:33,1215
Suchitra Boutique,Tailor and Fashion Designer,Clothing store,Clothing store,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 83420 51001,N/A,4.5,,"Plot No: 13, Unit 4, Near Girls High School, Madhusudhan Nagar, Bhubaneswar, Odisha 751022","Old Ag Colony, Unit 4, Madhusudan Nagar",20.282801,85.834425,ChIJQSHwFOIJGToRzwDy0NaTA04,https://www.google.com/maps/place/?q=place_id:ChIJQSHwFOIJGToRzwDy0NaTA04,part_337,2026-09-20 20:17:33,1216
