business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
OMM GIFT POINT,Gifting,Gift shop,Gift shop,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 82499 29489,N/A,4.8,228.0,"12, Jan Path, Bapuji Nagar, Bhubaneswar, Odisha 751009",Bapuji Nagar,20.2563666,85.8330862,ChIJQURtTwynGToRHz30JQjXxOU,https://www.google.com/maps/place/?q=place_id:ChIJQURtTwynGToRHz30JQjXxOU,part_337,2026-09-20 20:17:54
Zion Dryfruits Gift centre,Gifting,Gift basket store,"Gift basket store, Cafe, Cake shop, Corporate gift supplier, Gift shop, Marriage celebrant",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 98278 40094,N/A,4.9,16.0,"Delta Square, 401, Paika Nagar, Nayapalli, Bhubaneswar, Odisha 751003","Paika Nagar, Nayapalli",20.2763891,85.8042483,ChIJnw_9hBSnGToRq8sLXKtbDp8,https://www.google.com/maps/place/?q=place_id:ChIJnw_9hBSnGToRq8sLXKtbDp8,part_337,2026-09-20 20:17:54
Krishna Gift House,Gifting,Gift shop,"Gift shop, Novelty store",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 98613 35950,N/A,3.9,17.0,"F-11,1st Floor, Amrita Shopping Complex, CRP - DAV Rd, Nayapalli, Bhubaneswar, Odisha 751012","Nilakantha Nagar, Nayapalli",20.2842764,85.80932,ChIJl4A44dQJGToRTEwX1ixksXo,https://www.google.com/maps/place/?q=place_id:ChIJl4A44dQJGToRTEwX1ixksXo,part_337,2026-09-20 20:17:54
Antrix Gifts & Bakery,Gifting,Gift shop,"Gift shop, Bakery and Cake Shop",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 83388 22999,https://www.facebook.com/antrixgb/,4.8,19.0,"Plot No. N-6/321, Block N6, IRC Village, Jayadev Vihar, Bhubaneswar, Odisha 751015","Block N6, IRC Village, Jayadev Vihar",20.2960225,85.8216937,ChIJj6SvE3inGToR3KZz4T30X3Y,https://www.google.com/maps/place/?q=place_id:ChIJj6SvE3inGToR3KZz4T30X3Y,part_337,2026-09-20 20:17:54
LITAN GIFT OF ARTICLE,Gifting,Gift shop,Gift shop,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,N/A,N/A,4.3,11.0,"Unit 1, Bapuji Nagar, Bhubaneswar, Odisha 751009","Unit 1, Bapuji Nagar",20.264171599999997,85.8318996,ChIJ4a8FC7ynGToRENyv0GYMXsU,https://www.google.com/maps/place/?q=place_id:ChIJ4a8FC7ynGToRENyv0GYMXsU,part_337,2026-09-20 20:17:54
Gift Smile,Gifting,Gift shop,Gift shop,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,N/A,N/A,5.0,1.0,"Lane- 11, LIG-116, BRIT Colony, Nilakantha Nagar, Nayapalli, Bhubaneswar, Odisha 751012","BRIT Colony, Nilakantha Nagar, Nayapalli",20.2822375,85.81318809999999,ChIJkSh2MykJGToRDf57cvxhHXI,https://www.google.com/maps/place/?q=place_id:ChIJkSh2MykJGToRDf57cvxhHXI,part_337,2026-09-20 20:17:54
Craft By Subhra,Gifting,Gift shop,Gift shop,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 91780 71028,N/A,5.0,1.0,"Plot No.1002/2430, Ps, CRPF Colony, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","CRPF Colony, IRC Village, Nayapalli",20.289775199999998,85.8050987,ChIJdVAGAuMJGToRg1HbIPA_sE0,https://www.google.com/maps/place/?q=place_id:ChIJdVAGAuMJGToRg1HbIPA_sE0,part_337,2026-09-20 20:17:54
BABU GIFT & COSMETICS,Gifting,Gift shop,Gift shop,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,N/A,N/A,5.0,2.0,"Mamtaz, Mumtaz Ali High School Rd, Beherasahi, Nayapalli, Bhubaneswar, Odisha 751012","Beherasahi, Nilakantha Nagar, Nayapalli",20.2849324,85.8161588,ChIJ9TeiXaAJGToRdSFspSFs97Q,https://www.google.com/maps/place/?q=place_id:ChIJ9TeiXaAJGToRdSFspSFs97Q,part_337,2026-09-20 20:17:54
AUROMA GIFTS HUB,Gifting,Gift shop,Gift shop,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,N/A,N/A,5.0,3.0,"Ground Floor, N4/242, near Vishal Megamart, beside Shreeleathers, N4, Block N4, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","N4, Block N4, IRC Village, Nayapalli",20.2935205,85.8131684,ChIJ6QsKtFcJGToRfFIrx2PgQuc,https://www.google.com/maps/place/?q=place_id:ChIJ6QsKtFcJGToRfFIrx2PgQuc,part_337,2026-09-20 20:17:54
Mohapatra Communication,Gifting,Gift shop,"Gift shop, Cell phone store, General store",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 91244 46664,N/A,4.7,135.0,"Infront, of Kalinga Stadium, 471, M S Nagar, Jayadev Vihar, Nayapalli, Bhubaneswar, Odisha 751013","Old Nayapalli Village, Kalinga Market, Old Nayapalli, Nayapalli",20.2873985,85.8266637,ChIJF-1s390JGToR9Nfub8R_dEU,https://www.google.com/maps/place/?q=place_id:ChIJF-1s390JGToR9Nfub8R_dEU,part_337,2026-09-20 20:17:54
