business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"ENTONE (Dr Sudeepta Ashe- ENT Doctor, surgeon, specialist in Bhubaneswar)",ENT Clinic,ENT Specialist,"ENT Specialist, Hospital, Medical Center, Medical clinic",751013,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,N/A,+91 98270 01919,https://entone.in/,4.8,,"5, 26, ሰርቪሰ መንገድ, near SBI ATM, Square, Acharya Vihar, Bhubaneswar, Odisha 751013","Square, Acharya Vihar",20.2966429,85.8320432,ChIJ44iFGr4JGToRNhBowYUJX0Y,https://www.google.com/maps/place/?q=place_id:ChIJ44iFGr4JGToRNhBowYUJX0Y,part_337,2026-09-20 20:18:22
Anusaya Advanced ENT Centre,ENT Clinic,Hospital,Hospital,751013,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,N/A,+91 98615 12090,N/A,5.0,,"Sai bone and joint clinic, 3rd Lane, Laxmi Vihar, Vani Vihar, Bhubaneswar, Odisha 751005","Laxmi Vihar, Vani Vihar",20.310679,85.8361295,ChIJ_2dMk5UJGToRMCYMrKspSoQ,https://www.google.com/maps/place/?q=place_id:ChIJ_2dMk5UJGToRMCYMrKspSoQ,part_337,2026-09-20 20:18:22
The ENT Care,ENT Clinic,ENT Specialist,ENT Specialist,751013,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,N/A,+91 90788 38839,http://www.drsuryakantapradhan.com/,4.9,,"105, behind BPCL petrol pump, District Center, Chandrasekharpur, Bhubaneswar, Odisha 751016","District Center, Chandrasekharpur",20.3255934,85.8188431,ChIJ50zLY1cJGToR6EA4G3nQ0JY,https://www.google.com/maps/place/?q=place_id:ChIJ50zLY1cJGToR6EA4G3nQ0JY,part_337,2026-09-20 20:18:22
Department of ENT | Apollo Hospitals Bhubaneswar,ENT Clinic,ENT Specialist,"ENT Specialist, Audiologist, Doctor, Health consultant, Otolaryngology clinic, Speech & Hearing Specialist",751013,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,N/A,+91 80 6904 9752,https://www.apollohospitals.com/hospitals/apollo-hospitals-bhubaneswar,4.5,,"Unit 15, 8R4J+8Q, plot no 251, Sainik School Rd, Doordarshan Colony, Gajapati Nagar, Bhubaneswar, Odisha 751013","Doordarshan Colony, Gajapati Nagar",20.3059056,85.8319959,ChIJtTQaKboJGToRZI9L_ebZlrk,https://www.google.com/maps/place/?q=place_id:ChIJtTQaKboJGToRZI9L_ebZlrk,part_337,2026-09-20 20:18:22
Dr. Sanjeev | Senior ENT Surgeon Apollo Hospitals Bhubaneswar. Hospital Clinic and Online | 28 Yrs+ Experience,ENT Clinic,ENT Specialist,"ENT Specialist, Audiologist, Doctor, Health consultant, Otolaryngology clinic",751013,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,N/A,+91 80930 60206,https://www.apollohospitals.com/doctors/ent-specialist/bhubaneswar/dr-sanjeev-gupta,4.8,,"Unit 15, Plot No. 251, Sainik School Rd, Doordarshan Colony, Gajapati Nagar, Bhubaneswar, Odisha 751005","Doordarshan Colony, Gajapati Nagar",20.305802999999997,85.8317005,ChIJ-5eyfKsJGToR3klflRWGrFU,https://www.google.com/maps/place/?q=place_id:ChIJ-5eyfKsJGToR3klflRWGrFU,part_337,2026-09-20 20:18:22
DR MRUTYUNJAYA ENT & HEAD NECK SURGEON,ENT Clinic,Otolaryngology clinic,Otolaryngology clinic,751013,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,N/A,+91 94394 67020,N/A,5.0,,"Sai sneha medicine store, District Center, Chandrasekharpur, Bhubaneswar, Odisha 751016","District Center, Chandrasekharpur",20.3215795,85.8172398,ChIJpQS7aA8JGToRSF-CX4wHzj0,https://www.google.com/maps/place/?q=place_id:ChIJpQS7aA8JGToRSF-CX4wHzj0,part_337,2026-09-20 20:18:22
Online ENT Consultation and Clinic,ENT Clinic,ENT Specialist,ENT Specialist,751013,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,N/A,+91 90409 61935,N/A,,,"opp. Khadi Niketan, District Center, Chandrasekharpur, Bhubaneswar, Odisha 751016","District Center, Chandrasekharpur",20.32351,85.8172637,ChIJLVAHlYAJGToR_WgYxPlY2C4,https://www.google.com/maps/place/?q=place_id:ChIJLVAHlYAJGToR_WgYxPlY2C4,part_337,2026-09-20 20:18:22
Vertigo and Balance Centre,ENT Clinic,ENT Specialist,"ENT Specialist, Medical clinic, Neurologist",751013,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,N/A,+91 89176 87055,N/A,5.0,,"Plot 29, near Tanishq Jewellery Showroom, Chandrasekharpur, Bhubaneswar, Odisha 751017",Chandrasekharpur,20.3238696,85.8209669,ChIJda7kdaoJGToR4DZoW2bvMj4,https://www.google.com/maps/place/?q=place_id:ChIJda7kdaoJGToR4DZoW2bvMj4,part_337,2026-09-20 20:18:22
Dr ALOK DAS ENT CLINIC,ENT Clinic,ENT Specialist,ENT Specialist,751013,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,N/A,N/A,N/A,5.0,,"Sebika Medicine Store, near RESONANCE COACHING CENTRE, Acharya Vihar, Bhubaneswar, Odisha 751013",Acharya Vihar,20.295556299999998,85.8331539,ChIJ5T6FAUAJGToROPmu1ijnIFw,https://www.google.com/maps/place/?q=place_id:ChIJ5T6FAUAJGToROPmu1ijnIFw,part_337,2026-09-20 20:18:22
DR.KAMALAKANATA JENA-ENT -HEAD & NECK SURGERY SPECIALIST BHUBANESWAR,ENT Clinic,ENT Specialist,ENT Specialist,751013,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,N/A,N/A,N/A,1.0,,"8R4H+CCC, SWAYAPRAJNA MEDICINES, near SAINIK SCHOOLGATE, Gajapati Nagar, Odisha 751013","Doordarshan Colony, Gajapati Nagar",20.3060682,85.8285263,ChIJmeaB4UoJGToRCpr4tnFbGSs,https://www.google.com/maps/place/?q=place_id:ChIJmeaB4UoJGToRCpr4tnFbGSs,part_337,2026-09-20 20:18:22
