business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SDM DHABA AND RESTAURANT,Dhaba and Highway Restaurant,Restaurant,Restaurant,751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",+91 84568 57573,N/A,4.4,,"MGR7+VG, Kharasankulai, Odisha 762013",751014,20.6921475,84.5138257,ChIJYU-2mbg5IjoRNwmfLewNy6U,https://www.google.com/maps/place/?q=place_id:ChIJYU-2mbg5IjoRNwmfLewNy6U,part_337,2026-09-20 20:18:58
hotel highway,Dhaba and Highway Restaurant,Dhaba,Dhaba,751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",+91 98368 36992,N/A,4.0,,"H5GW+RH2, Dhulagori, Jala Dhulagiri, West Bengal 711302",Dhulagori,22.5770183,88.1963924,ChIJUYiH37p_AjoRyJLPT8Qfj-s,https://www.google.com/maps/place/?q=place_id:ChIJUYiH37p_AjoRyJLPT8Qfj-s,part_337,2026-09-20 20:18:58
Bedi Dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",+91 99376 80898,N/A,4.0,,"CVFR+RQ8, Kalamati, Odisha 768024",751014,21.424542799999998,83.8919516,ChIJ9yuNMVg-IToRZL2NeOCLaQc,https://www.google.com/maps/place/?q=place_id:ChIJ9yuNMVg-IToRZL2NeOCLaQc,part_337,2026-09-20 20:18:58
LOPA DHABA & FAMILY RESTAURANT,Dhaba and Highway Restaurant,Family restaurant,Family restaurant,751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",N/A,N/A,3.7,,"RXFC+F3, Khaeramal, Odisha 762015",751014,20.823689299999998,83.9702233,ChIJKYvuDaXdIzoRpwpW54EpbB8,https://www.google.com/maps/place/?q=place_id:ChIJKYvuDaXdIzoRpwpW54EpbB8,part_337,2026-09-20 20:18:58
ଓଡ଼ିଆଣୀ (ODIANEE),Dhaba and Highway Restaurant,Odia restaurant,"Odia restaurant, Food producer, Restaurant",751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",+91 94370 78361,http://odianee.in/,4.0,,"National Highway 16, Panikoili near Toll plaza, Manipur, Soti, Odisha 755043",Manipur,20.8997903,86.2180546,ChIJpXyLU6hXGToRAAAAMDjm2ik,https://www.google.com/maps/place/?q=place_id:ChIJpXyLU6hXGToRAAAAMDjm2ik,part_337,2026-09-20 20:18:58
Singh Dhaba,Dhaba and Highway Restaurant,Indian restaurant,Indian restaurant,751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",N/A,N/A,4.0,,"SH 30, Faridpur, Kesharpur, Uttar Pradesh 243123",751014,28.2697747,79.5072902,ChIJyzGD23gCoDkRy5GClNpH9mM,https://www.google.com/maps/place/?q=place_id:ChIJyzGD23gCoDkRy5GClNpH9mM,part_337,2026-09-20 20:18:58
Dashmesh Dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",+91 63970 09532,N/A,3.9,,"NH 24, Jerh, Uttar Pradesh 243503",751014,28.2415107,79.5204002,ChIJixqSo174nzkRzrY0UUoafs0,https://www.google.com/maps/place/?q=place_id:ChIJixqSo174nzkRzrY0UUoafs0,part_337,2026-09-20 20:18:58
Darbar dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",N/A,N/A,4.0,,"6532+J2R, Sehore Bypass Rd, Madhya Pradesh 462030",751014,23.2041228,77.150007,ChIJYX2jah71fDkRX5nHb70f21k,https://www.google.com/maps/place/?q=place_id:ChIJYX2jah71fDkRX5nHb70f21k,part_337,2026-09-20 20:18:58
Alampur Punjabi Dhaba,Dhaba and Highway Restaurant,Punjabi restaurant,"Punjabi restaurant, Dhaba",751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",+91 98313 20723,N/A,4.0,,"Andul Rd, opposite Honda Showroom, Andul, Howrah, Mirjapur, West Bengal 711302",Andul,22.5853185,88.2180202,ChIJtx5iJA1_AjoRd-w5K00Gjn0,https://www.google.com/maps/place/?q=place_id:ChIJtx5iJA1_AjoRd-w5K00Gjn0,part_337,2026-09-20 20:18:58
Jaganatha Dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",N/A,N/A,3.6,,"7MHC+M66, Soro, Odisha 756045",751014,21.279156099999998,86.6705118,ChIJbxwmZXJuHDoRx99EAka7k0g,https://www.google.com/maps/place/?q=place_id:ChIJbxwmZXJuHDoRx99EAka7k0g,part_337,2026-09-20 20:18:58
Desi Highway Dhaba,Dhaba and Highway Restaurant,Family restaurant,Family restaurant,751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",+91 91163 05385,N/A,4.8,,"Petrol pump, Near, Trilokpura, Ranoli, Rajasthan 332403",751014,27.535154799999997,75.27946779999999,ChIJRQkj5rK_bDkRbnuwy_7nX5A,https://www.google.com/maps/place/?q=place_id:ChIJRQkj5rK_bDkRbnuwy_7nX5A,part_337,2026-09-20 20:18:58
Dhaba On Highway,Dhaba and Highway Restaurant,Indian restaurant,Indian restaurant,751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",+91 98776 35705,N/A,4.7,,"Khangsar, Himachal Pradesh 175132",751014,32.5911885,77.13530449999999,ChIJgRACSX55AzkR6uPCawqbrew,https://www.google.com/maps/place/?q=place_id:ChIJgRACSX55AzkR6uPCawqbrew,part_337,2026-09-20 20:18:58
Hotel highway,Dhaba and Highway Restaurant,Indian restaurant,Indian restaurant,751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",+91 94616 26141,N/A,5.0,,"5F85+PF9, Bagar, Desusar, Rajasthan 333023",751014,28.166784,75.4587224,ChIJRWF9awA7EzkRRJ8yU15F1wE,https://www.google.com/maps/place/?q=place_id:ChIJRWF9awA7EzkRRJ8yU15F1wE,part_337,2026-09-20 20:18:58
