business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
IDLI,South Indian Restaurant,South Indian restaurant,South Indian restaurant,751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",N/A,N/A,4.9,,"Back side of Bhanja Kala Mandap, BJB Nagar, Bhubaneswar, Odisha 751018",BJB Nagar,20.254877999999998,85.84265479999999,ChIJdcnpGgCnGToRdKml-8nkOlQ,https://www.google.com/maps/place/?q=place_id:ChIJdcnpGgCnGToRdKml-8nkOlQ,part_337,2026-09-20 20:18:58
Royal South Indian Tiffin Centre,South Indian Restaurant,South Indian restaurant,South Indian restaurant,751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",N/A,N/A,5.0,,"7R3V+HQW, BJB Nagar Rd, BJB Nagar, Bhubaneswar, Odisha 751014",BJB Nagar,20.2539905,85.8444509,ChIJpSNSXwCnGToR8DziqimXfcY,https://www.google.com/maps/place/?q=place_id:ChIJpSNSXwCnGToR8DziqimXfcY,part_337,2026-09-20 20:18:58
Vibe cafe Bhubaneswar,South Indian Restaurant,South Indian restaurant,"South Indian restaurant, Breakfast restaurant, Cafe, Coffee shop, North Indian restaurant, Vegan restaurant",751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",+91 73775 52626,N/A,4.9,,"Bypass food court, Tankapani Rd, Baragarh, Bhubaneswar, Odisha 751002",Baragarh,20.244639499999998,85.860126,ChIJJ8PfkwyhGToRYAX6ZG-Q0EE,https://www.google.com/maps/place/?q=place_id:ChIJJ8PfkwyhGToRYAX6ZG-Q0EE,part_337,2026-09-20 20:18:58
Jhadeswari South Indian Tiffin Centre,South Indian Restaurant,Breakfast restaurant,"Breakfast restaurant, Tiffin Service Provider, South Indian restaurant",751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",+91 93394 76239,N/A,4.2,,"60, Forest Park Rd New Bapuji Nagar, Forest Park Rd, New Bapuji Nagar, Bhubaneswar, Odisha 751009",New Bapuji Nagar,20.2542296,85.83050639999999,ChIJxX_yVj6nGToRByTDCYHFsm0,https://www.google.com/maps/place/?q=place_id:ChIJxX_yVj6nGToRByTDCYHFsm0,part_337,2026-09-20 20:18:58
Balaji South indian Tiffin Stall,South Indian Restaurant,South Indian restaurant,"South Indian restaurant, Tiffin Service Provider, Hawker stall",751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",+91 70089 59385,N/A,4.1,,"Master Canteen Area, Kharvela Nagar, Bhubaneswar, Odisha 751001","Master Canteen Area, Kharvela Nagar",20.271933399999998,85.843319,ChIJI0LCmVGnGToRVz2PvEx4VA0,https://www.google.com/maps/place/?q=place_id:ChIJI0LCmVGnGToRVz2PvEx4VA0,part_337,2026-09-20 20:18:58
Omm Maa South Indian A/C Restaurant,South Indian Restaurant,Restaurant,Restaurant,751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",N/A,N/A,,,"6RQM+WC5, Rath Rd, Gouri Nagar, Old Town, Bhubaneswar, Odisha 751002","Gouri Nagar, Old Town",20.239756,85.8336154,ChIJIX2EqSanGToRIbTZB8x_jgc,https://www.google.com/maps/place/?q=place_id:ChIJIX2EqSanGToRIbTZB8x_jgc,part_337,2026-09-20 20:18:58
ANNA TIFFIN SHOP,South Indian Restaurant,Tiffin center,Tiffin center,751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",+91 96585 03502,N/A,4.4,44.0,"Shankar Rd, Ashok Nagar, Bhubaneswar, Odisha 751009",Ashok Nagar,20.2618442,85.8395517,ChIJS3tIBhunGToRkziGzwDE69w,https://www.google.com/maps/place/?q=place_id:ChIJS3tIBhunGToRkziGzwDE69w,part_337,2026-09-20 20:18:58
USV's South Indian Restaurant,South Indian Restaurant,South Indian restaurant,South Indian restaurant,751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",+91 94372 73377,N/A,4.1,,"Chandini Chowk, Kataka, Odisha 753002",Chandini Chowk,20.4672598,85.8571971,ChIJ6cLOMf8NGToR_LNk-qMoFM4,https://www.google.com/maps/place/?q=place_id:ChIJ6cLOMf8NGToR_LNk-qMoFM4,part_337,2026-09-20 20:19:00
Sri Sai Balaji South Indian Dishes,South Indian Restaurant,South Indian restaurant,South Indian restaurant,751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",+91 95165 94957,N/A,4.7,,"Gulab Bagh Colony, Indore, Madhya Pradesh 452010",Gulab Bagh Colony,22.7660175,75.9052681,ChIJ6wOfyOUdYzkRLBDhqpuxaYk,https://www.google.com/maps/place/?q=place_id:ChIJ6wOfyOUdYzkRLBDhqpuxaYk,part_337,2026-09-20 20:19:00
Shree Dosaram,South Indian Restaurant,South Indian restaurant,"South Indian restaurant, Beverage Store, Continental restaurant, Indian restaurant, Restaurant, Vegetarian restaurant",751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",+91 62653 21209,https://shree-dosaram.grexa.site/,4.2,,"355 a, near bank of india, Sector A, Mahalaxmi Nagar, Indore, Madhya Pradesh 452010","Sector A, Mahalaxmi Nagar",22.7537454,75.9087435,ChIJ4Y6pDfQdYzkRsHvG3v8PfG0,https://www.google.com/maps/place/?q=place_id:ChIJ4Y6pDfQdYzkRsHvG3v8PfG0,part_337,2026-09-20 20:19:00
Suryam's MADRAS Hotel,South Indian Restaurant,South Indian restaurant,"South Indian restaurant, Breakfast restaurant",751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",+91 94373 10359,N/A,4.3,,"FV86+37W, Nimchouri, Kataka, Odisha 753002",Nimchouri,20.465230299999998,85.8607164,ChIJzTMJD_ENGToRu0iSRUuBLto,https://www.google.com/maps/place/?q=place_id:ChIJzTMJD_ENGToRu0iSRUuBLto,part_337,2026-09-20 20:19:00
Dosa Brew Restaurant,South Indian Restaurant,Restaurant,Restaurant,751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",+91 98877 87765,N/A,4.9,,"LG, Shop no 17, Complex Green Park, C-5, Rainbow Heights Rd, near GYAN vihar university, Jagatpura, Jaipur, Rajasthan 302017",Jagatpura,26.8076981,75.8708911,ChIJR5cRLxvJbTkR_nHlco5As8E,https://www.google.com/maps/place/?q=place_id:ChIJR5cRLxvJbTkR_nHlco5As8E,part_337,2026-09-20 20:19:00
Shree Vineeth's,South Indian Restaurant,South Indian restaurant,"South Indian restaurant, Breakfast restaurant",751014,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"B J B Nagar S.O, Bhubaneswar Court S.O",+91 94371 21991,N/A,3.9,,"FV6J+9R9, Dolomunai Road, Near badambadi Traffic Tower, Dolamundai Rd, Badambadi Colony, Kataka, Odisha 753009",Badambadi Colony,20.4611323,85.88190759999999,ChIJ9e1Q1YQNGToRxd_jr42s2Ro,https://www.google.com/maps/place/?q=place_id:ChIJ9e1Q1YQNGToRxd_jr42s2Ro,part_337,2026-09-20 20:19:00
