business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Global Urban Services,Housekeeping Services,House cleaning service,House cleaning service,751019,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aiginia B.O, Jadupur B.O, Patrapada B.O",+91 84802 84700,https://www.globalurbanservices.com/,4.8,,"Plot No: B2, Ruchika Market, Baramunda Housing Board Colony, Baramunda, Bhubaneswar, Odisha 751003","Ruchika Market, Baramunda Housing Board Colony, Baramunda",20.2780383,85.79474259999999,ChIJAaRkw6CnGToRqZIF6M6i3vM,https://www.google.com/maps/place/?q=place_id:ChIJAaRkw6CnGToRqZIF6M6i3vM,part_337,2026-09-20 20:22:57
BRIGHT CLEANING SERVICES,Housekeeping Services,Cleaning Services,"Cleaning Services, House cleaning service, Pest control service",751019,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aiginia B.O, Jadupur B.O, Patrapada B.O",N/A,https://www.bcsservice.in/,4.5,,"PLOT -630, 2, SUNDRAPADA HITECH, near Kalyan Plaza Road, Bhubaneswar, Kuha, Odisha 751002",751019,20.1983256,85.8009052,ChIJoSpbHIGnGToRacLXc1ctvlQ,https://www.google.com/maps/place/?q=place_id:ChIJoSpbHIGnGToRacLXc1ctvlQ,part_337,2026-09-20 20:22:57
Global Urban Services,Housekeeping Services,Home health care service,"Home health care service, Home help service agency, House cleaning service",751019,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aiginia B.O, Jadupur B.O, Patrapada B.O",+91 63719 50049,https://globalurbanservices.com/,4.8,,"K-8, Plot no-338, Sum Hospital Rd, K8 Kalinga Nagar, Kalinganagar, Bhubaneswar, Odisha 751029","K8 Kalinga Nagar, Kalinganagar",20.278768,85.7630784,ChIJddJUF5mpGToRvwMRMfeVGcs,https://www.google.com/maps/place/?q=place_id:ChIJddJUF5mpGToRvwMRMfeVGcs,part_337,2026-09-20 20:22:57
OD Manpower Pvt Ltd,Housekeeping Services,House cleaning service,"House cleaning service, Home health care service, Home help, Home help service agency",751019,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aiginia B.O, Jadupur B.O, Patrapada B.O",+91 94371 06331,https://www.odmanpower.com/,4.8,,"Plot No: B2, Ruchika Market, Baramunda Housing Board Colony, Baramunda, Bhubaneswar, Odisha 751003","Ruchika Market, Baramunda Housing Board Colony, Baramunda",20.2780202,85.7947384,ChIJEXuYNK2nGToRRTCcISRHmHA,https://www.google.com/maps/place/?q=place_id:ChIJEXuYNK2nGToRRTCcISRHmHA,part_337,2026-09-20 20:22:57
OV Care,Housekeeping Services,Cleaning service,"Cleaning service, Human resource consulting",751019,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aiginia B.O, Jadupur B.O, Patrapada B.O",+91 90400 45010,N/A,4.9,,"Plot No - 218, Ground Floor Dharma Vihar, Khandagiri, Bhubaneswar, Odisha 751030","Dharam Vihar, Khandagiri",20.2593037,85.79046029999999,ChIJV0zrW6KnGToRozuARecqfaA,https://www.google.com/maps/place/?q=place_id:ChIJV0zrW6KnGToRozuARecqfaA,part_337,2026-09-20 20:22:57
Bhubaneswar Clean Masters,Housekeeping Services,Cleaning Services,"Cleaning Services, Air duct cleaning service, Carpet cleaning service, House cleaning service, Leather cleaning service, Tile cleaning service, Upholstery cleaning service, Window cleaning service",751019,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aiginia B.O, Jadupur B.O, Patrapada B.O",+91 82806 37764,https://bhubaneswarcleanmasters.in/,4.6,,"Paradeep Port Colony, near Manipal Hospital, Kolathia, Khandagiri, Bhubaneswar, Shankarpur, Odisha 751030","Kolathia, Khandagiri",20.255909199999998,85.77285189999999,ChIJcX2xZ5unGToR72G8SGsF7LA,https://www.google.com/maps/place/?q=place_id:ChIJcX2xZ5unGToR72G8SGsF7LA,part_337,2026-09-20 20:22:57
OD Homecare,Housekeeping Services,House cleaning service,"House cleaning service, Home health care service, Home help, Home help service agency",751019,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aiginia B.O, Jadupur B.O, Patrapada B.O",+91 81178 45569,https://www.odhomecare.com/,5.0,,"Plot no: B2, Ruchika Market, Baramunda Housing Board Colony, Baramunda, Bhubaneswar, Odisha 751003","Ruchika Market, Baramunda Housing Board Colony, Baramunda",20.2780259,85.7947288,ChIJo0OlgL6nGToRlI6p-nB5pMs,https://www.google.com/maps/place/?q=place_id:ChIJo0OlgL6nGToRlI6p-nB5pMs,part_337,2026-09-20 20:22:57
MTA Next-G Solutions Pvt Ltd,Housekeeping Services,Cleaning Services,"Cleaning Services, Cleaning products supplier, Landscaper, Pest control service, Pool cleaning service",751019,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aiginia B.O, Jadupur B.O, Patrapada B.O",+91 93372 73054,https://www.mtasolutions.in/,4.9,,"Shreekhetra Vihar, Khandagiri, Bhubaneswar, Shankarpur, Odisha 751030","Shreekhetra Vihar, Khandagiri",20.2567214,85.7723805,ChIJRwz-ZVqnGToRduNBYeyMdqc,https://www.google.com/maps/place/?q=place_id:ChIJRwz-ZVqnGToRduNBYeyMdqc,part_337,2026-09-20 20:22:57
BN HOUSEHOLD SERVICES,Housekeeping Services,House cleaning service,House cleaning service,751019,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aiginia B.O, Jadupur B.O, Patrapada B.O",+91 99388 27551,N/A,,,"NearGohiria Chowk, Badaraghunathpur, Bhubaneswar, Odisha 752054",NearGohiria Chowk,20.2262819,85.7281843,ChIJmT9DjZCpGToRziueVL2A-bM,https://www.google.com/maps/place/?q=place_id:ChIJmT9DjZCpGToRziueVL2A-bM,part_337,2026-09-20 20:22:57
BD CLEANING SERVICES,Housekeeping Services,House cleaning service,House cleaning service,751019,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aiginia B.O, Jadupur B.O, Patrapada B.O",+91 91148 66508,N/A,,,"K4, Kalinga Vihar LIG, Kalinganagar, Bhubaneswar, Odisha 751019","Kalinga Vihar LIG, Kalinganagar",20.2569131,85.7574633,ChIJ-a6D-JypGToRigWpQIFSpuI,https://www.google.com/maps/place/?q=place_id:ChIJ-a6D-JypGToRigWpQIFSpuI,part_337,2026-09-20 20:22:57
V Clean 4 U . com,Housekeeping Services,Cleaning Services,Cleaning Services,751019,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aiginia B.O, Jadupur B.O, Patrapada B.O",N/A,https://vclean4u.com/,4.9,31.0,"Plot no L25/9, Panchasakha Nagar, Jagamara, Bhubaneswar, Odisha 751019","Panchasakha Nagar, Jagamara",20.250121,85.79776439999999,ChIJ-QSBy6inGToRc4lkbvGaBx0,https://www.google.com/maps/place/?q=place_id:ChIJ-QSBy6inGToRc4lkbvGaBx0,part_337,2026-09-20 20:22:58
House Heaven,Housekeeping Services,Cleaning Services,"Cleaning Services, Carpet cleaning service, House cleaning service, Pest control service, Window cleaning service",751019,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aiginia B.O, Jadupur B.O, Patrapada B.O",+91 93372 79143,https://marscard.in/house-heaven,4.9,61.0,"k4, Plot no 1278, Kalinga Vihar LIG, Kalinganagar, Bhubaneswar, Odisha 751019","Kalinga Vihar LIG, Kalinganagar",20.2569046,85.7574672,ChIJG1yCWi2pGToRsqAouTt58Zw,https://www.google.com/maps/place/?q=place_id:ChIJG1yCWi2pGToRsqAouTt58Zw,part_337,2026-09-20 20:22:58
Urban All Services,Housekeeping Services,Cleaning Services,"Cleaning Services, Painting, Waterproofing service",751019,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aiginia B.O, Jadupur B.O, Patrapada B.O",N/A,N/A,4.8,17.0,"Abhiram Nagar, Kapila Prasad, Sundarpada, Bhubaneswar, Odisha 751002","Kapila Prasad, Sundarpada",20.2321573,85.8094069,ChIJ2U-XVLCnGToR-YARqFp8TLU,https://www.google.com/maps/place/?q=place_id:ChIJ2U-XVLCnGToR-YARqFp8TLU,part_337,2026-09-20 20:22:58
OD Cleaning Services,Housekeeping Services,Cleaning Services,Cleaning Services,751019,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aiginia B.O, Jadupur B.O, Patrapada B.O",+91 98619 08572,https://odcleaning.com/,5.0,7.0,"Plot No: 534, near Santoshi Maa Temple, Patrapada, Bhubaneswar, Odisha 751019",Patrapada,20.2334361,85.7675838,ChIJCyNyOHanGToR9vbup4hlr78,https://www.google.com/maps/place/?q=place_id:ChIJCyNyOHanGToR9vbup4hlr78,part_337,2026-09-20 20:22:58
Magic Broom pest control services,Housekeeping Services,Pest control service,Pest control service,751019,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aiginia B.O, Jadupur B.O, Patrapada B.O",+91 99370 63900,https://magicbroom.in/,4.6,56.0,"Back side of Sai resort, Plot no-50, Jagamara, Khandagiri, Bhubaneswar, Odisha 751030","Amrit Nagar, Khandagiri",20.2566491,85.7905376,ChIJq6qq6kioGToRAE8QkkINLd4,https://www.google.com/maps/place/?q=place_id:ChIJq6qq6kioGToRAE8QkkINLd4,part_337,2026-09-20 20:22:58
TP Pest Control Service,Housekeeping Services,Pest control service,"Pest control service, Building restoration service, Cleaning Services, House cleaning service",751019,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aiginia B.O, Jadupur B.O, Patrapada B.O",N/A,http://www.tppestcontrolbbsr.com/,4.9,672.0,"Plot No- 393, Bhagawanpur, near Kishore Club, Patrapada, Bhubaneswar, Odisha 751019",Patrapada,20.2310211,85.7630094,ChIJ_zlRlICoGToR9-iooEcYqEA,https://www.google.com/maps/place/?q=place_id:ChIJ_zlRlICoGToR9-iooEcYqEA,part_337,2026-09-20 20:22:58
Zobhi Cleaners - Dumduma,Housekeeping Services,Dry cleaner,Dry cleaner,751019,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aiginia B.O, Jadupur B.O, Patrapada B.O",+91 78490 00905,https://zobhicleaners.in/,4.9,44.0,"Shop No-2, Dn oxy park, Arya Village, Bhubaneswar, Odisha 751019",Arya Village,20.2497103,85.7892643,ChIJDbnHjyinGToRJX0DEV10LK8,https://www.google.com/maps/place/?q=place_id:ChIJDbnHjyinGToRJX0DEV10LK8,part_337,2026-09-20 20:22:58
TP Pest control,Housekeeping Services,Pest control service,Pest control service,751019,Odisha circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aiginia B.O, Jadupur B.O, Patrapada B.O",+91 82497 31958,http://tppestcontrolbbsr.com/,4.9,828.0,"Plot No- 48, HB Colony, Phase- 1,NH- 5, Dist, Khandagiri, Bhubaneswar, Odisha 751019","Chidananda Vihar, Shreekhetra Vihar, Khandagiri",20.2515499,85.7832511,ChIJH-dJVcCnGToRWRjTaxBog-4,https://www.google.com/maps/place/?q=place_id:ChIJH-dJVcCnGToRWRjTaxBog-4,part_337,2026-09-20 20:22:58
