business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Maa Tarini Aloo Bhandar(MLLB),Fruit and Vegetable Wholesaler,Vegetable wholesale market,Vegetable wholesale market,751020,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aerodrome Area S.O, Airport S.O (Khorda), Pokhariput S.O",+91 70088 09761,N/A,4.6,,"Unit 1, Bapuji Nagar, Bhubaneswar, Odisha 751009","Unit 1, Bapuji Nagar",20.2620521,85.8331511,ChIJ9yqBl7inGToRGs24r5xsC9M,https://www.google.com/maps/place/?q=place_id:ChIJ9yqBl7inGToRGs24r5xsC9M,part_337,2026-09-20 20:23:07
1 No. Vegetables Market,Fruit and Vegetable Wholesaler,Market,Market,751020,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aerodrome Area S.O, Airport S.O (Khorda), Pokhariput S.O",N/A,N/A,4.3,,"Qr No- IV, 26/3, Market St, Unit 1, Bapuji Nagar, Bhubaneswar, Odisha 751009","Unit 1, Bapuji Nagar",20.2639818,85.831277,ChIJ9bdACHenGToR6cwPQO7qV_Q,https://www.google.com/maps/place/?q=place_id:ChIJ9bdACHenGToR6cwPQO7qV_Q,part_337,2026-09-20 20:23:07
Super Fresh Vegetables Fruits,Fruit and Vegetable Wholesaler,Vegetable wholesale market,Vegetable wholesale market,751020,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aerodrome Area S.O, Airport S.O (Khorda), Pokhariput S.O",N/A,N/A,,,"Unit 1, Market, Bhubaneswar, Odisha 751009","Unit 1, Market",20.262200099999998,85.8319856,ChIJR2KJuxanGToRWEclEztblJg,https://www.google.com/maps/place/?q=place_id:ChIJR2KJuxanGToRWEclEztblJg,part_337,2026-09-20 20:23:07
Sankar Vegetable,Fruit and Vegetable Wholesaler,Fruit and vegetable store,"Fruit and vegetable store, Vegetable wholesale market",751020,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aerodrome Area S.O, Airport S.O (Khorda), Pokhariput S.O",N/A,N/A,5.0,,"Lingaraj station road, Kapila Prasad, Bhimatangi Housing Colony, Bhubaneswar, Odisha 751020","Kapila Prasad, Bhimatangi Housing Colony",20.233936399999997,85.8164772,ChIJW_10UQCnGToRWjIqJELDOA8,https://www.google.com/maps/place/?q=place_id:ChIJW_10UQCnGToRWjIqJELDOA8,part_337,2026-09-20 20:23:07
SRI GURU SABJI BHANDAR,Fruit and Vegetable Wholesaler,Fruits & Vegetable Wholesaler,Fruits & Vegetable Wholesaler,751020,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aerodrome Area S.O, Airport S.O (Khorda), Pokhariput S.O",+91 94370 41597,N/A,5.0,,"Shop no- 12, market, near MOTHERS PUBLIC SCHOOL, Unit 1, Bapuji Nagar, Bhubaneswar, Odisha 751009","Unit 1, Bapuji Nagar",20.2619266,85.8310449,ChIJZz1-3bWnGToRYZkIQZNZQS0,https://www.google.com/maps/place/?q=place_id:ChIJZz1-3bWnGToRYZkIQZNZQS0,part_337,2026-09-20 20:23:07
Bijaylaxmi DryFruits,Fruit and Vegetable Wholesaler,Dry Fruit Store,Dry Fruit Store,751020,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aerodrome Area S.O, Airport S.O (Khorda), Pokhariput S.O",+91 79780 84900,http://www.rs.com/,3.6,,"Market St, Unit 1, Bapuji Nagar, Bhubaneswar, Odisha 751009","Unit 1, Bapuji Nagar",20.263132,85.832531,ChIJFQYtg3anGToR-V8bV67E3gs,https://www.google.com/maps/place/?q=place_id:ChIJFQYtg3anGToR-V8bV67E3gs,part_337,2026-09-20 20:23:07
P.C.M Exports,Fruit and Vegetable Wholesaler,Marketing agency,Marketing agency,751020,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aerodrome Area S.O, Airport S.O (Khorda), Pokhariput S.O",+91 83399 03307,https://pcmexports.com/,4.9,,"First Floor, Bharti Tower, 104, Forest Park, Bhubaneswar, Odisha 751009",Forest Park,20.2557935,85.823887,ChIJq6racDGnGToR4TIev1gOjVg,https://www.google.com/maps/place/?q=place_id:ChIJq6racDGnGToR4TIev1gOjVg,part_337,2026-09-20 20:23:08
Guru Kripa Exotic Vegetables,Fruit and Vegetable Wholesaler,Health food store,Health food store,751020,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aerodrome Area S.O, Airport S.O (Khorda), Pokhariput S.O",+91 96175 47878,N/A,4.9,,"New Sabji Mandi, 246, Choithram Mandi, Indore, Madhya Pradesh 452014",Choithram Mandi,22.686197699999997,75.8501847,ChIJP-4ho5T9YjkRdDZZXz0K1t4,https://www.google.com/maps/place/?q=place_id:ChIJP-4ho5T9YjkRdDZZXz0K1t4,part_337,2026-09-20 20:23:08
Capital Vegetable Market,Fruit and Vegetable Wholesaler,Fruits & Vegetable Wholesaler,Fruits & Vegetable Wholesaler,751020,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aerodrome Area S.O, Airport S.O (Khorda), Pokhariput S.O",N/A,N/A,5.0,,"7R6J+WWH, Unit 1 Main St, Unit 1, Bapuji Nagar, Bhubaneswar, Odisha 751009","Unit 1, Bapuji Nagar",20.262317799999998,85.8323475,ChIJ_3cPReenGToRLo0L0xSvupw,https://www.google.com/maps/place/?q=place_id:ChIJ_3cPReenGToRLo0L0xSvupw,part_337,2026-09-20 20:23:09
Sunrise vegetable & fruit,Fruit and Vegetable Wholesaler,Vegetable wholesale market,Vegetable wholesale market,751020,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Aerodrome Area S.O, Airport S.O (Khorda), Pokhariput S.O",+91 78795 56331,N/A,5.0,,"near khalsa chauk, Niranjanpur, Indore, Madhya Pradesh 452010",Niranjanpur,22.7787488,75.8876717,ChIJn1Op0ooDYzkR3sMWpwj0hYk,https://www.google.com/maps/place/?q=place_id:ChIJn1Op0ooDYzkR3sMWpwj0hYk,part_337,2026-09-20 20:23:09
