business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bhubaneswar Electrician S.S,Electrician,Warehouse,Warehouse,751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",+91 82495 84406,N/A,5.0,,"Saheed Nagar, Bhubaneswar, Odisha 751022",Saheed Nagar,20.2909962,85.8455788,ChIJ9wOZhNkJGToRcjCOTuCoSgQ,https://www.google.com/maps/place/?q=place_id:ChIJ9wOZhNkJGToRcjCOTuCoSgQ,part_337,2026-09-20 20:24:50
Swarnadebi electrical,Electrician,Electrical installation service,Electrical installation service,751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",N/A,N/A,,,"7RRP+5FF, UNIT- 9, Bhubaneswar, Odisha 751022",UNIT- 9,20.2904487,85.8361654,ChIJTwKMPQAJGToR3vq99-mEHjo,https://www.google.com/maps/place/?q=place_id:ChIJTwKMPQAJGToR3vq99-mEHjo,part_337,2026-09-20 20:24:50
Universal Project And Maintenance,Electrician,Electrical engineer,Electrical engineer,751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",+91 83420 00040,http://upmodisha.com/,4.7,,"House No-2, Springville Green, Tamando, Bhubaneswar, Balipada, Odisha 751028",Tamando,20.2330729,85.7485782,ChIJC91COGOoGToR1OLWf_x44dE,https://www.google.com/maps/place/?q=place_id:ChIJC91COGOoGToR1OLWf_x44dE,part_337,2026-09-20 20:24:50
BST electrical service,Electrician,Electrical installation service,"Electrical installation service, Service establishment",751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",+91 81148 00888,N/A,5.0,,"BST electrical service, 751022, India",751022,20.3447933,85.84888459999999,ChIJ3cOLU8ULGToRFCPZmRIK6PA,https://www.google.com/maps/place/?q=place_id:ChIJ3cOLU8ULGToRFCPZmRIK6PA,part_337,2026-09-20 20:24:50
Gayatri Electricals,Electrician,Electrical supply store,"Electrical supply store, Electrical equipment supplier, Electronics store",751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",+91 99386 13789,N/A,4.8,,"Plot No. 81, Old Ag Colony, Unit 4, Madhusudan Nagar, Bhubaneswar, Odisha 751022","Old Ag Colony, Unit 4, Madhusudan Nagar",20.283710499999998,85.831346,ChIJx8PjWQAJGToRjsNIp0Fa3to,https://www.google.com/maps/place/?q=place_id:ChIJx8PjWQAJGToRjsNIp0Fa3to,part_337,2026-09-20 20:24:50
Sai Baba electronics,Electrician,Television repair service,Television repair service,751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",+91 97768 63017,https://servicecenterbbsr.co.in/,5.0,465.0,"2ra, Quarter, 3/6, UNIT- 9, Bhubaneswar, Odisha 751022",UNIT- 9,20.2893501,85.8362341,ChIJfbmxXrUJGToRglSYYh9-zDE,https://www.google.com/maps/place/?q=place_id:ChIJfbmxXrUJGToRglSYYh9-zDE,part_337,2026-09-20 20:24:51
Jogesh Electrician,Electrician,Electrician,Electrician,751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",+91 63727 87443,N/A,4.3,6.0,"Kutuli, Odisha 765002",751022,19.101031,83.194372,ChIJWS9AYfw_OzoRM_0KkXzzF84,https://www.google.com/maps/place/?q=place_id:ChIJWS9AYfw_OzoRM_0KkXzzF84,part_337,2026-09-20 20:24:52
Pradhan electrical services & sales,Electrician,Electrical repair shop,Electrical repair shop,751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",N/A,N/A,,,"Old Ag Colony, Unit 4, Madhusudan Nagar, Bhubaneswar, Odisha 751022","Old Ag Colony, Unit 4, Madhusudan Nagar",20.2840784,85.83204479999999,ChIJnX1iKwAJGToRnpeptQN5MxQ,https://www.google.com/maps/place/?q=place_id:ChIJnX1iKwAJGToRnpeptQN5MxQ,part_337,2026-09-20 20:24:52
A M Electricals,Electrician,Electrical supply store,Electrical supply store,751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",+91 90404 21413,N/A,5.0,3.0,"599, Nicco Park Rd, Old Nayapalli Village, Old Nayapalli, Nayapalli, Bhubaneswar, Odisha 751022","Old Nayapalli Village, Old Nayapalli, Nayapalli",20.285852,85.827432,ChIJSzngF94JGToR51ZAgVRmnqk,https://www.google.com/maps/place/?q=place_id:ChIJSzngF94JGToR51ZAgVRmnqk,part_337,2026-09-20 20:24:52
Electric Sub station Unit-9(f),Electrician,Electrical substation,Electrical substation,751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",N/A,N/A,4.0,23.0,"UNIT 9, Bhoi Nagar, Bhubaneswar, Odisha 751022",Bhoi Nagar,20.290315,85.8362484,ChIJW6_T_eQJGToRV0BmA34R8g8,https://www.google.com/maps/place/?q=place_id:ChIJW6_T_eQJGToRV0BmA34R8g8,part_337,2026-09-20 20:24:52
