business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
S.S Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",+91 88958 40286,N/A,5.0,,"near SBI Bank Jolda A Block, New AG Colony, Bhubaneswar, Odisha 751022",New AG Colony,20.2874756,85.8332661,ChIJ8R2pdFAJGToRgKYDM_XJCSA,https://www.google.com/maps/place/?q=place_id:ChIJ8R2pdFAJGToRgKYDM_XJCSA,part_337,2026-09-20 20:24:40
Global Medi Point,Medical Store / Pharmacy,Pharmacy,Pharmacy,751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",+91 63727 14909,N/A,4.7,,"Shop No 12, Unit 4, Sachivalaya Marg, near Padma Camarcial Complex, Old Ag Colony, Unit 4, Madhusudan Nagar, Bhubaneswar, Odisha 751022","Old Ag Colony, Unit 4, Madhusudan Nagar",20.2838664,85.8347404,ChIJh9Qi9KMJGToR7Q49h7JmrUc,https://www.google.com/maps/place/?q=place_id:ChIJh9Qi9KMJGToR7Q49h7JmrUc,part_337,2026-09-20 20:24:40
MEDICINE STORE,Medical Store / Pharmacy,Pharmacy,Pharmacy,751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",N/A,N/A,1.0,,"7RRM+RVM, Rama Devi Women's University Rd, OPTCL Colony, UNIT- 9, Bhubaneswar, Odisha 751022","OPTCL Colony, UNIT- 9",20.292086599999998,85.83468309999999,ChIJU5QbleUJGToRiguctapLDfk,https://www.google.com/maps/place/?q=place_id:ChIJU5QbleUJGToRiguctapLDfk,part_337,2026-09-20 20:24:40
Swagatika Medicine Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",+91 98619 60300,N/A,5.0,,"plot no-616, Saheed Nagar, Bhubaneswar, Odisha 751007",Saheed Nagar,20.287818899999998,85.84483449999999,ChIJsRJSNfkJGToRPFD689FVP1g,https://www.google.com/maps/place/?q=place_id:ChIJsRJSNfkJGToRPFD689FVP1g,part_337,2026-09-20 20:24:40
Shakti Medicines,Medical Store / Pharmacy,Pharmacy,Pharmacy,751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",+91 99377 07182,N/A,4.5,,"Jayadev Vihar, Plot No. L/471, near New AG Colony, Old Nayapalli Village, Kalinga Market, Old Nayapalli, Nayapalli, Bhubaneswar, Odisha 751022","Old Nayapalli Village, Kalinga Market, Old Nayapalli, Nayapalli",20.2874724,85.8266727,ChIJC7J9NN4JGToRoZ-XpKK1X6I,https://www.google.com/maps/place/?q=place_id:ChIJC7J9NN4JGToRoZ-XpKK1X6I,part_337,2026-09-20 20:24:40
Megheswar Medicine Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",+91 96924 69257,N/A,5.0,,"M-2, Parthasarathi Complex, M-1, Old Ag Colony, Unit 4, Madhusudan Nagar, Bhubaneswar, Odisha 751022","Old Ag Colony, Unit 4, Madhusudan Nagar",20.2849863,85.834451,ChIJRXgazUAJGToRX-cWyY_HmZo,https://www.google.com/maps/place/?q=place_id:ChIJRXgazUAJGToRX-cWyY_HmZo,part_337,2026-09-20 20:24:40
SIMRAN MEDICINE STORE,Medical Store / Pharmacy,Pharmacy,Pharmacy,751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",N/A,N/A,,,"205, Bidyut Marg, Old Nayapalli Village, Kalinga Market, Old Nayapalli, Nayapalli, Bhubaneswar, Odisha 751022","Old Nayapalli Village, Kalinga Market, Old Nayapalli, Nayapalli",20.2836702,85.8271693,ChIJ6eWVyN8JGToRIvOQlcmV_Eo,https://www.google.com/maps/place/?q=place_id:ChIJ6eWVyN8JGToRIvOQlcmV_Eo,part_337,2026-09-20 20:24:40
Subham Pharma Chemist And Druggiest,Medical Store / Pharmacy,Pharmacy,Pharmacy,751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",+91 94371 12935,N/A,5.0,,"plotno.73, Kalimandir Rd, Satya Nagar, Bhubaneswar, Odisha 751007",Satya Nagar,20.282929799999998,85.84547309999999,ChIJT1E8N_4JGToRJBfPC3iiahs,https://www.google.com/maps/place/?q=place_id:ChIJT1E8N_4JGToRJBfPC3iiahs,part_337,2026-09-20 20:24:40
Aditya Medicine Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",+91 75048 88256,N/A,3.5,,"Nicco Park Road Plot No-497 Near Kali game Stadium Traffic Square, Bhubaneswar, Odisha 751022","Old Nayapalli Village, Old Nayapalli, Nayapalli",20.2858318,85.82735579999999,ChIJ8Q23L-8JGToRI-lW1Qyxmrc,https://www.google.com/maps/place/?q=place_id:ChIJ8Q23L-8JGToRI-lW1Qyxmrc,part_337,2026-09-20 20:24:40
Apollo Pharmacy,Medical Store / Pharmacy,Pharmacy,"Pharmacy, Baby store, Health and beauty shop, Herbal medicine store, Medical equipment supplier, Sports nutrition store, Surgical supply store, Vitamin & supplements store",751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",+91 79 4281 3969,https://www.apollopharmacy.in/,4.5,,"Plot No.550, Baya Baba Matha Rd, UNIT- 9, Bhubaneswar, Odisha 751022",UNIT- 9,20.287173799999998,85.8392622,ChIJNf0XFAAJGToRO-Ti-G9xQbo,https://www.google.com/maps/place/?q=place_id:ChIJNf0XFAAJGToRO-Ti-G9xQbo,part_337,2026-09-20 20:24:40
Maa Medicine Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",+91 98532 97304,N/A,4.3,,"Plot No: 10, Unit-4, Near Chief Engg Office, Madhusudhan Nagar, Bhubaneswar, Odisha 751022","Old Ag Colony, Unit 4, Madhusudan Nagar",20.282801,85.833913,ChIJHT19F-IJGToRPplDS7ivN78,https://www.google.com/maps/place/?q=place_id:ChIJHT19F-IJGToRPplDS7ivN78,part_337,2026-09-20 20:24:40
MedPlus Nandan Vihar,Medical Store / Pharmacy,Pharmacy,"Pharmacy, General store, Medical supply store, Sports nutrition store, Vitamin & supplements store",751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",+91 93474 15448,https://www.medplusmart.com/,3.2,,"Plot No-287/6554, Nandan Vihar, Patia, Bhubaneswar, Odisha 751024","Nandan Vihar, Patia",20.363001399999998,85.8318422,ChIJoe0r0pMJGToR0qcYQZxOcf8,https://www.google.com/maps/place/?q=place_id:ChIJoe0r0pMJGToR0qcYQZxOcf8,part_337,2026-09-20 20:24:40
sakuntala medicine store,Medical Store / Pharmacy,Pharmacy,Pharmacy,751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",+91 99371 38304,N/A,5.0,,"6, Balianta, Bhubaneswar, Odisha 752101",Balianta,20.2984077,85.8928215,ChIJm-idKwULGToRUtCqCzjEaIY,https://www.google.com/maps/place/?q=place_id:ChIJm-idKwULGToRUtCqCzjEaIY,part_337,2026-09-20 20:24:41
Meera Medicines,Medical Store / Pharmacy,Pharmacy,Pharmacy,751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",+91 98610 45257,N/A,4.2,,"G- 2, Comercial plot, Prasanti Vihar Rd, Prasanti Vihar, Patia, Bhubaneswar, Odisha 751024","Prasanti Vihar, Patia",20.360153099999998,85.8196002,ChIJrVDrHTsJGToREiqc4DAQLmU,https://www.google.com/maps/place/?q=place_id:ChIJrVDrHTsJGToREiqc4DAQLmU,part_337,2026-09-20 20:24:41
Trinity Pharma,Medical Store / Pharmacy,Pharmacy,Pharmacy,751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",N/A,N/A,5.0,,"7RVQ+WXW, Gridco Colony, Saheed Nagar, Bhubaneswar, Odisha 751022","Gridco Colony, Saheed Nagar",20.2948681,85.83995139999999,ChIJi-3Sa_AJGToR-dp2cRq4bjM,https://www.google.com/maps/place/?q=place_id:ChIJi-3Sa_AJGToR-dp2cRq4bjM,part_337,2026-09-20 20:24:42
Mahavir Drug House,Medical Store / Pharmacy,Pharmacy,Pharmacy,751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",+91 94373 56608,N/A,5.0,,"shop no 158, Bhoinagar Basti, Bhoi Nagar, Bhubaneswar, Odisha 751022","Bhoinagar Basti, Bhoi Nagar",20.294547899999998,85.8366528,ChIJY4L5je8JGToRyBf0doXxsnQ,https://www.google.com/maps/place/?q=place_id:ChIJY4L5je8JGToRyBf0doXxsnQ,part_337,2026-09-20 20:24:42
"Central Drug Store (CDS), Bhubaneswar",Medical Store / Pharmacy,Pharmacy,"Pharmacy, Drug store",751022,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Bhoinagar S.O, Acharya Vihar S.O, Madhusudan Nagar S.O (Khorda)",+91 674 238 0608,http://www.osmcl.nic.in/,5.0,,"7RHV+5V6, Industrial Area, Kharvela Nagar, Bhubaneswar, Odisha 751001","Industrial Area, Kharvela Nagar",20.277907,85.8446357,ChIJ21ZUOFSnGToRApwjHL96fSs,https://www.google.com/maps/place/?q=place_id:ChIJ21ZUOFSnGToRApwjHL96fSs,part_337,2026-09-20 20:24:42
