business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Chaiwala Babu - Cafe & Resturant,Tea Stall / Chai Cafe,Cafe,"Cafe, Restaurant",751025,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,G.G.P.Colony S.O,N/A,https://chaiwalababu.com/,4.3,1218,"7V69+QF9, New, Cuttack - Puri Bypass Rd, Meherpalli, Bhubaneswar, Odisha 750017",751025,20.2619375,85.8686875,ChIJS6CaSAChGToRciwgC01x3js,https://www.google.com/maps/place/?q=place_id:ChIJS6CaSAChGToRciwgC01x3js,part_337,2026-09-20 20:26:42
REFRESHMENT POINT (CHAI GPT),Tea Stall / Chai Cafe,Cafe,Cafe,751025,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,G.G.P.Colony S.O,N/A,N/A,5.0,16,"PLOT NO-18, Cuttack - Puri Bypass Rd, MEHERPALI, Bhubaneswar, Odisha 751006",MEHERPALI,20.2646549,85.8688842,ChIJJ7bgjaahGToRWvK1JA3g6TA,https://www.google.com/maps/place/?q=place_id:ChIJJ7bgjaahGToRWvK1JA3g6TA,part_337,2026-09-20 20:26:42
Chakadola Tea Stall,Tea Stall / Chai Cafe,Tea store,"Tea store, Cafe",751025,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,G.G.P.Colony S.O,+91 99377 78469,N/A,5.0,2,"Nuasahi, Rasulgarh, Bhubaneswar, Odisha 751025","Nuasahi, Rasulgarh",20.2953555,85.8712142,ChIJcydLNRsLGToRvtqO0yNiVa4,https://www.google.com/maps/place/?q=place_id:ChIJcydLNRsLGToRvtqO0yNiVa4,part_337,2026-09-20 20:26:42
Cha vibe,Tea Stall / Chai Cafe,Coffee shop,Coffee shop,751025,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,G.G.P.Colony S.O,+91 73817 49072,N/A,5.0,14,"Naharakanta Rd, infront of Bank of India, Hanspala, Bhubaneswar, Odisha 751035",Hanspala,20.3173824,85.87802549999999,ChIJgzPphMwLGToRDJAxSt6m80U,https://www.google.com/maps/place/?q=place_id:ChIJgzPphMwLGToRDJAxSt6m80U,part_337,2026-09-20 20:26:42
Iraini Chai,Tea Stall / Chai Cafe,Coffee shop,Coffee shop,751025,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,G.G.P.Colony S.O,N/A,N/A,2.9,29,"Kesora - Cuttack - Puri Bypass Rd, Bhubaneswar, Odisha 751006",751025,20.261864,85.86828,ChIJo2yyBQChGToRL1o5yAtxS8k,https://www.google.com/maps/place/?q=place_id:ChIJo2yyBQChGToRL1o5yAtxS8k,part_337,2026-09-20 20:26:42
TeaMax Cafe,Tea Stall / Chai Cafe,Cafe,Cafe,751025,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,G.G.P.Colony S.O,N/A,N/A,4.4,45,"Gr Floor, Plot No 3951/8993, Cuttack - Puri Bypass Rd, chowk, Pandra, Bhubaneswar, Odisha 751025","chowk, Pandra",20.288473099999997,85.8727552,ChIJJ3y6AQALGToRhhczs5epP7Y,https://www.google.com/maps/place/?q=place_id:ChIJJ3y6AQALGToRhhczs5epP7Y,part_337,2026-09-20 20:26:42
Aladdin Eats,Tea Stall / Chai Cafe,Cafe,"Cafe, Biryani restaurant, Coffee shop, Dhaba, Middle Eastern restaurant, Odia restaurant, Pan-Asian restaurant, Pizza restaurant, Tea store, Thai restaurant",751025,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,G.G.P.Colony S.O,+91 63712 91575,N/A,4.4,391,"Cuttack - Puri Bypass Rd, Bhubaneswar, Odisha 752101",751025,20.2619301,85.86830479999999,ChIJqdWleJihGToRVuPO4AzArE0,https://www.google.com/maps/place/?q=place_id:ChIJqdWleJihGToRVuPO4AzArE0,part_337,2026-09-20 20:26:42
Tea stall,Tea Stall / Chai Cafe,Momo restaurant,Momo restaurant,751025,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,G.G.P.Colony S.O,+91 70074 00579,N/A,4.0,1,"Kiit square, Patia, Bhubaneswar, Odisha 751024",Patia,20.3535015,85.8255882,ChIJo_kSPr8JGToRl91WYGGy7e0,https://www.google.com/maps/place/?q=place_id:ChIJo_kSPr8JGToRl91WYGGy7e0,part_337,2026-09-20 20:26:42
Anni Daily needs,Tea Stall / Chai Cafe,Coffee shop,Coffee shop,751025,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,G.G.P.Colony S.O,N/A,N/A,4.6,17,"plot No -178B, Block B, Sector A, Mancheswar Industrial Estate, Bhubaneswar, Odisha 751010","Block B, Sector A, Mancheswar Industrial Estate",20.3103622,85.85280759999999,ChIJSbglQiEKGToRAmKe5Yck4GU,https://www.google.com/maps/place/?q=place_id:ChIJSbglQiEKGToRAmKe5Yck4GU,part_337,2026-09-20 20:26:42
Odia Cha-o-La,Tea Stall / Chai Cafe,Coffee shop,Coffee shop,751025,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,G.G.P.Colony S.O,N/A,https://www.instagram.com/odia_cha_o_la?r=nametag,5.0,9,"Gate no. 2, Nexus Esplanade One, Near, Cuttack - Puri Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar, Odisha 751010","Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh",20.291950399999998,85.85654,ChIJDYUVlGsLGToRDe_vf25esFY,https://www.google.com/maps/place/?q=place_id:ChIJDYUVlGsLGToRDe_vf25esFY,part_337,2026-09-20 20:26:42
