business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
EKTA TRANSPORT COMPANY,Logistics and Transport Services,Transportation service,Transportation service,751027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,International Business Centre,N/A,http://www.ektatransport.com/,3.6,16.0,"4JPW+G4W, Rewari, Haryana 123401",751027,28.1363536,76.6453214,ChIJfd8XWkZPDTkRvHHdjjio83o,https://www.google.com/maps/place/?q=place_id:ChIJfd8XWkZPDTkRvHHdjjio83o,part_337,2026-09-20 20:28:18
JS Speed Logistics,Logistics and Transport Services,Transportation service,Transportation service,751027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,International Business Centre,+91 98878 09100,https://www.jssl.co.in/,1.0,1.0,"Dharuhera –Bhiwadi Main Road Opp Nirankari Satsang Bhawan Distt.Rewari (HR)12310, Bhiwadi, Haryana 123106",751027,28.209851999999998,76.812724,ChIJIe9I2J43DTkRvzicaqREvJQ,https://www.google.com/maps/place/?q=place_id:ChIJIe9I2J43DTkRvzicaqREvJQ,part_337,2026-09-20 20:28:18
S B Trans Solution,Logistics and Transport Services,Transportation service,Transportation service,751027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,International Business Centre,+91 99209 71456,http://www.sbtranssolution.com/,4.4,7.0,"G No.7,Sarita Estate, Opp St.Jude's School, Near Lalji Mulji Transport and Uma Hotel, 90feet Road. 90ft Rd, Andheri East, Saki Naka, Mumbai, Maharashtra 400072","Swatantrya Veer Savarkar, Ashok Nagar, Saki Naka",19.0956238,72.8907942,ChIJLfWC1mTI5zsRuisptRJz4_c,https://www.google.com/maps/place/?q=place_id:ChIJLfWC1mTI5zsRuisptRJz4_c,part_337,2026-09-20 20:28:18
Transporters,Logistics and Transport Services,Transportation service,Transportation service,751027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,International Business Centre,N/A,N/A,3.0,2.0,"5/697, Gomti Nagar, Vikaskhand 5, Gwari Village, Vikas Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010","Vikaskhand 5, Gwari Village, Vikas Khand, Gomti Nagar",26.8455184,80.994298,ChIJm3pWotnimzkRAPbaHK99PS0,https://www.google.com/maps/place/?q=place_id:ChIJm3pWotnimzkRAPbaHK99PS0,part_337,2026-09-20 20:28:18
SHREE HARI PACKERS & MOVERS,Logistics and Transport Services,Transportation service,Transportation service,751027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,International Business Centre,+91 98374 39854,https://www.shreeharipackersandmovers.com/,4.7,80.0,"FLAT NO 245, GANGA PAR, SHEKHPURA NEAAR, BAIRAAGI CAMP, Kankhal, Haridwar, Uttarakhand 249408","BAIRAAGI CAMP, Kankhal",29.9270808,78.14372569999999,ChIJYWeW5-lHCTkRlXGvygg-EMY,https://www.google.com/maps/place/?q=place_id:ChIJYWeW5-lHCTkRlXGvygg-EMY,part_337,2026-09-20 20:28:18
RAHUL CARGO AND MOVERS SERVICES,Logistics and Transport Services,Transportation service,Transportation service,751027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,International Business Centre,+91 98127 54669,http://www.rcmindia.in/,3.2,9.0,"7R9M+RC6, Gurugram, Haryana 122413",751027,28.269547199999998,76.83352909999999,ChIJHdM9NCk5DTkRFaL74ys4XNo,https://www.google.com/maps/place/?q=place_id:ChIJHdM9NCk5DTkRFaL74ys4XNo,part_337,2026-09-20 20:28:18
Vikram Cargo Movers By Mahaveer Singh,Logistics and Transport Services,Transportation service,Transportation service,751027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,International Business Centre,+91 93514 51503,N/A,4.2,18.0,"G, 480, Rd Number 9A, near Water Tank, Vishwakarma Industrial Area, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302013",Vishwakarma Industrial Area,26.989337499999998,75.77554169999999,ChIJMaraUamzbTkRL3QGOVy2ZKA,https://www.google.com/maps/place/?q=place_id:ChIJMaraUamzbTkRL3QGOVy2ZKA,part_337,2026-09-20 20:28:18
Jaipur Golden Transport Company PVT LTD,Logistics and Transport Services,Transportation service,Transportation service,751027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,International Business Centre,+91 79 2216 2855,https://jaipurgolden.in/,3.3,205.0,"2JP2+P28, Prem Darwaza, Saraspur, Ahmedabad, Gujarat 380016","Prem Darwaza, Saraspur",23.036780099999998,72.600093,ChIJI27jgDuEXjkRFbhLrJjLrEY,https://www.google.com/maps/place/?q=place_id:ChIJI27jgDuEXjkRFbhLrJjLrEY,part_337,2026-09-20 20:28:18
PRIYA LOGISTICS,Logistics and Transport Services,Transportation service,Transportation service,751027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,International Business Centre,+91 98250 03157,https://priyalogistics.com/,5.0,2.0,"Shrinath estate, 74/74A, VATVA CROCING ROAD, near KADMAWALA PROCESS HOUSE, Govindwadi, Narolgam, Ahmedabad, Gujarat 382415","Govindwadi, Narolgam",22.965391,72.5960139,ChIJPc8zwN-PXjkRyiFd_VVDDak,https://www.google.com/maps/place/?q=place_id:ChIJPc8zwN-PXjkRyiFd_VVDDak,part_337,2026-09-20 20:28:19
Lucknow Delhi Transport Cargo Company,Logistics and Transport Services,Logistics service,Logistics service,751027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,International Business Centre,N/A,N/A,4.8,136.0,"railway crossing, near mishra marriage lawn, Bhitauli, Lucknow, Uttar Pradesh 226021",Bhitauli,26.936772599999998,80.9332934,ChIJf7CcvBBXmTkRosesjh-b9SU,https://www.google.com/maps/place/?q=place_id:ChIJf7CcvBBXmTkRosesjh-b9SU,part_337,2026-09-20 20:28:19
