business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Aish Exclusive,Saree Showroom,Boutique,Boutique,751027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,International Business Centre,+91 94330 49952,N/A,4.9,468,"NIBEDITA PARK, HRIDAYPUR, BARASAT, Barasat, West Bengal 700127","Nivedita Park South, BARASAT, Barasat",22.7106881,88.4665977,ChIJzT1Z1oiZ-DkRkXmpih7-SOE,https://www.google.com/maps/place/?q=place_id:ChIJzT1Z1oiZ-DkRkXmpih7-SOE,part_337,2026-09-20 20:28:08
Vivah Concept,Saree Showroom,Saree Shop,"Saree Shop, Silk store",751027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,International Business Centre,+91 79 4894 1791,N/A,4.9,700,"Ground Floor, Galaxy Mall, Satellite Rd, nr. Jhansi ki Rani BRTS Bus Stop, Acharya Narendradev Nagar, Ambawadi, Ahmedabad, Gujarat 380015","Acharya Narendradev Nagar, Ambawadi",23.0232284,72.536817,ChIJaQqTR9uEXjkRKEPlJqPVc40,https://www.google.com/maps/place/?q=place_id:ChIJaQqTR9uEXjkRKEPlJqPVc40,part_337,2026-09-20 20:28:08
Srija Boutique & Handicrafts,Saree Showroom,Clothing store,Clothing store,751027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,International Business Centre,+91 79809 38261,http://www.srijaboutiqueandhandicraft.com/,4.8,103,"near Dakbangla more, Indraprastha, Kailas Nagar, Barasat, Kolkata, West Bengal 700127","Indraprastha, Kailas Nagar, Barasat",22.7121572,88.4750854,ChIJVxFvIsOZ-DkRsbnCe6UINNE,https://www.google.com/maps/place/?q=place_id:ChIJVxFvIsOZ-DkRsbnCe6UINNE,part_337,2026-09-20 20:28:08
Kasturi Silk Palace,Saree Showroom,Saree Shop,"Saree Shop, Boutique, Bridal shop, Clothing store, Clothing wholesaler, Cotton Exporter, Designer Clothing Store, Dress store, Plus Size Clothing Store, Wedding store",751027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,International Business Centre,+91 145 262 1236,http://www.kasturisilkpalace.com/,4.8,237,"Purani Mandi, Chowk, Ajmer, Rajasthan 305001",Chowk,26.4584387,74.6336953,ChIJ7_4XJT_nazkRs_aWwjUSLTY,https://www.google.com/maps/place/?q=place_id:ChIJ7_4XJT_nazkRs_aWwjUSLTY,part_337,2026-09-20 20:28:08
Madras Emporium,Saree Showroom,Clothing store,"Clothing store, Women's clothing store",751027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,International Business Centre,+91 98985 50291,N/A,4.3,87,"shopNo-64, 501, opposite Hatkeshwar Police Chowki, Gujarat Housing Board, Khokhra, Ahmedabad, Gujarat 380026","Gujarat Housing Board, Khokhra",23.0012169,72.6231352,ChIJVVVVVQqGXjkRZwr7KYtORc0,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVQqGXjkRZwr7KYtORc0,part_337,2026-09-20 20:28:08
Banarasi Niketan Pvt Ltd,Saree Showroom,Clothing store,Clothing store,751027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,International Business Centre,+91 62910 39458,https://banarasiniketan.com/,4.5,1790,"128 10A, Bidhan Sarani Rd, Shyambazar, Hati Bagan, Kolkata, West Bengal 700004","Shyambazar, Hati Bagan",22.6012171,88.3733013,ChIJQ5lvQiV2AjoRu6gxT9DysyY,https://www.google.com/maps/place/?q=place_id:ChIJQ5lvQiV2AjoRu6gxT9DysyY,part_337,2026-09-20 20:28:08
Kasab The Tradition,Saree Showroom,Bridal shop,Bridal shop,751027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,International Business Centre,+91 92270 00695,N/A,4.5,396,"Jyoti, Kasab The Tradition , 101 - 102, Shyamal Cross Rd, above SBI Bank, Satellite, Ahmedabad, Gujarat 380015",Satellite,23.0135088,72.5303927,ChIJ9-_Vu9eEXjkRCDq7TPO5TGg,https://www.google.com/maps/place/?q=place_id:ChIJ9-_Vu9eEXjkRCDq7TPO5TGg,part_337,2026-09-20 20:28:08
Saree hub,Saree Showroom,Women's clothing store,Women's clothing store,751027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,International Business Centre,+91 98311 39088,N/A,4.9,757,"44, Free School St, Esplanade, Dharmatala, Taltala, Kolkata, West Bengal 700016","Esplanade, Dharmatala, Taltala",22.5565242,88.3545819,ChIJ0ZAk-Wp3AjoRfyTg2LGL_mw,https://www.google.com/maps/place/?q=place_id:ChIJ0ZAk-Wp3AjoRfyTg2LGL_mw,part_337,2026-09-20 20:28:08
Ratan G Sarees,Saree Showroom,Clothing store,Clothing store,751027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,International Business Centre,N/A,N/A,4.8,55,"Kathera bazaar, Jwalapur, Haridwar, Uttarakhand 249407",751027,29.925159599999997,78.109263,ChIJmwY96J1ICTkRgE9XpAeO0DQ,https://www.google.com/maps/place/?q=place_id:ChIJmwY96J1ICTkRgE9XpAeO0DQ,part_337,2026-09-20 20:28:08
Meera Basu,Saree Showroom,Saree Shop,"Saree Shop, Clothing store, Designer Clothing Store, Dress store, Shopping mall, Wholesaler",751027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,International Business Centre,+91 98302 40477,https://meerabasu.co.in/,4.9,107,"8, Dr.Sarat Banerjee Rd, Lake Market, Kalighat, Kolkata, West Bengal 700029","Lake Market, Kalighat",22.5142414,88.35079329999999,ChIJ1UllQNNwAjoRkozhv2-jBus,https://www.google.com/maps/place/?q=place_id:ChIJ1UllQNNwAjoRkozhv2-jBus,part_337,2026-09-20 20:28:08
