business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MAHADEV GUEST HOUSE,Guesthouse,Home Stay,Home Stay,751029,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Mahalaxmivihar S.O,N/A,N/A,5.0,,"Sairam NagarBhubaneswar, 1206, Lords valley, Bharatpur, Bhubaneswar, Odisha 751029","Lords valley, Bharatpur",20.299789999999998,85.7728219,ChIJxxAYPAAJGToR4NRisjLP-CU,https://www.google.com/maps/place/?q=place_id:ChIJxxAYPAAJGToR4NRisjLP-CU,part_337,2026-09-20 20:29:56
Subhadra Guest House,Guesthouse,Guest house,Guest house,751029,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Mahalaxmivihar S.O,N/A,N/A,5.0,,"K-1213, Sum Hospital Square, near Sum ultimate &, K8 Kalinga Nagar, Kalinganagar, Bhubaneswar, Odisha 751029","K8 Kalinga Nagar, Kalinganagar",20.283610499999998,85.7711705,ChIJe4sg1KcJGToR3xtP7Li-qZQ,https://www.google.com/maps/place/?q=place_id:ChIJe4sg1KcJGToR3xtP7Li-qZQ,part_337,2026-09-20 20:29:56
SHREE R.K GUEST HOUSE,Guesthouse,Guest house,Guest house,751029,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Mahalaxmivihar S.O,N/A,N/A,4.5,,"Baikuntha Nivash, 731/A, SUM Ultimate Road, K8 Kalinga Nagar, K-8, Kalinganagar, Bhubaneswar, Odisha 751029","K8 Kalinga Nagar, K-8, Kalinganagar",20.277846099999998,85.77161129999999,ChIJZ6W72NGnGToRteKSKKlWvcY,https://www.google.com/maps/place/?q=place_id:ChIJZ6W72NGnGToRteKSKKlWvcY,part_337,2026-09-20 20:29:56
Jk Guest House,Guesthouse,Guest house,"Guest house, Hotel",751029,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Mahalaxmivihar S.O,+91 94372 07524,http://www.jkguesthouse.in/,2.7,,"Plot No: 1195, K8 Lane 1, near Sum Hospital, Kalinganagar, Bhubaneswar, Odisha 751029",Kalinganagar,20.2837526,85.7706276,ChIJ8_jAnvgJGToR0_Ubdjkc3Ig,https://www.google.com/maps/place/?q=place_id:ChIJ8_jAnvgJGToR0_Ubdjkc3Ig,part_337,2026-09-20 20:29:56
SHREE GUEST HOUSE,Guesthouse,Guest house,Guest house,751029,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Mahalaxmivihar S.O,+91 97777 92985,N/A,5.0,,"K8 Kalinga Nagar, Shampur, Bhubaneswar, Odisha 751029","K8 Kalinga Nagar, Shampur",20.2835364,85.7718347,ChIJZ6XeIQAJGToRK4CUPGLTaZ8,https://www.google.com/maps/place/?q=place_id:ChIJZ6XeIQAJGToRK4CUPGLTaZ8,part_337,2026-09-20 20:29:56
Annapurna Guest House,Guesthouse,Guest house,Guest house,751029,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Mahalaxmivihar S.O,+91 81148 73124,N/A,3.4,,"861, K8 Lane 1, K8 Kalinga Nagar, Shampur, Bhubaneswar, Odisha 751029","K8 Kalinga Nagar, Shampur",20.280717,85.7727223,ChIJc32xzh0JGToRE-cBqG2u5qM,https://www.google.com/maps/place/?q=place_id:ChIJc32xzh0JGToRE-cBqG2u5qM,part_337,2026-09-20 20:29:56
Sri Balaji Guest House,Guesthouse,Guest house,Guest house,751029,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Mahalaxmivihar S.O,N/A,N/A,4.0,,"K-8 b-244, K8 Kalinga Nagar, Kalinganagar, Bhubaneswar, Odisha 751029","K8 Kalinga Nagar, Kalinganagar",20.2736321,85.7710834,ChIJ0zzBpRinGToRvmeBgTeSfeM,https://www.google.com/maps/place/?q=place_id:ChIJ0zzBpRinGToRvmeBgTeSfeM,part_337,2026-09-20 20:29:56
Sai guest house,Guesthouse,Guest house,Guest house,751029,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Mahalaxmivihar S.O,+91 94370 77121,N/A,3.9,,"K8 Kalinga Nagar, Kalinganagar, Bhubaneswar, Odisha 751029","K8 Kalinga Nagar, Kalinganagar",20.283318299999998,85.77079979999999,ChIJBc0vkLcJGToR--AMdj38GIY,https://www.google.com/maps/place/?q=place_id:ChIJBc0vkLcJGToR--AMdj38GIY,part_337,2026-09-20 20:29:56
Hotel Stay Vibes,Guesthouse,Guest house,"Guest house, Home Stay",751029,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Mahalaxmivihar S.O,+91 70778 62077,N/A,5.0,,"K7 Mig 88, Kalinganagar, Bhubaneswar, Shankarpur, Odisha 751029",Kalinganagar,20.2677881,85.7598661,ChIJjzIEPgCpGToR5h35VrenX50,https://www.google.com/maps/place/?q=place_id:ChIJjzIEPgCpGToR5h35VrenX50,part_337,2026-09-20 20:29:58
Hotel O The New Inn,Guesthouse,Guest house,Guest house,751029,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Mahalaxmivihar S.O,+91 86585 56260,https://www.oyorooms.com/223962/,4.8,,"Plot no-788/1463, Sum Hospital Rd, near Ayurveda Hospital, near Bharatpur, Bharatpur, Bhubaneswar, Odisha 751029",Bharatpur,20.2877072,85.7777637,ChIJmeYmrw4JGToRcSxaxfAmnDE,https://www.google.com/maps/place/?q=place_id:ChIJmeYmrw4JGToRcSxaxfAmnDE,part_337,2026-09-20 20:29:58
JSB Rooms,Guesthouse,Hotel,Hotel,751029,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Mahalaxmivihar S.O,+91 90788 52052,N/A,3.5,,"Road number 1 K-2, Ghatikia, Kalinganagar, Bhubaneswar, Odisha 751029",Kalinganagar,20.2637279,85.7527558,ChIJ6UMzJicIGToRi7u1R1JN2C8,https://www.google.com/maps/place/?q=place_id:ChIJ6UMzJicIGToRi7u1R1JN2C8,part_337,2026-09-20 20:29:58
Hotel O by OYO SILVER NEST GUEST HOUSE,Guesthouse,Hotel,Hotel,751029,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Mahalaxmivihar S.O,+91 124 620 1180,https://www.oyorooms.com/297072/,3.9,,"Plot no - 790, 1338Gomata Jalachatra Lane, Lords valley, Jagarana Vihar, Shampur, Bhubaneswar, Odisha 751029","Lords valley, Jagarana Vihar, Shampur",20.287214199999998,85.77351569999999,ChIJeYW0ycUJGToR1wMNhXloiRg,https://www.google.com/maps/place/?q=place_id:ChIJeYW0ycUJGToR1wMNhXloiRg,part_337,2026-09-20 20:29:58
Hotel Signature Inn,Guesthouse,Guest house,"Guest house, Lodge, Hotel",751029,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Mahalaxmivihar S.O,+91 88953 02329,N/A,4.6,,"Durgamadhav Nagar, Lords valley, Bharatpur, Bhubaneswar, Odisha 751029","Lords valley, Bharatpur",20.294860399999997,85.7737549,ChIJ7aoikKMJGToRyARO8HBGJtQ,https://www.google.com/maps/place/?q=place_id:ChIJ7aoikKMJGToRyARO8HBGJtQ,part_337,2026-09-20 20:29:58
