business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Sound, lighting & led dance floor rental services in hyderabad - Paul Sound and DJ Wala",Sound and Light Rental,Audiovisual equipment rental service,"Audiovisual equipment rental service, DJ supply store, Audio visual equipment supplier, DJ service, Service establishment, Event planner, Musical Band and Orchestra, Party equipment rental service, Stage lighting equipment supplier",752011,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Brahmagiri S.O, Ambapada B.O, Bentapur B.O",+91 99665 19106,N/A,4.9,,"Sound, lighting & led dance floor rental services in hyderabad - Paul Sound and DJ Wala, 752011, India",752011,17.4360887,78.4183788,ChIJeVZEq2abyzsRyvyCnOpeML8,https://www.google.com/maps/place/?q=place_id:ChIJeVZEq2abyzsRyvyCnOpeML8,part_337,2026-09-20 20:37:42
Ahsaan Audio Systems,Sound and Light Rental,Audiovisual equipment rental service,Audiovisual equipment rental service,752011,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Brahmagiri S.O, Ambapada B.O, Bentapur B.O",+91 76808 32915,http://ahsaanaudiovisuals.com/,4.9,,"Punjagutta Rd, Matha Nagar, Somajiguda, Hyderabad, Telangana 500082","Matha Nagar, Somajiguda",17.4232837,78.45440409999999,ChIJ4ckn-aiXyzsRkCIQMs4wQnU,https://www.google.com/maps/place/?q=place_id:ChIJ4ckn-aiXyzsRkCIQMs4wQnU,part_337,2026-09-20 20:37:42
On Stage Sound & Light,Sound and Light Rental,Audiovisual equipment rental service,"Audiovisual equipment rental service, DJ service, Event management company, Event planner, Stage lighting equipment supplier",752011,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Brahmagiri S.O, Ambapada B.O, Bentapur B.O",+91 97549 75444,N/A,4.9,,"P.No 18, Landlord Estate, near Samar Park, Nipania, Indore, Madhya Pradesh 452010",Nipania,22.7647408,75.9230719,ChIJTdhBzkv9YjkRbQM7n53hupk,https://www.google.com/maps/place/?q=place_id:ChIJTdhBzkv9YjkRbQM7n53hupk,part_337,2026-09-20 20:37:42
Sound and Lightning Rental service,Sound and Light Rental,Wedding service,"Wedding service, Event planner, DJ service",752011,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Brahmagiri S.O, Ambapada B.O, Bentapur B.O",+91 97047 51382,N/A,4.8,,"Bolarum, Kalasiguda, secundrabad, Telangana 500010","Sai Ram Colony, Kalasiguda",17.5237382,78.51690359999999,ChIJh6A_LiuFyzsRXiNan0H8sBI,https://www.google.com/maps/place/?q=place_id:ChIJh6A_LiuFyzsRXiNan0H8sBI,part_337,2026-09-20 20:37:42
Spark Sounds - Speaker and Projector on rent!,Sound and Light Rental,Audiovisual equipment rental service,"Audiovisual equipment rental service, Equipment rental agency",752011,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Brahmagiri S.O, Ambapada B.O, Bentapur B.O",+91 98999 29374,N/A,5.0,,"Shop No.-889, Ward no- 2, Aam Bagh, 8 SARAI, Mehrauli, New Delhi, Delhi 110030","Ward no- 2, Aam Bagh, 8 SARAI, Mehrauli",28.514973899999998,77.1786645,ChIJsYOD0_cfDTkRanHRP2wOVn8,https://www.google.com/maps/place/?q=place_id:ChIJsYOD0_cfDTkRanHRP2wOVn8,part_337,2026-09-20 20:37:42
Rams Audio Visuals and Projector Rental Services,Sound and Light Rental,Audiovisual equipment rental service,"Audiovisual equipment rental service, Audio visual consultant, Audio visual equipment supplier, Equipment rental agency, Karaoke equipment rental service, Video arcade",752011,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Brahmagiri S.O, Ambapada B.O, Bentapur B.O",+91 95537 03737,https://ramsaudiovisuals.com/bangalore/,4.9,,"5-146, 5th Main Rd, Hanumantapura, Sevashrama, Bengaluru, Karnataka 560021","Hanumantapura, Sevashrama",12.9834651,77.5683988,ChIJ1VfYebd5BK0Rs73bD2ZiHu0,https://www.google.com/maps/place/?q=place_id:ChIJ1VfYebd5BK0Rs73bD2ZiHu0,part_337,2026-09-20 20:37:42
Shriram Visuals | Projector on rentals | Speakers on rent | LED Walls for rent,Sound and Light Rental,Audiovisual equipment rental service,Audiovisual equipment rental service,752011,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Brahmagiri S.O, Ambapada B.O, Bentapur B.O",+91 99867 93055,https://www.shriramvisuals.com/,4.9,,"107, J K Pura Main, near R K School, JK Pura, Vinayaka Nagar, Jalakanteshwara Nagar, Wilson Garden, Bengaluru, Karnataka 560030","JK Pura, Vinayaka Nagar, Jalakanteshwara Nagar, Wilson Garden",12.9522107,77.600067,ChIJpTZh1vgVrjsRHrEwMpB1CtI,https://www.google.com/maps/place/?q=place_id:ChIJpTZh1vgVrjsRHrEwMpB1CtI,part_337,2026-09-20 20:37:42
Projector & Speakers Rent in Pune,Sound and Light Rental,Audiovisual equipment rental service,"Audiovisual equipment rental service, Service establishment, Party equipment rental service, Wedding photographer",752011,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Brahmagiri S.O, Ambapada B.O, Bentapur B.O",+91 81491 49850,https://sorringhighaudiovi.wixsite.com/sorringhigh,5.0,,"Projector & Speakers Rent in Pune, 752011, India",752011,21.0680074,82.7525294,ChIJHb31FFfBwjsRS0IV0fNheME,https://www.google.com/maps/place/?q=place_id:ChIJHb31FFfBwjsRS0IV0fNheME,part_337,2026-09-20 20:37:42
"Doctor DJ- Best DJ, Sound & Projector Hire in Mumbai",Sound and Light Rental,Audiovisual equipment rental service,"Audiovisual equipment rental service, Audio visual equipment supplier, DJ service, Event management company, Exhibition planner, Karaoke equipment rental service, Stage lighting equipment supplier, Stall installation service, Video conferencing equipment supplier, Video Conferencing Service Provider",752011,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Brahmagiri S.O, Ambapada B.O, Bentapur B.O",+91 97570 92220,https://doctordj.in/,4.9,,"Irla Rd, opposite Alfa stores, Navpada, Vile Parle East, Vile Parle West, Mumbai, Maharashtra 400056","Navpada, Vile Parle East, Vile Parle West",19.107754099999998,72.8395379,ChIJTRTFJ8bJ5zsRTygE1zLg31w,https://www.google.com/maps/place/?q=place_id:ChIJTRTFJ8bJ5zsRTygE1zLg31w,part_337,2026-09-20 20:37:42
RentFlix Audio Visual Rentals | Projectors | Speakers | Mics | PS5 |,Sound and Light Rental,Audiovisual equipment rental service,"Audiovisual equipment rental service, Audio visual equipment supplier, Event management company, Event planner, Event technology service",752011,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Brahmagiri S.O, Ambapada B.O, Bentapur B.O",+91 99803 56507,N/A,4.5,,"550/B, 8th Main Rd, 8th Block, 4th Block, Koramangala, Bengaluru, Karnataka 560034","8th Block, 4th Block, Koramangala",12.9320899,77.628421,ChIJFyv1B9kVrjsRHXrmjtYnhRA,https://www.google.com/maps/place/?q=place_id:ChIJFyv1B9kVrjsRHXrmjtYnhRA,part_337,2026-09-20 20:37:42
Ram's projector Rentals with sound speakers mics and camera,Sound and Light Rental,Audiovisual equipment rental service,"Audiovisual equipment rental service, Audio visual consultant, Audio visual equipment repair service, Audio visual equipment supplier, Equipment rental agency, Event management company, Karaoke equipment rental service",752011,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Brahmagiri S.O, Ambapada B.O, Bentapur B.O",+91 97000 33342,https://ramsaudiovisuals.com/,4.9,,"Post Office, 17-2-625/25, Madannapet, Saidabad, Hyderabad, Telangana 500059",Saidabad,17.3563531,78.5046828,ChIJdYUz00eZyzsRCueq1Iz9wB4,https://www.google.com/maps/place/?q=place_id:ChIJdYUz00eZyzsRCueq1Iz9wB4,part_337,2026-09-20 20:37:42
Projector On Hire - Speakers On Hire (Cinelive),Sound and Light Rental,Audiovisual equipment rental service,Audiovisual equipment rental service,752011,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Brahmagiri S.O, Ambapada B.O, Bentapur B.O",+91 99999 01828,http://cinelives.com/,4.8,,"RZT 12/29, Dayal Park, West Sagarpur, New Delhi, Delhi 110046","Dayal Park, West Sagarpur, Sagar Pur",28.6045992,77.09441269999999,ChIJ5SnHZj0bDTkRkGeCEmnICA4,https://www.google.com/maps/place/?q=place_id:ChIJ5SnHZj0bDTkRkGeCEmnICA4,part_337,2026-09-20 20:37:42
"Projector, Sound system and Lights on hire",Sound and Light Rental,Audiovisual equipment rental service,Audiovisual equipment rental service,752011,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Brahmagiri S.O, Ambapada B.O, Bentapur B.O",+91 90510 84603,N/A,4.0,,"S.K DEB ROAD, 2/2A A, N Saha Road, Kolkata, West Bengal 700048","Block E, Lake Town",22.605686199999997,88.40046099999999,ChIJw8qzrQV3AjoRuZhSuYuSYD4,https://www.google.com/maps/place/?q=place_id:ChIJw8qzrQV3AjoRuZhSuYuSYD4,part_337,2026-09-20 20:37:42
The Melody Corner(AHUJA),Sound and Light Rental,DJ supply store,"DJ supply store, Audio visual equipment supplier, Electronics repair shop, Electronics wholesaler, Home audio store",752011,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Brahmagiri S.O, Ambapada B.O, Bentapur B.O",+91 82497 61847,N/A,4.6,,"Under punjab national bank, Grand Rd, opposite to district headquarters hospital Hospital square, Puri, Odisha 752001",Balagandi,19.8130001,85.8302478,ChIJ50Yl-57GGToR2wW6XCXxbPk,https://www.google.com/maps/place/?q=place_id:ChIJ50Yl-57GGToR2wW6XCXxbPk,part_337,2026-09-20 20:37:42
