business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,752019,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Nirakarpur S.O, Baku B.O, Bhatapada B.O",+91 94391 36129,https://bsnl.co.in/,,,"BINAY COMMUNICATION, S/O-BIMAL KRISHNA RAY,BALIPATAPUR COLONY,BHUSUNDAPUR,TANGI, Bhusandapur, BHUBANESWAR, Odisha 752021",752019,19.935862,85.4537938,ChIJy1HCfzBJGDoRY2vNSvjwdgE,https://www.google.com/maps/place/?q=place_id:ChIJy1HCfzBJGDoRY2vNSvjwdgE,part_337,2026-09-20 20:42:57
"Kantalbai, Bhusandpur, Tangi, Khordha",IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,752019,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Nirakarpur S.O, Baku B.O, Bhatapada B.O",N/A,N/A,,,"WFVC+R6M, Tangi, Odisha 752021",752019,19.9445987,85.47053489999999,ChIJIcYZRABJGDoR1V-hm1_SzzI,https://www.google.com/maps/place/?q=place_id:ChIJIcYZRABJGDoR1V-hm1_SzzI,part_337,2026-09-20 20:42:57
Airtel point,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,752019,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Nirakarpur S.O, Baku B.O, Bhatapada B.O",N/A,N/A,5.0,,"XG3C+8WF, Lendo, Mankagan, Odisha 752019",752019,19.953308399999997,85.5223049,ChIJacNUoAFLGDoRGPVYONT86j0,https://www.google.com/maps/place/?q=place_id:ChIJacNUoAFLGDoRGPVYONT86j0,part_337,2026-09-20 20:42:57
Godipatana,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,752019,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Nirakarpur S.O, Baku B.O, Bhatapada B.O",N/A,N/A,4.0,,"2G4H+WVW, New Jagannath Rd, Nirakarpur, Jagatpur, Odisha 752019",752019,20.0070576,85.530011,ChIJj-9WWjhNGDoRKocrJyumPxo,https://www.google.com/maps/place/?q=place_id:ChIJj-9WWjhNGDoRKocrJyumPxo,part_337,2026-09-20 20:42:57
LITU mobile dokan,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,752019,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Nirakarpur S.O, Baku B.O, Bhatapada B.O",N/A,N/A,,,"XGRM+P5R, Nirakarpur, Odisha 752019",752019,19.9918732,85.532898,ChIJs32nXiZNGDoR1y1G6iSD974,https://www.google.com/maps/place/?q=place_id:ChIJs32nXiZNGDoR1y1G6iSD974,part_337,2026-09-20 20:42:57
Litu bhai mobaile care,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,752019,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Nirakarpur S.O, Baku B.O, Bhatapada B.O",N/A,N/A,,,"XGWM+9X5, New Jagannath Rd, Nirakarpur, Odisha 752019",752019,19.9959037,85.53499339999999,ChIJj7MrdChNGDoR-B5hkpchUsE,https://www.google.com/maps/place/?q=place_id:ChIJj7MrdChNGDoR-B5hkpchUsE,part_337,2026-09-20 20:42:57
Kantalbai,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,752019,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Nirakarpur S.O, Baku B.O, Bhatapada B.O",N/A,N/A,,,"WFVC+V64, Kantalbai, Odisha 752021",752019,19.944628299999998,85.4705687,ChIJOXReBABJGDoR3xxjV3NpZrA,https://www.google.com/maps/place/?q=place_id:ChIJOXReBABJGDoR3xxjV3NpZrA,part_337,2026-09-20 20:42:57
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,752019,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Nirakarpur S.O, Baku B.O, Bhatapada B.O",+91 84804 34598,https://bsnl.co.in/,,,"Bhusandapur, BHUBANESWAR, Odisha 752021",752019,19.935599999999997,85.496803,ChIJGfiQsY5JGDoRjoVXp2Os_UQ,https://www.google.com/maps/place/?q=place_id:ChIJGfiQsY5JGDoRjoVXp2Os_UQ,part_337,2026-09-20 20:42:57
Cloud Telephony India,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,752019,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Nirakarpur S.O, Baku B.O, Bhatapada B.O",+91 88660 10066,https://www.cloudtelephonyindia.com/,,,"Tapaswiji Info Park, 184/185, EPIP Zone, Whitefield Main Rd, Kundalahalli, Brookefield, Bengaluru, Karnataka 560066","Kundalahalli, Brookefield",12.972248899999999,77.7506836,ChIJQ7QlpooNrjsRUr8wVwO5QhM,https://www.google.com/maps/place/?q=place_id:ChIJQ7QlpooNrjsRUr8wVwO5QhM,part_337,2026-09-20 20:42:59
Airtel office broadband fiber and SIM,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,752019,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Nirakarpur S.O, Baku B.O, Bhatapada B.O",N/A,http://www.airtel.in/,4.0,154.0,"MAHARANA PRATAP SKB HOSPITAL, above SAI MEDICAL, Bilaspur, Chhattisgarh 495001",752019,22.0806878,82.15408649999999,ChIJIUodR6sLKDoRgg1Lea-fa_c,https://www.google.com/maps/place/?q=place_id:ChIJIUodR6sLKDoRgg1Lea-fa_c,part_337,2026-09-20 20:42:59
