business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Utkalcore Private Limited,Businesses,Solar Energy Company,"Solar Energy Company, Wholesaler",752027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Kuhuri S.O, Baradihi B.O, Biribadi B.O",N/A,N/A,,,"Plot no- 93/1993, Nijagada Kuhudi, Kuhudi, Dist, Odisha 752027",752027,19.8899795,85.35419619999999,ChIJgWVSGQBBGDoRV6PbeYDLUNM,https://www.google.com/maps/place/?q=place_id:ChIJgWVSGQBBGDoRV6PbeYDLUNM,part_337,2026-09-20 20:48:07
PRASANTA BISWAL,Businesses,Apartment building,Apartment building,752027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Kuhuri S.O, Baradihi B.O, Biribadi B.O",N/A,N/A,4.0,2.0,"V8FC+CM2, Adiapada, Brushabandha, Odisha 752027",752027,19.873519599999998,85.3216466,ChIJZSgdQfE_GDoRfqhUC19y8ak,https://www.google.com/maps/place/?q=place_id:ChIJZSgdQfE_GDoRfqhUC19y8ak,part_337,2026-09-20 20:48:07
Bhabani House 🏠,Businesses,Housing complex,Housing complex,752027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Kuhuri S.O, Baradihi B.O, Biribadi B.O",N/A,N/A,5.0,5.0,"V899+8RF, Brushabandha, Odisha 752027",752027,19.8683089,85.3195456,ChIJCbYiagA_GDoRsxzER1agZAk,https://www.google.com/maps/place/?q=place_id:ChIJCbYiagA_GDoRsxzER1agZAk,part_337,2026-09-20 20:48:07
Subham Behera House,Businesses,Apartment building,Apartment building,752027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Kuhuri S.O, Baradihi B.O, Biribadi B.O",N/A,N/A,5.0,1.0,"V8CQ+5HF, Gopalprasad, Odisha 752027",752027,19.870445399999998,85.3389199,ChIJm2rjegA_GDoR7W1RQ9H_GjU,https://www.google.com/maps/place/?q=place_id:ChIJm2rjegA_GDoR7W1RQ9H_GjU,part_337,2026-09-20 20:48:07
Dhaneswar routaray,Businesses,Housing complex,Housing complex,752027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Kuhuri S.O, Baradihi B.O, Biribadi B.O",N/A,N/A,5.0,2.0,"V8CC+HPC, Brushabandha, Odisha 752027",752027,19.8714378,85.3217744,ChIJifHXENk_GDoRAQRliZ8QPAI,https://www.google.com/maps/place/?q=place_id:ChIJifHXENk_GDoRAQRliZ8QPAI,part_337,2026-09-20 20:48:07
BISHNU HOME,Businesses,Housing complex,Housing complex,752027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Kuhuri S.O, Baradihi B.O, Biribadi B.O",N/A,N/A,5.0,1.0,"V985+CXG, Taladihi, Odisha 752027",752027,19.8660641,85.3599629,ChIJRw9ZPQA5GDoRxV6OPZPtnlA,https://www.google.com/maps/place/?q=place_id:ChIJRw9ZPQA5GDoRxV6OPZPtnlA,part_337,2026-09-20 20:48:07
Panchamahala Gram,Businesses,Housing society,Housing society,752027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Kuhuri S.O, Baradihi B.O, Biribadi B.O",N/A,N/A,,,"V984+M3J, Gopalprasad, Odisha 752027",752027,19.8666248,85.3550183,ChIJ3-0zCSQ_GDoRU9S0G6RyiV4,https://www.google.com/maps/place/?q=place_id:ChIJ3-0zCSQ_GDoRU9S0G6RyiV4,part_337,2026-09-20 20:48:07
Bijay bhaban,Businesses,Apartment building,Apartment building,752027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Kuhuri S.O, Baradihi B.O, Biribadi B.O",N/A,N/A,,,"V87X+8XX, Gopalprasad, Odisha 752027",752027,19.8622652,85.3505278,ChIJq1EkBuM_GDoRHINTeuvNHQE,https://www.google.com/maps/place/?q=place_id:ChIJq1EkBuM_GDoRHINTeuvNHQE,part_337,2026-09-20 20:48:07
Dinabandhupur ଦିନବନ୍ଧୁପୁର,Businesses,Housing society,Housing society,752027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Kuhuri S.O, Baradihi B.O, Biribadi B.O",N/A,N/A,5.0,2.0,"V89V+VXH, Dinabandhupur, Kuhudi, Odisha 752027",752027,19.869685,85.3449806,ChIJc5EiO2w_GDoRWtrD7_8yu5w,https://www.google.com/maps/place/?q=place_id:ChIJc5EiO2w_GDoRWtrD7_8yu5w,part_337,2026-09-20 20:48:07
"Kuhudi, Baragadia sahi, Khordha",Businesses,Apartment building,Apartment building,752027,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,"Kuhuri S.O, Baradihi B.O, Biribadi B.O",N/A,N/A,5.0,1.0,"V987+J9R, Kuhudi, Ratanpur, Odisha 752027",752027,19.8666125,85.363387,ChIJ86ozBAA5GDoRB1oY-NW7uPQ,https://www.google.com/maps/place/?q=place_id:ChIJ86ozBAA5GDoRB1oY-NW7uPQ,part_337,2026-09-20 20:48:07
