business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Fulabari village,Property Developers,Housing society,Housing society,752032,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Parikudgarh SO, Badajhad B.O",N/A,N/A,4.0,,"J8CM+5M6, Odisha 752032",752032,19.6204051,85.3341524,ChIJYWkfmD0jGDoRynRnogSOJUs,https://www.google.com/maps/place/?q=place_id:ChIJYWkfmD0jGDoRynRnogSOJUs,part_337,2026-09-20 20:50:47
Sarat,Property Developers,Housing development,Housing development,752032,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Parikudgarh SO, Badajhad B.O",N/A,N/A,5.0,,"H65W+56M, Maludkhas, Malud, Odisha 752032",752032,19.5579592,85.2455433,ChIJGy8DVQAfGDoRzBF5YbtO1Ro,https://www.google.com/maps/place/?q=place_id:ChIJGy8DVQAfGDoRzBF5YbtO1Ro,part_337,2026-09-20 20:50:47
property of BUDHINATH JENA,Property Developers,Housing society,Housing society,752032,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Parikudgarh SO, Badajhad B.O",N/A,N/A,5.0,,"H7QW+99M, Anua, Odisha 752032",752032,19.5884677,85.29592199999999,ChIJCz4Q608hGDoRix43IEms_FU,https://www.google.com/maps/place/?q=place_id:ChIJCz4Q608hGDoRix43IEms_FU,part_337,2026-09-20 20:50:47
Mansingh House,Property Developers,Housing society,Housing society,752032,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Parikudgarh SO, Badajhad B.O",N/A,N/A,5.0,,"J7M8+PW2, Krushnaprasad, Odisha 752032",752032,19.634252399999998,85.26725929999999,ChIJ2WuUFgAZGDoR_IHilMzLC-w,https://www.google.com/maps/place/?q=place_id:ChIJ2WuUFgAZGDoR_IHilMzLC-w,part_337,2026-09-20 20:50:47
Gilinasi,Property Developers,Housing development,Housing development,752032,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Parikudgarh SO, Badajhad B.O",N/A,N/A,,,"H7H7+PH, Gilinasi, Nalitakudi, Odisha 752032",752032,19.5793552,85.2638826,ChIJRSbmRQAfGDoROfHrcCtDL9M,https://www.google.com/maps/place/?q=place_id:ChIJRSbmRQAfGDoROfHrcCtDL9M,part_337,2026-09-20 20:50:47
PRADHAN SAHI,Property Developers,Housing society,Housing society,752032,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Parikudgarh SO, Badajhad B.O",N/A,N/A,5.0,,"J7J6+7PJ, Krushnaprasad, Odisha 752032",752032,19.630705799999998,85.2617502,ChIJO2MjXwAZGDoRWr8MGalm9eM,https://www.google.com/maps/place/?q=place_id:ChIJO2MjXwAZGDoRWr8MGalm9eM,part_337,2026-09-20 20:50:47
Mukesh House,Property Developers,Housing society,Housing society,752032,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Parikudgarh SO, Badajhad B.O",N/A,N/A,5.0,,"H7CR+R8R, Siandi, Odisha 752032",752032,19.5721055,85.29077269999999,ChIJb5BzZQAhGDoRxOuu5fKuFQw,https://www.google.com/maps/place/?q=place_id:ChIJb5BzZQAhGDoRxOuu5fKuFQw,part_337,2026-09-20 20:50:47
Amanda Barikee house,Property Developers,Housing society,Housing society,752032,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Parikudgarh SO, Badajhad B.O",N/A,N/A,5.0,,"J8G6+844, Alandapatna, Odisha 752032",752032,19.625732199999998,85.3103074,ChIJI2guHgAjGDoRU_tR9bel4i0,https://www.google.com/maps/place/?q=place_id:ChIJI2guHgAjGDoRU_tR9bel4i0,part_337,2026-09-20 20:50:47
SIALA,Property Developers,Housing society,Housing society,752032,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Parikudgarh SO, Badajhad B.O",N/A,N/A,5.0,,"H7V2+7J7, Krushnaprasad Rd, Malud, Nalitakudi, Odisha 752032",752032,19.593150299999998,85.25153209999999,ChIJk1ECJgAfGDoR7L-Nc5Ut1LQ,https://www.google.com/maps/place/?q=place_id:ChIJk1ECJgAfGDoR7L-Nc5Ut1LQ,part_337,2026-09-20 20:50:47
Kedar palei,Property Developers,Housing development,Housing development,752032,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Parikudgarh SO, Badajhad B.O",N/A,N/A,,,"G7W2+V5R, Fatepur, Odisha 752032",752032,19.547229299999998,85.2503895,ChIJxYxSbAAfGDoRBQcCvVa-4KM,https://www.google.com/maps/place/?q=place_id:ChIJxYxSbAAfGDoRBQcCvVa-4KM,part_337,2026-09-20 20:50:47
Uasapadar,Property Developers,Housing society,Housing society,752032,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Parikudgarh SO, Badajhad B.O",N/A,N/A,5.0,,"J9G2+HV, Titipa, Gomundia, Odisha 752032",752032,19.627325499999998,85.3530042,ChIJqbi2HDgjGDoR41qnubWYI08,https://www.google.com/maps/place/?q=place_id:ChIJqbi2HDgjGDoR41qnubWYI08,part_337,2026-09-20 20:50:47
Shankar. Pradhan Home,Property Developers,Housing society,Housing society,752032,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Parikudgarh SO, Badajhad B.O",N/A,N/A,4.0,,"J7M8+3J7, Sanaanlo, Odisha 752032",752032,19.6326592,85.2665445,ChIJP_qiaQAZGDoRj5c8A9nvHbI,https://www.google.com/maps/place/?q=place_id:ChIJP_qiaQAZGDoRj5c8A9nvHbI,part_337,2026-09-20 20:50:47
"Diakuda ,Odisha",Property Developers,Housing society,Housing society,752032,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Parikudgarh SO, Badajhad B.O",N/A,N/A,4.9,,"H69C+VJX, Diakuda, Budhibar, Odisha 752032",752032,19.5697479,85.221597,ChIJ7WOVZp8fGDoRc7HRCBJY8jI,https://www.google.com/maps/place/?q=place_id:ChIJ7WOVZp8fGDoRc7HRCBJY8jI,part_337,2026-09-20 20:50:47
Vinayak Group,Property Developers,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,752032,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Parikudgarh SO, Badajhad B.O",+91 90070 06000,http://www.vinayakgroup.org/,4.4,,"House 122, Vinayak Corporate, 1R, Satyendranath Mazumder Sarani, Hazra, Kalighat, Kolkata, West Bengal 700026","Hazra, Kalighat",22.521815399999998,88.3490162,ChIJo8904zN3AjoRNDB6TgoRpAk,https://www.google.com/maps/place/?q=place_id:ChIJo8904zN3AjoRNDB6TgoRpAk,part_337,2026-09-20 20:50:47
Mantra Properties,Property Developers,Real estate developer,"Real estate developer, Real Estate Builders & Construction Company, Housing society, Real estate consultant",752032,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Parikudgarh SO, Badajhad B.O",+91 20 7196 7641,https://www.mantraproperties.in/,4.1,717.0,"Survey No. No 93/P Upper, Koregaon Park, Mantra Business Centre, 9 & 10th floor, Mundhwa, Pune, Maharashtra 411036","Mhasoba Nagar, Keshav Nagar, Mundhwa",18.532196,73.9445286,ChIJsW5gXVfAwjsR6z8okyl1PC8,https://www.google.com/maps/place/?q=place_id:ChIJsW5gXVfAwjsR6z8okyl1PC8,part_337,2026-09-20 20:50:48
