business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"Interio by Godrej - Furniture & Mattress Store Biswanath Vihar, Puri",Furniture Showroom,Furniture store,"Furniture store, Furniture maker, Home goods store",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 96199 47095,https://stores.interio.com/godrej-interio-furniture-store-in-biswanath-vihar-puri-new-grand-furniture-home-furniture-shop-biswanath-vihar-puri-325634/Home?utm_source=locator&utm_medium=googleplaces,4.8,,"Biswanath Vihar Rd, near Water Tank, Biswanath Vihar, Chari, Nala, Puri, Odisha 752002","Biswanath Vihar, Chari, Nala",19.8281143,85.8341799,ChIJLZUnamHHGToR64UZ68cfshQ,https://www.google.com/maps/place/?q=place_id:ChIJLZUnamHHGToR64UZ68cfshQ,part_339,2026-09-20 20:17:50,3154
SAI FURNITURE,Furniture Showroom,Furniture store,Furniture store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 93372 60281,N/A,4.9,,"Sheikh Patana, Banamalipur, Dhanahara, Odisha 752103",Sheikh Patana,20.1781752,86.0010295,ChIJIQRpKuyZGToRySY-_D8ublU,https://www.google.com/maps/place/?q=place_id:ChIJIQRpKuyZGToRySY-_D8ublU,part_339,2026-09-20 20:17:50,3155
New Grand Furniture,Furniture Showroom,Furniture store,Furniture store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 82494 97153,N/A,4.1,,"Grand Rd, Puri, Odisha 752001",752114,19.8128761,85.8295206,ChIJkbPOEWPHGToRQJUnnp5oTds,https://www.google.com/maps/place/?q=place_id:ChIJkbPOEWPHGToRQJUnnp5oTds,part_339,2026-09-20 20:17:50,3156
Mealonie Furniture,Furniture Showroom,Furniture Manufacturer,Furniture Manufacturer,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 94370 91429,N/A,5.0,,"Chitrakar Sahi, Infront of Biswamber Bidya Pitha, Puri, Odisha 752001",752114,19.804492,85.8248967,ChIJAZIbQ13FGToRdl3WP0ZpE-8,https://www.google.com/maps/place/?q=place_id:ChIJAZIbQ13FGToRdl3WP0ZpE-8,part_339,2026-09-20 20:17:50,3157
Decors Furniture,Furniture Showroom,Furniture store,"Furniture store, Furniture Rental Store, Office furniture store",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 77888 87177,https://www.decorsfurniture.com/,4.9,,"511, Mallick Complex, Jagamara, Bhubaneswar, Odisha 751020","Mallick Complex, Jagamara",20.2580144,85.79875349999999,ChIJHRA92DSnGToRT4-T-7VfFfE,https://www.google.com/maps/place/?q=place_id:ChIJHRA92DSnGToRT4-T-7VfFfE,part_339,2026-09-20 20:17:50,3158
Home Style,Furniture Showroom,Furniture store,Furniture store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,4.3,,"3X8X+8G5, near Boi Bank, Nimapada, Denuan, Odisha 752106",752114,20.0657623,85.9988687,ChIJB-UaEfWXGToRsS2L27CnMVI,https://www.google.com/maps/place/?q=place_id:ChIJB-UaEfWXGToRsS2L27CnMVI,part_339,2026-09-20 20:17:50,3159
Behera furniture,Furniture Showroom,Furniture store,Furniture store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 72058 12355,N/A,5.0,,"3VHF+5C5, Mahinipidi, Odisha 752104",752114,20.0778891,85.8736237,ChIJUQpbQQC9GToRiwedKO1RZcM,https://www.google.com/maps/place/?q=place_id:ChIJUQpbQQC9GToRiwedKO1RZcM,part_339,2026-09-20 20:17:50,3160
Basudev Wood - Branch Office,Furniture Showroom,Furniture store,"Furniture store, Bedroom furniture store, Office furniture store",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 674 295 2262,https://www.basudevwood.com/,4.6,,"609, Saheed Nagar, Bhubaneswar, Odisha 751007",Saheed Nagar,20.2878896,85.8482792,ChIJCfmJPP8JGToROQq1IEQ8rZM,https://www.google.com/maps/place/?q=place_id:ChIJCfmJPP8JGToROQq1IEQ8rZM,part_339,2026-09-20 20:17:50,3161
Omm steel furniture,Furniture Showroom,Shop supermarket furniture store,"Shop supermarket furniture store, Outlet store",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 70081 95103,N/A,4.9,,"Tamando, Bhubaneswar, Odisha 751028",Tamando,20.2375677,85.7495543,ChIJ35nvqlupGToRpM8AxCW05E8,https://www.google.com/maps/place/?q=place_id:ChIJ35nvqlupGToRpM8AxCW05E8,part_339,2026-09-20 20:17:50,3162
NGESWARI FURNITURE,Furniture Showroom,Furniture store,Furniture store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,,,"5XQ8+96R, Banamalipur Rd, Athantar, Saripur, Odisha 752102",752114,20.1884943,85.9655069,ChIJNdbCRNOYGToRzFyJ3vFkzPQ,https://www.google.com/maps/place/?q=place_id:ChIJNdbCRNOYGToRzFyJ3vFkzPQ,part_339,2026-09-20 20:17:50,3163
Spark R Furniture,Furniture Showroom,Furniture store,Furniture store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,5.0,,"no 23, Puri Rd, Lingipur, Bhubaneswar, Odisha 751002",Lingipur,20.2245867,85.8436559,ChIJacR7KNKmGToR7PyaxgIemfA,https://www.google.com/maps/place/?q=place_id:ChIJacR7KNKmGToR7PyaxgIemfA,part_339,2026-09-20 20:17:50,3164
Omm Shanti Furniture,Furniture Showroom,Woodworking supply store,Woodworking supply store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 82604 95010,N/A,5.0,,"Khandayat Patana, College, near Balanga, Balanga, Odisha 752105",752114,20.0276069,85.8843553,ChIJQUaGilm9GToR4AVljKLcvvU,https://www.google.com/maps/place/?q=place_id:ChIJQUaGilm9GToR4AVljKLcvvU,part_339,2026-09-20 20:17:50,3165
Godrej Interio - Narmada Furniture,Furniture Showroom,Furniture store,Furniture store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 94370 52233,http://www.godrejinterio.com/,4.3,,"Shop No:10, Choudhury Market, Janpath Rd, Bapuji Nagar, Bhubaneswar, Odisha 751009",Bapuji Nagar,20.256728,85.8332439,ChIJAQAAwECnGToRhO8G0f9rNP0,https://www.google.com/maps/place/?q=place_id:ChIJAQAAwECnGToRhO8G0f9rNP0,part_339,2026-09-20 20:17:50,3166
Mahavir Furniture,Furniture Showroom,Furniture store,Furniture store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 674 259 7746,N/A,3.9,,"24, Jan Path, Bapuji Nagar, Bhubaneswar, Odisha 751009",Bapuji Nagar,20.258473,85.8348099,ChIJR1IfZkenGToR3akpbEVgoGk,https://www.google.com/maps/place/?q=place_id:ChIJR1IfZkenGToR3akpbEVgoGk,part_339,2026-09-20 20:17:50,3167
New Design Electronics & Furniture,Furniture Showroom,Showroom,Showroom,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,http://wwwnewdesing.com/,5.0,,"4184, Makadam Sahi, Balakati, Odisha 752100",Makadam Sahi,20.204675899999998,85.87189459999999,ChIJKd2lWgChGToRy9W2BX5okjU,https://www.google.com/maps/place/?q=place_id:ChIJKd2lWgChGToRy9W2BX5okjU,part_339,2026-09-20 20:17:50,3168
Bata furniture.,Furniture Showroom,Furniture accessories,Furniture accessories,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,3.9,,"RR7M+CJC, Red Cross Rd, Chari Chaka, Badasankha, Puri, Odisha 752002","Chari Chaka, Badasankha",19.813550199999998,85.83401309999999,ChIJ24dIGrHGGToRtLfkHxxvfxs,https://www.google.com/maps/place/?q=place_id:ChIJ24dIGrHGGToRtLfkHxxvfxs,part_339,2026-09-20 20:17:50,3169
Mantra Interiors,Furniture Showroom,Furniture store,"Furniture store, Furniture accessories, Furniture wholesaler, Office furniture store, Plywood supplier",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 74400 42022,http://www.mantrainteriors.in/,5.0,40.0,"Plot no 501/967 , opposite of maa bata bhuasuni temple ogalapada , janala , jatni, Bhubaneswar, Odisha 752054",752114,20.211123999999998,85.6992645,ChIJlSczFWOpGToRkGNED_jWIaA,https://www.google.com/maps/place/?q=place_id:ChIJlSczFWOpGToRkGNED_jWIaA,part_339,2026-09-20 20:17:50,3170
K. R. Furnitures,Furniture Showroom,Furniture wholesaler,"Furniture wholesaler, Furniture store, Office furniture store",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 94384 63786,N/A,4.3,49.0,"Plot No, 105, Lane Number 3, Bapuji Nagar, Bhubaneswar, Odisha 751009",Bapuji Nagar,20.258341899999998,85.8353599,ChIJyXLCckenGToRmR-AjldZglo,https://www.google.com/maps/place/?q=place_id:ChIJyXLCckenGToRmR-AjldZglo,part_339,2026-09-20 20:17:50,3171
