business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Jayguru hardware store & Panda sanitary,Hardware Store,Hardware store,Hardware store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 94383 20501,N/A,5.0,1.0,"SH 13, near khelar post office, Khelar, Odisha 752114",752114,20.094249599999998,85.9088019,ChIJ_xCGOmejGToRY5TOrkH9EA8,https://www.google.com/maps/place/?q=place_id:ChIJ_xCGOmejGToRY5TOrkH9EA8,part_339,2026-09-20 20:17:46,2541
SAHOO HARDWARE STORE,Hardware Store,Hardware store,"Hardware store, Paint store",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 94378 12131,N/A,4.9,55.0,"Dinabandhu complex, Haripur, Odisha 752104",752114,20.1162962,85.8651514,ChIJ-7ewFpejGToR4D6TXPCYkFU,https://www.google.com/maps/place/?q=place_id:ChIJ-7ewFpejGToR4D6TXPCYkFU,part_339,2026-09-20 20:17:46,2542
Maa Bayani Hardware store and Opelunce CSC Centre,Hardware Store,Hardware store,Hardware store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,5.0,5.0,"5W29+F96, Balipatna, Sarol, Odisha 752102",752114,20.1511676,85.91840309999999,ChIJPUPMOQCjGToR0lyoKXrbKko,https://www.google.com/maps/place/?q=place_id:ChIJPUPMOQCjGToR0lyoKXrbKko,part_339,2026-09-20 20:17:46,2543
Maa Khetrapali Hardware Store,Hardware Store,Hardware store,Hardware store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 99372 22529,N/A,5.0,2.0,"Indian Oil Petrol Pum Front, Pradhan House Pipili Konarak, Main Road, Haripur, Odisha 752104",752114,20.1126264,85.8698987,ChIJXcI4vJKjGToRKpzE23fsI94,https://www.google.com/maps/place/?q=place_id:ChIJXcI4vJKjGToRKpzE23fsI94,part_339,2026-09-20 20:17:46,2544
Khan Hardware,Hardware Store,Hardware store,Hardware store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,,,"3WV6+Q3F, Raid - Khelar Rd, Dalavanapur, Khelar, Odisha 752114",752114,20.094448999999997,85.9101578,ChIJHepMXrWiGToRKKxkzFSNkug,https://www.google.com/maps/place/?q=place_id:ChIJHepMXrWiGToRKKxkzFSNkug,part_339,2026-09-20 20:17:46,2545
mahaveer hardware Store,Hardware Store,Hardware store,Hardware store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,,,"A.K Market Complex, Pipli - Konark Rd, Puri, Nimapada, Odisha 752106",752114,20.060208799999998,86.007607,ChIJ0W6BDgCXGToRymLJL-xUtuQ,https://www.google.com/maps/place/?q=place_id:ChIJ0W6BDgCXGToRymLJL-xUtuQ,part_339,2026-09-20 20:17:46,2546
S.N.A Hardware,Hardware Store,Hardware store,Hardware store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 81445 14776,N/A,,,"4WH9+P7P, Barahal, Balipatna, Khordha, Rajas, Odisha 752114",752114,20.1293328,85.9182182,ChIJ_UlG14-iGToRF9kgx6BE_Xo,https://www.google.com/maps/place/?q=place_id:ChIJ_UlG14-iGToRF9kgx6BE_Xo,part_339,2026-09-20 20:17:46,2547
BABU HARDWARE STORE,Hardware Store,Hardware store,Hardware store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 81445 14776,N/A,,,"Rajas, Odisha 752114",752114,20.1287531,85.9179235,ChIJV6Y1KpCiGToRNpnLiENxfYI,https://www.google.com/maps/place/?q=place_id:ChIJV6Y1KpCiGToRNpnLiENxfYI,part_339,2026-09-20 20:17:46,2548
Prince Sanitary & Hardware,Hardware Store,Hardware store,Hardware store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,5.0,1.0,"Khelar, Odisha 752114",752114,20.0940148,85.9109162,ChIJ-fvMRbWiGToR0m2eYrmGOPU,https://www.google.com/maps/place/?q=place_id:ChIJ-fvMRbWiGToR0m2eYrmGOPU,part_339,2026-09-20 20:17:46,2549
LAXMIKANTA SANITARY,Hardware Store,Hardware store,Hardware store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,,,"3WV5+JQR, Kumarpada, Pipli - Konark Rd, Khelar, Odisha 752114",752114,20.094119499999998,85.90938039999999,ChIJp1eypMqiGToR0FaCmiGxUTY,https://www.google.com/maps/place/?q=place_id:ChIJp1eypMqiGToR0FaCmiGxUTY,part_339,2026-09-20 20:17:46,2550
