business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
LANKESWARI CLOTH STORE,Readymade Garments Shop,Clothing store,Clothing store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,4.8,,"Satasankha-Balanga-Nimapada Rd, Balanga, Odisha 752105",752114,20.0407148,85.8843965,ChIJS947KMC9GToRSKPOeT4X4-0,https://www.google.com/maps/place/?q=place_id:ChIJS947KMC9GToRSKPOeT4X4-0,part_339,2026-09-20 20:17:36,983
Sardar fancy clothe house,Readymade Garments Shop,Clothing store,Clothing store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,4.1,,"3253+XV7, Satasankha-Balanga-Nimapada Rd, Nimapada, Odisha 752106",752114,20.059909599999997,86.00467259999999,ChIJMy181DGXGToRQeeQkw9UDYk,https://www.google.com/maps/place/?q=place_id:ChIJMy181DGXGToRQeeQkw9UDYk,part_339,2026-09-20 20:17:36,984
Gopinath Cloth Store,Readymade Garments Shop,Dress store,Dress store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 94399 12247,N/A,4.2,,"3WV5+JG8, Khelar, Odisha 752114",752114,20.0940267,85.90884369999999,ChIJIcXvuMqiGToRtivShB-Z9Gg,https://www.google.com/maps/place/?q=place_id:ChIJIcXvuMqiGToRtivShB-Z9Gg,part_339,2026-09-20 20:17:36,985
AZAD READYMADE GARMENTS,Readymade Garments Shop,Clothing store,Clothing store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 94374 73540,N/A,4.1,,"Plot no=335, in front of AXIS BANK, Gautam Nagar, Bhubaneswar, Odisha 751009",Gautam Nagar,20.254438099999998,85.8375429,ChIJ_ZYOrDmnGToR2cJufWaX_qM,https://www.google.com/maps/place/?q=place_id:ChIJ_ZYOrDmnGToR2cJufWaX_qM,part_339,2026-09-20 20:17:36,986
Reeta Garments,Readymade Garments Shop,Clothing store,Clothing store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 93378 53693,N/A,4.8,,"7RV7+CFG, Shop no F3G, 68, Indradhanu Market Rd, Indradhanu Market, Block N5, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","Indradhanu Market, Block N5, IRC Village, Nayapalli",20.2935935,85.8137861,ChIJAQAAJM4JGToRfLVQPfR63o0,https://www.google.com/maps/place/?q=place_id:ChIJAQAAJM4JGToRfLVQPfR63o0,part_339,2026-09-20 20:17:36,987
Denim Hub Nimapada,Readymade Garments Shop,Clothing wholesaler,Clothing wholesaler,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 76550 02808,https://www.instagram.com/denimhubnimapada?igsh=MThidjNnMnBzc2dsYQ==,4.9,,"Jayshree square, Nimapada, Denuan, Odisha 752106",752114,20.0650427,85.998485,ChIJr17q0uKXGToRWF78IVvW3Jg,https://www.google.com/maps/place/?q=place_id:ChIJr17q0uKXGToRWF78IVvW3Jg,part_339,2026-09-20 20:17:36,988
MAA TARINI BRAND SHOP,Readymade Garments Shop,Clothing store,Clothing store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 95563 73143,http://m.maatarinigarment.page.tl/,4.9,,"Jaishapatan, Pipili, ଜଇଶିପାଟଣା, Odisha 752104",Jaishapatan,20.1424491,85.8398127,ChIJkQEBIH2kGToRjEgxTYnrznU,https://www.google.com/maps/place/?q=place_id:ChIJkQEBIH2kGToRjEgxTYnrznU,part_339,2026-09-20 20:17:36,989
Haradurga Cloth Store,Readymade Garments Shop,Clothing store,Clothing store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,4.5,,"2VQG+GX9, Rupadeipurmelak, Odisha 752105",752114,20.0387935,85.8774749,ChIJ6c1kZVK9GToRTn-LM9y_QQs,https://www.google.com/maps/place/?q=place_id:ChIJ6c1kZVK9GToRTn-LM9y_QQs,part_339,2026-09-20 20:17:36,990
Fashion Factory,Readymade Garments Shop,Clothing store,"Clothing store, Clothing Accessories Store, Men's clothing store, Sportswear store, Women's clothing store",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 1800 891 0001,https://location.reliancefashionfactorystores.com/fashion-factory-ff-bbsr-saheednagar-clothing-stores-saheednagar-bhubaneswar-304491/Home?utm_source=locator&utm_medium=googleplaces,4.3,,"1st Floor, BMC Bhawani Mall, Maharishi College Rd, Saheed Nagar, Bhubaneswar, Odisha 751007",Saheed Nagar,20.2862623,85.8475721,ChIJ6Tqqav8JGToR_ubyFFHdOhs,https://www.google.com/maps/place/?q=place_id:ChIJ6Tqqav8JGToR_ubyFFHdOhs,part_339,2026-09-20 20:17:36,991
Shri Ram Cloth Store,Readymade Garments Shop,Clothing store,Clothing store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 90400 44335,N/A,4.0,,"Shri Ram Cloth Store, Medical Road, Balanga, Odisha 752105",752114,20.0382476,85.8801745,ChIJG69HulC8GToRdNccDzSBYCU,https://www.google.com/maps/place/?q=place_id:ChIJG69HulC8GToRdNccDzSBYCU,part_339,2026-09-20 20:17:36,992
