business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Havells Authorised Retailers - Kolkata Electricals,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 80 6291 6991,https://partners.havells.com/near-me/puri/Nimapada/havells-authorised-retailers-kolkata-electricals-in-Nimapada-puri--1lPusx/home,5.0,1.0,"Pipli - Konark Rd, opposite Axis Bank, Nimapada, Odisha 752106",752114,20.060412499999998,86.0034903,ChIJA6Ee3oOXGToR4hvyvUI6AB4,https://www.google.com/maps/place/?q=place_id:ChIJA6Ee3oOXGToR4hvyvUI6AB4,part_339,2026-09-20 20:17:46
Time Tronics Communication,Electrical Goods and Lighting Store,Electronics store,Electronics store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 97784 54111,N/A,5.0,2.0,"3WV5+HJF, Khelar, Odisha 752114",752114,20.0939496,85.90905769999999,ChIJlcX2ucqiGToRC44G2hhu63U,https://www.google.com/maps/place/?q=place_id:ChIJlcX2ucqiGToRC44G2hhu63U,part_339,2026-09-20 20:17:46
Bakreswar electronics,Electrical Goods and Lighting Store,Electronics store,Electronics store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,5.0,2.0,"Balanga, Odisha 752105",752114,20.0387333,85.88003169999999,ChIJ1QilWQC9GToRmrfUBUaJmNk,https://www.google.com/maps/place/?q=place_id:ChIJ1QilWQC9GToRmrfUBUaJmNk,part_339,2026-09-20 20:17:47
Shree Mousumi Electricals,Electrical Goods and Lighting Store,Electronics store,Electronics store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 88957 58077,N/A,5.0,7.0,"3253+RMW, Nimapada, Odisha 752106",752114,20.059603799999998,86.0042118,ChIJkdc2dwmXGToRBGkuXDRbSRc,https://www.google.com/maps/place/?q=place_id:ChIJkdc2dwmXGToRBGkuXDRbSRc,part_339,2026-09-20 20:17:47
Sanjay Electronic World Pipili,Electrical Goods and Lighting Store,Electronics store,Electronics store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 83288 76332,N/A,4.4,14.0,"Pipili, Hasanapur, Odisha 752104",752114,20.122566199999998,85.8374515,ChIJETUsaGKlGToRiDhB7Znif1k,https://www.google.com/maps/place/?q=place_id:ChIJETUsaGKlGToRiDhB7Znif1k,part_339,2026-09-20 20:17:47
Shree gopinath electricals,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 63701 65943,N/A,,,"Medical chawk, Chandanpur, Odisha 752012",752114,19.895359,85.80720769999999,ChIJKypCfh_HGToRufZxumnIQeE,https://www.google.com/maps/place/?q=place_id:ChIJKypCfh_HGToRufZxumnIQeE,part_339,2026-09-20 20:17:47
Ganesh Electronic And Veriety Stores,Electrical Goods and Lighting Store,Electronics store,Electronics store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 99373 06226,N/A,4.0,7.0,"3262+RGF, Nimapada, Odisha 752106",752114,20.0620637,86.001283,ChIJCUGziDqXGToRlYGeTztgKFM,https://www.google.com/maps/place/?q=place_id:ChIJCUGziDqXGToRlYGeTztgKFM,part_339,2026-09-20 20:17:47
Prakash Electricals(Best Electrical goods wholesaler in Kolkata),Electrical Goods and Lighting Store,Electrical products wholesaler,Electrical products wholesaler,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 78909 95215,http://www.prakashelectricals.net/,4.7,169.0,"27, Ezra St, Chitpur, Barabazar Market, Kolkata, West Bengal 700001","Chitpur, Barabazar Market",22.5758212,88.3532286,ChIJA7yqV6V3AjoRSMqeYpkfVUg,https://www.google.com/maps/place/?q=place_id:ChIJA7yqV6V3AjoRSMqeYpkfVUg,part_339,2026-09-20 20:17:47
Gupta Distributors,Electrical Goods and Lighting Store,Electronics store,"Electronics store, Air conditioning store, Camera store, Cell phone store, Computer store, Electronics wholesaler, Washer & dryer store",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 70089 89310,http://www.guptadistributors.com/,4.9,2490.0,"Medical Square, Grand Rd, Puri, Odisha 752001",Balagandi,19.8129721,85.8307542,ChIJeegr0KDGGToRFOwJ-RZrriM,https://www.google.com/maps/place/?q=place_id:ChIJeegr0KDGGToRFOwJ-RZrriM,part_339,2026-09-20 20:17:47
Gopinath Electricals .,Electrical Goods and Lighting Store,Electrical equipment supplier,Electrical equipment supplier,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,4.1,13.0,"RR7H+27Q, Grand Rd, Balagandi, Puri, Odisha 752001",Balagandi,19.8125911,85.82823239999999,ChIJh2vBB6LGGToRE_rFTci68n8,https://www.google.com/maps/place/?q=place_id:ChIJh2vBB6LGGToRE_rFTci68n8,part_339,2026-09-20 20:17:47
