business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Tanishq Jewellery - Puri,Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Jeweler, Jewelry designer, Jewelry manufacturer, Jewelry repair service",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 83390 71111,https://stores.tanishq.co.in/store-locator/jewellery-stores/odisha/puri/PUR,4.9,2261.0,"Trimurti Heights, Grand Road, Market, nearby V Mart, Badasankha, Puri, Odisha 752002",Badasankha,19.8142161,85.83287779999999,ChIJTx8IR5PHGToRgV48ioznDSE,https://www.google.com/maps/place/?q=place_id:ChIJTx8IR5PHGToRgV48ioznDSE,part_339,2026-09-20 20:17:37
Suvarna Alankar LLP,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 82608 46366,http://www.suvarnaalankar.in/,4.9,1343.0,"Ground Floor, Hotel Janki Pride, Red Cross Rd, Balikuda Sahi, Puri, Odisha 752002",Balikuda Sahi,19.8123832,85.8344733,ChIJ2UmbWfHHGToR4J-tmfw5GaY,https://www.google.com/maps/place/?q=place_id:ChIJ2UmbWfHHGToR4J-tmfw5GaY,part_339,2026-09-20 20:17:37
Khimji Jewellers- Puri,Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Jewelry buyer, Jewelry repair service",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 63718 53108,http://www.khimjijewellers.com/,5.0,5017.0,"VIP Rd, opposite Police Line, Puri, Odisha 752001",752114,19.808427899999998,85.8326579,ChIJMTkykU_HGToReIuJTIxKMRY,https://www.google.com/maps/place/?q=place_id:ChIJMTkykU_HGToReIuJTIxKMRY,part_339,2026-09-20 20:17:37
Malabar Gold and Diamonds - Rupali Street - Bhubaneswar,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 674 254 2916,https://www.malabargoldanddiamonds.com/,4.9,19535.0,"Plot No 361, Rupali St, Saheed Nagar, Bhubaneswar, Odisha 751007",Saheed Nagar,20.2894203,85.8432157,ChIJ9WJ9y4wJGToRK3j7SyIlhUg,https://www.google.com/maps/place/?q=place_id:ChIJ9WJ9y4wJGToRK3j7SyIlhUg,part_339,2026-09-20 20:17:37
J.K.JEWELLERS,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 78469 97119,http://www.jkjewellerspuri.com/,4.8,196.0,"Khata No- 863/712, Mahalaxmi Nivas, Plot no- 703/220, Square, Puri, Odisha 752002",752114,19.8115314,85.8306997,ChIJ5ROU367HGToRVmZB8612Dhw,https://www.google.com/maps/place/?q=place_id:ChIJ5ROU367HGToRVmZB8612Dhw,part_339,2026-09-20 20:17:37
Ganesh Jewellery,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 90406 17176,N/A,4.6,329.0,"Balagandi, Puri, Odisha 752001",Balagandi,19.8105102,85.8264246,ChIJYWuruCfEGToR5NZASdGoEyg,https://www.google.com/maps/place/?q=place_id:ChIJYWuruCfEGToR5NZASdGoEyg,part_339,2026-09-20 20:17:37
S.R JEWELLERS(1Gram Gold & Pure Silver),Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 83288 88946,N/A,4.9,51.0,"infront of, Cholera Hospital, Red Cross Rd, Puri, Odisha 752002",752114,19.8115235,85.8346127,ChIJnYpG_d7HGToRrY48ER9ufrA,https://www.google.com/maps/place/?q=place_id:ChIJnYpG_d7HGToRrY48ER9ufrA,part_339,2026-09-20 20:17:37
Epari Sadashiv Jewellers,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 674 253 0737,https://eparisadashiv.com/,4.8,2100.0,"Infront Of Gurudwara, C/653, Janpath Rd, Unit 3, Kharvela Nagar, Bhubaneswar, Odisha 751001","Unit 3, Kharvela Nagar",20.2734558,85.8430078,ChIJ_Y90e1GnGToRPvc60M-RgC0,https://www.google.com/maps/place/?q=place_id:ChIJ_Y90e1GnGToRPvc60M-RgC0,part_339,2026-09-20 20:17:37
Sahoo Alankar Jewellers,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 80939 91294,N/A,4.9,97.0,"Red Cross Rd, Chari Chaka, Badasankha, Puri, Odisha 752002","Chari Chaka, Badasankha",19.8124355,85.8344872,ChIJbZ9FBHPHGToR_H1eMWAU8Gg,https://www.google.com/maps/place/?q=place_id:ChIJbZ9FBHPHGToR_H1eMWAU8Gg,part_339,2026-09-20 20:17:37
Jagannath Jewellery,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 83289 33477,http://jagannathjewellery.com/,4.9,86.0,"Labanikhia chhak, ramchandi sahi, near laxmi takies lane, Puri, Odisha 752001",752114,19.8059179,85.8247604,ChIJx6qqqtbFGToR1hQboix2U2s,https://www.google.com/maps/place/?q=place_id:ChIJx6qqqtbFGToR1hQboix2U2s,part_339,2026-09-20 20:17:37
Arundhati Jewellers Pvt. Ltd.,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 1800 345 0018,http://www.arundhatijewellers.com/,4.8,4514.0,"11/A, Janpath Rd, Satya Nagar, Bhubaneswar, Odisha 751007",Satya Nagar,20.2801094,85.8440972,ChIJoznLrTGnGToRtBWV2bqtDH4,https://www.google.com/maps/place/?q=place_id:ChIJoznLrTGnGToRtBWV2bqtDH4,part_339,2026-09-20 20:17:37
"Senco Gold & Diamonds- Master Canteen, Bhubaneshwar",Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Jewelry manufacturer, Jewelry repair service",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 674 250 0070,https://showrooms.sencogoldanddiamonds.com/jewellery-stores/odisha/bhubaneswar/kharabela-nagar-10016?utm_source=google&utm_medium=GMB&utm_campaign=search&utm_term=Odisha+&utm_content=Bhubaneswar,4.7,1105.0,"Plot No 117/118 Unit 3, near Reliance Super, Master Canteen Area, Kharvela Nagar, Bhubaneswar, Odisha 751001","Master Canteen Area, Kharvela Nagar",20.268372,85.84285349999999,ChIJT0H3c06nGToRIMUH8HeROHI,https://www.google.com/maps/place/?q=place_id:ChIJT0H3c06nGToRIMUH8HeROHI,part_339,2026-09-20 20:17:37
LK JEWELLERS (Lankeswari Jewellery),Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Diamond Merchant, Gold dealer, Goldsmith, Jewelry repair service, Gemstone Jeweler, Silversmith",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 82601 03021,https://lk-jewellers-lankeswari.grexa.site/,4.5,274.0,"Nabakalebar Road Madhuban chaka, Odisha 752002",Makubana,19.8202319,85.8385303,ChIJzcQreLDGGToRVB9RRkRcJng,https://www.google.com/maps/place/?q=place_id:ChIJzcQreLDGGToRVB9RRkRcJng,part_339,2026-09-20 20:17:37
Khimji Jewellers,Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Corporate office, Jewelry buyer, Jewelry repair service",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 674 669 7777,https://www.khimjijewellers.com/,4.8,18645.0,"621, Janpath Rd, Saheed Nagar, Bhubaneswar, Odisha 751007",Saheed Nagar,20.2869033,85.84357709999999,ChIJK206pv4JGToRnrrH2i_jaH8,https://www.google.com/maps/place/?q=place_id:ChIJK206pv4JGToRnrrH2i_jaH8,part_339,2026-09-20 20:17:37
New Kalinga Filigree Sliver Shop,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 94370 28376,N/A,4.9,35.0,"At-MAYFAIR HERITAGE, Chakra Tirtha Rd, Badasirei, Puri, Odisha 752002",Badasirei,19.7987203,85.8340145,ChIJzYXDs6HFGToR8qOSOqMn2Zw,https://www.google.com/maps/place/?q=place_id:ChIJzYXDs6HFGToR8qOSOqMn2Zw,part_339,2026-09-20 20:17:37
Laxminarayan Jewellery,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 6752 252 111,https://www.instagram.com/laxminarayanjewellery_puri?igsh=MThrOWJkOTI4bzJzZw%3D%3D&utm_source=qr,4.4,93.0,"Grand Rd, in front of Majana Jega, opposite The Family World, Balagandi, Puri, Odisha 752001",Balagandi,19.8119589,85.8279831,ChIJD23UJlCnGToRwcIJXBqGwIU,https://www.google.com/maps/place/?q=place_id:ChIJD23UJlCnGToRwcIJXBqGwIU,part_339,2026-09-20 20:17:37
SANTOSH JEWELLERY,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 97780 39311,N/A,4.3,55.0,"Pipli - Konark Rd, Nimapada, Odisha 752106",752114,20.0584858,86.00454839999999,ChIJAQAAACyXGToRoUb-ocSpdXY,https://www.google.com/maps/place/?q=place_id:ChIJAQAAACyXGToRoUb-ocSpdXY,part_339,2026-09-20 20:17:37
MAA MANGALA DIAMOND JEWELLERY HARIPUR,Gold and Diamond Jewellery Showroom,Goldsmith,Goldsmith,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,5.0,1.0,"Haripur, Odisha 752104",752114,20.1162685,85.8651666,ChIJ8eChg7OjGToRWlzY-MLjf4Y,https://www.google.com/maps/place/?q=place_id:ChIJ8eChg7OjGToRWlzY-MLjf4Y,part_339,2026-09-20 20:17:37
SURAJ FASHION (1 Gram Gold Jewellery ),Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 70089 21727,N/A,4.8,63.0,"Dibya Nagar, Nuagaon, Lingipur, Bhubaneswar, Odisha 751002","Nuagaon, Lingipur",20.2192533,85.8437795,ChIJD6G6gxOnGToRF2RyPX3pHMs,https://www.google.com/maps/place/?q=place_id:ChIJD6G6gxOnGToRF2RyPX3pHMs,part_339,2026-09-20 20:17:37
Kanak Mahalaxmi Jewellers - KM,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 97773 49276,http://www.kanakmahalaxmi.com/,4.3,545.0,"150-D, Square, Ashok Nagar, Rajmahal, Bhubaneswar, Odisha 751009",Ashok Nagar,20.2615303,85.83739229999999,ChIJSfnmOUanGToRig2MBFp8Bz0,https://www.google.com/maps/place/?q=place_id:ChIJSfnmOUanGToRig2MBFp8Bz0,part_339,2026-09-20 20:17:37
RADHA GOBINDO ROY Grandson Jewellers,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 77358 76989,N/A,4.6,,"Nimchouri, Kataka, Odisha 753002",Nimchouri,20.464924999999997,85.861667,ChIJVVVVlfENGToRffx9jZqdgRs,https://www.google.com/maps/place/?q=place_id:ChIJVVVVlfENGToRffx9jZqdgRs,part_339,2026-09-20 20:17:38
Lalchnd Jewellers,Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Costume jewelry shop, Gold dealer, Jeweler, Jewelry designer, Jewelry repair service",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 674 253 4014,http://www.lalchnd.com/,4.3,,"Station Rd, Master Canteen Area, Kharvela Nagar, Bhubaneswar, Odisha 751001","Master Canteen Area, Kharvela Nagar",20.2691643,85.8415713,ChIJAxl-IkSnGToRdlqJQa1Ptbc,https://www.google.com/maps/place/?q=place_id:ChIJAxl-IkSnGToRdlqJQa1Ptbc,part_339,2026-09-20 20:17:38
ARUNDHATI JEWELLERS PVT. LTD.,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 91246 29838,https://www.arundhatijewellers.com/,4.9,,"Patitapaban Complex, Grand Rd, opp. Bagala VIP Suites, Balagandi, Puri, Odisha 752001",Balagandi,19.811076699999997,85.82684479999999,ChIJEwy6TCfHGToRMD1ZyapGse8,https://www.google.com/maps/place/?q=place_id:ChIJEwy6TCfHGToRMD1ZyapGse8,part_339,2026-09-20 20:17:38
