business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Rajratan,Readymade Garments Shop,Clothing store,Clothing store,753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 671 232 0101,http://www.raymond.in/,4.3,217.0,"Bajrakabati Rd, Ranihat, Ranihat Colony, Kataka, Odisha 753001","Ranihat, Ranihat Colony",20.4677598,85.8881734,ChIJ16xHdYMNGToRxZGhWbWvskE,https://www.google.com/maps/place/?q=place_id:ChIJ16xHdYMNGToRxZGhWbWvskE,part_339,2026-09-20 20:21:59
Rajhans,Readymade Garments Shop,Clothing store,Clothing store,753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 671 241 4684,N/A,4.1,2477.0,"Nuapatna Rd, near SCB Medical, Manglabag, Mangalabag, Kataka, Odisha 753001","Manglabag, Mangalabag",20.4713711,85.8867322,ChIJf6Dt9IANGToRwLRdKJ_va0A,https://www.google.com/maps/place/?q=place_id:ChIJf6Dt9IANGToRwLRdKJ_va0A,part_339,2026-09-20 20:21:59
Puspa cloth store,Readymade Garments Shop,Clothing store,Clothing store,753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 78099 97594,N/A,4.5,17.0,"Dolamundai Rd, Siba Bazar, Kataka, Odisha 753001",Siba Bazar,20.462609999999998,85.8829415,ChIJ_Vl26oQNGToR7P75pAI2fbA,https://www.google.com/maps/place/?q=place_id:ChIJ_Vl26oQNGToR7P75pAI2fbA,part_339,2026-09-20 20:21:59
Sarala Store,Readymade Garments Shop,Clothing store,Clothing store,753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 73777 77788,N/A,4.3,41.0,"Pithapur Rd, near Shiv Temple, Siba Bazar, Kataka, Odisha 753001",Siba Bazar,20.4630922,85.8789694,ChIJv9So4ssNGToRSiEfkTTs_Fk,https://www.google.com/maps/place/?q=place_id:ChIJv9So4ssNGToRSiEfkTTs_Fk,part_339,2026-09-20 20:21:59
Fashion Factory,Readymade Garments Shop,Clothing store,Clothing store,753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 1800 891 0001,https://location.reliancefashionfactorystores.com/fashion-factory-ff-cuttack-mission-clothing-stores-buxi-bazaar-cuttack-286938/Home?utm_source=locator&utm_medium=googleplaces,4.7,2133.0,"858, Mission Rd, opposite S B Womens College, Buxi Bazaar, Kataka, Odisha 753001",Buxi Bazaar,20.477887199999998,85.86485189999999,ChIJn3v32jkTGToR1TprIScvHfA,https://www.google.com/maps/place/?q=place_id:ChIJn3v32jkTGToR1TprIScvHfA,part_339,2026-09-20 20:21:59
Omm Sai Personality Fancy Garments,Readymade Garments Shop,Clothing store,Clothing store,753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 87631 18418,N/A,4.9,53.0,"Buxi Bazar Rd, beside General Post office, Durga Bazar, Kataka, Odisha 753001",Durga Bazar,20.4749521,85.8747132,ChIJGWN5N9YTGToRgPa0x0tGVLs,https://www.google.com/maps/place/?q=place_id:ChIJGWN5N9YTGToRgPa0x0tGVLs,part_339,2026-09-20 20:21:59
A.Arvind Kumar & Co.,Readymade Garments Shop,Clothing store,Clothing store,753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 671 230 8755,N/A,4.6,28.0,"Nandi Sahi, Kataka, Odisha 753001",Nandi Sahi,20.4645625,85.8689375,ChIJ86bzMvMNGToRDxnffCe8AiM,https://www.google.com/maps/place/?q=place_id:ChIJ86bzMvMNGToRDxnffCe8AiM,part_339,2026-09-20 20:21:59
The Raymond Shop,Readymade Garments Shop,Clothing store,"Clothing store, Designer Clothing Store, Dress store, Fabric store, Clothing Accessories Store, Formal Clothing Store, Men's clothing store, Tuxedo shop, Youth clothing store",753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 80 4495 3288,https://shankarpur-colony.myraymond.com/,5.0,1098.0,"Ground Floor Link Road, Arunodaya Colony, opposite IndianOil, Shankarpur Colony, Kataka, Odisha 753012",Shankarpur Colony,20.4520925,85.8910631,ChIJ9VyduzUNGToR37nxGaQ90N8,https://www.google.com/maps/place/?q=place_id:ChIJ9VyduzUNGToR37nxGaQ90N8,part_339,2026-09-20 20:21:59
SINGHI TRADING CO SINGHI FASHION,Readymade Garments Shop,Clothing store,"Clothing store, Clothing wholesaler, Saree Shop",753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",N/A,https://www.facebook.com/singhifashion/,4.9,18.0,"Nandi Sahi, Kataka, Odisha 753001",Nandi Sahi,20.4643458,85.8695247,ChIJOxul0YwNGToRcfDBW_y-6x0,https://www.google.com/maps/place/?q=place_id:ChIJOxul0YwNGToRcfDBW_y-6x0,part_339,2026-09-20 20:21:59
Babulal Son,Readymade Garments Shop,Clothing store,Clothing store,753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 78539 10517,N/A,4.1,204.0,"Naya Sarak Rd, Choudhury Bazar, Oriya Bazar, Kataka, Odisha 753001","Choudhury Bazar, Oriya Bazar",20.4644299,85.86654829999999,ChIJ5w7QC_MNGToRmuA2j55F3Fg,https://www.google.com/maps/place/?q=place_id:ChIJ5w7QC_MNGToRmuA2j55F3Fg,part_339,2026-09-20 20:21:59
