business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bhaskar Solar Energy,Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,Solar energy equipment supplier,753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 94370 63445,https://www.upsinverter.com/utl/cuttack-solar/,5.0,,"1st Floor Of, Shivani Glass House, Palamandap, Link Rd, Old LIC Colony, Kataka, Odisha 753012",Old LIC Colony,20.4558218,85.8867448,ChIJzXtjTAgNGToRZDJXsp_LhRM,https://www.google.com/maps/place/?q=place_id:ChIJzXtjTAgNGToRZDJXsp_LhRM,part_339,2026-09-20 20:22:12
Narmada Solar Solution,Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,Solar energy equipment supplier,753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 98610 06393,https://narmada-solar-solutions.netlify.app/,4.9,,"Mahima nagar, Naya Bazaar, Kataka, Odisha 753004",Naya Bazaar,20.4549497,85.92329219999999,ChIJsyJZCAANGToRImVrjaHwyyg,https://www.google.com/maps/place/?q=place_id:ChIJsyJZCAANGToRImVrjaHwyyg,part_339,2026-09-20 20:22:12
Myra Enterprise,Solar Rooftop and Inverter Dealer,Solar Energy Company,"Solar Energy Company, Solar energy equipment supplier",753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 83388 90906,http://myraent.com/,5.0,,"Plot-3D/229, CDA Sector-9, Kataka, Odisha 753014",CDA Sector-9,20.479230599999998,85.83186839999999,ChIJ73mYIncRGToRUMSpGTVhYaA,https://www.google.com/maps/place/?q=place_id:ChIJ73mYIncRGToRUMSpGTVhYaA,part_339,2026-09-20 20:22:12
NJ Solar,Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,"Solar energy equipment supplier, Solar panel maintenance service",753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 93375 22822,https://youtube.com/@NJSOLARtech_Odisha.?si=r15WTKj6wsYYIMSA,4.6,,"Cuttack - Chandabali Rd, near Paga, Laxmi Nrusingha Bazar, Jagatpur, Kataka, Odisha 754200",Laxmi Nrusingha Bazar,20.489711699999997,85.9988046,ChIJXZ5GOqVtGToRZnpt57sbPbE,https://www.google.com/maps/place/?q=place_id:ChIJXZ5GOqVtGToRZnpt57sbPbE,part_339,2026-09-20 20:22:12
UTL Solar Shoppe,Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,"Solar energy equipment supplier, Battery Store, Solar energy system service",753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 92508 85885,https://dealers.upsinverter.com/utl-solar/cuttack/Urali/utl-solar-shoppe-in-Urali-cuttack--45SqEQ/home,4.0,,"nearby Radha Mohan Mandir, Gopalpur, Urali, Kataka, Odisha 753011",Gopalpur,20.4365737,85.8874598,ChIJCRO-1icNGToRbw0crXCt7QI,https://www.google.com/maps/place/?q=place_id:ChIJCRO-1icNGToRbw0crXCt7QI,part_339,2026-09-20 20:22:12
Parklands Solar Pvt Ltd,Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,Solar energy equipment supplier,753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 82495 11705,http://www.parklandssolar.com/,4.3,,"Plot No-B, 81, Chandaka Industrial Estate, Infocity, Patia, Bhubaneswar, Odisha 751024","Chandaka Industrial Estate, Infocity, Patia",20.346809999999998,85.8100973,ChIJSaAjK5sJGToRZLa6xiU-0lc,https://www.google.com/maps/place/?q=place_id:ChIJSaAjK5sJGToRZLa6xiU-0lc,part_339,2026-09-20 20:22:13
Maa Budhi Solar Energy,Solar Rooftop and Inverter Dealer,Solar energy system service,Solar energy system service,753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 94390 00086,N/A,4.5,,"R4V6+HQ5, Similipada, Angul, Odisha 759122",Similipada,20.8438812,85.11198399999999,ChIJvTmymASwGDoR9YDfn-DH7tg,https://www.google.com/maps/place/?q=place_id:ChIJvTmymASwGDoR9YDfn-DH7tg,part_339,2026-09-20 20:22:13
MS GREEN ENERGY,Solar Rooftop and Inverter Dealer,Solar Energy Company,Solar Energy Company,753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 70019 22560,https://www.msgreenenergy.in/,4.8,,"Jharpokharia, Baripada, Ghiajodi, Odisha 757086",Jharpokharia,22.1786829,86.6478655,ChIJafJQQQy_HToRypanqe3MT7E,https://www.google.com/maps/place/?q=place_id:ChIJafJQQQy_HToRypanqe3MT7E,part_339,2026-09-20 20:22:13
Evergreen Solar,Solar Rooftop and Inverter Dealer,Solar Energy Company,"Solar Energy Company, Solar energy system service, Solar energy equipment supplier, Solar hot water system supplier, Solar panel maintenance service, Solar photovoltaic power plant",753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 70748 33525,https://evergreensolar.co.in/,4.5,,"MCGP+8GX, Nabajiban Colony, Naba Jiban, Birati, North Dumdum, Kolkata, West Bengal 700158","Nabajiban Colony, Naba Jiban, Birati",22.6758496,88.4362986,ChIJDapUEvix-DkRDuoWzLeFzHU,https://www.google.com/maps/place/?q=place_id:ChIJDapUEvix-DkRDuoWzLeFzHU,part_339,2026-09-20 20:22:13
Om Solar Solutions,Solar Rooftop and Inverter Dealer,Solar Energy Company,"Solar Energy Company, Green energy supplier, Solar energy system service, Solar energy equipment supplier, Solar photovoltaic power plant",753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 99199 90945,https://omsolar.in/,4.7,,"13-411, Arvindo Pk Rd, Sector 13, Indira Nagar, Lucknow, Uttar Pradesh 226016","Sector 13, Indira Nagar",26.8878548,81.0003533,ChIJ3USAQCNZmTkRglVL6bsuwVs,https://www.google.com/maps/place/?q=place_id:ChIJ3USAQCNZmTkRglVL6bsuwVs,part_339,2026-09-20 20:22:13
