business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SAAN WELLNESS(fitness centre),Wellness Center,Wellness center,Wellness center,753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 78099 43481,https://www.instagram.com/ashu_fitness_coach?igsh=MXI3aW40ZmducGM5cQ==,5.0,,"Mallickbag, Jaunliapatty, Choudhury Bazar, Kataka, Odisha 753009","Choudhury Bazar, Nandi Sahi",20.4631723,85.8676237,ChIJc2Fov38NGToRMn4n5UdsMyQ,https://www.google.com/maps/place/?q=place_id:ChIJc2Fov38NGToRMn4n5UdsMyQ,part_339,2026-09-20 20:22:15
Odisha wellness center,Wellness Center,Wellness program,Wellness program,753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 70081 63803,N/A,,,"Jobra Rd, near Patanjali Store, Municipal Colony, Kataka, Odisha 753001",Municipal Colony,20.4718011,85.89667999999999,ChIJORnB-OoNGToRnzcXFaPSBmQ,https://www.google.com/maps/place/?q=place_id:ChIJORnB-OoNGToRnzcXFaPSBmQ,part_339,2026-09-20 20:22:15
Divya Wellness Centre,Wellness Center,Weight loss service,Weight loss service,753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 93388 09035,N/A,5.0,12.0,"Gamandia Canal Rd, Samanta Sahi, Siba Bazar, Kataka, Odisha 753001","Samanta Sahi, Siba Bazar",20.4670158,85.8834684,ChIJmfpSxEENGToR8w4BBN-Nmfg,https://www.google.com/maps/place/?q=place_id:ChIJmfpSxEENGToR8w4BBN-Nmfg,part_339,2026-09-20 20:22:15
Urban Health and Wellness Centre,Wellness Center,Community health center,Community health center,753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",N/A,N/A,4.7,,"CVX9+678, Mukameswar, Kataka, Odisha 753011",Mukameswar,20.4480419,85.8681878,ChIJnZNH67ENGToRFbGcd1n_kWw,https://www.google.com/maps/place/?q=place_id:ChIJnZNH67ENGToRFbGcd1n_kWw,part_339,2026-09-20 20:22:15
K R Wellness Center,Wellness Center,Wellness center,Wellness center,753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 98611 06561,N/A,,,"Choudhury Bazar, Nandi Sahi, Kataka, Odisha 753001","Choudhury Bazar, Nandi Sahi",20.4645117,85.8692789,ChIJL6gpN2UNGToRmskbQhUCHfE,https://www.google.com/maps/place/?q=place_id:ChIJL6gpN2UNGToRmskbQhUCHfE,part_339,2026-09-20 20:22:15
Life Care Health Academy,Wellness Center,Wellness center,"Wellness center, Fitness center, Nutritionist, Physical fitness program, Physical rehabilitation center, Physiotherapy Center, Health counselor",753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",N/A,https://lifecarewellnesscenter.wordpress.com/,5.0,1.0,"NSCB arcade, Jail Rd, near LAB CARE, near Reliance Trends, Dargah Bazaar, Kataka, Odisha 753001",Dargah Bazaar,20.467853599999998,85.8686298,ChIJ3RjEeTANGToRYroFynq5VqU,https://www.google.com/maps/place/?q=place_id:ChIJ3RjEeTANGToRYroFynq5VqU,part_339,2026-09-20 20:22:15
SANVI WELLNESS CENTRE,Wellness Center,Health consultant,Health consultant,753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 86372 78088,http://www.sanviwelness.com/,4.8,,"Jagatpur Industrial Estate, Madhusudan Nagar, Jagatpur, Odisha 754021","Jagatpur Industrial Estate, Madhusudan Nagar",20.4952845,85.9297632,ChIJOQDM4D0TGToRKrhjFTepOx4,https://www.google.com/maps/place/?q=place_id:ChIJOQDM4D0TGToRKrhjFTepOx4,part_339,2026-09-20 20:22:15
Roohani Hakeem,Wellness Center,Wellness center,Wellness center,753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 81446 41485,N/A,5.0,,"Pension line, Buxi Bazaar, Kataka, Odisha 753001",Buxi Bazaar,20.4740503,85.8729804,ChIJVxN_Ap0TGToROBeTX62XJXs,https://www.google.com/maps/place/?q=place_id:ChIJVxN_Ap0TGToROBeTX62XJXs,part_339,2026-09-20 20:22:15
Shradha Saburi Wellness Centre,Wellness Center,Nursing home,Nursing home,753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",N/A,N/A,,,"FVGQ+M6Q, Ring Rd, Professors Colony, Kataka, Odisha 753001",Professors Colony,20.4767249,85.8880964,ChIJtWLzSH4SGToR_l9A_6H86SU,https://www.google.com/maps/place/?q=place_id:ChIJtWLzSH4SGToR_l9A_6H86SU,part_339,2026-09-20 20:22:15
CGHS welness Centre IV(Cuttack),Wellness Center,Hospital,Hospital,753001,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Cuttack G.P.O., Choudhury Bazar S.O, Bajrakabari Road S.O",+91 671 230 4953,N/A,3.9,,"15, Cantonment Rd, Buxi Bazaar, Kataka, Odisha 753001",Buxi Bazaar,20.478878299999998,85.8767202,ChIJyQ_0nqYTGToR9TgtQG89FhY,https://www.google.com/maps/place/?q=place_id:ChIJyQ_0nqYTGToR9TgtQG89FhY,part_339,2026-09-20 20:22:15
