business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Metro Builders (O) Private Limited,Civil Contractor and Builder,Apartment building,"Apartment building, Builder, Real Estate Builders & Construction Company, General contractor, Real estate developer",753002,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Chandinchowk H.O, Binod Bihari S.O, Dagarpara S.O",+91 671 242 2996,http://www.metrobuildersorissa.com/,4.2,,"Sunshine Field, Metro River View Apartment, Complex, Ring Rd, Rajabagicha, Kataka, Odisha 753002",Rajabagicha,20.4586844,85.8656105,ChIJVVVVlfENGToRtkidJQukaRg,https://www.google.com/maps/place/?q=place_id:ChIJVVVVlfENGToRtkidJQukaRg,part_339,2026-09-20 20:23:02
Archflair Infra Estate PVT.LTD.,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,753002,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Chandinchowk H.O, Binod Bihari S.O, Dagarpara S.O",N/A,N/A,,,"FV88+749, Banka Bazar Rd, Oriya Bazar, Kataka, Odisha 753002",Oriya Bazar,20.4656555,85.8653439,ChIJYa46VAANGToR0ryawjcTQzg,https://www.google.com/maps/place/?q=place_id:ChIJYa46VAANGToR0ryawjcTQzg,part_339,2026-09-20 20:23:02
GM INFRA WORLD,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,753002,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Chandinchowk H.O, Binod Bihari S.O, Dagarpara S.O",N/A,N/A,,,"Khatbin Sahi Rd, Oriya Bazar, Kataka, Odisha 753001",Oriya Bazar,20.4724485,85.8625715,ChIJU-YttaMNGToRLpmM3isiEY8,https://www.google.com/maps/place/?q=place_id:ChIJU-YttaMNGToRLpmM3isiEY8,part_339,2026-09-20 20:23:02
KAIZEN INFRACON Annex Building project,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,753002,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Chandinchowk H.O, Binod Bihari S.O, Dagarpara S.O",N/A,N/A,,,"FV74+PWR, Chandini Chowk, Kataka, Odisha 753002",Chandini Chowk,20.464367,85.8572707,ChIJs54vOQANGToRmiHkdY_GV-4,https://www.google.com/maps/place/?q=place_id:ChIJs54vOQANGToRmiHkdY_GV-4,part_339,2026-09-20 20:23:02
The Big Daddy house,Civil Contractor and Builder,Home builder,Home builder,753002,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Chandinchowk H.O, Binod Bihari S.O, Dagarpara S.O",N/A,N/A,5.0,,"FV59+95W, Purighat, Kataka, Odisha 753009",Purighat,20.4584875,85.8679531,ChIJhQsnTwANGToR0WBGEE7JXEU,https://www.google.com/maps/place/?q=place_id:ChIJhQsnTwANGToR0WBGEE7JXEU,part_339,2026-09-20 20:23:02
Home,Civil Contractor and Builder,Housing society,Housing society,753002,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Chandinchowk H.O, Binod Bihari S.O, Dagarpara S.O",N/A,N/A,5.0,,"Mahidas Bazaar .chandinichowk, 2, Oriya Bazar, Kataka, Odisha 753002",Oriya Bazar,20.4680747,85.8611979,ChIJ0w1sp-UNGToRCiSPF5mCX7M,https://www.google.com/maps/place/?q=place_id:ChIJ0w1sp-UNGToRCiSPF5mCX7M,part_339,2026-09-20 20:23:02
J J WORKS & SERVICES,Civil Contractor and Builder,Contractor,"Contractor, Community garden, Electrical substation, Landscaper, Machine maintenance service, Park, Railroad company, Railroad contractor, Railway services, Solar panel maintenance service",753002,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Chandinchowk H.O, Binod Bihari S.O, Dagarpara S.O",+91 94370 03041,N/A,,,"1st FLOOR, HANUMAN GHAT, 638/B/1, BAIMUNDI MARG, beside IOCL PETROL PUMP, Nimchouri, Kataka, Mundamuhan, Odisha 753002",Nimchouri,20.4606061,85.8613385,ChIJ4QpxQzkNGToR1yZdh-qUGrI,https://www.google.com/maps/place/?q=place_id:ChIJ4QpxQzkNGToR1yZdh-qUGrI,part_339,2026-09-20 20:23:02
UTTAM CONSTRUCTION,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,753002,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Chandinchowk H.O, Binod Bihari S.O, Dagarpara S.O",+91 82600 36481,N/A,5.0,14.0,"CDA, F/653 , SEC -8, Kataka, Odisha 753014",CDA Sector 8,20.4765205,85.8283501,ChIJKxnMiRwRGToRK-1AfdQNIek,https://www.google.com/maps/place/?q=place_id:ChIJKxnMiRwRGToRK-1AfdQNIek,part_339,2026-09-20 20:23:03
Shree Construction & Developers,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,753002,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Chandinchowk H.O, Binod Bihari S.O, Dagarpara S.O",+91 98535 59174,N/A,4.7,23.0,"CDA, Sector 13, Kataka, Odisha 753015",Sector 13,20.484270499999997,85.8013038,ChIJQ81zLKYRGToRf2M_febvaeo,https://www.google.com/maps/place/?q=place_id:ChIJQ81zLKYRGToRf2M_febvaeo,part_339,2026-09-20 20:23:03
MNR CONSTRUCTION,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,753002,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Chandinchowk H.O, Binod Bihari S.O, Dagarpara S.O",+91 79784 19950,https://www.mnrconstruction.in/,4.6,26.0,"sec-13, Kataka, Odisha 753015",753002,20.4840038,85.8045166,ChIJY5dOsKkRGToRWDH08ClZrDM,https://www.google.com/maps/place/?q=place_id:ChIJY5dOsKkRGToRWDH08ClZrDM,part_339,2026-09-20 20:23:03
United Engineers & Infra Pvt. Ltd.,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,753002,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Chandinchowk H.O, Binod Bihari S.O, Dagarpara S.O",+91 78944 14418,http://unitedengineersodisha.com/,4.7,114.0,"Bidanasi, Kataka, Odisha 753014",Bidanasi,20.4812668,85.83308799999999,ChIJZSN4tuURGToR9kq6lRX_Ikw,https://www.google.com/maps/place/?q=place_id:ChIJZSN4tuURGToR9kq6lRX_Ikw,part_339,2026-09-20 20:23:03
Swarna Constructions CDA,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,753002,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Chandinchowk H.O, Binod Bihari S.O, Dagarpara S.O",+91 99376 69976,N/A,4.9,12.0,"2F/792, CDA Sec - 10, Kataka, Odisha 753014",CDA Sec - 10,20.4837422,85.8227062,ChIJ5-_ZkSERGToRgnLjjbNSY5M,https://www.google.com/maps/place/?q=place_id:ChIJ5-_ZkSERGToRgnLjjbNSY5M,part_339,2026-09-20 20:23:03
