business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Cuttack office,Offices,Government office,Government office,753008,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Tulasipur S.O, Khatbin Sahi B.O, Kanika Rajbati S.O",N/A,N/A,1.0,1.0,"FRMX+M7W, Kafla Colony, Kaphala Colony, Kataka, Odisha 753008","Kafla Colony, Kaphala Colony",20.4842443,85.8482018,ChIJfWOFVdIRGToRZyAoHGeC1GM,https://www.google.com/maps/place/?q=place_id:ChIJfWOFVdIRGToRZyAoHGeC1GM,part_339,2026-09-20 20:26:33
OWSSB Office Cuttack,Offices,Government office,Government office,753008,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Tulasipur S.O, Khatbin Sahi B.O, Kanika Rajbati S.O",N/A,N/A,5.0,1.0,"FVM6+M7M, Biju Patnaik Colony, Kataka, Odisha 753008",Biju Patnaik Colony,20.484204599999998,85.86068379999999,ChIJ6x9J2A8SGToRJRF7Jlj1hs0,https://www.google.com/maps/place/?q=place_id:ChIJ6x9J2A8SGToRJRF7Jlj1hs0,part_339,2026-09-20 20:26:33
CT & GST ENFORCEMENT UNIT CUTTACK I & II,Offices,Government office,Government office,753008,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Tulasipur S.O, Khatbin Sahi B.O, Kanika Rajbati S.O",N/A,N/A,5.0,2.0,"Gate No 14, Barabati Stadium Rd, Biju Patnaik Colony, Kataka, Odisha 753001",Biju Patnaik Colony,20.4798862,85.8673831,ChIJgyq3LAATGToRIDRb08nM-R8,https://www.google.com/maps/place/?q=place_id:ChIJgyq3LAATGToRIDRb08nM-R8,part_339,2026-09-20 20:26:33
Soil Conservation Office,Offices,Government office,Government office,753008,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Tulasipur S.O, Khatbin Sahi B.O, Kanika Rajbati S.O",N/A,N/A,4.0,2.0,"FVH6+J75, Kanika Rd, Masik Patna Colony, Kataka, Odisha 753008",Masik Patna Colony,20.4790089,85.86074839999999,ChIJbTHRLw8SGToRnIqSI_rf2sU,https://www.google.com/maps/place/?q=place_id:ChIJbTHRLw8SGToRnIqSI_rf2sU,part_339,2026-09-20 20:26:33
Kanika Rajabati Sub-Post office,Offices,Post office,Post office,753008,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Tulasipur S.O, Khatbin Sahi B.O, Kanika Rajbati S.O",N/A,N/A,2.7,3.0,"FVH5+GH3, Unnamed Road, Tulasipur Colony, Kataka, Odisha 753008",Tulasipur Colony,20.478756399999998,85.85891869999999,ChIJhTkoyeETGToRE38_oYdcdH0,https://www.google.com/maps/place/?q=place_id:ChIJhTkoyeETGToRE38_oYdcdH0,part_339,2026-09-20 20:26:33
Office of the chief fire officer Odisha cuttack,Offices,Housing complex,Housing complex,753008,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Tulasipur S.O, Khatbin Sahi B.O, Kanika Rajbati S.O",N/A,N/A,4.7,3.0,"FVH6+X2G, Sun Hospital Rd, Masik Patna Colony, Kataka, Odisha 753008",Masik Patna Colony,20.479927999999997,85.8600932,ChIJr_bDxf8TGToRG1e8C5MnOu4,https://www.google.com/maps/place/?q=place_id:ChIJr_bDxf8TGToRG1e8C5MnOu4,part_339,2026-09-20 20:26:33
Tulasipur Sub Post Office,Offices,Post office,Post office,753008,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Tulasipur S.O, Khatbin Sahi B.O, Kanika Rajbati S.O",N/A,N/A,4.0,9.0,"FVM6+G28, Tulsipur, Kataka, Odisha 753008",Tulsipur,20.483787,85.8600929,ChIJx9x35w8SGToRiVN5-ac9ejE,https://www.google.com/maps/place/?q=place_id:ChIJx9x35w8SGToRiVN5-ac9ejE,part_339,2026-09-20 20:26:33
Aashiana,Offices,Government office,Government office,753008,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Tulasipur S.O, Khatbin Sahi B.O, Kanika Rajbati S.O",N/A,N/A,1.0,1.0,"FVH4+FJ5, Kanika Rd, Tulasipur Colony, Kataka, Odisha 753008",Tulasipur Colony,20.478646299999998,85.8566163,ChIJdz-IUwATGToRhIEVFDi56Ps,https://www.google.com/maps/place/?q=place_id:ChIJdz-IUwATGToRhIEVFDi56Ps,part_339,2026-09-20 20:26:33
Madhusudan Nagar Post office,Offices,Post office,Post office,753008,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Tulasipur S.O, Khatbin Sahi B.O, Kanika Rajbati S.O",N/A,http://indiapost.gov.in/,2.8,4.0,"FVP5+45W, Pradhan Lane1, Hindolkothi, Tulsipur, Kataka, Odisha 753008","Hindolkothi, Tulsipur",20.485357099999998,85.8579561,ChIJh-CrwRoSGToRuyLcCpZhVF4,https://www.google.com/maps/place/?q=place_id:ChIJh-CrwRoSGToRuyLcCpZhVF4,part_339,2026-09-20 20:26:33
Office Of The Conservation Assistant,Offices,Government office,Government office,753008,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Tulasipur S.O, Khatbin Sahi B.O, Kanika Rajbati S.O",N/A,N/A,2.0,1.0,"FVM7+JHQ, Biju Patnaik Colony, Kataka, Odisha 753001",Biju Patnaik Colony,20.484094199999998,85.863974,ChIJ-c-pAA4SGToRriNxhlmvGtg,https://www.google.com/maps/place/?q=place_id:ChIJ-c-pAA4SGToRriNxhlmvGtg,part_339,2026-09-20 20:26:33
