business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Pista House Uppal,Non-Veg Biryani Restaurant,Family restaurant,"Family restaurant, Bakery and Cake Shop, Restaurant",753016,Odisha Circle,N/A,Cuttack City Division,NDC Cuttack,+91 93965 00786,https://pistahouse.in/,4.7,,"Meher Garden Rd, Prashanthinagar, Prashanth Nagar, Uppal, Hyderabad, Telangana 500039","Prashanthinagar, Prashanth Nagar, Uppal",17.4059538,78.55610209999999,ChIJgyvaADWZyzsRcY8343RzgXE,https://www.google.com/maps/place/?q=place_id:ChIJgyvaADWZyzsRcY8343RzgXE,part_339,2026-09-20 20:31:02
Bangali biryani house,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,753016,Odisha Circle,N/A,Cuttack City Division,NDC Cuttack,+91 82405 19518,N/A,4.8,,"Refinery Rd, Shiv Shakti Colony, Raman, Bhatinda, Punjab 151301",Shiv Shakti Colony,29.9330625,74.94393749999999,ChIJ431cDwDVFjkRry2zFj0f-BA,https://www.google.com/maps/place/?q=place_id:ChIJ431cDwDVFjkRry2zFj0f-BA,part_339,2026-09-20 20:31:02
Hotel Nayaab,Non-Veg Biryani Restaurant,Non Vegetarian Restaurant,"Non Vegetarian Restaurant, Breakfast restaurant, Brunch restaurant, Diner, Fast food restaurant, Indian restaurant, Lunch restaurant, Hyderabadi restaurant, Tea house, Vegetarian restaurant",753016,Odisha Circle,N/A,Cuttack City Division,NDC Cuttack,N/A,N/A,3.9,,"22-8-111&112, Nayapul Rd, beside bata showroom, Chatta Bazaar, Nassir Complex, Darulshifa, Hyderabad, Telangana 500002","Chatta Bazaar, Nassir Complex, Darulshifa",17.3695578,78.4769541,ChIJNUS44SeYyzsRQl6GqHS92tg,https://www.google.com/maps/place/?q=place_id:ChIJNUS44SeYyzsRQl6GqHS92tg,part_339,2026-09-20 20:31:02
Biryani N Beyond,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,753016,Odisha Circle,N/A,Cuttack City Division,NDC Cuttack,+91 89992 97195,N/A,4.9,,"Gut No. 87, Sai Harmony, behind Vinayak Park, Deolai, Chhatrapati Sambhajinagar, Maharashtra 431010",Deolai,19.8405716,75.3597807,ChIJ241NYamj2zsRHPqsr-sC6RE,https://www.google.com/maps/place/?q=place_id:ChIJ241NYamj2zsRHPqsr-sC6RE,part_339,2026-09-20 20:31:02
Biryani Hotel,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,753016,Odisha Circle,N/A,Cuttack City Division,NDC Cuttack,+91 95183 10058,N/A,4.0,,"Sambhaji Chowk, near SP Office, T.V. Center, Rajiv Gandhi Bhaji Market, N 9, Chhtrapati, Chhatrapati Sambhajinagar, Maharashtra 431003","T.V. Center, Rajiv Gandhi Bhaji Market, N 9",19.9018971,75.3537793,ChIJBT4CmFaj2zsROS6cWfe1D5Q,https://www.google.com/maps/place/?q=place_id:ChIJBT4CmFaj2zsROS6cWfe1D5Q,part_339,2026-09-20 20:31:02
Noorani kabab hotel,Non-Veg Biryani Restaurant,Chicken restaurant,Chicken restaurant,753016,Odisha Circle,N/A,Cuttack City Division,NDC Cuttack,N/A,N/A,4.1,,"M29W+H38, Gaurav Path, near hisariya restaurant, Taranagar, Rajasthan 331304",753016,28.6689227,75.0451891,ChIJ_f9tEfaBEzkRwemUQs3yjIo,https://www.google.com/maps/place/?q=place_id:ChIJ_f9tEfaBEzkRwemUQs3yjIo,part_339,2026-09-20 20:31:02
Valima ki biryani,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,753016,Odisha Circle,N/A,Cuttack City Division,NDC Cuttack,N/A,N/A,3.8,,"HKP Road, Swamy Shivanandapuram, Shivaji Nagar, Bengaluru, Karnataka 560051","Swamy Shivanandapuram, Shivaji Nagar",12.9863006,77.6046971,ChIJieRZonwXrjsRQTtuOFaCUDM,https://www.google.com/maps/place/?q=place_id:ChIJieRZonwXrjsRQTtuOFaCUDM,part_339,2026-09-20 20:31:03
Sufi Palace,Non-Veg Biryani Restaurant,Mughlai restaurant,"Mughlai restaurant, Chinese restaurant",753016,Odisha Circle,N/A,Cuttack City Division,NDC Cuttack,+91 84500 77775,N/A,4.2,,"113, Mahatma Gandhi Rd, College Street Market, College Street, Kolkata, West Bengal 700007","College Street Market, College Street",22.5785157,88.3619813,ChIJd0pI2bJ3AjoRIWo6_FIAYgA,https://www.google.com/maps/place/?q=place_id:ChIJd0pI2bJ3AjoRIWo6_FIAYgA,part_339,2026-09-20 20:31:03
Dine Hill,Non-Veg Biryani Restaurant,Arab restaurant,"Arab restaurant, Hyderabadi restaurant",753016,Odisha Circle,N/A,Cuttack City Division,NDC Cuttack,N/A,http://www.dinehillrestaurant.com/,4.0,,"10-5-5/2/4, Mehdipatnam - Banjara Hills Rd, beside Agra Sweets, Owaisi Pura, Masab Tank, Hyderabad, Telangana 500028","Owaisi Pura, Masab Tank",17.4054155,78.4514456,ChIJz7gUnD-XyzsR7SZKFa8nnEs,https://www.google.com/maps/place/?q=place_id:ChIJz7gUnD-XyzsR7SZKFa8nnEs,part_339,2026-09-20 20:31:03
Arsalan Restaurant & Caterer,Non-Veg Biryani Restaurant,Mughlai restaurant,Mughlai restaurant,753016,Odisha Circle,N/A,Cuttack City Division,NDC Cuttack,+91 90070 07935,https://arsalanrestaurants.com/,4.1,,"119A, Muzaffar Ahmed St, Esplanade, Taltala, Kolkata, West Bengal 700016","Esplanade, Taltala",22.5541333,88.3542739,ChIJK9EgbQV3AjoR-xfIYyjQM4s,https://www.google.com/maps/place/?q=place_id:ChIJK9EgbQV3AjoR-xfIYyjQM4s,part_339,2026-09-20 20:31:03
