business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ramesh Xerox Centre,Xerox and Photostat Center,Print shop,Print shop,753016,Odisha Circle,N/A,Cuttack City Division,NDC Cuttack,+91 99869 51201,N/A,4.6,,"No.221 Vayunandana Layout, Neerubhavi Munirathnamma Compound, Kempapura, Hebbal, Bengaluru, Karnataka 560024","Neerubhavi Munirathnamma Compound, Kempapura, Hebbal",13.0496631,77.5981245,ChIJ-V7VSAAXrjsRI3dy6OpHeBI,https://www.google.com/maps/place/?q=place_id:ChIJ-V7VSAAXrjsRI3dy6OpHeBI,part_339,2026-09-20 20:31:25
S.R. Xerox Center,Xerox and Photostat Center,Copy shop,"Copy shop, Bookbinder, Digital printing service, Internet shop",753016,Odisha Circle,N/A,Cuttack City Division,NDC Cuttack,+91 99869 51201,N/A,4.2,,"2HXX+R69, G Ramaiah Layout, Vayunandana Layout, Hebbal Kempapura, Bengaluru, Karnataka 560024","G Ramaiah Layout, Vayunandana Layout, Hebbal Kempapura",13.0495308,77.5981211,ChIJA7Vmo4UXrjsROr2C3t2lWDk,https://www.google.com/maps/place/?q=place_id:ChIJA7Vmo4UXrjsROr2C3t2lWDk,part_339,2026-09-20 20:31:25
Gowri photocopy & Digital Press,Xerox and Photostat Center,Copy shop,Copy shop,753016,Odisha Circle,N/A,Cuttack City Division,NDC Cuttack,+91 94478 63393,N/A,4.2,,"Thyivila, Double St, Thiruvananthapuram, Keralam 695001","Santhi Nagar, Pulimoodu",8.4908244,76.9477296,ChIJlQgyyKW7BTsRkwAk3ZikGKs,https://www.google.com/maps/place/?q=place_id:ChIJlQgyyKW7BTsRkwAk3ZikGKs,part_339,2026-09-20 20:31:25
Yamuna Xerox,Xerox and Photostat Center,Copy shop,"Copy shop, Office services",753016,Odisha Circle,N/A,Cuttack City Division,NDC Cuttack,+91 98470 61471,N/A,4.2,,"Medical College, Medical College Ulloor Rd, P T Chacko Nagar, Ulloor, Thiruvananthapuram, Keralam 695011","P T Chacko Nagar, Ulloor",8.525264,76.9290599,ChIJeXlB-1e5BTsRherSSrqF5Pk,https://www.google.com/maps/place/?q=place_id:ChIJeXlB-1e5BTsRherSSrqF5Pk,part_339,2026-09-20 20:31:25
Express Xerox,Xerox and Photostat Center,Copy shop,"Copy shop, Lamination service, Print shop",753016,Odisha Circle,N/A,Cuttack City Division,NDC Cuttack,+91 89393 25244,N/A,5.0,,"112, Nehru St, Alwartirunagar, Valasaravakkam, Chennai, Tamil Nadu 600087","Alwartirunagar, Valasaravakkam",13.0445885,80.1848953,ChIJYZ51fy1hUjoR-8kDhUPMMy4,https://www.google.com/maps/place/?q=place_id:ChIJYZ51fy1hUjoR-8kDhUPMMy4,part_339,2026-09-20 20:31:25
Sri Vignesh Enterprises,Xerox and Photostat Center,Print shop,"Print shop, Digital printer",753016,Odisha Circle,N/A,Cuttack City Division,NDC Cuttack,+91 99628 37213,https://youtube.com/shorts/Z6vvw5Y4CyU?si=aKjbLlCmzw0RmLC7,4.8,,"2nd Floor, V.G.V.P. Complex, Mc Nichols Road 3rd Ln, Chetpet, Chennai, Tamil Nadu 600031",Chetpet,13.0698492,80.24203109999999,ChIJkzP2VXpmUjoRZ1f-W8YZCEU,https://www.google.com/maps/place/?q=place_id:ChIJkzP2VXpmUjoRZ1f-W8YZCEU,part_339,2026-09-20 20:31:25
Dipti Xerox,Xerox and Photostat Center,Copy shop,"Copy shop, Ice cream shop",753016,Odisha Circle,N/A,Cuttack City Division,NDC Cuttack,+91 98622 31289,N/A,3.4,,"R7RJ+QHP, Lake Chowmuhani Bazar, Krishna Nagar, Agartala, Tripura 799001",Indranagar,23.8419708,91.2814454,ChIJCUZjegX0UzcRgA_ELEeMmAY,https://www.google.com/maps/place/?q=place_id:ChIJCUZjegX0UzcRgA_ELEeMmAY,part_339,2026-09-20 20:31:25
Naithok Xerox Centre,Xerox and Photostat Center,Online Share Trading Center,Online Share Trading Center,753016,Odisha Circle,N/A,Cuttack City Division,NDC Cuttack,+91 87876 02064,http://www.naithokxerokcentre.com/,3.6,,"North, near Young's Corner club, Banamalipur, Agartala, Tripura 799001","Banamalipur, Indranagar",23.8395427,91.2902719,ChIJ1-xbvvfzUzcRpYdyUfdDGt0,https://www.google.com/maps/place/?q=place_id:ChIJ1-xbvvfzUzcRpYdyUfdDGt0,part_339,2026-09-20 20:31:25
Joy Ram Xerox,Xerox and Photostat Center,Copy shop,"Copy shop, Stationery store",753016,Odisha Circle,N/A,Cuttack City Division,NDC Cuttack,+91 97741 45516,N/A,4.0,,"Agartala Mathchowmahni, Agartala, Tripura 799004","Shibnagar, Dhaleswar",23.8302266,91.2907594,ChIJv4XAOvXzUzcR51nrJaXaC64,https://www.google.com/maps/place/?q=place_id:ChIJv4XAOvXzUzcR51nrJaXaC64,part_339,2026-09-20 20:31:25
Sham Xerox,Xerox and Photostat Center,Digital printing service,Digital printing service,753016,Odisha Circle,N/A,Cuttack City Division,NDC Cuttack,+91 98907 03009,N/A,4.9,,"3,4,5, Maharana pratap Shopping complex, 2, Shivaji Maharaj Chowk, Gautam Nagar, Panchshil Nagar, Chopda, Maharashtra 425107","Gautam Nagar, Panchshil Nagar",21.2434856,75.29530009999999,ChIJvTB8zanf2DsRcViBY9LJ8pQ,https://www.google.com/maps/place/?q=place_id:ChIJvTB8zanf2DsRcViBY9LJ8pQ,part_339,2026-09-20 20:31:25
