business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Notebook,Bookstore and Stationery Shop,Stationery store,"Stationery store, Accounting firm, Business banking service, Courier service, Insurance agency, Office supply store, Registration office, School supply store, Scrapbooking store, Tax collector's office",754005,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Barang S.O, B G P Pur B.O, Belgachhia B.O",+91 72057 08006,N/A,5.0,,"Trisulia, Kataka, Odisha 754005",754005,20.4397293,85.8385409,ChIJiQGH6QAPGToRsDs56gk83z4,https://www.google.com/maps/place/?q=place_id:ChIJiQGH6QAPGToRsDs56gk83z4,part_339,2026-09-20 20:34:26
Mangalmurti XEROX and stationery shop,Bookstore and Stationery Shop,Book store,Book store,754005,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Barang S.O, B G P Pur B.O, Belgachhia B.O",N/A,N/A,,,"Gopalpur, Odisha 754005",754005,20.4306184,85.8749921,ChIJEXYKYAANGToRXPLt0LJKkEo,https://www.google.com/maps/place/?q=place_id:ChIJEXYKYAANGToRXPLt0LJKkEo,part_339,2026-09-20 20:34:26
OXFORD BOOK STORE,Bookstore and Stationery Shop,Stationery store,Stationery store,754005,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Barang S.O, B G P Pur B.O, Belgachhia B.O",+91 90906 68218,N/A,,,"Gate Market, near by Shree Optical And Pathology, Station Bazar, Barang, Jujhagada, Odisha 754005",Station Bazar,20.4082157,85.8301232,ChIJCXSb_L8PGToRnLTTxikONM8,https://www.google.com/maps/place/?q=place_id:ChIJCXSb_L8PGToRnLTTxikONM8,part_339,2026-09-20 20:34:26
Pari Pustak Kendra - Authorized Oswaal Books Distributor,Bookstore and Stationery Shop,Book store,"Book store, Children's Book Store, Craft store, Dress store, Gift shop, Library, Paper distributor, School supply store, Sports Accessories Wholesaler, Stationery store",754005,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Barang S.O, B G P Pur B.O, Belgachhia B.O",+91 94150 00946,N/A,4.6,727.0,"60 Feet Rd, near Atal Chauraha, opposite CBI Colony, Janki Vihar Colony, Jankipuram Vistar, Lucknow, Uttar Pradesh 226021","Janki Vihar Colony, Jankipuram Vistar",26.9352113,80.9478816,ChIJ6Sav3KpXmTkRAcZkC5mv2UY,https://www.google.com/maps/place/?q=place_id:ChIJ6Sav3KpXmTkRAcZkC5mv2UY,part_339,2026-09-20 20:34:26
Universal Book Centre,Bookstore and Stationery Shop,Book store,Book store,754005,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Barang S.O, B G P Pur B.O, Belgachhia B.O",+91 522 232 9641,N/A,4.3,2677.0,"Commercial Complex, A-1, Arif Chambers - 1, Aliganj, Kapoorthala Road, Lucknow, Uttar Pradesh 226024","Kapoorthla, Sector A, Chandralok",26.882631099999998,80.9463896,ChIJS8uIiStWmTkR4KE7X2p0ylw,https://www.google.com/maps/place/?q=place_id:ChIJS8uIiStWmTkR4KE7X2p0ylw,part_339,2026-09-20 20:34:26
Sri Krishna Books & Stationery,Bookstore and Stationery Shop,Stationery store,"Stationery store, Book store",754005,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Barang S.O, B G P Pur B.O, Belgachhia B.O",+91 95906 10303,N/A,4.2,389.0,"32/2, K Narayanapura Main Rd, opposite AXIS BANK, Kothanur, Bengaluru, Karnataka 560077",Kothanur,13.064456499999999,77.6486877,ChIJP_dGlugZrjsRTPqD03prlU4,https://www.google.com/maps/place/?q=place_id:ChIJP_dGlugZrjsRTPqD03prlU4,part_339,2026-09-20 20:34:26
Rhythm Stationers,Bookstore and Stationery Shop,Stationery store,Stationery store,754005,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Barang S.O, B G P Pur B.O, Belgachhia B.O",+91 85609 47440,N/A,4.9,210.0,"71/81, Madhyam Marg, opp. K.V, Mansarovar Sector 7, Agarwal Farm, Mansarovar Sector 5, Mansarovar, Jaipur, Rajasthan 302020","Mansarovar Sector 7, Agarwal Farm, Mansarovar Sector 5, Mansarovar",26.8562686,75.7673875,ChIJo-Qi3KW1bTkR-IQYBrclKwA,https://www.google.com/maps/place/?q=place_id:ChIJo-Qi3KW1bTkR-IQYBrclKwA,part_339,2026-09-20 20:34:27
Sri Mataji Stationers & Xerox,Bookstore and Stationery Shop,Stationery store,"Stationery store, Book store, Copy shop, Print shop, Printer ink refill store, Stationery wholesaler",754005,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Barang S.O, B G P Pur B.O, Belgachhia B.O",+91 74109 00707,https://www.srimatajistationers.in/,4.9,785.0,"219, 3rd Cross Road, near ICIC BANK, Neeladri Nagar, Electronic City Phase I, Electronic City, Doddathoguru, Karnataka 560100","Neeladri Nagar, Electronic City Phase I, Electronic City",12.840102,77.6501716,ChIJ_c81dg9rrjsRwOvSwdxUZT8,https://www.google.com/maps/place/?q=place_id:ChIJ_c81dg9rrjsRwOvSwdxUZT8,part_339,2026-09-20 20:34:27
Khandelwal's Stationery World,Bookstore and Stationery Shop,Stationery store,Stationery store,754005,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Barang S.O, B G P Pur B.O, Belgachhia B.O",+91 98451 09747,N/A,4.7,97.0,"orchid park, 30/31, Neeladri Rd, beside Khandelwal's Fashion Boutique, Karuna Nagar, Electronic City Phase I, Electronic City, Doddathoguru, Karnataka 560100","Karuna Nagar, Electronic City Phase I, Electronic City",12.8413147,77.64933239999999,ChIJO49MD-hrrjsRdqXV389P0tY,https://www.google.com/maps/place/?q=place_id:ChIJO49MD-hrrjsRdqXV389P0tY,part_339,2026-09-20 20:34:27
Ganavi Enterprises,Bookstore and Stationery Shop,Stationery store,"Stationery store, Copy shop",754005,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Barang S.O, B G P Pur B.O, Belgachhia B.O",+91 80 2591 5568,N/A,4.3,53.0,"686, 7th Main Rd, HRBR Layout 1st Block, Subbaiahnapalya, Banaswadi, Bengaluru, Karnataka 560033","HRBR Layout 1st Block, Subbaiahnapalya, Banaswadi",13.0146175,77.6427456,ChIJjzW1itUWrjsRyb0Lw1Se0zY,https://www.google.com/maps/place/?q=place_id:ChIJjzW1itUWrjsRyb0Lw1Se0zY,part_339,2026-09-20 20:34:27
