business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vaibhav Resort,Resort,Resort hotel,Resort hotel,754006,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Mundali Colony S.O, Banra B.O, Godisahi B.O",+91 99375 55778,http://vaibhavresort.com/,4.3,,"House no- 6, Sabk, Pahadi Dhaba, Plot -583/1551, Lane no -9, above Akruti Studio, opposite side, Patharagadia, Bhubaneswar, Odisha 751024",Patharagadia,20.3616071,85.8061354,ChIJVVVVFdoIGToRF2UFelzK2C4,https://www.google.com/maps/place/?q=place_id:ChIJVVVVFdoIGToRF2UFelzK2C4,part_339,2026-09-20 20:35:00
Pipul Padmaja Premium Hotel and Convention,Resort,Hotel,"Hotel, Banquet hall, Restaurant",754006,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Mundali Colony S.O, Banra B.O, Godisahi B.O",+91 74400 02501,https://www.pipulhotelsandresorts.com/padmaja-premium-hotel-convention-bhubaneswar/,4.3,,"Plot No 324, 326, behind Bharat Petrol Pump, District Center, Chandrasekharpur, Bhubaneswar, Odisha 751016","District Center, Chandrasekharpur",20.3255686,85.8156691,ChIJxTiA5FoJGToRt2gz6_-s6kg,https://www.google.com/maps/place/?q=place_id:ChIJxTiA5FoJGToRt2gz6_-s6kg,part_339,2026-09-20 20:35:00
Royal Galaxy Homes,Resort,Resort hotel,"Resort hotel, Guest house, Hotel",754006,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Mundali Colony S.O, Banra B.O, Godisahi B.O",+91 97771 82522,https://royalgalaxyhomes.com/,4.8,,"Plot No-B/49, Chandaka Industrial Estate, Patia, Bhubaneswar, Odisha 751024","Chandaka Industrial Estate, Patia",20.3477216,85.81036759999999,ChIJ5ahlIewJGToRijbq4-l1Zzg,https://www.google.com/maps/place/?q=place_id:ChIJ5ahlIewJGToRijbq4-l1Zzg,part_339,2026-09-20 20:35:00
Suryansh hotels and resorts,Resort,Hotel,"Hotel, Resort hotel, Restaurant",754006,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Mundali Colony S.O, Banra B.O, Godisahi B.O",+91 674 261 0700,https://www.suryanshhotels.com/,4.2,,"P-1, Nandankanan Rd, near kalinga hospital, NALCO Nagar, Jayadev Vihar, Bhubaneswar, Odisha 751023","NALCO Nagar, Jayadev Vihar",20.3151264,85.816739,ChIJQRD4arAJGToRCzKZnDLiEVg,https://www.google.com/maps/place/?q=place_id:ChIJQRD4arAJGToRCzKZnDLiEVg,part_339,2026-09-20 20:35:00
The Presidency,Resort,Resort hotel,"Resort hotel, Hotel",754006,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Mundali Colony S.O, Banra B.O, Godisahi B.O",+91 674 354 0111,http://www.thepresidencyindia.com/,4.0,,"1471/A, near ISKON Temple, ESIC Quarters, Nayapalli, Bhubaneswar, Odisha 751015","ESIC Quarters, Nayapalli",20.2879863,85.812133,ChIJqSGNzm4JGToR9YD7CYaXHdY,https://www.google.com/maps/place/?q=place_id:ChIJqSGNzm4JGToR9YD7CYaXHdY,part_339,2026-09-20 20:35:00
FOREST VIEW RESIDENCY,Resort,Hotel,Hotel,754006,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Mundali Colony S.O, Banra B.O, Godisahi B.O",+91 674 355 8410,http://www.forestviewresidency.com/,4.2,,"HIG 47, Lumbini Vihar, Niladri Vihar, Chandrasekharpur, Bhubaneswar, Odisha 751021","Lumbini Vihar, Niladri Vihar, Chandrasekharpur",20.320368,85.8089402,ChIJpQJm-00JGToROtQTEQIAM1E,https://www.google.com/maps/place/?q=place_id:ChIJpQJm-00JGToROtQTEQIAM1E,part_339,2026-09-20 20:35:00
SSB KINGDOM Waterpark & Resort,Resort,Water park,"Water park, Amusement park, Banquet hall, Conference center, Event venue, Recreation center, Resort hotel, Restaurant, Theme park, Tourist attraction",754006,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Mundali Colony S.O, Banra B.O, Godisahi B.O",+91 79784 93980,https://ssbkingdom.com/,4.3,,"near Ansupa Lake, Ghodabar, Banki, Odisha 754029",754006,20.4417527,85.5979061,ChIJ0S3xcUr9GDoRR3CGkpEcxDY,https://www.google.com/maps/place/?q=place_id:ChIJ0S3xcUr9GDoRR3CGkpEcxDY,part_339,2026-09-20 20:35:00
"Svanir Wilderness Ecostay, Bhubaneswar",Resort,Home Stay,"Home Stay, Farmstay",754006,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Mundali Colony S.O, Banra B.O, Godisahi B.O",N/A,http://www.svanir.com/,4.8,,"Plot 257/407, Khurdha - Chandaka Rd, Dalua, Bhubaneswar, Odisha 754012",754006,20.3469619,85.74406599999999,ChIJnyAHpysHGToRG_H8ppPt3sQ,https://www.google.com/maps/place/?q=place_id:ChIJnyAHpysHGToRG_H8ppPt3sQ,part_339,2026-09-20 20:35:00
"Deras Nature Camp, Chandaka",Resort,Resort hotel,Resort hotel,754006,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Mundali Colony S.O, Banra B.O, Godisahi B.O",+91 674 254 9553,http://www.ecotourodisha.com/,4.4,,"Deras Dam,Mendhasal, Bhubaneswar, Odisha 752054",754006,20.3113404,85.6868222,ChIJ4XxugvUHGToRi2iTe5axCF4,https://www.google.com/maps/place/?q=place_id:ChIJ4XxugvUHGToRi2iTe5axCF4,part_339,2026-09-20 20:35:00
Hotel 7 Saat,Resort,Hotel,Hotel,754006,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Mundali Colony S.O, Banra B.O, Godisahi B.O",+91 674 274 2215,https://hotel7saat.com/,4.1,,"F/19 & F24, near Infocity, Sailashree Vihar, Patia, Bhubaneswar, Odisha 751021","Sailashree Vihar, Patia",20.3405707,85.8101179,ChIJEfLsKgMJGToRQRB_HHmeahQ,https://www.google.com/maps/place/?q=place_id:ChIJEfLsKgMJGToRQRB_HHmeahQ,part_339,2026-09-20 20:35:00
