business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Interio Arcon,Interior Designers,Interior designer,Interior designer,754007,Odisha circle,Bhubaneswar HQ Region,Cuttack South Division,"Dulhanpur B.O, Govindpur Ramachandrapur B.O, Gayalbanka B.O",+91 79828 60184,http://www.interioarcon.in/,4.9,,"Plot No-712/2723, Bijipur, Tamando, Patrapada, Bhubaneswar, Bijipur, Odisha 751028",Patrapada,20.234037999999998,85.75150699999999,ChIJOzBdCQCpGToRjpVc9zN4lnU,https://www.google.com/maps/place/?q=place_id:ChIJOzBdCQCpGToRjpVc9zN4lnU,part_339,2026-09-20 20:35:31
Tara&Sara Interior Design,Interior Designers,Carpenter,Carpenter,754007,Odisha circle,Bhubaneswar HQ Region,Cuttack South Division,"Dulhanpur B.O, Govindpur Ramachandrapur B.O, Gayalbanka B.O",+91 99373 06574,N/A,5.0,,"New Melana padia, Jagasara, Kaimatia, Bhubaneswar, Odisha 752054",754007,20.2564487,85.7310784,ChIJv4cM8LGpGToRmLS6gDELehU,https://www.google.com/maps/place/?q=place_id:ChIJv4cM8LGpGToRmLS6gDELehU,part_339,2026-09-20 20:35:31
Bhubaneswar Interior Design Service,Interior Designers,Interior designer,"Interior designer, Carpenter, Flooring contractor, Interior Decorator, Kitchen remodeler, Painter",754007,Odisha circle,Bhubaneswar HQ Region,Cuttack South Division,"Dulhanpur B.O, Govindpur Ramachandrapur B.O, Gayalbanka B.O",+91 80 4803 1850,N/A,4.9,,"105, Golden Residency, Kochilaput, Pokhariput, Bhubaneswar, Odisha 751029",754007,20.2942254,85.744396,ChIJwYxueSsHGToRRDr6yHhabAM,https://www.google.com/maps/place/?q=place_id:ChIJwYxueSsHGToRRDr6yHhabAM,part_339,2026-09-20 20:35:31
DECORACY INTERIOR,Interior Designers,Interior designer,Interior designer,754007,Odisha circle,Bhubaneswar HQ Region,Cuttack South Division,"Dulhanpur B.O, Govindpur Ramachandrapur B.O, Gayalbanka B.O",+91 77519 44611,N/A,5.0,,"Bhubaneswar, Madanpur, Odisha 752054",754007,20.2512754,85.73060199999999,ChIJ_Tgqa1OpGToRi3eAxRCJ5os,https://www.google.com/maps/place/?q=place_id:ChIJ_Tgqa1OpGToRi3eAxRCJ5os,part_339,2026-09-20 20:35:31
HR INTERIOR,Interior Designers,Interior designer,Interior designer,754007,Odisha circle,Bhubaneswar HQ Region,Cuttack South Division,"Dulhanpur B.O, Govindpur Ramachandrapur B.O, Gayalbanka B.O",+91 63805 83869,N/A,5.0,,"Bhubaneswar, Gothapatna, Odisha 751029",754007,20.2908324,85.7384428,ChIJucFQqOIHGToRwZeUo5OzC8k,https://www.google.com/maps/place/?q=place_id:ChIJucFQqOIHGToRwZeUo5OzC8k,part_339,2026-09-20 20:35:31
Oréa Interior,Interior Designers,Interior designer,Interior designer,754007,Odisha circle,Bhubaneswar HQ Region,Cuttack South Division,"Dulhanpur B.O, Govindpur Ramachandrapur B.O, Gayalbanka B.O",N/A,http://oreainterior.in/,,,"Soumya Debasis, Kalinga Vihar, Patrapada, Bhubaneswar, Odisha 751019","Kalinga Vihar, Patrapada",20.2386381,85.7600112,ChIJ03OE_EKpGToRjOJ-pc63diM,https://www.google.com/maps/place/?q=place_id:ChIJ03OE_EKpGToRjOJ-pc63diM,part_339,2026-09-20 20:35:31
Inchcraft,Interior Designers,Interior designer,Interior designer,754007,Odisha circle,Bhubaneswar HQ Region,Cuttack South Division,"Dulhanpur B.O, Govindpur Ramachandrapur B.O, Gayalbanka B.O",+91 79929 00270,https://inchcraft.com/,5.0,,"Plot no: 61/1387, Subudhipur, Kalinga Vihar LIG, Sahajapur, Bhubaneswar, Odisha 751019","Kalinga Vihar LIG, Naragoda",20.248552399999998,85.7487324,ChIJ2wzfJFSpGToRUAywbzYcwPE,https://www.google.com/maps/place/?q=place_id:ChIJ2wzfJFSpGToRUAywbzYcwPE,part_339,2026-09-20 20:35:31
Houzlook factory,Interior Designers,Interior designer,Interior designer,754007,Odisha circle,Bhubaneswar HQ Region,Cuttack South Division,"Dulhanpur B.O, Govindpur Ramachandrapur B.O, Gayalbanka B.O",+91 81234 81222,https://www.houzlook.com/,5.0,,"Chattabar Industrial Area, Chatabar, Odisha 752054",Chattabar Industrial Area,20.2581913,85.6828924,ChIJMYDzliyrGToRdT9wOcJjcdQ,https://www.google.com/maps/place/?q=place_id:ChIJMYDzliyrGToRdT9wOcJjcdQ,part_339,2026-09-20 20:35:31
INTERIOR DESIGN NEAR ME | CONSTRUCTION & PLANNING,Interior Designers,Interior designer,Interior designer,754007,Odisha circle,Bhubaneswar HQ Region,Cuttack South Division,"Dulhanpur B.O, Govindpur Ramachandrapur B.O, Gayalbanka B.O",N/A,https://verticalview.in/home,5.0,,"HIG K6 - 155, Kalinga Vihar LIG, Kalinganagar, Bhubaneswar, Odisha 751019","Kalinga Vihar LIG, Kalinganagar",20.2457133,85.7535947,ChIJP7Mr6BCpGToRyNxUG571n0s,https://www.google.com/maps/place/?q=place_id:ChIJP7Mr6BCpGToRyNxUG571n0s,part_339,2026-09-20 20:35:31
Gajanana Interior Homes,Interior Designers,Interior designer,Interior designer,754007,Odisha circle,Bhubaneswar HQ Region,Cuttack South Division,"Dulhanpur B.O, Govindpur Ramachandrapur B.O, Gayalbanka B.O",+91 78490 87780,http://www.gajananainteriorhomes.in/,5.0,,"1st floor, Plot no. 1943, Gothapatna, Bhubaneswar, Odisha 751003",754007,20.2880364,85.7445177,ChIJGUGFtFypGToRb5F86BVK8G4,https://www.google.com/maps/place/?q=place_id:ChIJGUGFtFypGToRb5F86BVK8G4,part_339,2026-09-20 20:35:31
Ghar Sajawat,Interior Designers,Interior designer,Interior designer,754007,Odisha circle,Bhubaneswar HQ Region,Cuttack South Division,"Dulhanpur B.O, Govindpur Ramachandrapur B.O, Gayalbanka B.O",+91 78947 10659,N/A,4.8,,"K-5, Plot No - 487 Prafulla Plaza, Kalinga Vihar LIG, Subudhipur, Bhubaneswar, Odisha 751028","Kalinga Vihar LIG, Kalinganagar",20.2515455,85.75799239999999,ChIJWUIwb9ipGToRTqn-9acBhVU,https://www.google.com/maps/place/?q=place_id:ChIJWUIwb9ipGToRTqn-9acBhVU,part_339,2026-09-20 20:35:31
SR rautaray construction,Interior Designers,Interior designer,"Interior designer, Real Estate Builders & Construction Company",754007,Odisha circle,Bhubaneswar HQ Region,Cuttack South Division,"Dulhanpur B.O, Govindpur Ramachandrapur B.O, Gayalbanka B.O",+91 97777 79582,N/A,5.0,35.0,"Paikarapur, Bhubaneswar, Odisha 752054",754007,20.2679433,85.7364379,ChIJ-bbGpz2pGToR4jpkcyfOB_k,https://www.google.com/maps/place/?q=place_id:ChIJ-bbGpz2pGToR4jpkcyfOB_k,part_339,2026-09-20 20:35:32
Impress,Interior Designers,Interior designer,"Interior designer, Interior architect office, Interior Decorator",754007,Odisha circle,Bhubaneswar HQ Region,Cuttack South Division,"Dulhanpur B.O, Govindpur Ramachandrapur B.O, Gayalbanka B.O",+91 78469 63510,http://www.impresssolution.com/,5.0,14.0,"Plot No -137 Bhagwanpur, Patrapada, Bhubaneswar, Odisha 751019","Kalinga Vihar, Patrapada",20.2363502,85.7614459,ChIJdRzXSZmpGToReXF9Nawu0jQ,https://www.google.com/maps/place/?q=place_id:ChIJdRzXSZmpGToReXF9Nawu0jQ,part_339,2026-09-20 20:35:32
